.1584,40?&???,67.1575
101306386,0.1848,4018.5547,742.4484
101306425,0.2111,4023.4375,849.5434
101306463,0.2111,4018.5547,848.5124
101306502,0.2375,4023.4375,955.7363
101306540,0.1320,4023.4375,530.9646
101306578,0.1848,4018.5547,742.4484
101306617,0.1848,4023.4375,743.3505
101306655,0.1320,4023.4375,530.9646
101306694,0.1848,4018.5547,742.4484
101306732,0.2111,4018.5547,848.5124
101306771,0.2639,4023.4375,1061.9292
101306811,0.2111,4023.4375,849.5434
101306849,0.1848,4018.5547,742.4484
101306888,0.2111,4018.5547,848.5124
101306926,0.2111,4013.6719,847.4814
101306964,0.1848,4023.4375,743.3505
101307002,0.1320,4013.6719,529.6758
101307041,0.1848,4023.4375,743.3505
101307080,0.2111,4018.5547,848.5124
101307118,0.2111,4028.3203,850.5744
101307157,0.1848,4023.4375,743.3505
101307195,0.1848,4023.4375,743.3505
101307234,0.2111,4013.6719,847.4814
101307272,0.1584,4023.4375,637.1575
101307311,0.2111,4018.5547,848.5124
101307350,0.1848,4023.4375,743.3505
101307387,0.1848,4018.5547,742.4484
101307426,0.1848,4023.4375,743.3505
101307464,0.1584,4023.4375,637.1575
101307503,0.1584,4018.5547,636.3843
101307541,0.2111,4018.5547,848.5124
101307580,0.2111,4023.4375,849.5434
101307619,0.1848,4023.4375,743.3505
101307657,0.1584,4028.3203,637.9308
101307696,0.1584,4023.4375,637.1575
101307734,0.2111,4028.3203,850.5744
101307772,0.2111,4023.4375,849.5434
101307811,0.1320,4023.4375,530.9646
101307849,0.1584,4023.4375,637.1575
101307888,0.1584,4028.3203,637.9308
101307926,0.2375,4018.5547,954.5764
101307965,0.2111,4018.5547,848.5124
101308003,0.1584,4028.3203,637.9308
101308042,0.1584,4028.3203,637.9308
101308081,0.1584,4023.4375,637.1575
101308119,0.1848,4023.4375,743.3505
101308157,0.2111,4023.4375,849.5434
101308195,0.2111,4023.4375,849.5434
101308234,0.2639,4023.4375,1061.9292
101308273,0.2111,4023.4375,849.5434
101308312,0.1848,4023.4375,743.3505
101308351,0.2111,4018.5547,848.5124
101308389,0.1848,4003.9063,739.7420
101308428,0.1848,3999.0234,738.8398
101308466,0.1320,4028.3203,531.6090
101308505,0.1848,4018.5547,742.4484
101308544,0.1848,4018.5547,742.4484
101308581,0.1848,4018.5547,742.4484
101308620,0.2111,4018.5547,848.5124
101308658,0.2111,4023.4375,849.5434
101308697,0.3431,4023.4375,1380.5081
101308736,0.1848,4018.5547,742.4484
101308775,0.1848,4023.4375,743.3505
101308814,0.2111,4008.7891,846.4504
101308852,0.1848,4023.4375,743.3505
101308891,0.2639,4028.3203,1063.2180
101308930,0.1584,4023.4375,637.1575
101308968,0.2111,4028.3203,850.5744
101309007,0.2111,4018.5547,848.5124
101309045,0.1584,4028.3203,637.9308
101309084,0.1320,4013.6719,529.6758
101309122,0.1320,4023.4375,530.9646
101309161,0.1584,4023.4375,637.1575
101309199,0.1848,4023.4375,743.3505
101309238,0.2111,4023.4375,849.5434
101309277,0.3167,4018.5547,1272.7686
101309316,0.1848,4018.5547,742.4484
101309355,0.2903,4038.0859,1172.3750
101309393,0.1848,4023.4375,743.3505
101309432,0.1848,4028.3203,744.2526
101309470,0.2111,4013.6719,847.4814
101309509,0.1584,4018.5547,636.3843
101309548,0.2375,4018.5547,954.5764
101309586,0.2111,4023.4375,849.5434
101309625,0.3695,4013.6719,1483.0925
101309664,0.2111,4023.4375,849.5434
101309703,0.2375,4018.5547,954.5764
101309742,0.1848,4003.9063,739.7420
101309779,0.2111,4008.7891,846.4504
101309818,0.1320,4028.3203,531.6090
101309856,0.1848,4013.6719,741.5463
101309895,0.2903,4028.3203,1169.5398
101309934,0.1584,4018.5547,636.3843
101309973,0.1584,4013.6719,635.6110
101310012,0.2111,4008.7891,846.4504
101310050,0.1848,4013.6719,741.5463
101310089,0.2639,4023.4375,1061.9292
101310128,0.1584,4023.4375,637.1575
101310167,0.2111,4028.3203,850.5744
101310205,0.2375,4023.4375,955.7363
101310243,0.1848,4023.4375,743.3505
101310282,0.1848,4018.5547,742.4484
101310320,0.2111,4008.7891,846.4504
101310359,0.2903,4018.5547,1166.7046
101310398,0.1584,4023.4375,637.1575
101310437,0.2639,4018.5547,1060.6405
101310477,0.1848,4023.4375,743.3505
101310515,0.2111,4008.7891,846.4504
101310554,0.1848,4023.4375,743.3505
101310592,0.2375,4028.3203,956.8962
101310630,0.2111,4023.4375,849.5434
101310668,0.2111,4023.4375,849.5434
101310707,0.2111,4028.3203,850.5744
101310746,0.2375,4013.6719,953.4166
101310784,0.2111,4008.7891,846.4504
101310823,0.1848,4018.5547,742.4484
101310861,0.1848,4018.5547,742.4484
101310900,0.2375,4028.3203,956.8962
101310939,0.1848,4023.4375,743.3505
101310977,0.1848,4028.3203,744.2526
101311015,0.2111,4028.3203,850.5744
101311053,0.1584,4028.3203,637.9308
101311092,0.1848,4003.9063,739.7420
101311130,0.2375,4023.4375,955.7363
101311169,0.1848,4023.4375,743.3505
101311208,0.2111,4023.4375,849.5434
101311246,0.2375,4023.4375,955.7363
101311285,0.2111,4023.4375,849.5434
101311323,0.1848,4023.4375,743.3505
101311362,0.1584,4023.4375,637.1575
101311399,0.3431,4018.5547,1378.8326
101311439,0.2111,4003.9063,845.4194
101311478,0.1848,4023.4375,743.3505
101311516,0.3431,4023.4375,1380.5081
101311556,0.1848,4018.5547,742.4484
101311594,0.2639,4028.3203,1063.2180
101311634,0.1848,4013.6719,741.5463
101311673,0.2375,4028.3203,956.8962
101311711,0.2903,4028.3203,1169.5398
101311751,0.1584,4028.3203,637.9308
101311789,0.2111,4023.4375,849.5434
101311827,0.2111,4018.5547,848.5124
101311865,0.2111,4018.5547,848.5124
101311904,0.1848,4028.3203,744.2526
101311943,0.2375,4023.4375,955.7363
101311981,0.2111,4018.5547,848.5124
101312020,0.1584,4023.4375,637.1575
101312058,0.2111,4028.3203,850.5744
101312097,0.1848,4008.7891,740.6441
101312136,0.1584,4018.5547,636.3843
101312174,0.2375,4023.4375,955.7363
101312212,0.1848,4023.4375,743.3505
101312250,0.2111,4028.3203,850.5744
101312289,0.2111,4028.3203,850.5744
101312327,0.2111,4023.4375,849.5434
101312366,0.1320,4028.3203,531.6090
101312405,0.2111,4018.5547,848.5124
101312443,0.3695,4028.3203,1488.5052
101312483,0.1848,4023.4375,743.3505
101312521,0.1848,4018.5547,742.4484
101312560,0.2111,4003.9063,845.4194
101312598,0.2375,4018.5547,954.5764
101312636,0.1584,4028.3203,637.9308
101312675,0.1584,4023.4375,637.1575
101312713,0.2903,4023.4375,1168.1222
101312753,0.1584,4028.3203,637.9308
101312791,0.1848,4028.3203,744.2526
101312830,0.2375,4023.4375,955.7363
101312869,0.1848,4008.7891,740.6441
101312907,0.2111,4023.4375,849.5434
101312946,0.2111,4033.2031,851.6054
101312984,0.2903,4023.4375,1168.1222
101313024,0.2111,4033.2031,851.6054
101313061,0.1848,4013.6719,741.5463
101313100,0.2111,4023.4375,849.5434
101313139,0.1584,4028.3203,637.9308
101313177,0.1848,4018.5547,742.4484
101313216,0.2375,4028.3203,956.8962
101313254,0.2375,4023.4375,955.7363
101313293,0.2375,4018.5547,954.5764
101313331,0.2111,4033.2031,851.6054
101313370,0.1848,4028.3203,744.2526
101313409,0.2111,4018.5547,848.5124
101313446,0.1320,4028.3203,531.6090
101313485,0.3431,4018.5547,1378.8326
101313524,0.1848,4023.4375,743.3505
101313563,0.2111,4018.5547,848.5124
101313602,0.2111,4018.5547,848.5124
101313640,0.1584,4023.4375,637.1575
101313679,0.2111,4018.5547,848.5124
101313717,0.2111,4018.5547,848.5124
101313756,0.2111,4028.3203,850.5744
101313794,0.3167,4023.4375,1274.3151
101313833,0.2375,4023.4375,955.7363
101313872,0.2111,4028.3203,850.5744
101313910,0.2111,4023.4375,849.5434
101313949,0.1584,4023.4375,637.1575
101313987,0.2111,4008.7891,846.4504
101314026,0.2375,4023.4375,955.7363
101314064,0.2111,4023.4375,849.5434
101314103,0.1584,4028.3203,637.9308
101314142,0.1848,4023.4375,743.3505
101314180,0.3431,4028.3203,1382.1833
101314220,0.1848,4023.4375,743.3505
101314257,0.1848,4023.4375,743.3505
101314296,0.1848,4013.6719,741.5463
101314335,0.2375,4028.3203,956.8962
101314373,0.2111,4028.3203,850.5744
101314412,0.2111,4008.7891,846.4504
101314450,0.2375,4028.3203,956.8962
101314489,1.6100,3852.5391,6202.6206
101314528,1.5572,3837.8906,5976.4448
101314568,1.3989,3876.9531,5423.3135
101314608,1.3197,3896.4844,5142.1089
101314647,1.2669,3891.6016,4930.2383
101314686,1.3725,3867.1875,5307.5840
101314725,1.2141,3901.3672,4736.6685
101314765,1.2405,3920.8984,4863.8677
101314805,1.1877,3896.4844,4627.8979
101314844,1.1349,3886.7188,4411.1304
101314884,1.1085,3920.8984,4346.4351
101314923,1.1349,3916.0156,4444.3799
101314963,1.0557,3891.6016,4108.5317
101315003,1.0821,3886.7188,4205.9614
101315042,1.1613,3920.8984,4553.4082
101315082,1.1085,3906.2500,4330.1968
101315121,1.2405,3891.6016,4827.5249
101315161,1.3197,3881.8359,5122.7773
101315201,1.5044,3891.6016,5854.6582
101315239,1.3725,3881.8359,5327.6885
101315279,1.6892,3828.1250,6466.4272
101315318,1.6892,3852.5391,6507.6675
101315358,1.6364,3876.9531,6344.2539
101315398,1.5836,3847.6563,6093.2056
101315437,1.9531,3818.3594,7457.7334
101315477,1.8739,3818.3594,7155.3926
101315516,2.2435,3784.1797,8489.6348
101315556,2.4018,3750.0000,9006.8096
101315595,2.1379,3789.0625,8100.5610
101315635,2.0587,3813.4766,7850.8018
101315675,2.1379,3784.1797,8090.1226
101315714,1.8739,3774.4141,7073.0415
101315753,1.8739,3828.1250,7173.6929
101315792,1.9267,3828.1250,7375.7690
101315832,2.1115,3789.0625,8000.5542
101315872,2.0587,3784.1797,7790.4883
101315911,2.1907,3798.8281,8321.9678
101315951,2.2698,3774.4141,8567.3457
101315990,2.2698,3754.8828,8523.0127
101316030,2.1115,3789.0625,8000.5542
101316070,2.0323,3798.8281,7720.3799
101316109,2.0059,3779.2969,7580.9370
101316149,1.9267,3789.0625,7300.5059
101316188,1.9531,3808.5938,7438.6597
101316228,2.0851,3818.3594,7961.6343
101316268,2.0323,3784.1797,7690.6099
101316306,2.0323,3789.0625,7700.5332
101316346,2.0851,3793.9453,7910.7290
101316385,2.1907,3774.4141,8268.4854
101316425,2.1643,3764.6484,8147.7300
101316465,2.1379,3779.2969,8079.6836
101316504,2.2171,3769.5313,8357.2803
101316544,2.2698,3769.5313,8556.2627
101316583,2.2698,3759.7656,8534.0957
101316623,2.2435,3784.1797,8489.6348
101316663,2.1643,3789.0625,8200.5684
101316702,2.0851,3764.6484,7849.6421
101316742,2.0323,3769.5313,7660.8398
101316781,2.0323,3808.5938,7740.2271
101316820,2.0587,3808.5938,7840.7495
101316859,2.0059,3774.4141,7571.1426
101316899,2.1907,3784.1797,8289.8779
101316939,2.1643,3798.8281,8221.7041
101316978,2.1643,3774.4141,8168.8652
101317018,2.1907,3754.8828,8225.6982
101317057,2.0851,3769.5313,7859.8232
101317097,2.1907,3803.7109,8332.6650
101317137,2.1643,3784.1797,8190.0005
101317176,2.1115,3769.5313,7959.3140
101317216,2.1643,3784.1797,8190.0005
101317255,2.2171,3779.2969,8378.9307
101317295,2.2698,3759.7656,8534.0957
