54,0.??b??2&4375,743.3505
84803992,0.2111,4042.9688,853.6674
84804029,0.3167,4042.9688,1280.5010
84804068,0.2111,4033.2031,851.6054
84804105,0.2111,4038.0859,852.6364
84804143,0.1848,4042.9688,746.9590
84804179,0.1584,4042.9688,640.2505
84804217,0.2375,4047.8516,961.5356
84804254,0.1848,4047.8516,747.8611
84804292,0.2639,4042.9688,1067.0842
84804331,0.2111,4047.8516,854.6984
84804368,0.2375,4042.9688,960.3758
84804406,0.2375,4047.8516,961.5356
84804443,0.1848,4047.8516,747.8611
84804481,0.2375,4052.7344,962.6956
84804517,0.1584,4047.8516,641.0237
84804555,0.1848,4047.8516,747.8611
84804593,0.2111,4018.5547,848.5124
84804630,0.2375,4023.4375,955.7363
84804668,0.1848,4038.0859,746.0569
84804705,0.1584,4047.8516,641.0237
84804743,0.1584,4047.8516,641.0237
84804780,0.1584,4052.7344,641.7970
84804817,0.2111,4042.9688,853.6674
84804854,0.1584,4042.9688,640.2505
84804892,0.1848,4038.0859,746.0569
84804930,0.2111,4047.8516,854.6984
84804967,0.1848,4047.8516,747.8611
84805005,0.2111,4047.8516,854.6984
84805042,0.2375,4047.8516,961.5356
84805080,0.2639,4052.7344,1069.6617
84805117,0.2375,4047.8516,961.5356
84805155,0.1848,4047.8516,747.8611
84805193,0.1848,4042.9688,746.9590
84805230,0.1584,4042.9688,640.2505
84805268,0.1584,4052.7344,641.7970
84805305,0.1848,4047.8516,747.8611
84805343,0.2111,4052.7344,855.7294
84805380,0.1584,4047.8516,641.0237
84805417,0.2111,4047.8516,854.6984
84805455,0.2111,4047.8516,854.6984
84805492,0.1584,4042.9688,640.2505
84805530,0.1584,4047.8516,641.0237
84805567,0.2375,4042.9688,960.3758
84805605,0.1848,4052.7344,748.7632
84805642,0.2111,4047.8516,854.6984
84805680,0.1848,4047.8516,747.8611
84805716,0.2375,4028.3203,956.8962
84805754,0.2111,4047.8516,854.6984
84805792,0.2375,4052.7344,962.6956
84805829,0.2903,4042.9688,1173.7927
84805868,0.2903,4047.8516,1175.2103
84805906,0.1848,4047.8516,747.8611
84805944,0.2375,4047.8516,961.5356
84805981,0.2111,4047.8516,854.6984
84806019,0.1584,4033.2031,638.7040
84806056,0.3167,4042.9688,1280.5010
84806094,0.1848,4042.9688,746.9590
84806132,0.2111,4047.8516,854.6984
84806169,0.2111,4028.3203,850.5744
84806207,0.2111,4042.9688,853.6674
84806244,0.1584,4038.0859,639.4772
84806282,0.3167,4042.9688,1280.5010
84806321,0.1848,4047.8516,747.8611
84806358,0.1584,4052.7344,641.7970
84806395,0.1848,4047.8516,747.8611
