,0.211L???r911,862.9464
91008045,0.1848,4091.7969,755.9802
91008082,0.1584,4086.9141,647.2098
91008120,0.1320,4086.9141,539.3415
91008157,0.1848,4086.9141,755.0781
91008195,0.2111,4091.7969,863.9774
91008232,0.2375,4091.7969,971.9745
91008270,0.2375,4096.6797,973.1344
91008307,0.1848,4091.7969,755.9802
91008345,0.2375,4086.9141,970.8147
91008382,0.1848,4091.7969,755.9802
91008419,0.1584,4086.9141,647.2098
91008457,0.1848,4091.7969,755.9802
91008494,0.1848,4082.0313,754.1760
91008532,0.1848,4091.7969,755.9802
91008569,0.1584,4082.0313,646.4365
91008607,0.1848,4096.6797,756.8823
91008644,0.1584,4091.7969,647.9830
91008681,0.1848,4086.9141,755.0781
91008719,0.1584,4091.7969,647.9830
91008756,0.2111,4086.9141,862.9464
91008794,0.1056,4091.7969,431.9887
91008831,0.2111,4086.9141,862.9464
91008869,0.1848,4086.9141,755.0781
91008906,0.2111,4086.9141,862.9464
91008944,0.1584,4091.7969,647.9830
91008982,0.2375,4096.6797,973.1344
91009018,0.1584,4096.6797,648.7563
91009056,0.2111,4077.1484,860.8844
91009093,0.1584,4082.0313,646.4365
91009131,0.1584,4077.1484,645.6633
91009168,0.2111,4077.1484,860.8844
91009206,0.1848,4091.7969,755.9802
91009243,0.1848,4091.7969,755.9802
91009281,0.1848,4096.6797,756.8823
91009318,0.1848,4086.9141,755.0781
91009355,0.2375,4091.7969,971.9745
91009393,0.1584,4091.7969,647.9830
91009430,0.3431,4091.7969,1403.9633
91009469,0.2375,4091.7969,971.9745
91009506,0.1848,4091.7969,755.9802
91009544,0.2375,4086.9141,970.8147
91009582,0.2111,4091.7969,863.9774
91009618,0.3167,4091.7969,1295.9661
91009657,0.2903,4086.9141,1186.5513
91009695,0.1584,4091.7969,647.9830
91009733,0.1584,4077.1484,645.6633
91009770,0.2111,4091.7969,863.9774
91009808,0.2375,4096.6797,973.1344
91009846,0.2903,4086.9141,1186.5513
91009884,0.2375,4082.0313,969.6548
91009922,0.1848,4091.7969,755.9802
91009958,0.1848,4091.7969,755.9802
91009996,0.2111,4086.9141,862.9464
91010033,0.1320,4096.6797,540.6302
91010071,0.1584,4082.0313,646.4365
91010108,0.2903,4091.7969,1187.9689
91010147,0.1848,4086.9141,755.0781
91010185,0.1848,4091.7969,755.9802
91010222,0.2375,4091.7969,971.9745
91010259,0.2639,4086.9141,1078.6830
91010297,0.1848,4096.6797,756.8823
91010335,0.1584,4082.0313,646.4365
91010372,0.3167,4091.7969,1295.9661
91010411,0.2375,4086.9141,970.8147
91010449,0.1584,4091.7969,647.9830
91010486,0.3431,4091.7969,1403.9633
91010525,0.1848,4091.7969,755.9802
91010562,0.2111,4086.9141,862.9464
91010599,0.2903,4091.7969,1187.9689
91010637,0.2375,4091.7969,971.9745
91010675,0.3167,4091.7969,1295.9661
91010714,0.1320,4091.7969,539.9858
91010751,0.2903,4096.6797,1189.3866
91010790,0.3167,4082.0313,1292.8730
91010828,0.1848,4091.7969,755.9802
91010866,0.2111,4086.9141,862.9464
91010903,0.2111,4067.3828,858.8224
91010940,0.2375,4086.9141,970.8147
91010978,0.1848,4077.1484,753.2739
91011015,0.2111,4082.0313,861.9154
91011053,0.1584,4077.1484,645.6633
91011090,0.1584,4086.9141,647.2098
91011128,0.2375,4086.9141,970.8147
91011165,0.2639,4086.9141,1078.6830
91011204,0.2375,4091.7969,971.9745
91011240,0.2111,4091.7969,863.9774
91011278,0.1584,4086.9141,647.2098
91011316,0.1848,4082.0313,754.1760
91011353,0.1848,4096.6797,756.8823
91011391,0.2903,4086.9141,1186.5513
91011429,0.1848,4077.1484,753.2739
91011467,0.3431,4086.9141,1402.2878
91011505,0.2375,4086.9141,970.8147
91011543,0.2111,4077.1484,860.8844
91011580,0.2375,4096.6797,973.1344
91011617,0.2111,4091.7969,863.9774
91011655,0.1584,4091.7969,647.9830
91011692,0.2375,4086.9141,970.8147
91011730,0.1320,4086.9141,539.3415
91011767,0.2639,4091.7969,1079.9717
91011806,0.1848,4096.6797,756.8823
91011844,0.2111,4091.7969,863.9774
91011880,0.2111,4091.7969,863.9774
91011918,0.1584,4096.6797,648.7563
91011955,0.3431,4091.7969,1403.9633
91011994,0.2639,4091.7969,1079.9717
91012032,0.3167,4091.7969,1295.9661
91012071,0.3167,4096.6797,1297.5126
91012110,0.1848,4096.6797,756.8823
91012147,0.2375,4091.7969,971.9745
91012185,0.1848,4086.9141,755.0781
91012221,0.2111,4082.0313,861.9154
91012259,0.2903,4091.7969,1187.9689
91012297,0.2111,4096.6797,865.0084
91012335,0.1848,4091.7969,755.9802
91012372,0.2111,4091.7969,863.9774
91012410,0.2639,4086.9141,1078.6830
91012449,0.1848,4096.6797,756.8823
91012486,0.2111,4086.9141,862.9464
91012524,0.1848,4082.0313,754.1760
91012560,0.2111,4091.7969,863.9774
91012598,0.1056,4082.0313,430.9577
91012635,0.1848,4086.9141,755.0781
91012673,0.1584,4096.6797,648.7563
91012711,0.1848,4091.7969,755.9802
91012748,0.1848,4091.7969,755.9802
91012786,0.1848,4086.9141,755.0781
91012823,0.2111,4086.9141,862.9464
91012860,0.2375,4091.7969,971.9745
91012897,0.1848,4096.6797,756.8823
91012935,0.2375,4091.7969,971.9745
91012972,0.2111,4082.0313,861.9154
91013010,0.2375,4091.7969,971.9745
91013048,0.1848,4082.0313,754.1760
91013085,0.1584,4096.6797,648.7563
91013123,0.3431,4086.9141,1402.2878
91013160,0.1584,4086.9141,647.2098
91013198,0.2111,4077.1484,860.8844
91013235,0.2639,4086.9141,1078.6830
91013274,0.1320,4096.6797,540.6302
91013312,0.1848,4091.7969,755.9802
91013349,0.2111,4096.6797,865.0084
91013387,0.1848,4096.6797,756.8823
91013424,0.2111,4096.6797,865.0084
91013462,0.1848,4091.7969,755.9802
91013498,0.1848,4096.6797,756.8823
91013536,0.1584,4091.7969,647.9830
91013574,0.2639,4096.6797,1081.2605
91013612,0.2111,4077.1484,860.8844
91013650,0.2111,4086.9141,862.9464
91013687,0.1848,4091.7969,755.9802
91013725,0.2903,4091.7969,1187.9689
91013763,0.2375,4091.7969,971.9745
91013800,0.3167,4091.7969,1295.9661
91013839,0.2375,4101.5625,974.2943
91013876,0.1848,4091.7969,755.9802
91013914,0.2111,4096.6797,865.0084
91013951,0.1584,4072.2656,644.8900
91013989,0.2375,4091.7969,971.9745
