062.50003431,4067.3828,1395.5864
344019042,0.3695,4086.9141,1510.1563
344019082,0.3431,4057.6172,1392.2356
344019121,0.3431,4062.5000,431,4067.3828,1395.5864
344019042,0.3695,4086.9141,1510.1563
344019082,0.3431,4057.6172,1392.2356
344019121,0.3431,4062.5000,139&)LLj34019161,0.3695,3974.6094,1468.6584
344019200,0.3167,4067.3828,1288.2335
344019239,0.3167,4062.5000,1286.6870
344019279,0.3431,4067.3828,1395.5864
344019318,0.3959,4062.5000,1608.3588
344019358,0.3167,4062.5000,1286.6870
344019397,0.3695,4062.5000,1501.1350
344019437,0.3167,4101.5625,1299.0590
344019477,0.3431,4086.9141,1402.2878
344019516,0.2903,4067.3828,1180.8807
344019556,0.3695,4057.6172,1499.3307
344019595,0.3959,4057.6172,1606.4257
344019635,0.3167,4052.7344,1283.5940
344019675,0.3431,4062.5000,1393.9110
344019714,0.4223,4057.6172,1713.5208
344019753,0.3959,4062.5000,1608.3588
344019792,0.3431,4057.6172,1392.2356
344019832,0.4487,4057.6172,1820.6158
344019872,0.3431,4057.6172,1392.2356
344019911,0.2903,4057.6172,1178.0455
344019951,0.3167,4057.6172,1285.1405
344019990,0.3695,4052.7344,1497.5265
344020030,0.3695,4062.5000,1501.1350
344020070,0.3431,4057.6172,1392.2356
344020109,0.3959,4062.5000,1608.3588
344020149,0.3431,4067.3828,1395.5864
344020188,0.3695,4077.1484,1506.5477
344020228,0.3431,4003.9063,1373.8065
344020267,0.3959,4042.9688,1600.6263
344020306,0.4487,4057.6172,1820.6158
344020346,0.4751,4062.5000,1930.0306
344020385,0.3959,4062.5000,1608.3588
344020425,0.3167,4067.3828,1288.2335
344020464,0.3959,4062.5000,1608.3588
344020504,0.3431,4062.5000,1393.9110
344020544,0.3695,4062.5000,1501.1350
344020583,0.3431,4062.5000,1393.9110
344020623,0.3695,4062.5000,1501.1350
344020662,0.3695,4062.5000,1501.1350
344020702,0.3431,4057.6172,1392.2356
344020742,0.3959,4062.5000,1608.3588
344020781,0.3959,4062.5000,1608.3588
344020820,0.3167,4057.6172,1285.1405
344020859,0.4487,4082.0313,1831.5702
344020899,0.3959,4072.2656,1612.2251
344020939,0.3431,4067.3828,1395.5864
344020978,0.3959,4057.6172,1606.4257
344021018,0.3431,4057.6172,1392.2356
344021057,0.3431,4062.5000,1393.9110
344021097,0.3695,4047.8516,1495.7222
344021137,0.3959,4057.6172,1606.4257
344021176,0.3695,4062.5000,1501.1350
344021216,0.3167,4072.2656,1289.7800
344021255,0.3167,4218.7500,1336.1749
344021295,0.3431,4062.5000,1393.9110
344021335,0.3431,4062.5000,1393.9110
344021373,0.3695,4057.6172,1499.3307
344021413,0.3431,4047.8516,1388.8849
344021452,0.4751,4062.5000,1930.0306
344021492,0.4751,4057.6172,1927.7108
344021531,0.4751,4062.5000,1930.0306
344021571,0.2903,4062.5000,1179.4631
344021611,0.4487,4057.6172,1820.6158
344021650,0.3431,4062.5000,1393.9110
344021690,0.3959,4062.5000,1608.3588
344021729,0.3431,4057.6172,1392.2356
344021769,0.3431,4042.9688,1387.2095
344021809,0.3431,4042.9688,1387.2095
344021848,0.3431,4057.6172,1392.2356
344021888,0.3695,4062.5000,1501.1350
344021926,0.3695,4067.3828,1502.9392
344021966,0.2903,4082.0313,1185.1337
344022006,0.3431,4018.5547,1378.8326
344022045,0.4751,4062.5000,1930.0306
344022085,0.4487,4062.5000,1822.8068
344022124,0.3695,4062.5000,1501.1350
344022164,0.5279,4052.7344,2139.3235
344022204,0.3431,4047.8516,1388.8849
344022243,0.2903,4038.0859,1172.3750
344022283,0.3431,4062.5000,1393.9110
344022322,0.3959,4062.5000,1608.3588
344022362,0.3695,4062.5000,1501.1350
344022402,0.3431,4067.3828,1395.5864
344022440,0.3431,4057.6172,1392.2356
344022480,0.3167,4062.5000,1286.6870
344022519,0.3959,4067.3828,1610.2920
344022559,0.3431,4052.7344,1390.5603
344022599,0.3167,4057.6172,1285.1405
344022638,0.3695,4067.3828,1502.9392
344022678,0.3695,4062.5000,1501.1350
344022717,0.3695,4057.6172,1499.3307
344022757,0.3431,4042.9688,1387.2095
344022796,0.3695,4057.6172,1499.3307
344022836,0.3431,4106.4453,1408.9894
344022876,0.3959,4067.3828,1610.2920
344022915,0.4487,4062.5000,1822.8068
344022955,0.3959,4062.5000,1608.3588
344022993,0.3431,4082.0313,1400.6124
344023033,0.3695,4062.5000,1501.1350
344023073,0.5279,4062.5000,2144.4785
344023112,0.2903,4067.3828,1180.8807
344023152,0.3695,4062.5000,1501.1350
344023191,0.3431,4077.1484,1398.9371
344023231,0.4751,4062.5000,1930.0306
344023271,0.3431,4067.3828,1395.5864
344023310,0.3431,4067.3828,1395.5864
344023350,0.3959,4062.5000,1608.3588
344023389,0.3695,4067.3828,1502.9392
344023429,0.3431,4057.6172,1392.2356
344023469,0.3695,4062.5000,1501.1350
344023507,0.3431,4062.5000,1393.9110
344023547,0.4223,4062.5000,1715.5828
344023586,0.3695,4057.6172,1499.3307
344023626,0.3167,4062.5000,1286.6870
344023666,0.4223,4057.6172,1713.5208
344023705,0.3431,4062.5000,1393.9110
344023745,0.3431,4106.4453,1408.9894
344023784,0.3431,4062.5000,1393.9110
344023824,0.3695,4057.6172,1499.3307
344023864,0.3959,4047.8516,1602.5594
344023903,0.5015,4067.3828,2039.7031
344023943,0.3695,4062.5000,1501.1350
344023982,0.3167,4057.6172,1285.1405
344024022,0.3695,4062.5000,1501.1350
344024060,0.3431,4077.1484,1398.9371
344024100,0.3431,4047.8516,1388.8849
344024140,0.3695,4067.3828,1502.9392
344024179,0.3695,4062.5000,1501.1350
344024219,0.5015,4057.6172,2034.8058
344024258,0.4487,4067.3828,1824.9976
344024298,0.3695,4047.8516,1495.7222
344024338,0.3431,4047.8516,1388.8849
344024377,0.4751,4077.1484,1936.9899
344024417,0.3431,4067.3828,1395.5864
344024456,0.3431,4067.3828,1395.5864
344024496,0.5543,4052.7344,2246.2896
344024536,0.3431,4008.7891,1375.4819
344024574,0.3695,4057.6172,1499.3307
344024614,0.3695,4047.8516,1495.7222
344024653,0.4751,4062.5000,1930.0306
344024693,0.3167,4057.6172,1285.1405
344024733,0.3695,4067.3828,1502.9392
344024772,0.3695,4067.3828,1502.9392
344024812,0.3431,4003.9063,1373.8065
344024851,0.4751,4062.5000,1930.0306
344024891,0.3167,4096.6797,1297.5126
344024931,0.3959,4062.5000,1608.3588
344024970,0.3431,4067.3828,1395.5864
344025010,0.4223,4067.3828,1717.6448
344025049,0.3695,4052.7344,1497.5265
344025089,0.3959,4067.3828,1610.2920
344025128,0.3959,4057.6172,1606.4257
344025167,0.3695,4062.5000,1501.1350
344025207,0.3695,4062.5000,1501.1350
344025246,0.3167,4052.7344,1283.5940
344025286,0.3695,4082.0313,1508.3519
344025325,0.3431,4067.3828,1395.5864
344025365,0.3431,4067.3828,1395.5864
344025405,0.3431,4067.3828,1395.5864
344025444,0.3431,4082.0313,1400.6124
344025484,0.3431,4057.6172,1392.2356
344025523,0.3959,4174.8047,1652.8207
344025563,0.3431,3989.2578,1368.7804
344025603,0.3959,4057.6172,1606.4257
344025641,0.3695,4062.5000,1501.1350
344025681,0.3695,4067.3828,1502.9392
344025720,0.3431,4072.2656,1397.2617
344025760,0.3167,4042.9688,1280.5010
344025800,0.3431,4062.5000,1393.9110
344025839,0.3695,4067.3828,1502.9392
344025879,0.3167,4067.3828,1288.2335
344025918,1.6364,3886.7188,6360.2344
344025958,1.5836,3911.1328,6193.7280
344025998,1.6628,3872.0703,6438.4619
344026037,1.5836,3886.7188,6155.0654
344026077,1.4253,3906.2500,5567.3960
344026116,1.3725,3930.6641,5394.7036
344026156,1.3461,3925.7813,5284.3867
344026195,1.3989,3930.6641,5498.4478
344026234,1.2669,3940.4297,4992.0981
344026274,1.3461,3935.5469,5297.5322
344026313,1.2933,3940.4297,5096.1006
344026353,1.3989,3920.8984,5484.7871
344026393,1.3725,3896.4844,5347.7930
344026432,1.5044,3916.0156,5891.3877
344026472,1.3197,3925.7813,5180.7710
344026511,1.3461,3916.0156,5271.2417
344026551,1.3989,3911.1328,5471.1265
344026590,1.4516,4052.7344,5883.1392
344026630,1.5308,3886.7188,5949.8970
344026670,1.5044,3906.2500,5876.6958
344026708,1.5572,3881.8359,6044.8774
344026748,1.6364,3881.8359,6352.2441
344026787,1.6364,3876.9531,6344.2539
344026827,1.6628,3901.3672,6487.1763
344026867,1.7948,3852.5391,6914.3970
344026906,1.7156,3916.0156,6718.2485
344026946,1.7948,3837.8906,6888.1064
344026985,2.0059,3852.5391,7727.8545
344027025,1.9003,3818.3594,7256.1729
344027065,1.8212,3852.5391,7016.0791
344027104,1.7684,3847.6563,6804.0796
344027144,1.7420,3876.9531,6753.5605
344027183,1.7156,3896.4844,6684.7412
344027223,1.6892,3901.3672,6590.1475
344027262,1.6892,3847.6563,6499.4194
344027301,1.7684,3862.3047,6829.9834
344027341,1.7684,3798.8281,6717.7334
344027380,1.6364,3886.7188,6360.2344
344027420,1.8476,3852.5391,7117.7607
344027460,1.7420,3852.5391,6711.0322
344027499,2.0587,3833.0078,7891.0107
344027539,1.7684,3847.6563,6804.0796
344027578,1.7156,3862.3047,6626.1030
344027618,1.7420,3852.5391,6711.0322
344027658,1.6364,3872.0703,6336.2637
344027697,1.7156,3857.4219,6617.7266
344027737,1.6892,3896.4844,6581.8994
344027776,1.7156,3857.4219,6617.7266
344027815,1.6892,3862.3047,6524.1636
344027854,1.6892,3876.9531,6548.9072
344027894,1.6364,3867.1875,6328.2734
344027934,1.7156,3891.6016,6676.3643
344027973,1.7684,3847.6563,6804.0796
344028013,1.7420,3872.0703,6745.0552
344028052,1.8212,3833.0078,6980.5093
344028092,1.6892,3818.3594,6449.9316
344028132,1.6628,3867.1875,6430.3428
344028171,1.7156,3876.9531,6651.2339
344028211,1.7684,3881.8359,6864.5220
344028250,1.8739,3828.1250,7173.6929
344028290,1.7420,3881.8359,6762.0664
344028329,1.9531,3828.1250,7476.8066
344028368,1.6892,3886.7188,6565.4033
344028408,1.6100,3872.0703,6234.0659
344028447,1.7156,3842.7734,6592.5957
344028487,1.9267,3847.6563,7413.4004
344028527,1.8212,3842.7734,6998.2939
344028566,1.7684,3872.0703,6847.2524
344028606,1.6628,3847.6563,6397.8662
344028645,1.5044,3896.4844,5862.0039
344028685,1.5836,3876.9531,6139.6006
344028725,1.6628,3876.9531,6446.5811
344028764,1.8476,3862.3047,7135.8032
344028804,1.7684,3857.4219,6821.3486
344028843,1.6628,3891.6016,6470.9380
344028882,1.4516,3876.9531,5627.9673
344028922,1.5572,3852.5391,5999.2559
344028961,1.7948,3852.5391,6914.3970
