,4121.0938,1631.5563
343605335,0.3695,4121.0938,1522.7859
343605373,0.31643605255,0.3695,4116.2109,1520.9817
343605295,0.3959,4121.0938,1631.5563
343605335,0.3695,4121.0938,1522.7859
343605373,0.31673605255,0.3695,4116.2109,1520.9817
343605295,0.3959,4121.0938,1631.5563
343605335,0.3695,4121.0938,1522.7859
343605373,0.3167,41?r093,1??r????j343605413,0.2903,4125.9766,1197.8923
343605452,0.3431,4111.3281,1410.6647
343605492,0.4223,4116.2109,1738.2648
343605531,0.3695,4121.0938,1522.7859
343605571,0.4487,4116.2109,1846.9064
343605611,0.3695,3999.0234,1477.6797
343605650,0.3431,4086.9141,1402.2878
343605690,0.3695,4121.0938,1522.7859
343605729,0.3431,4096.6797,1405.6385
343605769,0.3167,4121.0938,1305.2450
343605809,0.3167,4121.0938,1305.2450
343605848,0.3167,4101.5625,1299.0590
343605888,0.3167,4101.5625,1299.0590
343605926,0.3167,4121.0938,1305.2450
343605966,0.4487,4111.3281,1844.7155
343606006,0.3431,4101.5625,1407.3140
343606045,0.3431,4101.5625,1407.3140
343606085,0.3431,4121.0938,1414.0155
343606124,0.3431,4106.4453,1408.9894
343606164,0.3167,4121.0938,1305.2450
343606204,0.5015,4116.2109,2064.1892
343606243,0.4751,4116.2109,1955.5479
343606283,0.3959,4121.0938,1631.5563
343606322,0.3431,4121.0938,1414.0155
343606362,0.3695,4116.2109,1520.9817
343606402,0.3695,4125.9766,1524.5902
343606440,0.3695,4121.0938,1522.7859
343606480,0.3431,4111.3281,1410.6647
343606519,0.3431,4116.2109,1412.3401
343606559,0.3959,4116.2109,1629.6232
343606599,0.3167,4121.0938,1305.2450
343606638,0.3431,4125.9766,1415.6908
343606678,0.3695,4199.2188,1551.6539
343606717,0.3695,4116.2109,1520.9817
343606757,0.3695,4111.3281,1519.1775
343606796,0.3695,4116.2109,1520.9817
343606836,0.3695,4121.0938,1522.7859
343606876,0.4487,4111.3281,1844.7155
343606915,0.3431,4121.0938,1414.0155
343606955,0.3431,4125.9766,1415.6908
343606993,0.3431,4121.0938,1414.0155
343607033,0.4487,4121.0938,1849.0972
343607073,0.3167,4121.0938,1305.2450
343607112,0.3959,4121.0938,1631.5563
343607152,0.3431,4121.0938,1414.0155
343607191,0.3167,4106.4453,1300.6055
343607231,0.3695,4121.0938,1522.7859
343607271,0.3431,4116.2109,1412.3401
343607310,0.3959,4121.0938,1631.5563
343607350,0.5015,4121.0938,2066.6379
343607389,0.5015,4121.0938,2066.6379
343607429,0.3431,4116.2109,1412.3401
343607469,0.3431,4106.4453,1408.9894
343607507,0.3695,4121.0938,1522.7859
343607547,0.3167,4125.9766,1306.7915
343607586,0.3695,4116.2109,1520.9817
343607626,0.3431,4116.2109,1412.3401
343607666,0.3959,4116.2109,1629.6232
343607705,0.3695,4121.0938,1522.7859
343607745,0.3695,4121.0938,1522.7859
343607784,0.3431,4121.0938,1414.0155
343607824,0.3695,4125.9766,1524.5902
343607864,0.3167,4116.2109,1303.6985
343607903,0.2903,4135.7422,1200.7275
343607943,0.3167,4121.0938,1305.2450
343607982,0.3695,4121.0938,1522.7859
343608022,0.3167,4106.4453,1300.6055
343608060,0.3695,4121.0938,1522.7859
343608100,0.4751,4121.0938,1957.8676
343608140,0.2903,4101.5625,1190.8042
343608179,0.3167,4140.6250,1311.4310
343608219,0.3167,4150.3906,1314.5240
343608258,0.3959,4121.0938,1631.5563
343608298,0.3167,4116.2109,1303.6985
343608338,0.3695,4116.2109,1520.9817
343608377,0.3959,4101.5625,1623.8239
343608417,0.4751,4116.2109,1955.5479
343608456,0.4751,4121.0938,1957.8676
343608496,0.3695,4121.0938,1522.7859
343608536,0.3695,4121.0938,1522.7859
343608574,0.3695,4101.5625,1515.5690
343608614,0.3695,4106.4453,1517.3732
343608653,0.3695,4111.3281,1519.1775
343608693,0.3695,4121.0938,1522.7859
343608733,0.4487,4125.9766,1851.2881
343608772,0.3431,4116.2109,1412.3401
343608812,0.3431,4121.0938,1414.0155
343608851,0.3431,4121.0938,1414.0155
343608891,0.3431,4125.9766,1415.6908
343608931,0.3695,4116.2109,1520.9817
343608970,0.2903,4140.6250,1202.1451
343609010,0.3167,4101.5625,1299.0590
343609049,0.3431,4121.0938,1414.0155
343609089,0.3695,4125.9766,1524.5902
343609128,0.2903,4125.9766,1197.8923
343609167,0.3431,4121.0938,1414.0155
343609207,0.3431,4125.9766,1415.6908
343609246,0.3431,4125.9766,1415.6908
343609286,0.3695,4121.0938,1522.7859
343609325,0.4223,4121.0938,1740.3268
343609365,0.3695,4116.2109,1520.9817
343609405,0.3695,4121.0938,1522.7859
343609444,0.4751,4116.2109,1955.5479
343609484,0.2903,4106.4453,1192.2218
343609523,0.4487,4116.2109,1846.9064
343609563,0.3695,4101.5625,1515.5690
343609603,0.3431,4125.9766,1415.6908
343609641,0.3431,4121.0938,1414.0155
343609681,0.3167,4130.8594,1308.3380
343609720,0.3431,4121.0938,1414.0155
343609760,0.4751,4121.0938,1957.8676
343609800,0.3431,4121.0938,1414.0155
343609839,0.3167,4096.6797,1297.5126
343609879,0.2903,4125.9766,1197.8923
343609918,0.3959,4121.0938,1631.5563
343609958,0.3431,4106.4453,1408.9894
343609998,0.4223,4057.6172,1713.5208
343610037,0.3431,4106.4453,1408.9894
343610077,0.3431,4125.9766,1415.6908
343610116,0.3431,4121.0938,1414.0155
343610156,0.4223,4121.0938,1740.3268
343610195,0.3695,4116.2109,1520.9817
343610234,0.3695,4111.3281,1519.1775
343610274,0.5543,4135.7422,2292.2981
343610313,0.2903,4116.2109,1195.0570
343610353,0.3431,4116.2109,1412.3401
343610393,0.3959,4111.3281,1627.6901
343610432,0.3959,4121.0938,1631.5563
343610472,0.3695,4121.0938,1522.7859
343610511,0.3695,4111.3281,1519.1775
343610551,0.3431,4116.2109,1412.3401
343610590,0.3695,4121.0938,1522.7859
343610630,0.3695,4121.0938,1522.7859
343610670,0.3695,4121.0938,1522.7859
343610708,0.2903,4121.0938,1196.4746
343610748,0.3431,4130.8594,1417.3662
343610787,0.3695,4116.2109,1520.9817
343610827,0.3695,4121.0938,1522.7859
343610867,0.3695,4121.0938,1522.7859
343610906,0.3695,4116.2109,1520.9817
343610946,0.3431,4121.0938,1414.0155
343610985,0.3695,4121.0938,1522.7859
