51482,0I??b???.9688,1173.7927
265051522,0.2639,4033.2031,1064.5067
265051561,0.2375,4038.0859,959.2159
265051599,0.2375,4033.2031,958.0560
265051638,0.2375,4042.9688,960.3758
265051676,0.2111,4038.0859,852.6364
265051715,0.2375,4042.9688,960.3758
265051753,0.2903,4042.9688,1173.7927
265051793,0.2375,4038.0859,959.2159
265051832,0.2639,4033.2031,1064.5067
265051871,0.2639,4038.0859,1065.7954
265051911,0.2111,4038.0859,852.6364
265051949,0.2639,4038.0859,1065.7954
265051988,0.2375,4038.0859,959.2159
265052027,0.2375,4038.0859,959.2159
265052065,0.2375,4038.0859,959.2159
265052104,0.2375,4038.0859,959.2159
265052142,0.2639,4023.4375,1061.9292
265052182,0.2111,4033.2031,851.6054
265052221,0.2639,4038.0859,1065.7954
265052260,0.2639,4038.0859,1065.7954
265052300,0.2111,3989.2578,842.3264
265052338,0.2903,3964.8438,1151.1107
265052378,0.2639,4042.9688,1067.0842
265052417,0.2375,4028.3203,956.8962
265052455,0.2639,4038.0859,1065.7954
265052495,0.2639,4013.6719,1059.3517
265052534,0.2639,4042.9688,1067.0842
265052574,0.2639,4033.2031,1064.5067
265052613,0.2903,4033.2031,1170.9574
265052653,0.2111,4038.0859,852.6364
265052692,0.3695,4033.2031,1490.3094
265052731,0.2903,4033.2031,1170.9574
265052771,0.2639,4013.6719,1059.3517
265052810,0.3695,4038.0859,1492.1138
265052850,0.2903,4033.2031,1170.9574
265052890,0.2903,4033.2031,1170.9574
265052929,0.3959,3925.7813,1554.2313
265052968,0.2639,4033.2031,1064.5067
265053007,0.2375,4028.3203,956.8962
265053046,0.2111,4038.0859,852.6364
265053084,0.2111,4057.6172,856.7604
265053123,0.2903,4038.0859,1172.3750
265053163,0.2903,4038.0859,1172.3750
265053202,0.2903,4042.9688,1173.7927
265053242,0.2375,4042.9688,960.3758
265053280,0.2375,4038.0859,959.2159
265053319,0.2639,4028.3203,1063.2180
265053359,0.2903,4033.2031,1170.9574
265053398,0.3695,4028.3203,1488.5052
265053437,0.2375,3989.2578,947.6172
265053475,0.2375,4057.6172,963.8554
265053514,0.2903,4062.5000,1179.4631
265053554,0.2639,4033.2031,1064.5067
265053593,0.2639,4033.2031,1064.5067
265053633,0.3167,4038.0859,1278.9545
265053672,0.3167,4033.2031,1277.4081
265053712,0.3695,4042.9688,1493.9180
265053752,0.2903,4047.8516,1175.2103
265053791,0.2375,4038.0859,959.2159
265053830,0.2375,4042.9688,960.3758
265053868,0.2111,4047.8516,854.6984
265053906,0.2375,4028.3203,956.8962
265053944,0.3695,4038.0859,1492.1138
265053984,0.2639,4033.2031,1064.5067
265054024,0.3431,4033.2031,1383.8588
265054063,0.2639,4033.2031,1064.5067
265054103,0.2111,4038.0859,852.6364
265054141,0.2903,4047.8516,1175.2103
265054181,0.2639,4028.3203,1063.2180
265054221,0.2639,4033.2031,1064.5067
265054260,0.2375,4038.0859,959.2159
265054299,0.2639,4042.9688,1067.0842
265054338,0.2375,4038.0859,959.2159
265054376,0.3167,4038.0859,1278.9545
265054415,0.2639,4038.0859,1065.7954
265054455,0.3695,4042.9688,1493.9180
265054495,0.3695,4042.9688,1493.9180
265054534,0.2111,4042.9688,853.6674
265054573,0.3167,4028.3203,1275.8616
265054612,0.2639,4038.0859,1065.7954
265054652,0.2903,4042.9688,1173.7927
265054692,0.2639,4023.4375,1061.9292
265054731,0.2639,4033.2031,1064.5067
265054771,0.2111,4033.2031,851.6054
265054809,0.2639,4038.0859,1065.7954
265054849,0.2111,4038.0859,852.6364
265054887,0.2111,4042.9688,853.6674
265054925,0.2375,4033.2031,958.0560
265054964,0.2639,4038.0859,1065.7954
265055003,0.2639,4052.7344,1069.6617
265055043,0.2639,4038.0859,1065.7954
265055083,0.3167,4038.0859,1278.9545
265055122,0.2111,4018.5547,848.5124
265055161,0.3431,4042.9688,1387.2095
265055200,0.2375,4042.9688,960.3758
265055239,0.1848,4038.0859,746.0569
265055277,0.2111,4038.0859,852.6364
265055315,0.2375,4038.0859,959.2159
265055354,0.2639,4042.9688,1067.0842
265055393,0.2639,4023.4375,1061.9292
265055433,0.3431,4121.0938,1414.0155
265055472,0.2375,4042.9688,960.3758
265055511,0.2639,4018.5547,1060.6405
265055551,0.2375,4038.0859,959.2159
265055589,0.2375,4047.8516,961.5356
265055628,0.3959,4038.0859,1598.6932
265055667,0.2111,4042.9688,853.6674
265055706,0.2375,4042.9688,960.3758
265055744,0.2639,4038.0859,1065.7954
265055783,0.2639,4038.0859,1065.7954
265055823,0.2639,4042.9688,1067.0842
265055862,0.2639,4033.2031,1064.5067
265055902,0.2639,4038.0859,1065.7954
265055941,0.2111,4116.2109,869.1324
265055980,0.2375,4033.2031,958.0560
265056019,0.2639,4052.7344,1069.6617
265056058,0.2903,4038.0859,1172.3750
265056098,0.3167,4042.9688,1280.5010
265056137,0.2639,4038.0859,1065.7954
265056177,0.2375,4042.9688,960.3758
265056216,0.2639,4042.9688,1067.0842
265056254,0.2375,4096.6797,973.1344
265056293,0.2639,4082.0313,1077.3942
265056332,0.2375,4038.0859,959.2159
265056371,0.2639,4038.0859,1065.7954
265056410,0.2903,4038.0859,1172.3750
265056450,0.2903,4038.0859,1172.3750
265056490,0.2903,4033.2031,1170.9574
265056529,0.2375,4042.9688,960.3758
265056568,0.2639,4038.0859,1065.7954
265056607,0.2903,4033.2031,1170.9574
265056647,0.2111,4042.9688,853.6674
265056686,0.2375,4042.9688,960.3758
265056723,0.3959,4042.9688,1600.6263
265056763,0.2903,4047.8516,1175.2103
265056802,0.2903,4023.4375,1168.1222
265056842,0.3167,4033.2031,1277.4081
265056882,0.2639,4038.0859,1065.7954
265056921,0.2903,4042.9688,1173.7927
265056961,0.2903,4047.8516,1175.2103
265057000,0.2639,4042.9688,1067.0842
265057040,0.2375,3940.4297,936.0184
265057078,0.2111,4018.5547,848.5124
265057117,0.2903,3955.0781,1148.2754
265057157,0.2375,4042.9688,960.3758
265057195,0.2375,4042.9688,960.3758
265057233,0.2639,4038.0859,1065.7954
265057272,0.2375,4042.9688,960.3758
265057311,0.2111,4023.4375,849.5434
265057350,0.2375,4042.9688,960.3758
265057388,0.2375,4038.0859,959.2159
265057427,0.2375,4038.0859,959.2159
265057465,0.2111,4033.2031,851.6054
265057504,0.2375,4042.9688,960.3758
265057542,0.3959,4038.0859,1598.6932
265057582,0.3431,4028.3203,1382.1833
265057622,0.2111,4023.4375,849.5434
265057659,0.3167,4042.9688,1280.5010
265057699,0.2111,4042.9688,853.6674
265057737,0.1848,4042.9688,746.9590
265057776,0.2903,4038.0859,1172.3750
265057816,0.2639,4038.0859,1065.7954
265057855,0.2903,4038.0859,1172.3750
265057895,0.2111,4047.8516,854.6984
265057933,0.2639,4042.9688,1067.0842
265057973,0.2639,4033.2031,1064.5067
265058013,0.2903,4042.9688,1173.7927
265058052,0.2639,4042.9688,1067.0842
265058092,0.2639,4047.8516,1068.3729
265058130,0.3167,4042.9688,1280.5010
265058170,0.2375,4042.9688,960.3758
265058208,0.2375,4042.9688,960.3758
265058247,0.2375,4042.9688,960.3758
265058286,0.2639,4018.5547,1060.6405
265058325,0.2903,4038.0859,1172.3750
265058365,0.2639,4033.2031,1064.5067
265058404,0.2375,4033.2031,958.0560
265058443,0.3167,4038.0859,1278.9545
265058483,0.3959,4042.9688,1600.6263
265058522,0.2903,4028.3203,1169.5398
265058562,0.2903,4018.5547,1166.7046
265058600,0.2375,4038.0859,959.2159
265058639,2.7449,3754.8828,10306.8990
265058680,3.5103,3588.8672,12598.1660
265058720,3.6159,3442.3828,12447.3830
265058761,3.1408,3608.3984,11333.3890
265058801,2.5602,3710.9375,9500.6582
265058841,2.1379,3774.4141,8069.2446
265058881,1.9267,3779.2969,7281.6904
265058920,1.7420,3833.0078,6677.0093
265058960,1.7420,3818.3594,6651.4917
265058999,1.6364,3857.4219,6312.2930
265059039,1.6364,3837.8906,6280.3320
265059079,1.7156,3852.5391,6609.3496
265059118,1.8476,3823.2422,7063.6333
265059158,1.9531,3867.1875,7553.1006
265059196,2.0587,3818.3594,7860.8540
265059236,2.1379,3745.1172,8006.6113
265059276,2.2435,3754.8828,8423.9082
265059315,2.1115,3769.5313,7959.3140
265059355,2.0323,3808.5938,7740.2271
265059394,1.9003,3808.5938,7237.6147
265059434,1.8212,3813.4766,6944.9399
265059473,1.8212,3837.8906,6989.4019
265059513,1.7948,3808.5938,6835.5254
265059553,1.8212,3828.1250,6971.6172
265059592,1.9003,3808.5938,7237.6147
265059632,1.8476,3808.5938,7036.5698
265059671,1.8739,3837.8906,7191.9932
265059710,1.9267,3779.2969,7281.6904
265059750,2.0059,3808.5938,7639.7041
265059789,2.0323,3789.0625,7700.5332
265059829,1.9531,3803.7109,7429.1230
265059868,1.9267,3798.8281,7319.3218
265059908,1.9267,3779.2969,7281.6904
265059948,1.8212,3837.8906,6989.4019
265059987,1.9003,3813.4766,7246.8936
265060027,1.7948,3813.4766,6844.2886
265060066,1.9003,3793.9453,7209.7778
265060106,2.0059,3769.5313,7561.3481
265060146,1.9531,3813.4766,7448.1963
265060185,2.0059,3823.2422,7669.0874
265060225,1.9795,3803.7109,7529.5161
265060263,1.8739,3833.0078,7182.8433
265060303,1.7948,3793.9453,6809.2349
265060343,1.7684,3833.0078,6778.1758
265060382,1.7948,3818.3594,6853.0522
265060422,1.9267,3808.5938,7338.1372
265060461,1.9003,3828.1250,7274.7305
265060501,1.9003,3789.0625,7200.4985
265060541,1.9795,3789.0625,7500.5195
265060580,1.8212,3818.3594,6953.8325
265060620,1.9531,3798.8281,7419.5859
265060659,1.8476,3833.0078,7081.6758
265060699,1.7420,3808.5938,6634.4805
265060738,1.7948,3833.0078,6879.3428
265060777,1.7684,3837.8906,6786.8105
265060817,1.7948,3813.4766,6844.2886
265060856,1.7948,3823.2422,6861.8159
265060896,1.8739,3803.7109,7127.9424
265060935,1.8739,3837.8906,7191.9932
265060975,1.8212,3823.2422,6962.7246
265061015,1.9003,3798.8281,7219.0566
265061054,1.7948,3833.0078,6879.3428
265061094,1.9531,3798.8281,7419.5859
265061133,1.7684,3798.8281,6717.7334
265061173,1.9003,3847.6563,7311.8467
265061213,1.7684,3813.4766,6743.6372
265061252,1.8476,3828.1250,7072.6548
265061292,1.8476,3813.4766,7045.5908
265061330,1.8476,3813.4766,7045.5908
265061370,1.8476,3847.6563,7108.7397
265061410,1.7684,3803.7109,6726.3682
265061449,1.9267,3789.0625,7300.5059
265061489,1.8476,3818.3594,7054.6123
265061528,1.7684,3793.9453,6709.0986
265061568,1.7420,3852.5391,6711.0322
265061608,1.8476,3813.4766,7045.5908
265061647,1.9267,3823.2422,7366.3608
265061687,1.7420,3837.8906,6685.5146
265061726,1.8212,3798.8281,6918.2627
265061766,1.7684,3833.0078,6778.1758
265061806,1.7948,3828.1250,6870.5791
265061844,1.7684,3808.5938,6735.0024
265061884,1.9003,3828.1250,7274.7305
265061923,1.8476,3803.7109,7027.5483
265061963,1.8739,3940.4297,7384.1455
265062002,1.8212,3823.2422,6962.7246
265062042,1.7156,3803.7109,6525.5806
265062082,1.7420,3852.5391,6711.0322
265062121,1.7420,3808.5938,6634.4805
265062161,1.7156,3842.7734,6592.5957
265062200,1.7156,3823.2422,6559.0884
265062240,1.7684,3818.3594,6752.2720
265062280,1.7948,3862.3047,6931.9238
265062319,1.7420,3808.5938,6634.4805
265062359,1.7948,3823.2422,6861.8159
265062397,1.8739,3828.1250,7173.6929
265062437,1.8212,3808.5938,6936.0474
265062477,1.8212,3803.7109,6927.1553
265062516,1.7420,3813.4766,6642.9863
265062556,1.8476,3823.2422,7063.6333
265062595,1.6100,3823.2422,6155.4521
265062635,1.6100,3823.2422,6155.4521
265062675,1.6100,3847.6563,6194.7593
265062714,1.6364,3828.1250,6264.3516
265062754,1.6628,3823.2422,6357.2705
265062793,1.7420,3916.0156,6821.6069
265062833,1.7684,3803.7109,6726.3682
265062873,1.7684,3842.7734,6795.4448
265062912,1.7420,3808.5938,6634.4805
265062951,1.7156,3823.2422,6559.0884
265062990,1.6892,3862.3047,6524.1636
265063030,1.7420,3813.4766,6642.9863
265063070,1.7684,3789.0625,6700.4644
265063109,1.7420,3833.0078,6677.0093
265063149,1.5836,3828.1250,6062.2754
265063188,1.7156,3857.4219,6617.7266
265063228,1.6892,3798.8281,6416.9395
265063267,1.6364,3842.7734,6288.3223
265063307,1.6628,3828.1250,6365.3896
265063347,1.6628,3828.1250,6365.3896
265063386,1.7156,3847.6563,6600.9727
265063426,1.7156,3808.5938,6533.9575
265063464,1.7684,3842.7734,6795.4448
265063504,1.7420,3818.3594,6651.4917
265063544,1.6628,3828.1250,6365.3896
265063583,1.6628,3857.4219,6414.1045
265063623,1.6628,3813.4766,6341.0322
265063662,1.6628,3842.7734,6389.7471
265063702,1.6364,3823.2422,6256.3613
265063742,1.7420,3818.3594,6651.4917
265063781,1.8476,3837.8906,7090.6973
265063821,1.9531,3789.0625,7400.5127
265063860,1.8476,3798.8281,7018.5273
265063900,1.6364,3833.0078,6272.3418
265063940,1.5572,3852.5391,5999.2559
265063979,1.4780,3867.1875,5715.8599
265064018,1.5308,3857.4219,5905.0483
265064057,1.4516,3862.3047,5606.7026
265064097,1.6892,3828.1250,6466.4272
265064137,1.8212,3808.5938,6936.0474
265064176,1.9267,3823.2422,7366.3608
265064216,2.1115,3750.0000,7918.0742
265064255,2.1907,3715.8203,8140.1255
265064295,2.0059,3745.1172,7512.3760
265064335,2.0587,3793.9453,7810.5928
265064374,1.6628,3857.4219,6414.1045
265064414,1.4780,3852.5391,5694.2090
265064453,1.3989,3891.6016,5443.8047
265064493,1.5044,3847.6563,5788.5454
265064531,1.6100,3857.4219,6210.4819
265064571,1.6892,3872.0703,6540.6592
265064611,1.7948,3784.1797,6791.7080
265064650,2.0059,3803.7109,7629.9097
265064690,2.0851,3764.6484,7849.6421
265064729,2.0587,3793.9453,7810.5928
265064769,2.0059,3740.2344,7502.5811
265064809,1.7684,3808.5938,6735.0024
265064848,1.7420,3847.6563,6702.5264
265064888,1.7156,3803.7109,6525.5806
265064927,1.7684,3842.7734,6795.4448
265064967,1.7948,3813.4766,6844.2886
265065007,1.8476,3803.7109,7027.5483
265065046,1.9003,3813.4766,7246.8936
265065085,1.9267,3847.6563,7413.4004
265065124,1.8476,3764.6484,6955.3784
265065164,1.9003,3793.9453,7209.7778
265065204,1.7948,3833.0078,6879.3428
265065243,1.7684,3798.8281,6717.7334
265065283,1.8739,3793.9453,7109.6421
265065322,1.8476,3828.1250,7072.6548
265065362,1.9795,3784.1797,7490.8540
265065402,1.9003,3808.5938,7237.6147
265065441,1.8739,3803.7109,7127.9424
265065481,1.8739,3803.7109,7127.9424
265065520,1.8212,3823.2422,6962.7246
265065560,1.8476,3798.8281,7018.5273
265065600,1.7948,3798.8281,6817.9985
265065638,1.8476,3798.8281,7018.5273
265065678,2.0059,3803.7109,7629.9097
265065717,1.9267,3798.8281,7319.3218
265065757,1.9795,3774.4141,7471.5225
265065796,2.0059,3808.5938,7639.7041
265065836,2.0851,3779.2969,7880.1855
265065876,2.0587,3803.7109,7830.6973
265065915,2.1115,3774.4141,7969.6240
265065955,2.0323,3784.1797,7690.6099
265065994,2.0059,3798.8281,7620.1152
265066034,2.0323,3764.6484,7650.9165
265066074,2.0323,3803.7109,7730.3037
265066113,2.0587,3774.4141,7770.3838
265066152,1.9795,3803.7109,7529.5161
265066191,1.9795,3789.0625,7500.5195
265066231,2.0587,3774.4141,7770.3838
265066271,2.0059,3808.5938,7639.7041
265066310,2.0059,3759.7656,7541.7593
265066350,2.0323,3808.5938,7740.2271
265066389,1.9531,3808.5938,7438.6597
265066429,1.9795,3803.7109,7529.5161
265066469,1.9531,3798.8281,7419.5859
265066508,1.9003,3784.1797,7191.2197
265066548,1.9795,3789.0625,7500.5195
265066587,2.0851,3754.8828,7829.2798
265066627,2.2698,3774.4141,8567.3457
265066667,2.1907,3750.0000,8215.0020
265066705,2.0587,3784.1797,7790.4883
265066745,2.0587,3769.5313,7760.3315
265066784,2.1115,3774.4141,7969.6240
265066824,2.0323,3789.0625,7700.5332
265066864,2.1643,3691.4063,7989.2134
265066903,2.0587,3798.8281,7820.6450
265066943,2.0059,3764.6484,7551.5537
265066982,2.1115,3803.7109,8031.4839
265067022,2.1643,3764.6484,8147.7300
265067061,2.0851,3745.1172,7808.9175
265067101,2.1115,3759.7656,7938.6943
265067141,2.1907,3759.7656,8236.3955
265067180,2.2435,3769.5313,8456.7715
265067219,2.0851,3754.8828,7829.2798
265067258,2.1379,3774.4141,8069.2446
265067298,2.1643,3740.2344,8094.8911
265067338,2.1643,3793.9453,8211.1357
265067377,2.1115,3764.6484,7949.0039
