03,1875437632,.8962
275437516,0.2375,4028.3203,956.8962
275437555,0.2375,4033.2031,958.0560
275437593,0.2375,4033.2031,958.0560
275437632,08962
275437516,0.2375,4028.3203,956.8962
275437555,0.2375,4033.2031,958.0560
275437593,0.2375,4033.2031,958.0560
275437632,0.29?b??I?31,1170.9574
275437671,0.2111,4028.3203,850.5744
275437710,0.2639,4033.2031,1064.5067
275437750,0.2639,4033.2031,1064.5067
275437789,0.2639,4028.3203,1063.2180
275437829,0.2375,4028.3203,956.8962
275437867,0.2639,4028.3203,1063.2180
275437906,0.2375,4023.4375,955.7363
275437945,0.2375,4023.4375,955.7363
275437983,0.2111,4028.3203,850.5744
275438022,0.2375,4028.3203,956.8962
275438060,0.2111,4028.3203,850.5744
275438099,0.2639,4018.5547,1060.6405
275438138,0.2639,4028.3203,1063.2180
275438178,0.2639,4033.2031,1064.5067
275438218,0.2375,4038.0859,959.2159
275438256,0.3431,4023.4375,1380.5081
275438296,0.2639,4028.3203,1063.2180
275438334,0.2639,4028.3203,1063.2180
275438374,0.1848,4023.4375,743.3505
275438413,0.2639,4038.0859,1065.7954
275438452,0.2639,4023.4375,1061.9292
275438492,0.2111,4028.3203,850.5744
275438530,0.3431,4028.3203,1382.1833
275438570,0.2375,4028.3203,956.8962
275438609,0.2639,4013.6719,1059.3517
275438648,0.2375,4023.4375,955.7363
275438687,0.1848,4028.3203,744.2526
275438725,0.2375,4033.2031,958.0560
275438764,0.2639,4038.0859,1065.7954
275438802,0.2903,4023.4375,1168.1222
275438842,0.2639,4062.5000,1072.2393
275438882,0.2639,4028.3203,1063.2180
275438921,0.2375,4023.4375,955.7363
275438960,0.2639,4033.2031,1064.5067
275438999,0.2375,4042.9688,960.3758
275439038,0.3167,4028.3203,1275.8616
275439078,0.2639,4028.3203,1063.2180
275439117,0.2903,4033.2031,1170.9574
275439157,0.3431,4033.2031,1383.8588
275439196,0.2375,4013.6719,953.4166
275439235,0.2903,4052.7344,1176.6279
275439275,0.2375,4018.5547,954.5764
275439312,0.3431,4028.3203,1382.1833
275439352,0.3695,4033.2031,1490.3094
275439391,0.2375,4028.3203,956.8962
