4.6797,1513.764696.6797,1730.0167
36482179,0.4223,4101.5625,1732.0787
36482217,0.3695,4106.4453,1517.3732
36482255,0.3695,4096.6797,1513.7646
36???b0.487,4101.5625,1840.3337
36482332,0.4223,4101.5625,1732.0787
36482371,0.4223,4101.5625,1732.0787
36482410,0.4223,4101.5625,1732.0787
36482448,0.4487,4096.6797,1838.1428
36482487,0.3695,4111.3281,1519.1775
36482525,0.4487,4101.5625,1840.3337
36482564,0.3695,4101.5625,1515.5690
36482601,0.3959,4101.5625,1623.8239
36482640,0.3959,4096.6797,1621.8906
36482679,0.4223,4106.4453,1734.1407
36482717,0.4487,4155.2734,1864.4333
36482756,0.4223,4091.7969,1727.9547
36482794,0.3695,4101.5625,1515.5690
36482833,0.3959,4101.5625,1623.8239
36482871,0.3959,4106.4453,1625.7570
36482910,0.4223,4101.5625,1732.0787
36482949,0.4223,4096.6797,1730.0167
36482987,0.4223,4101.5625,1732.0787
36483025,0.3959,4106.4453,1625.7570
36483063,0.3959,4101.5625,1623.8239
36483102,0.3959,4106.4453,1625.7570
36483140,0.3695,4101.5625,1515.5690
36483179,0.3959,4091.7969,1619.9575
36483218,0.4223,4096.6797,1730.0167
36483256,0.4223,4101.5625,1732.0787
36483295,0.3959,4096.6797,1621.8906
36483333,0.3695,4101.5625,1515.5690
36483372,0.3959,4101.5625,1623.8239
36483410,0.3695,4096.6797,1513.7646
36483448,0.3431,4101.5625,1407.3140
36483487,0.4223,4096.6797,1730.0167
36483525,0.3959,4096.6797,1621.8906
36483564,0.4487,4101.5625,1840.3337
36483602,0.3959,4101.5625,1623.8239
36483641,0.3959,4101.5625,1623.8239
36483680,0.3959,4096.6797,1621.8906
36483718,0.4487,4096.6797,1838.1428
36483757,0.5543,4106.4453,2276.0598
36483794,0.4487,4077.1484,1829.3794
36483833,0.4223,4072.2656,1719.7068
36483871,0.4487,4096.6797,1838.1428
36483910,0.4487,4091.7969,1835.9520
36483949,0.4223,4101.5625,1732.0787
36483987,0.3959,4096.6797,1621.8906
36484026,0.3959,4101.5625,1623.8239
36484064,0.4223,4086.9141,1725.8928
36484103,0.5015,4096.6797,2054.3948
36484142,0.3695,4101.5625,1515.5690
36484179,0.4223,4106.4453,1734.1407
36484218,0.4223,4101.5625,1732.0787
36484256,0.3959,4101.5625,1623.8239
36484295,0.4223,4101.5625,1732.0787
36484333,0.4223,4091.7969,1727.9547
36484372,0.4223,4101.5625,1732.0787
36484411,0.3695,4091.7969,1511.9604
36484449,0.3959,4096.6797,1621.8906
36484488,0.3959,4077.1484,1614.1582
36484526,0.4487,4096.6797,1838.1428
36484564,0.3959,4091.7969,1619.9575
36484602,0.4751,4096.6797,1946.2688
36484641,0.4487,4101.5625,1840.3337
36484680,0.4223,4116.2109,1738.2648
36484718,0.4223,4101.5625,1732.0787
36484757,0.4487,4106.4453,1842.5247
36484795,0.4751,4091.7969,1943.9491
