,0.395b???r&&3,1594.8269
269142619,0.4223,4033.2031,1703.2108
269142658,0.4487,4033.2031,1809.6615
269142697,0.4487,4018.5547,1803.0889
269142737,0.3959,4023.4375,1592.8938
269142776,0.3959,3945.3125,1561.9639
269142816,0.4223,4033.2031,1703.2108
269142855,0.5015,4033.2031,2022.5627
269142895,0.3959,4033.2031,1596.7600
269142935,0.5543,4033.2031,2235.4641
269142974,0.4751,4033.2031,1916.1121
269143014,0.6071,4028.3203,2445.4014
269143053,0.5543,4018.5547,2227.3450
269143093,0.4487,4028.3203,1807.4706
269143133,0.4487,4023.4375,1805.2798
269143172,0.4751,4033.2031,1916.1121
269143212,0.5015,4028.3203,2020.1141
269143250,0.4487,4018.5547,1803.0889
269143290,0.5543,4028.3203,2232.7578
269143329,0.6071,4028.3203,2445.4014
269143369,0.4223,4033.2031,1703.2108
269143409,0.4487,4023.4375,1805.2798
269143448,0.4487,4018.5547,1803.0889
269143488,0.5543,4028.3203,2232.7578
269143527,0.4751,4023.4375,1911.4727
269143567,0.6071,4028.3203,2445.4014
269143607,0.4487,4028.3203,1807.4706
269143646,0.4751,4003.9063,1902.1936
269143686,0.4751,4033.2031,1916.1121
269143725,0.4751,4033.2031,1916.1121
269143764,0.4487,3940.4297,1768.0349
269143804,0.4487,4033.2031,1809.6615
269143843,0.4751,4023.4375,1911.4727
269143883,0.4751,4028.3203,1913.7924
269143922,0.5279,4028.3203,2126.4360
269143962,0.4223,4038.0859,1705.2728
269144002,0.4223,4047.8516,1709.3967
269144041,0.5015,4042.9688,2027.4600
269144081,0.4487,4033.2031,1809.6615
269144120,0.4487,4042.9688,1814.0432
269144160,0.4751,4038.0859,1918.4319
269144200,0.6071,4023.4375,2442.4373
269144239,0.5279,4028.3203,2126.4360
269144279,0.4751,4028.3203,1913.7924
269144317,0.5543,4033.2031,2235.4641
269144357,0.5015,4023.4375,2017.6654
269144397,0.4751,4028.3203,1913.7924
269144436,0.4487,4042.9688,1814.0432
269144476,0.4751,4023.4375,1911.4727
269144515,0.4487,4018.5547,1803.0889
269144555,0.4487,4023.4375,1805.2798
269144594,0.4487,4033.2031,1809.6615
269144634,0.4751,4018.5547,1909.1528
269144674,0.4487,4033.2031,1809.6615
269144713,0.4487,4028.3203,1807.4706
269144753,0.4751,4033.2031,1916.1121
269144792,0.4487,4028.3203,1807.4706
269144832,0.4751,4028.3203,1913.7924
269144871,0.4751,4033.2031,1916.1121
269144910,0.5015,4028.3203,2020.1141
269144950,0.5015,4028.3203,2020.1141
269144989,0.5015,4018.5547,2015.2168
269145029,0.5015,4028.3203,2020.1141
269145069,0.4751,4057.6172,1927.7108
269145108,0.6071,4033.2031,2448.3655
269145148,0.5543,4033.2031,2235.4641
269145187,0.4751,4013.6719,1906.8331
269145227,0.4223,4028.3203,1701.1488
269145267,0.4751,4018.5547,1909.1528
269145306,0.4751,4038.0859,1918.4319
269145346,0.4751,4033.2031,1916.1121
269145384,0.5279,4028.3203,2126.4360
269145424,0.4751,4028.3203,1913.7924
269145464,0.4487,4028.3203,1807.4706
269145503,0.4751,4033.2031,1916.1121
269145543,0.4751,4033.2031,1916.1121
269145582,0.4223,4013.6719,1694.9628
269145622,0.5015,4033.2031,2022.5627
269145662,0.4487,4033.2031,1809.6615
269145701,0.4751,4033.2031,1916.1121
269145741,0.4223,4033.2031,1703.2108
269145780,0.4487,4028.3203,1807.4706
269145820,0.4751,4028.3203,1913.7924
269145859,0.4223,4033.2031,1703.2108
269145899,0.5279,4028.3203,2126.4360
269145938,0.4751,4028.3203,1913.7924
269145977,0.4751,4033.2031,1916.1121
269146017,0.4487,4033.2031,1809.6615
269146056,0.5279,4042.9688,2134.1685
269146096,0.4487,4038.0859,1811.8524
269146136,0.4223,4033.2031,1703.2108
269146175,0.4751,4033.2031,1916.1121
269146215,0.5015,4028.3203,2020.1141
269146254,0.4751,4028.3203,1913.7924
269146294,0.4751,4008.7891,1904.5133
269146334,0.5015,4023.4375,2017.6654
269146373,0.4751,4033.2031,1916.1121
269146413,0.5015,4033.2031,2022.5627
269146451,0.5543,4038.0859,2238.1704
269146491,0.5807,4028.3203,2339.0796
269146531,0.5807,4033.2031,2341.9148
269146570,0.4751,4023.4375,1911.4727
269146610,0.5015,4028.3203,2020.1141
269146649,0.5543,4038.0859,2238.1704
269146689,0.4751,4033.2031,1916.1121
269146729,0.4487,4033.2031,1809.6615
269146768,0.4223,4038.0859,1705.2728
269146808,0.4223,4033.2031,1703.2108
269146847,0.5543,4033.2031,2235.4641
269146887,0.5015,4023.4375,2017.6654
269146927,0.4223,4042.9688,1707.3348
269146966,0.4751,4023.4375,1911.4727
269147005,0.4751,4028.3203,1913.7924
269147044,0.5015,4018.5547,2015.2168
269147084,0.4751,4018.5547,1909.1528
269147123,0.4487,4033.2031,1809.6615
