4,4125.9766,653.3958
438749864,0.2111,4130.8594,872.2254
438749902,0.1848,4125.9766,762.2951
438749941,0.1320,4125.9766,544.4965
!????97,0.1848,4125.9766,762.2951
438750018,0.2111,4125.9766,871.1944
438750057,0.1848,4130.8594,763.1972
438750095,0.1056,4125.9766,435.5972
438750134,0.1584,4125.9766,653.3958
438750172,0.1584,4125.9766,653.3958
438750211,0.1320,4130.8594,545.1409
438750248,0.1848,4116.2109,760.4908
438750287,0.1584,4125.9766,653.3958
438750326,0.1584,4125.9766,653.3958
438750364,0.1056,4130.8594,436.1127
438750403,0.1320,4125.9766,544.4965
438750441,0.1584,4125.9766,653.3958
438750480,0.1584,4101.5625,649.5295
438750518,0.1584,4135.7422,654.9423
438750557,0.1320,4125.9766,544.4965
438750596,0.2111,4125.9766,871.1944
438750633,0.1584,4125.9766,653.3958
438750672,0.1848,4125.9766,762.2951
438750710,0.1848,4130.8594,763.1972
438750749,0.1584,4116.2109,651.8492
438750788,0.2111,4116.2109,869.1324
438750826,0.1584,4125.9766,653.3958
438750865,0.1848,4125.9766,762.2951
438750903,0.1584,4130.8594,654.1690
438750942,0.1584,4125.9766,653.3958
438750980,0.1848,4125.9766,762.2951
438751019,0.2111,4121.0938,870.1634
438751057,0.1584,4125.9766,653.3958
438751095,0.1584,4125.9766,653.3958
438751134,0.1584,4111.3281,651.0760
438751172,0.1584,4101.5625,649.5295
438751211,0.2111,4116.2109,869.1324
438751249,0.1848,4135.7422,764.0994
438751288,0.1320,4116.2109,543.2077
438751327,0.1584,4121.0938,652.6225
438751365,0.1848,4121.0938,761.3929
438751404,0.1848,4106.4453,758.6866
438751441,0.1320,4111.3281,542.5634
438751480,0.1584,4121.0938,652.6225
438751519,0.1848,4130.8594,763.1972
438751557,0.2111,4096.6797,865.0084
438751596,0.1584,4125.9766,653.3958
438751634,0.2111,4130.8594,872.2254
438751673,0.1848,4125.9766,762.2951
438751711,0.1584,4125.9766,653.3958
438751750,0.1848,4130.8594,763.1972
438751789,0.2111,4125.9766,871.1944
438751826,0.1584,4125.9766,653.3958
438751865,0.1848,4116.2109,760.4908
438751903,0.2639,4125.9766,1088.9929
438751943,0.1320,4116.2109,543.2077
438751981,0.1584,4130.8594,654.1690
438752020,0.1584,4125.9766,653.3958
438752059,0.1584,4111.3281,651.0760
438752097,0.1848,4125.9766,762.2951
438752136,0.1848,4125.9766,762.2951
438752174,0.2903,4116.2109,1195.0570
438752214,0.2111,4106.4453,867.0704
438752252,0.1584,4130.8594,654.1690
438752290,0.1584,4130.8594,654.1690
438752329,0.2375,4121.0938,978.9338
438752367,0.1584,4106.4453,650.3027
438752406,0.1584,4125.9766,653.3958
438752444,0.1584,4125.9766,653.3958
438752483,0.1584,4111.3281,651.0760
438752522,0.2111,4130.8594,872.2254
438752560,0.1848,4125.9766,762.2951
438752599,0.1320,4121.0938,543.8521
438752636,0.1848,4072.2656,752.3717
438752675,0.1584,4125.9766,653.3958
438752713,0.2639,4125.9766,1088.9929
438752753,0.2111,4121.0938,870.1634
438752792,0.1584,4130.8594,654.1690
438752830,0.1848,4121.0938,761.3929
438752869,0.2375,4121.0938,978.9338
438752907,0.2111,4121.0938,870.1634
438752946,0.2111,4121.0938,870.1634
438752985,0.1848,4130.8594,763.1972
438753022,0.2639,4125.9766,1088.9929
438753062,0.1584,4116.2109,651.8492
438753100,0.2903,4121.0938,1196.4746
438753140,0.1848,4121.0938,761.3929
438753178,0.2639,4121.0938,1087.7042
438753218,0.1320,4130.8594,545.1409
438753257,0.1848,4130.8594,763.1972
438753295,0.1848,4101.5625,757.7845
438753334,0.2903,4116.2109,1195.0570
438753373,0.3167,4121.0938,1305.2450
438753413,0.2903,4121.0938,1196.4746
438753453,0.1584,4106.4453,650.3027
438753490,0.2111,4116.2109,869.1324
438753529,0.1584,4121.0938,652.6225
438753567,0.1848,4125.9766,762.2951
438753606,0.1848,4091.7969,755.9802
438753644,0.2903,4121.0938,1196.4746
438753684,0.2111,4111.3281,868.1014
438753723,0.2111,4121.0938,870.1634
438753761,0.1584,4106.4453,650.3027
438753800,0.3431,4121.0938,1414.0155
438753839,0.1848,4096.6797,756.8823
