
101784??	r?84,4003.9063,739.7420
101784769,0.1848,4013.6719,741.5463
101784808,0.1848,4008.7891,740.6441
101784847,0.1848,4013.6719,741.5463
101784885,0.1848,4008.7891,740.6441
101784924,0.1584,4003.9063,634.0645
101784962,0.1584,4013.6719,635.6110
101785000,0.2111,4003.9063,845.4194
101785038,0.1584,4008.7891,634.8378
101785077,0.1848,4013.6719,741.5463
101785116,0.1848,4013.6719,741.5463
101785154,0.1584,4018.5547,636.3843
101785193,0.2375,4013.6719,953.4166
101785231,0.1584,4018.5547,636.3843
101785270,0.2111,4013.6719,847.4814
101785308,0.2111,4013.6719,847.4814
101785347,0.2111,4013.6719,847.4814
101785385,0.1848,4013.6719,741.5463
101785423,0.1848,4013.6719,741.5463
101785462,0.1848,4013.6719,741.5463
101785500,0.2111,4008.7891,846.4504
101785539,0.1320,4013.6719,529.6758
101785578,0.1320,4013.6719,529.6758
101785616,0.2111,4018.5547,848.5124
101785655,0.2375,4008.7891,952.2567
101785693,0.1848,4013.6719,741.5463
101785732,0.1848,4013.6719,741.5463
101785769,0.1584,4013.6719,635.6110
101785808,0.1848,4008.7891,740.6441
101785847,0.1848,4018.5547,742.4484
101785885,0.1320,4018.5547,530.3203
101785924,0.2111,4013.6719,847.4814
101785962,0.2111,4008.7891,846.4504
101786001,0.1584,4018.5547,636.3843
101786039,0.2375,4008.7891,952.2567
101786078,0.1848,4008.7891,740.6441
101786117,0.2111,4013.6719,847.4814
101786155,0.2111,4008.7891,846.4504
101786193,0.1584,4003.9063,634.0645
101786231,0.2375,4013.6719,953.4166
101786270,0.1584,4013.6719,635.6110
101786309,0.1584,4008.7891,634.8378
101786347,0.2375,4008.7891,952.2567
101786386,0.1848,3994.1406,737.9377
101786424,0.1584,3999.0234,633.2913
101786463,0.1320,3999.0234,527.7427
101786501,0.2639,4013.6719,1059.3517
101786541,0.2639,4008.7891,1058.0630
101786580,0.2111,4008.7891,846.4504
101786618,0.2375,4018.5547,954.5764
101786657,0.2111,4013.6719,847.4814
101786695,0.2111,4008.7891,846.4504
101786734,0.1848,3994.1406,737.9377
101786772,0.2111,4013.6719,847.4814
101786811,0.1848,4018.5547,742.4484
101786850,0.2639,4018.5547,1060.6405
101786889,0.1584,4013.6719,635.6110
101786928,0.2903,4018.5547,1166.7046
101786967,0.2375,4013.6719,953.4166
101787005,0.1848,4008.7891,740.6441
101787044,0.2375,4013.6719,953.4166
101787082,0.2111,4003.9063,845.4194
101787121,0.2111,4008.7891,846.4504
101787159,0.1848,4018.5547,742.4484
101787198,0.1848,4003.9063,739.7420
101787236,0.1584,4018.5547,636.3843
101787275,0.1584,4018.5547,636.3843
101787314,0.1584,4018.5547,636.3843
101787352,0.1848,3994.1406,737.9377
101787390,0.1848,4018.5547,742.4484
101787428,0.2639,4008.7891,1058.0630
101787468,0.1584,4008.7891,634.8378
101787507,0.2111,4018.5547,848.5124
101787545,0.1848,4013.6719,741.5463
101787584,0.3431,4008.7891,1375.4819
101787623,0.2375,4008.7891,952.2567
101787662,0.1848,4018.5547,742.4484
101787700,0.2111,3989.2578,842.3264
101787739,0.2375,4023.4375,955.7363
101787778,0.1848,3994.1406,737.9377
101787815,0.3167,4013.6719,1271.2220
101787855,0.1320,4013.6719,529.6758
101787893,0.3695,4008.7891,1481.2882
101787933,0.2111,3999.0234,844.3884
101787971,0.1848,4018.5547,742.4484
101788010,0.3695,4013.6719,1483.0925
101788050,0.1848,4013.6719,741.5463
101788088,0.3431,4013.6719,1377.1572
101788128,0.1584,3999.0234,633.2913
101788166,0.1584,4003.9063,634.0645
101788205,0.1848,4013.6719,741.5463
101788243,0.1584,4013.6719,635.6110
101788281,0.1848,4013.6719,741.5463
101788320,0.2375,4018.5547,954.5764
101788358,0.1584,4013.6719,635.6110
101788397,0.2375,4013.6719,953.4166
101788435,0.1848,4028.3203,744.2526
101788474,0.1848,4018.5547,742.4484
101788513,0.2111,4023.4375,849.5434
101788551,0.3431,4008.7891,1375.4819
101788591,0.3167,4013.6719,1271.2220
101788630,0.1848,4013.6719,741.5463
101788668,0.2375,4003.9063,951.0968
101788707,0.1848,4018.5547,742.4484
101788745,0.1848,4013.6719,741.5463
101788784,0.1320,3994.1406,527.0984
101788822,0.2375,4013.6719,953.4166
101788861,0.2639,4008.7891,1058.0630
101788900,0.2375,4018.5547,954.5764
101788939,0.2111,4013.6719,847.4814
