0.1848,4111.3281,759.5887
100271253,0.1584,4106.4453,650.3027
100271292,0.1848,410271176,0.2375,4106.4453,975.4542
100271215,0.1848,4111.3281,759.5887
100271253,0.1584,4106.4453,650.3027
100271292,0.1848,410271176,0.2375,4106.4453,975.4542
100271215,0.1848,4111.3281,759.5887
100271253,0.1584,4106.4453,650.3027
100271292,0.1848,4101.62,75r???j100271330,0.1848,4111.3281,759.5887
100271369,0.1584,4111.3281,651.0760
100271408,0.1848,4121.0938,761.3929
100271446,0.2111,4111.3281,868.1014
100271484,0.3695,4111.3281,1519.1775
100271523,0.1848,4101.5625,757.7845
100271562,0.1584,4091.7969,647.9830
100271600,0.2111,4091.7969,863.9774
100271639,0.3167,4111.3281,1302.1520
100271679,0.1848,4106.4453,758.6866
100271717,0.2375,4106.4453,975.4542
100271756,0.1848,4106.4453,758.6866
100271794,0.1848,4106.4453,758.6866
100271833,0.1848,4106.4453,758.6866
100271872,0.2111,4111.3281,868.1014
100271909,0.1848,4111.3281,759.5887
100271948,0.2375,4106.4453,975.4542
100271986,0.1848,4106.4453,758.6866
100272025,0.2111,4106.4453,867.0704
100272063,0.2375,4106.4453,975.4542
100272102,0.1848,4116.2109,760.4908
100272141,0.1320,4111.3281,542.5634
100272179,0.1848,4101.5625,757.7845
100272218,0.2111,4101.5625,866.0394
100272256,0.1848,4106.4453,758.6866
100272294,0.2375,4101.5625,974.2943
100272332,0.2111,4111.3281,868.1014
100272371,0.1584,4111.3281,651.0760
100272410,0.1848,4101.5625,757.7845
100272448,0.1584,4111.3281,651.0760
100272487,0.1584,4111.3281,651.0760
100272525,0.1848,4106.4453,758.6866
100272564,0.2111,4111.3281,868.1014
100272603,0.2111,4106.4453,867.0704
100272641,0.2111,4106.4453,867.0704
100272679,0.1584,4106.4453,650.3027
100272717,0.2111,4111.3281,868.1014
100272756,0.1584,4101.5625,649.5295
100272794,0.1320,4111.3281,542.5634
100272833,0.2111,4106.4453,867.0704
100272872,0.1584,4116.2109,651.8492
100272910,0.1848,4111.3281,759.5887
100272949,0.1848,4096.6797,756.8823
100272987,0.2375,4101.5625,974.2943
100273026,0.1848,4091.7969,755.9802
100273063,0.1848,4106.4453,758.6866
100273102,0.2639,4106.4453,1083.8379
100273142,0.1848,4101.5625,757.7845
100273180,0.1848,4096.6797,756.8823
100273219,0.2111,4082.0313,861.9154
100273257,0.1584,4111.3281,651.0760
100273296,0.2111,4106.4453,867.0704
100273335,0.2375,4111.3281,976.6140
100273373,0.1848,4106.4453,758.6866
100273412,0.2903,4106.4453,1192.2218
100273451,0.1848,4106.4453,758.6866
100273489,0.1848,4106.4453,758.6866
100273527,0.2111,4106.4453,867.0704
100273566,0.2111,4111.3281,868.1014
100273605,0.2111,4106.4453,867.0704
100273643,0.2375,4111.3281,976.6140
100273682,0.1584,4101.5625,649.5295
100273720,0.2111,4106.4453,867.0704
100273759,0.2111,4111.3281,868.1014
100273797,0.1584,4106.4453,650.3027
100273836,0.1320,4106.4453,541.9189
100273874,0.1848,4111.3281,759.5887
100273912,0.2375,4101.5625,974.2943
100273951,0.3167,4101.5625,1299.0590
100273990,0.2903,4106.4453,1192.2218
100274030,0.2639,4106.4453,1083.8379
100274070,0.1584,4111.3281,651.0760
100274108,0.2375,4106.4453,975.4542
100274147,0.1584,4091.7969,647.9830
100274185,0.2111,4086.9141,862.9464
100274224,0.1848,4106.4453,758.6866
100274262,0.1584,4101.5625,649.5295
100274300,0.1848,4091.7969,755.9802
100274339,0.1848,4106.4453,758.6866
100274377,0.1848,4106.4453,758.6866
100274416,0.1848,4101.5625,757.7845
100274454,0.3431,4101.5625,1407.3140
100274494,0.2111,4106.4453,867.0704
100274533,0.2111,4101.5625,866.0394
100274571,0.1848,4106.4453,758.6866
100274610,0.3167,4111.3281,1302.1520
100274649,0.2375,4106.4453,975.4542
100274688,0.2111,4106.4453,867.0704
100274725,0.2903,4106.4453,1192.2218
100274765,0.1320,4096.6797,540.6302
100274804,0.1584,4106.4453,650.3027
100274842,0.1848,4086.9141,755.0781
100274881,0.2111,4111.3281,868.1014
100274919,0.2111,4106.4453,867.0704
100274958,0.1848,4106.4453,758.6866
100274996,0.2111,4106.4453,867.0704
100275035,0.1848,4111.3281,759.5887
100275074,0.1848,4101.5625,757.7845
100275111,0.1848,4106.4453,758.6866
100275150,0.1584,4111.3281,651.0760
100275188,0.2111,4111.3281,868.1014
100275227,0.2111,4086.9141,862.9464
100275266,0.2111,4111.3281,868.1014
100275304,0.1848,4101.5625,757.7845
100275343,0.2903,4101.5625,1190.8042
100275382,0.1848,4091.7969,755.9802
100275421,0.1848,4101.5625,757.7845
100275459,0.2111,4111.3281,868.1014
100275497,0.1848,4086.9141,755.0781
100275536,0.2375,4106.4453,975.4542
100275574,0.1848,4096.6797,756.8823
100275613,0.1320,4111.3281,542.5634
100275651,0.1848,4101.5625,757.7845
100275690,0.1320,4096.6797,540.6302
100275728,0.2639,4096.6797,1081.2605
100275768,0.2111,4111.3281,868.1014
100275807,0.2111,4101.5625,866.0394
100275845,0.2375,4101.5625,974.2943
100275884,0.1848,4106.4453,758.6866
100275921,0.1584,4086.9141,647.2098
100275960,0.2903,4101.5625,1190.8042
100276000,0.1848,4111.3281,759.5887
100276038,0.1848,4111.3281,759.5887
100276077,0.1584,4121.0938,652.6225
100276115,0.1848,4111.3281,759.5887
100276154,0.3431,4106.4453,1408.9894
100276193,0.2111,4096.6797,865.0084
100276232,0.1848,4091.7969,755.9802
100276271,0.2111,4111.3281,868.1014
100276308,0.2111,4106.4453,867.0704
100276347,0.1848,4116.2109,760.4908
100276385,0.1848,4106.4453,758.6866
100276424,0.1848,4111.3281,759.5887
100276463,0.2375,4106.4453,975.4542
100276501,0.1584,4106.4453,650.3027
100276540,0.1848,4106.4453,758.6866
100276578,0.1848,4106.4453,758.6866
100276617,0.1848,4106.4453,758.6866
100276655,0.2639,4111.3281,1085.1267
100276695,0.1320,4111.3281,542.5634
100276733,0.2111,4101.5625,866.0394
100276771,0.1848,4106.4453,758.6866
100276810,0.2375,4111.3281,976.6140
100276848,0.1848,4101.5625,757.7845
100276887,0.1584,4106.4453,650.3027
100276925,0.2111,4111.3281,868.1014
100276964,0.3167,4111.3281,1302.1520
100277004,0.1584,4106.4453,650.3027
100277042,0.1848,4101.5625,757.7845
100277081,0.2111,4111.3281,868.1014
100277118,0.2111,4101.5625,866.0394
100277157,0.2903,4111.3281,1193.6394
100277197,0.1320,4086.9141,539.3415
100277235,0.1584,4106.4453,650.3027
100277274,0.2639,4106.4453,1083.8379
100277313,0.1848,4106.4453,758.6866
100277352,0.2375,4106.4453,975.4542
100277390,0.1848,4111.3281,759.5887
100277429,0.2375,4106.4453,975.4542
100277468,0.1320,4101.5625,541.2746
100277506,0.1848,4101.5625,757.7845
100277544,1.6100,3950.1953,6359.8481
100277583,1.5044,3964.8438,5964.8462
100277623,1.4253,3969.7266,5657.8662
100277663,1.2933,3989.2578,5159.2490
100277702,1.2141,3974.6094,4825.5923
100277742,1.2141,3974.6094,4825.5923
100277781,1.1877,3974.6094,4720.6880
100277821,1.1877,3974.6094,4720.6880
100277861,1.1349,3969.7266,4505.3379
100277900,1.1349,3974.6094,4510.8794
100277940,1.1877,3979.4922,4726.4873
100277979,1.1613,3955.0781,4593.1016
100278019,1.2141,3969.7266,4819.6641
100278057,1.1613,3969.7266,4610.1133
100278097,1.5308,3950.1953,6047.0688
100278137,1.3461,3969.7266,5343.5405
100278176,1.2669,3979.4922,5041.5859
100278216,1.3461,3959.9609,5330.3950
100278255,1.2669,3974.6094,5035.4004
100278295,1.2669,3984.3750,5047.7720
100278335,1.4253,3950.1953,5630.0293
100278374,1.6892,3950.1953,6672.6274
100278414,1.5836,3959.9609,6271.0527
100278453,1.8739,3930.6641,7365.8452
100278493,2.0323,3896.4844,7918.8477
100278533,1.9531,3896.4844,7610.3213
100278572,2.0587,3886.7188,8001.5854
100278611,2.0587,3886.7188,8001.5854
100278650,2.0059,3901.3672,7825.7993
100278690,1.9531,3901.3672,7619.8579
100278730,1.8739,3901.3672,7310.9448
100278769,1.7684,3930.6641,6950.8682
100278809,1.7156,3916.0156,6718.2485
100278848,1.6628,3906.2500,6495.2954
100278888,1.7948,3920.8984,7037.0854
100278928,1.8212,3911.1328,7122.7871
100278967,1.9003,3886.7188,7386.0786
100279007,1.9795,3872.0703,7664.8350
100279046,2.1115,3876.9531,8186.1338
100279086,2.1115,3857.4219,8144.8940
100279126,2.0851,3852.5391,8032.9023
100279164,2.0851,3847.6563,8022.7212
100279204,2.0323,3862.3047,7849.3838
100279243,2.0059,3857.4219,7737.6489
100279283,2.0323,3867.1875,7859.3071
100279322,2.0587,3857.4219,7941.2720
100279362,1.9795,3857.4219,7635.8379
100279402,1.9531,3837.8906,7495.8799
100279441,2.0323,3862.3047,7849.3838
100279481,1.9003,3862.3047,7339.6836
100279520,2.0851,3852.5391,8032.9023
100279560,2.1907,3837.8906,8407.5410
100279600,2.1643,3837.8906,8306.2461
100279639,2.1643,3833.0078,8295.6777
100279678,2.1379,3852.5391,8236.2666
100279717,2.1115,3857.4219,8144.8940
