99,0.??L??722656,859.8534
80012737,0.1584,4077.1484,645.6633
80012774,0.1848,4077.1484,753.2739
80012812,0.1848,4082.0313,754.1760
80012849,0.2111,4077.1484,860.8844
80012887,0.1848,4072.2656,752.3717
80012923,0.2111,4067.3828,858.8224
80012961,0.1848,4082.0313,754.1760
80012998,0.1848,4077.1484,753.2739
80013036,0.1584,4082.0313,646.4365
80013074,0.1056,4082.0313,430.9577
80013111,0.1848,4082.0313,754.1760
80013149,0.1584,4072.2656,644.8900
80013186,0.1584,4077.1484,645.6633
80013223,0.1848,4072.2656,752.3717
80013260,0.2375,4082.0313,969.6548
80013298,0.2375,4077.1484,968.4949
80013336,0.1848,4082.0313,754.1760
80013373,0.1848,4077.1484,753.2739
80013411,0.2111,4082.0313,861.9154
80013448,0.2375,4077.1484,968.4949
80013486,0.1848,4072.2656,752.3717
80013522,0.1848,4072.2656,752.3717
80013560,0.1848,4072.2656,752.3717
80013597,0.2375,4082.0313,969.6548
80013635,0.2111,4077.1484,860.8844
80013673,0.2639,4077.1484,1076.1055
80013711,0.1584,4062.5000,643.3435
80013749,0.2111,4077.1484,860.8844
80013786,0.2375,4082.0313,969.6548
80013824,0.1848,4082.0313,754.1760
80013860,0.1848,4057.6172,749.6653
80013898,0.2903,4077.1484,1183.7161
80013937,0.2639,4072.2656,1074.8167
80013975,0.2111,4077.1484,860.8844
80014013,0.2111,4077.1484,860.8844
80014050,0.1848,4082.0313,754.1760
80014088,0.1848,4082.0313,754.1760
80014125,0.2111,4077.1484,860.8844
80014162,0.1848,4082.0313,754.1760
80014200,0.2375,4077.1484,968.4949
80014237,0.1584,4091.7969,647.9830
80014275,0.2375,4062.5000,965.0153
80014312,0.1848,4082.0313,754.1760
80014350,0.2639,4077.1484,1076.1055
80014388,0.1848,4077.1484,753.2739
80014426,0.2639,4077.1484,1076.1055
80014464,0.1848,4082.0313,754.1760
80014501,0.1848,4067.3828,751.4696
80014539,0.1320,4082.0313,538.6971
80014576,0.1848,4077.1484,753.2739
80014614,0.2903,4072.2656,1182.2985
80014652,0.1848,4062.5000,750.5675
80014690,0.1584,4082.0313,646.4365
80014727,0.2111,4082.0313,861.9154
80014765,0.2375,4052.7344,962.6956
80014802,0.1584,4077.1484,645.6633
80014839,0.3167,4077.1484,1291.3265
80014878,0.1848,4067.3828,751.4696
80014915,0.2111,4082.0313,861.9154
80014953,0.1584,4082.0313,646.4365
80014990,0.2375,4077.1484,968.4949
80015028,0.3431,4067.3828,1395.5864
80015067,0.2375,4082.0313,969.6548
80015104,0.2375,4062.5000,965.0153
80015141,0.2375,4072.2656,967.3350
80015178,0.2111,4086.9141,862.9464
80015216,0.1584,4072.2656,644.8900
80015253,0.2375,4077.1484,968.4949
80015291,0.1584,4072.2656,644.8900
80015328,0.1848,4072.2656,752.3717
80015366,0.2639,4072.2656,1074.8167
80015405,0.3695,4072.2656,1504.7434
80015442,0.1848,4077.1484,753.2739
80015480,0.1584,4086.9141,647.2098
80015517,0.2639,4067.3828,1073.5280
80015556,0.2111,4082.0313,861.9154
80015593,0.1848,4072.2656,752.3717
80015631,0.2111,4082.0313,861.9154
80015669,0.2111,4047.8516,854.6984
