.2159
3S?8795L	.2111,4023.4375,849.5434
349487990,0.2639,4018.5547,1060.6405
349488029,0.2639,4023.4375,1061.9292
349488069,0.2375,4018.5547,954.5764
349488108,0.2111,4023.4375,849.5434
349488146,0.2375,4023.4375,955.7363
349488185,0.2111,4023.4375,849.5434
349488223,0.2375,4023.4375,955.7363
349488262,0.2375,4023.4375,955.7363
349488300,0.2111,4023.4375,849.5434
349488338,0.2375,4023.4375,955.7363
349488377,0.2375,4023.4375,955.7363
349488415,0.2375,4023.4375,955.7363
349488454,0.2375,4018.5547,954.5764
349488492,0.3959,4013.6719,1589.0276
349488532,0.2375,4018.5547,954.5764
349488570,0.2111,4013.6719,847.4814
349488609,0.1848,4028.3203,744.2526
349488648,0.2903,4023.4375,1168.1222
349488687,0.2639,4023.4375,1061.9292
349488727,0.2375,4023.4375,955.7363
349488764,0.2639,4018.5547,1060.6405
349488804,0.2639,4003.9063,1056.7742
349488844,0.1848,4013.6719,741.5463
349488882,0.2903,4018.5547,1166.7046
349488922,0.2375,4008.7891,952.2567
349488960,0.2639,4018.5547,1060.6405
349489000,0.2903,4028.3203,1169.5398
349489040,0.2111,4013.6719,847.4814
349489078,0.2639,4023.4375,1061.9292
349489118,0.2375,4023.4375,955.7363
349489156,0.2375,4023.4375,955.7363
349489195,0.2375,4018.5547,954.5764
349489232,0.2639,4023.4375,1061.9292
349489272,0.2639,4023.4375,1061.9292
349489312,0.2375,4023.4375,955.7363
349489350,0.2903,4023.4375,1168.1222
349489390,0.2639,4013.6719,1059.3517
349489429,0.2903,4018.5547,1166.7046
349489469,0.2639,4023.4375,1061.9292
349489509,0.2375,4018.5547,954.5764
349489547,0.2903,4018.5547,1166.7046
349489587,0.2903,4018.5547,1166.7046
349489626,0.2375,4023.4375,955.7363
349489665,0.2639,3999.0234,1055.4855
349489704,0.2375,4018.5547,954.5764
349489742,0.3695,3974.6094,1468.6584
349489782,0.2639,4018.5547,1060.6405
349489821,0.2639,4023.4375,1061.9292
349489861,0.2375,4003.9063,951.0968
349489899,0.2639,4018.5547,1060.6405
349489939,0.3167,4013.6719,1271.2220
349489979,0.3167,4018.5547,1272.7686
349490018,0.2375,4018.5547,954.5764
