12164b?I??1,411.3281,868.1014
288121679,0.2375,4101.5625,974.2943
288121718,0.2375,4096.6797,973.1344
288121757,0.2111,4121.0938,870.1634
288121795,0.2375,4106.4453,975.4542
288121834,0.2375,4091.7969,971.9745
288121872,0.1584,4096.6797,648.7563
288121911,0.3959,4135.7422,1637.3557
288121951,0.2111,4091.7969,863.9774
288121989,0.2375,4096.6797,973.1344
288122028,0.2903,4091.7969,1187.9689
288122066,0.3959,4086.9141,1618.0244
288122106,0.3695,4101.5625,1515.5690
288122145,0.3431,4096.6797,1405.6385
288122185,0.2111,4101.5625,866.0394
288122224,0.3167,4096.6797,1297.5126
288122263,0.1848,4101.5625,757.7845
288122302,0.2375,4101.5625,974.2943
288122340,0.2111,4096.6797,865.0084
288122379,0.1848,4106.4453,758.6866
288122418,0.2375,4106.4453,975.4542
288122456,0.2639,4101.5625,1082.5492
288122496,0.2375,4096.6797,973.1344
288122533,0.3959,4101.5625,1623.8239
288122573,0.1584,4106.4453,650.3027
288122611,0.2375,4101.5625,974.2943
288122650,0.2639,4111.3281,1085.1267
288122690,0.2375,4096.6797,973.1344
288122728,0.3695,4111.3281,1519.1775
288122768,0.2111,4101.5625,866.0394
288122806,0.2375,4101.5625,974.2943
288122845,0.2375,4101.5625,974.2943
288122884,0.3695,4106.4453,1517.3732
288122923,0.2375,4106.4453,975.4542
288122961,0.2903,4101.5625,1190.8042
288123000,0.2639,4106.4453,1083.8379
288123040,0.2111,4082.0313,861.9154
288123078,0.2111,4096.6797,865.0084
288123117,0.3431,4096.6797,1405.6385
288123157,0.2639,4101.5625,1082.5492
288123196,0.2375,4111.3281,976.6140
288123235,0.2111,4086.9141,862.9464
288123273,0.2903,4111.3281,1193.6394
288123313,0.2903,4101.5625,1190.8042
288123353,0.2375,4106.4453,975.4542
288123390,0.2903,4077.1484,1183.7161
288123430,0.2375,4096.6797,973.1344
288123468,0.2903,4106.4453,1192.2218
288123508,0.2375,4101.5625,974.2943
288123547,0.3695,4101.5625,1515.5690
288123586,0.3431,4101.5625,1407.3140
288123626,0.2375,4101.5625,974.2943
288123664,0.2375,4106.4453,975.4542
288123703,0.3695,4096.6797,1513.7646
288123742,0.2903,4096.6797,1189.3866
288123782,0.2639,4062.5000,1072.2393
