969,0.2?????L?969,863.9774
288199007,0.2903,4082.0313,1185.1337
288199047,0.2639,4091.7969,1079.9717
288199086,0.2639,4091.7969,1079.9717
288199126,0.2111,4086.9141,862.9464
288199164,0.1848,4086.9141,755.0781
288199202,0.2375,4091.7969,971.9745
288199241,0.2111,4086.9141,862.9464
288199279,0.2639,4091.7969,1079.9717
288199319,0.2375,4091.7969,971.9745
288199358,0.2639,4086.9141,1078.6830
288199397,0.2375,4086.9141,970.8147
288199436,0.1848,4086.9141,755.0781
288199474,0.2375,4086.9141,970.8147
288199513,0.2111,4091.7969,863.9774
288199550,0.1848,4086.9141,755.0781
288199589,0.2111,4086.9141,862.9464
288199628,0.1848,4091.7969,755.9802
288199666,0.2375,4091.7969,971.9745
288199705,0.2375,4086.9141,970.8147
288199743,0.1584,4091.7969,647.9830
288199782,0.2375,4091.7969,971.9745
288199820,0.2111,4091.7969,863.9774
288199859,0.2639,4086.9141,1078.6830
288199899,0.2111,4082.0313,861.9154
288199937,0.2375,4086.9141,970.8147
288199975,0.2375,4091.7969,971.9745
288200013,0.2375,4091.7969,971.9745
288200052,0.2111,4086.9141,862.9464
288200091,0.2375,4091.7969,971.9745
288200129,0.2375,4086.9141,970.8147
288200168,0.3431,4082.0313,1400.6124
288200207,0.3695,4086.9141,1510.1563
288200247,0.1848,4091.7969,755.9802
288200285,0.1848,4096.6797,756.8823
288200324,0.2375,4072.2656,967.3350
288200363,0.2903,4082.0313,1185.1337
288200401,0.2111,4086.9141,862.9464
288200440,0.2375,4086.9141,970.8147
288200478,0.2111,4091.7969,863.9774
288200517,0.2639,4091.7969,1079.9717
288200557,0.2375,4091.7969,971.9745
288200595,0.2111,4091.7969,863.9774
288200634,0.1848,4082.0313,754.1760
288200672,0.3431,4082.0313,1400.6124
288200712,0.2111,4086.9141,862.9464
288200750,0.2111,4086.9141,862.9464
288200788,0.2375,4086.9141,970.8147
288200827,0.3431,4086.9141,1402.2878
288200866,0.3167,4086.9141,1294.4196
288200906,0.2639,4086.9141,1078.6830
288200945,0.1848,4077.1484,753.2739
288200984,0.3431,4091.7969,1403.9633
288201024,0.2639,4091.7969,1079.9717
288201063,0.2903,4086.9141,1186.5513
288201103,0.2111,4082.0313,861.9154
288201141,0.3431,4086.9141,1402.2878
288201181,0.3167,4086.9141,1294.4196
288201220,0.3959,3959.9609,1567.7632
288201260,0.2375,4082.0313,969.6548
288201298,0.2375,4096.6797,973.1344
288201336,0.2639,4082.0313,1077.3942
288201376,0.1848,4072.2656,752.3717
288201414,0.3167,4086.9141,1294.4196
288201454,0.2375,4091.7969,971.9745
288201493,0.3695,4082.0313,1508.3519
288201532,0.2375,4086.9141,970.8147
288201571,0.2903,4086.9141,1186.5513
288201610,0.3167,4082.0313,1292.8730
288201650,0.2375,4086.9141,970.8147
288201689,0.2111,4091.7969,863.9774
288201726,0.1848,4091.7969,755.9802
288201765,0.2639,4091.7969,1079.9717
288201804,0.1848,4091.7969,755.9802
288201843,0.2639,4165.0391,1099.3030
288201882,0.2111,4091.7969,863.9774
288201921,0.2639,4096.6797,1081.2605
288201961,0.3167,4082.0313,1292.8730
288202000,0.2375,4086.9141,970.8147
288202039,0.2375,4067.3828,966.1752
288202077,0.2111,4091.7969,863.9774
288202116,0.2375,4091.7969,971.9745
288202155,0.2111,4091.7969,863.9774
288202192,0.2375,4086.9141,970.8147
288202231,0.3959,4082.0313,1616.0913
288202270,0.3695,4091.7969,1511.9604
288202310,0.1848,4116.2109,760.4908
288202348,0.2375,4086.9141,970.8147
288202387,0.2375,4086.9141,970.8147
288202426,0.2375,4072.2656,967.3350
288202464,0.2111,4096.6797,865.0084
288202503,0.2639,4091.7969,1079.9717
288202542,0.2375,4091.7969,971.9745
288202580,0.3695,4096.6797,1513.7646
288202620,0.2639,4082.0313,1077.3942
288202659,0.3695,4023.4375,1486.7009
288202699,0.2903,4082.0313,1185.1337
288202738,0.2375,4077.1484,968.4949
288202777,0.2375,4086.9141,970.8147
288202815,0.2111,4091.7969,863.9774
288202854,0.2375,4082.0313,969.6548
288202893,0.4223,4091.7969,1727.9547
288202932,0.1848,4077.1484,753.2739
288202971,0.2111,4091.7969,863.9774
288203009,0.2903,4091.7969,1187.9689
288203048,0.2375,4077.1484,968.4949
288203087,0.2111,4091.7969,863.9774
288203125,0.2111,4091.7969,863.9774
288203164,0.3695,4091.7969,1511.9604
288203203,0.3431,4086.9141,1402.2878
288203243,0.2111,4082.0313,861.9154
288203281,0.2639,4111.3281,1085.1267
288203321,0.2375,4091.7969,971.9745
288203360,0.2639,4072.2656,1074.8167
288203399,0.2375,4062.5000,965.0153
288203438,0.2375,4106.4453,975.4542
288203475,0.2639,4238.2813,1118.6342
288203515,0.2375,4091.7969,971.9745
288203554,0.3167,4072.2656,1289.7800
288203593,0.2903,4091.7969,1187.9689
288203633,0.2111,4096.6797,865.0084
288203671,0.2903,4091.7969,1187.9689
288203711,0.3695,4086.9141,1510.1563
288203751,0.2375,4086.9141,970.8147
288203789,0.2111,4082.0313,861.9154
288203828,0.2111,4077.1484,860.8844
288203866,0.2375,4052.7344,962.6956
288203905,0.3959,4101.5625,1623.8239
288203943,0.2375,4072.2656,967.3350
288203982,0.2375,4091.7969,971.9745
288204021,0.1848,4091.7969,755.9802
288204059,0.2375,4067.3828,966.1752
288204098,0.3431,4082.0313,1400.6124
288204137,0.2375,4072.2656,967.3350
288204176,0.2375,4077.1484,968.4949
288204214,0.2111,4111.3281,868.1014
288204253,0.2639,4082.0313,1077.3942
288204293,0.2375,4091.7969,971.9745
288204331,0.2903,4077.1484,1183.7161
288204370,0.3431,4086.9141,1402.2878
288204409,0.2111,4096.6797,865.0084
288204448,0.2639,4077.1484,1076.1055
288204488,0.3167,4091.7969,1295.9661
288204527,0.1848,4096.6797,756.8823
288204566,0.2111,4072.2656,859.8534
288204604,0.2375,4082.0313,969.6548
288204643,0.2639,4086.9141,1078.6830
288204683,0.3167,4086.9141,1294.4196
288204722,0.3959,4086.9141,1618.0244
288204762,0.3959,4086.9141,1618.0244
288204801,0.2111,4077.1484,860.8844
288204839,0.2375,4082.0313,969.6548
288204877,0.2375,4096.6797,973.1344
288204916,0.3431,4086.9141,1402.2878
288204956,0.2639,4091.7969,1079.9717
288204995,0.1848,4072.2656,752.3717
288205034,0.3431,4091.7969,1403.9633
288205073,0.2111,4091.7969,863.9774
288205112,0.2639,4086.9141,1078.6830
288205152,0.2375,4086.9141,970.8147
288205190,0.2111,4091.7969,863.9774
288205229,0.2111,4091.7969,863.9774
288205266,0.2375,4086.9141,970.8147
288205305,0.2903,4082.0313,1185.1337
288205344,0.2375,4082.0313,969.6548
288205383,0.2375,4067.3828,966.1752
288205422,0.2111,4145.5078,875.3184
288205460,0.2639,4165.0391,1099.3030
288205500,0.2903,4082.0313,1185.1337
288205539,0.2111,4086.9141,862.9464
288205578,0.2111,4091.7969,863.9774
288205617,0.2111,4096.6797,865.0084
288205655,0.2111,4086.9141,862.9464
288205693,0.2639,4082.0313,1077.3942
288205732,0.2111,4096.6797,865.0084
288205771,0.2111,4096.6797,865.0084
288205809,0.2375,4086.9141,970.8147
288205848,0.3167,4086.9141,1294.4196
288205888,0.2375,4096.6797,973.1344
288205926,0.1848,4091.7969,755.9802
288205965,0.1848,4091.7969,755.9802
288206003,0.2639,4086.9141,1078.6830
288206043,0.2111,4091.7969,863.9774
288206082,0.3695,4091.7969,1511.9604
288206120,0.2111,4072.2656,859.8534
288206159,0.3695,4091.7969,1511.9604
288206198,0.2639,4091.7969,1079.9717
288206238,0.2375,4135.7422,982.4134
288206276,0.2111,4028.3203,850.5744
288206315,0.3695,4086.9141,1510.1563
288206355,0.2375,4086.9141,970.8147
288206393,0.2639,4091.7969,1079.9717
288206433,0.2639,4091.7969,1079.9717
288206472,3.1144,3642.5781,11344.6010
288206513,3.4048,3652.3438,12435.3970
288206554,3.2464,3676.7578,11936.2650
288206594,2.5338,3764.6484,9538.8047
288206633,2.0059,3852.5391,7727.8545
288206672,1.9267,3842.7734,7403.9927
288206712,1.8739,3881.8359,7274.3442
288206752,1.6892,3916.0156,6614.8911
288206791,1.7948,3876.9531,6958.2144
288206831,1.5572,3901.3672,6075.2920
288206870,1.4780,3901.3672,5766.3789
288206910,1.5044,3911.1328,5884.0415
288206950,1.5572,3886.7188,6052.4810
288206989,1.6892,3906.2500,6598.3955
288207029,1.7948,3823.2422,6861.8159
288207068,1.9003,3876.9531,7367.5205
288207108,1.9003,3803.7109,7228.3359
288207148,1.9795,3872.0703,7664.8350
288207186,1.9795,3823.2422,7568.1787
288207226,1.9267,3867.1875,7451.0317
288207265,1.9003,3857.4219,7330.4048
288207305,1.7684,3876.9531,6855.8872
288207345,1.7948,3872.0703,6949.4507
288207384,1.7948,3886.7188,6975.7412
288207424,1.7420,3862.3047,6728.0435
288207463,1.5836,3881.8359,6147.3330
288207503,1.6628,3876.9531,6446.5811
288207542,1.6892,3876.9531,6548.9072
288207582,1.7420,3862.3047,6728.0435
288207622,1.7948,3852.5391,6914.3970
288207661,1.7684,3867.1875,6838.6182
288207700,1.7948,3862.3047,6931.9238
288207739,1.8739,3857.4219,7228.5938
288207779,1.8739,3852.5391,7219.4434
288207819,1.8739,3852.5391,7219.4434
288207858,1.9531,3842.7734,7505.4170
288207898,1.8476,3886.7188,7180.9097
288207937,1.7948,3872.0703,6949.4507
288207977,1.9003,3872.0703,7358.2417
288208017,1.8212,3852.5391,7016.0791
288208056,1.7684,3867.1875,6838.6182
288208096,1.7684,3862.3047,6829.9834
288208135,1.7156,3872.0703,6642.8569
288208175,1.7156,3852.5391,6609.3496
288208215,1.7156,3886.7188,6667.9878
288208253,1.8476,3872.0703,7153.8462
288208293,1.8212,3876.9531,7060.5405
288208332,1.7420,3852.5391,6711.0322
288208372,1.7684,3881.8359,6864.5220
288208412,1.9003,3857.4219,7330.4048
288208451,1.8476,3872.0703,7153.8462
288208491,1.9267,3862.3047,7441.6240
288208530,1.7684,3867.1875,6838.6182
288208570,1.7948,3872.0703,6949.4507
288208610,1.7684,3837.8906,6786.8105
288208649,1.7156,3872.0703,6642.8569
288208689,1.8476,3876.9531,7162.8672
288208728,1.7684,3886.7188,6873.1567
288208768,1.8212,3867.1875,7042.7559
288208806,1.8476,3872.0703,7153.8462
288208846,1.7948,3857.4219,6923.1602
288208886,1.7684,3886.7188,6873.1567
288208925,1.9003,3857.4219,7330.4048
288208965,1.7420,3852.5391,6711.0322
288209004,1.8476,3867.1875,7144.8247
288209044,1.7420,3862.3047,6728.0435
288209084,1.7420,3881.8359,6762.0664
288209123,1.7948,3842.7734,6896.8696
288209163,1.7684,3857.4219,6821.3486
288209202,1.7684,3876.9531,6855.8872
288209242,1.7684,3867.1875,6838.6182
288209282,1.8212,3881.8359,7069.4331
288209320,1.7948,3867.1875,6940.6870
288209360,1.7420,3876.9531,6753.5605
288209399,1.8212,3857.4219,7024.9712
288209439,1.7948,3862.3047,6931.9238
288209479,1.7684,3842.7734,6795.4448
288209518,1.7420,3886.7188,6770.5723
