,0527
4169179,0.2111,4077
4169068,0.2639,4033.2031,1064.5067
4169105,0.2639,4077.1484,1076.1055
4169143,0.1320,4077.1484,538.0527
4169179,0.2111,4072.26?b??r??SH???????b?r????b????r????b???r????j4169251,0.1848,4067.3828,751.4696
4169288,0.1848,4082.0313,754.1760
4169325,0.1584,4077.1484,645.6633
4169361,0.1584,4077.1484,645.6633
4169398,0.1584,4038.0859,639.4772
4169434,0.3167,4077.1484,1291.3265
4169472,0.1320,4086.9141,539.3415
4169507,0.1848,4086.9141,755.0781
4169544,0.1584,4082.0313,646.4365
4169580,0.1056,4077.1484,430.4422
4169617,0.1320,4082.0313,538.6971
4169654,0.3167,4082.0313,1292.8730
4169691,0.1848,4077.1484,753.2739
4169728,0.2111,4082.0313,861.9154
4169763,0.1848,4077.1484,753.2739
4169800,0.2903,4082.0313,1185.1337
4169837,0.2111,4077.1484,860.8844
4169874,0.1584,4072.2656,644.8900
4169910,0.1320,4082.0313,538.6971
4169947,0.1584,4067.3828,644.1168
4169982,0.1056,4082.0313,430.9577
4170019,0.1848,4077.1484,753.2739
4170056,0.1848,4082.0313,754.1760
4170092,0.1584,4082.0313,646.4365
4170129,0.1848,4082.0313,754.1760
4170165,0.2639,4077.1484,1076.1055
4170203,0.1848,4077.1484,753.2739
4170238,0.1848,4077.1484,753.2739
4170275,0.1584,4082.0313,646.4365
4170311,0.1848,4082.0313,754.1760
4170348,0.1848,4150.3906,766.8057
4170385,0.1848,4082.0313,754.1760
4170421,0.1056,4067.3828,429.4112
4170458,0.1848,4072.2656,752.3717
4170493,0.1584,4047.8516,641.0237
4170530,0.1848,4052.7344,748.7632
4170566,0.1848,4082.0313,754.1760
4170603,0.1848,4077.1484,753.2739
4170639,0.1584,4072.2656,644.8900
4170676,0.1848,4082.0313,754.1760
4170712,0.2111,4082.0313,861.9154
4170748,0.1584,4086.9141,647.2098
4170785,0.1320,4082.0313,538.6971
4170821,0.1320,4096.6797,540.6302
4170858,0.1584,4082.0313,646.4365
4170894,0.2111,4077.1484,860.8844
4170931,0.1584,4062.5000,643.3435
4170967,0.1848,4082.0313,754.1760
4171003,0.1320,4067.3828,536.7640
4171039,0.2111,4072.2656,859.8534
4171076,0.1320,4082.0313,538.6971
4171112,0.1848,4082.0313,754.1760
4171149,0.2903,4077.1484,1183.7161
4171187,0.1584,4067.3828,644.1168
4171223,0.2375,4077.1484,968.4949
4171259,0.1320,4101.5625,541.2746
4171295,0.2639,4086.9141,1078.6830
4171333,0.1848,4072.2656,752.3717
4171369,0.2111,4072.2656,859.8534
4171406,0.2375,4082.0313,969.6548
4171442,0.2375,4082.0313,969.6548
4171479,0.1584,4082.0313,646.4365
4171514,0.1584,4086.9141,647.2098
4171551,0.1584,4086.9141,647.2098
4171588,0.1320,4082.0313,538.6971
4171624,0.2639,4130.8594,1090.2817
4171662,0.1584,4082.0313,646.4365
4171698,0.1584,4082.0313,646.4365
4171735,0.1320,4086.9141,539.3415
4171770,0.1584,4082.0313,646.4365
4171807,0.1320,4086.9141,539.3415
4171843,0.1584,4096.6797,648.7563
4171880,0.1584,4067.3828,644.1168
4171917,0.1584,4072.2656,644.8900
4171953,0.1056,4160.1563,439.2057
4171990,0.1848,4082.0313,754.1760
4172025,0.1320,4077.1484,538.0527
4172062,0.1584,4091.7969,647.9830
4172098,0.1584,4091.7969,647.9830
4172135,0.1584,4091.7969,647.9830
4172171,0.1848,4077.1484,753.2739
4172208,0.1848,4111.3281,759.5887
4172243,0.1320,4086.9141,539.3415
4172280,0.1848,4155.2734,767.7078
4172317,0.1320,4082.0313,538.6971
4172353,0.1848,4077.1484,753.2739
4172390,0.1848,4038.0859,746.0569
4172426,0.1584,4077.1484,645.6633
4172463,0.1584,4057.6172,642.5703
4172498,0.1584,4082.0313,646.4365
4172535,0.1320,4067.3828,536.7640
4172571,0.1584,4091.7969,647.9830
4172608,0.1320,4086.9141,539.3415
4172644,0.2111,4082.0313,861.9154
4172681,0.1848,4072.2656,752.3717
4172718,0.3167,4140.6250,1311.4310
4172754,0.1584,4067.3828,644.1168
4172791,0.2111,4086.9141,862.9464
4172827,0.1848,4082.0313,754.1760
4172864,0.1584,4077.1484,645.6633
4172900,0.1848,4077.1484,753.2739
4172937,0.1584,4082.0313,646.4365
4172973,0.2111,4082.0313,861.9154
4173009,0.1320,4062.5000,536.1196
4173045,0.2375,4072.2656,967.3350
4173082,0.1848,4082.0313,754.1760
4173119,0.2111,4077.1484,860.8844
4173155,0.1584,4082.0313,646.4365
4173192,0.1584,4082.0313,646.4365
4173228,0.2375,4082.0313,969.6548
4173264,0.1584,4082.0313,646.4365
4173300,0.1584,4082.0313,646.4365
4173337,0.1848,4077.1484,753.2739
4173373,0.1584,4082.0313,646.4365
4173410,0.1584,4082.0313,646.4365
4173447,0.1320,4067.3828,536.7640
4173483,0.1584,4086.9141,647.2098
4173519,0.1848,4082.0313,754.1760
4173555,0.1584,4082.0313,646.4365
4173592,0.1848,4077.1484,753.2739
4173628,0.1584,4077.1484,645.6633
4173665,0.1320,4077.1484,538.0527
4173701,0.1320,4086.9141,539.3415
4173737,0.2111,4086.9141,862.9464
4173773,0.1848,4072.2656,752.3717
4173810,0.2639,4082.0313,1077.3942
4173848,0.1848,4077.1484,753.2739
4173884,0.1584,4077.1484,645.6633
4173921,0.1584,4077.1484,645.6633
4173957,0.2639,4072.2656,1074.8167
4173995,0.1320,4072.2656,537.4083
4174030,0.1848,4067.3828,751.4696
4174067,0.2111,4077.1484,860.8844
4174103,0.1320,4086.9141,539.3415
4174140,0.1584,4082.0313,646.4365
4174176,0.1848,4077.1484,753.2739
4174213,0.1584,4057.6172,642.5703
4174249,0.1320,4086.9141,539.3415
4174285,0.1320,4062.5000,536.1196
4174322,0.1848,4155.2734,767.7078
4174358,0.1320,4067.3828,536.7640
4174395,0.1848,4086.9141,755.0781
4174431,0.1584,4082.0313,646.4365
4174468,0.1320,4082.0313,538.6971
4174503,0.1584,4082.0313,646.4365
4174540,0.1584,4086.9141,647.2098
4174576,0.1584,4091.7969,647.9830
4174613,0.1848,4077.1484,753.2739
4174650,0.1584,4130.8594,654.1690
4174686,0.2639,4072.2656,1074.8167
4174724,0.3431,4082.0313,1400.6124
4174760,0.1848,4082.0313,754.1760
4174797,0.1848,4047.8516,747.8611
4174833,0.1584,4077.1484,645.6633
4174870,0.1848,4082.0313,754.1760
4174906,0.1584,4082.0313,646.4365
4174943,0.1584,4072.2656,644.8900
4174980,0.2375,4086.9141,970.8147
4175015,2.7449,3725.5859,10226.4810
4175054,3.0617,3637.6953,11137.3700
4175092,2.9297,3715.8203,10886.1920
4175131,2.5602,3750.0000,9600.6650
4175168,2.0587,3813.4766,7850.8018
4175206,2.0587,3876.9531,7981.4810
4175244,1.9267,3876.9531,7469.8477
4175281,1.8212,3876.9531,7060.5405
4175319,1.6628,3876.9531,6446.5811
4175355,1.6892,3808.5938,6433.4355
4175393,1.6892,3901.3672,6590.1475
4175430,1.5836,3911.1328,6193.7280
4175468,1.5044,3920.8984,5898.7334
4175505,1.5572,3930.6641,6120.9136
