
289??MNb0.431,4023.4375,1380.5081
289093629,0.3167,4018.5547,1272.7686
289093668,0.3167,4018.5547,1272.7686
289093708,0.3959,4018.5547,1590.9607
289093747,0.3431,4023.4375,1380.5081
289093787,0.3959,3955.0781,1565.8301
289093827,0.3167,4018.5547,1272.7686
289093866,0.3167,4018.5547,1272.7686
289093906,0.3695,4023.4375,1486.7009
289093945,0.3695,4018.5547,1484.8967
289093985,0.3167,4013.6719,1271.2220
289094024,0.3431,4018.5547,1378.8326
289094064,0.3695,4008.7891,1481.2882
289094104,0.3959,4057.6172,1606.4257
289094142,0.3695,4013.6719,1483.0925
289094182,0.3695,4018.5547,1484.8967
289094221,0.4751,4023.4375,1911.4727
289094261,0.3695,4023.4375,1486.7009
289094301,0.4751,3969.7266,1885.9553
289094340,0.3695,4023.4375,1486.7009
289094380,0.3695,4023.4375,1486.7009
289094419,0.3695,3994.1406,1475.8755
289094459,0.3695,4008.7891,1481.2882
289094499,0.3431,4018.5547,1378.8326
289094538,0.3695,4023.4375,1486.7009
289094578,0.3167,4023.4375,1274.3151
289094617,0.3431,4023.4375,1380.5081
289094657,0.3959,4018.5547,1590.9607
289094696,0.3431,4013.6719,1377.1572
289094735,0.3431,4028.3203,1382.1833
289094775,0.4487,4023.4375,1805.2798
289094814,0.3695,3974.6094,1468.6584
289094854,0.4223,4008.7891,1692.9008
289094894,0.4751,4018.5547,1909.1528
289094933,0.3695,4018.5547,1484.8967
289094973,0.4751,4013.6719,1906.8331
289095012,0.3695,4013.6719,1483.0925
289095052,0.3695,4018.5547,1484.8967
289095092,0.3695,4018.5547,1484.8967
289095131,0.3695,4028.3203,1488.5052
289095171,0.3695,4023.4375,1486.7009
289095209,0.3959,4018.5547,1590.9607
289095249,0.3431,4018.5547,1378.8326
289095288,0.5015,4023.4375,2017.6654
289095328,0.3167,4008.7891,1269.6755
289095368,0.3431,4018.5547,1378.8326
289095407,0.3695,4038.0859,1492.1138
289095447,0.4223,4013.6719,1694.9628
289095486,0.3431,4018.5547,1378.8326
289095526,0.4751,4018.5547,1909.1528
289095566,0.3695,4003.9063,1479.4840
289095605,0.4487,4018.5547,1803.0889
289095645,0.4223,4033.2031,1703.2108
289095684,0.3959,4023.4375,1592.8938
289095724,0.4487,4023.4375,1805.2798
289095763,0.3695,4018.5547,1484.8967
289095802,0.3431,3989.2578,1368.7804
289095842,0.3959,4018.5547,1590.9607
289095881,0.3695,4023.4375,1486.7009
289095921,0.3959,4023.4375,1592.8938
289095961,0.3695,4018.5547,1484.8967
289096000,0.3959,4018.5547,1590.9607
289096040,0.3167,4023.4375,1274.3151
289096079,0.4223,4018.5547,1697.0248
289096119,0.3695,4018.5547,1484.8967
289096159,0.5543,3999.0234,2216.5195
289096198,0.4223,4013.6719,1694.9628
289096238,0.4223,4023.4375,1699.0868
289096276,0.3167,4028.3203,1275.8616
289096316,0.3431,4042.9688,1387.2095
289096356,0.3695,4023.4375,1486.7009
289096395,0.4487,4023.4375,1805.2798
289096435,0.3695,4023.4375,1486.7009
289096474,0.3695,4018.5547,1484.8967
289096514,0.3695,4013.6719,1483.0925
289096553,0.3695,3999.0234,1477.6797
289096593,0.4223,4018.5547,1697.0248
289096633,0.3431,4023.4375,1380.5081
289096672,0.3167,4003.9063,1268.1290
289096712,0.3695,4013.6719,1483.0925
289096751,0.3959,4018.5547,1590.9607
289096791,0.4487,4018.5547,1803.0889
289096830,0.3167,4028.3203,1275.8616
289096869,0.3959,4033.2031,1596.7600
289096909,0.3695,4018.5547,1484.8967
289096948,0.3431,4018.5547,1378.8326
289096988,0.3695,4023.4375,1486.7009
289097028,0.3695,4013.6719,1483.0925
289097067,0.3959,4018.5547,1590.9607
289097107,0.3431,4018.5547,1378.8326
289097146,0.3959,3994.1406,1581.2950
289097186,0.3167,4008.7891,1269.6755
289097226,0.3959,4018.5547,1590.9607
289097265,0.3959,3999.0234,1583.2281
289097305,0.3431,4018.5547,1378.8326
