02,0.3??b401&?719,1589.0276
289250142,0.3431,3994.1406,1370.4558
289250182,0.3959,4008.7891,1587.0945
289250221,0.3431,4018.5547,1378.8326
289250260,0.3695,4018.5547,1484.8967
289250299,0.3431,4013.6719,1377.1572
289250339,0.3959,4038.0859,1598.6932
289250379,0.3695,3994.1406,1475.8755
289250418,0.3695,4013.6719,1483.0925
289250458,0.4223,4008.7891,1692.9008
289250497,0.3695,4003.9063,1479.4840
289250537,0.4487,4008.7891,1798.7072
289250577,0.3431,4013.6719,1377.1572
289250616,0.3695,4008.7891,1481.2882
289250656,0.3431,4013.6719,1377.1572
289250695,0.3167,4013.6719,1271.2220
289250735,0.3431,4008.7891,1375.4819
289250775,0.3959,4013.6719,1589.0276
289250813,0.3695,4008.7891,1481.2882
289250853,0.3167,4013.6719,1271.2220
289250892,0.4223,4008.7891,1692.9008
289250932,0.4223,4013.6719,1694.9628
289250971,0.3431,4013.6719,1377.1572
289251011,0.3695,4018.5547,1484.8967
289251051,0.3167,4013.6719,1271.2220
289251090,0.3167,4003.9063,1268.1290
289251130,0.3695,4018.5547,1484.8967
289251169,0.3431,4008.7891,1375.4819
289251209,0.3695,4018.5547,1484.8967
289251249,0.3431,4013.6719,1377.1572
289251288,0.3695,3999.0234,1477.6797
289251328,0.4751,4013.6719,1906.8331
289251366,0.3959,4038.0859,1598.6932
289251406,0.3695,4013.6719,1483.0925
289251446,0.3695,4013.6719,1483.0925
289251485,0.3959,3994.1406,1581.2950
289251525,0.3695,4018.5547,1484.8967
289251564,0.3431,4023.4375,1380.5081
289251604,0.3959,4023.4375,1592.8938
289251644,0.3167,4013.6719,1271.2220
289251683,0.3431,3994.1406,1370.4558
289251723,0.3695,4013.6719,1483.0925
289251762,0.3695,4013.6719,1483.0925
289251802,0.3695,4008.7891,1481.2882
289251842,0.3431,4013.6719,1377.1572
289251880,0.3431,4023.4375,1380.5081
289251920,0.5015,4013.6719,2012.7682
289251959,0.4751,4018.5547,1909.1528
289251999,0.3695,3999.0234,1477.6797
289252039,0.3431,4013.6719,1377.1572
289252078,0.3695,4008.7891,1481.2882
289252118,0.3695,4013.6719,1483.0925
289252157,0.3167,4018.5547,1272.7686
289252197,0.3695,4013.6719,1483.0925
289252236,0.3959,4008.7891,1587.0945
289252276,0.4751,4018.5547,1909.1528
289252316,0.3431,4013.6719,1377.1572
