70,0.2111,23
96475268,0.2111,4096.6797,865.0084
96475305,0.1848,4101.5625,757.7845
96475342,0.2375,4096.6797,973.1344
96475380,0.2111,43
96475268,0.2111,4096.6797,865.0084
96475305,0.1848,4101.5625,757.7845
96475342,0.2375,4096.6797,973.1344
96475380,0.2111,40
96475268,0.2111,4096.6797,865.0084
96475305,0.1848,4101.5625,757.7845
96475342,0.2375,4096.6797,973.1344
96475380,0.2111,4096???b?S????j96475417,0.2111,4091.7969,863.9774
96475455,0.1320,4096.6797,540.6302
96475493,0.2111,4096.6797,865.0084
96475530,0.1848,4096.6797,756.8823
96475568,0.2111,4096.6797,865.0084
96475604,0.1584,4096.6797,648.7563
96475642,0.2375,4091.7969,971.9745
96475679,0.1848,4096.6797,756.8823
96475717,0.1848,4077.1484,753.2739
96475755,0.2639,4096.6797,1081.2605
96475793,0.1848,4077.1484,753.2739
96475831,0.1848,4091.7969,755.9802
96475868,0.1848,4091.7969,755.9802
96475906,0.2111,4096.6797,865.0084
96475942,0.2639,4101.5625,1082.5492
96475981,0.2111,4101.5625,866.0394
96476019,0.1848,4096.6797,756.8823
96476056,0.2375,4096.6797,973.1344
96476094,0.1848,4096.6797,756.8823
96476131,0.1848,4096.6797,756.8823
96476169,0.3167,4096.6797,1297.5126
96476207,0.1848,4096.6797,756.8823
96476244,0.3167,4096.6797,1297.5126
96476282,0.2111,4091.7969,863.9774
96476320,0.2639,4091.7969,1079.9717
96476359,0.1848,4091.7969,755.9802
96476396,0.1584,4101.5625,649.5295
96476434,0.1848,4091.7969,755.9802
96476471,0.1848,4101.5625,757.7845
96476509,0.3167,4101.5625,1299.0590
96476547,0.1848,4101.5625,757.7845
96476584,0.2111,4101.5625,866.0394
96476622,0.1584,4086.9141,647.2098
96476659,0.3167,4096.6797,1297.5126
96476698,0.1848,4101.5625,757.7845
96476735,0.1848,4101.5625,757.7845
96476773,0.1320,4101.5625,541.2746
96476810,0.2111,4101.5625,866.0394
96476848,0.2375,4096.6797,973.1344
96476886,0.2111,4096.6797,865.0084
96476922,0.2375,4091.7969,971.9745
96476960,0.2639,4082.0313,1077.3942
96476998,0.2111,4096.6797,865.0084
96477036,0.1584,4106.4453,650.3027
96477073,0.1848,4096.6797,756.8823
96477111,0.1848,4082.0313,754.1760
96477148,0.2375,4106.4453,975.4542
96477186,0.1848,4086.9141,755.0781
96477223,0.3431,4101.5625,1407.3140
96477261,0.1848,4096.6797,756.8823
96477299,0.1056,4096.6797,432.5042
96477336,0.2111,4096.6797,865.0084
96477374,0.1584,4082.0313,646.4365
96477411,0.2111,4101.5625,866.0394
96477449,0.2375,4096.6797,973.1344
96477487,0.1848,4091.7969,755.9802
96477523,0.1320,4096.6797,540.6302
96477561,0.1848,4101.5625,757.7845
96477598,0.2903,4091.7969,1187.9689
96477637,0.2111,4101.5625,866.0394
96477674,0.1848,4101.5625,757.7845
96477712,0.2111,4101.5625,866.0394
96477750,0.1584,4086.9141,647.2098
96477787,0.1584,4091.7969,647.9830
96477825,0.2375,4101.5625,974.2943
96477861,0.3431,4096.6797,1405.6385
96477900,0.1848,4091.7969,755.9802
96477937,0.2111,4096.6797,865.0084
96477975,0.2111,4091.7969,863.9774
96478012,0.3167,4091.7969,1295.9661
96478051,0.2111,4101.5625,866.0394
96478089,0.1584,4096.6797,648.7563
96478126,0.2375,4096.6797,973.1344
96478163,0.1848,4111.3281,759.5887
96478200,0.1848,4096.6797,756.8823
96478238,0.1848,4086.9141,755.0781
96478275,0.2375,4091.7969,971.9745
96478313,0.2903,4091.7969,1187.9689
96478352,0.1848,4101.5625,757.7845
96478389,0.3167,4101.5625,1299.0590
96478428,0.1584,4096.6797,648.7563
96478465,0.1584,4101.5625,649.5295
96478502,0.2903,4091.7969,1187.9689
96478540,0.2639,4106.4453,1083.8379
96478579,0.2111,4096.6797,865.0084
96478617,0.1584,4096.6797,648.7563
96478654,0.2111,4106.4453,867.0704
96478692,0.1584,4086.9141,647.2098
96478729,0.1584,4101.5625,649.5295
96478767,0.2111,4101.5625,866.0394
96478803,0.1848,4091.7969,755.9802
96478841,0.2111,4096.6797,865.0084
96478878,0.1584,4082.0313,646.4365
96478916,0.1848,4091.7969,755.9802
96478954,0.2375,4101.5625,974.2943
96478991,0.1584,4101.5625,649.5295
96479029,0.1848,4082.0313,754.1760
96479066,0.1848,4086.9141,755.0781
96479104,0.2111,4096.6797,865.0084
96479140,0.2111,4086.9141,862.9464
96479178,0.1584,4111.3281,651.0760
96479216,0.2111,4096.6797,865.0084
96479253,0.2375,4096.6797,973.1344
96479291,0.2375,4096.6797,973.1344
96479328,0.1848,4077.1484,753.2739
96479366,0.1848,4096.6797,756.8823
96479403,0.1848,4101.5625,757.7845
96479440,0.1848,4096.6797,756.8823
96479477,0.1584,4086.9141,647.2098
96479515,0.3695,4091.7969,1511.9604
96479554,0.1056,4096.6797,432.5042
96479591,0.1848,4082.0313,754.1760
96479629,0.1056,4101.5625,433.0197
96479666,0.2639,4096.6797,1081.2605
96479705,0.1848,4101.5625,757.7845
96479741,0.2375,4091.7969,971.9745
96479779,0.2111,4096.6797,865.0084
96479817,0.2639,4101.5625,1082.5492
96479855,0.1848,4082.0313,754.1760
96479893,0.1320,4091.7969,539.9858
96479930,0.2111,4091.7969,863.9774
96479968,0.1320,4086.9141,539.3415
96480005,0.2111,4096.6797,865.0084
96480043,0.1848,4082.0313,754.1760
96480080,0.2111,4096.6797,865.0084
96480117,0.1584,4082.0313,646.4365
96480155,0.1584,4096.6797,648.7563
96480192,0.1584,4096.6797,648.7563
96480230,0.1056,4091.7969,431.9887
96480267,0.1848,4082.0313,754.1760
96480305,0.1848,4101.5625,757.7845
96480342,0.1848,4091.7969,755.9802
96480379,0.1848,4101.5625,757.7845
96480417,0.1848,4091.7969,755.9802
96480454,0.1848,4091.7969,755.9802
96480492,0.2903,4091.7969,1187.9689
96480530,0.1848,4096.6797,756.8823
96480568,0.2111,4096.6797,865.0084
96480605,0.1848,4082.0313,754.1760
96480643,0.2111,4082.0313,861.9154
96480680,0.1848,4096.6797,756.8823
96480717,0.1848,4101.5625,757.7845
96480755,0.2903,4096.6797,1189.3866
96480793,0.2375,4106.4453,975.4542
96480831,0.1320,4096.6797,540.6302
96480868,0.2111,4096.6797,865.0084
96480906,0.1848,4096.6797,756.8823
96480943,0.1320,4091.7969,539.9858
96480980,0.1320,4101.5625,541.2746
96481018,0.2111,4101.5625,866.0394
96481055,0.1848,4096.6797,756.8823
96481093,0.1584,4096.6797,648.7563
96481130,0.1584,4096.6797,648.7563
96481168,0.1056,4082.0313,430.9577
96481205,0.1848,4096.6797,756.8823
96481243,0.1320,4096.6797,540.6302
96481281,0.2111,4086.9141,862.9464
96481317,0.1584,4101.5625,649.5295
96481355,0.2111,4096.6797,865.0084
96481392,0.1584,4101.5625,649.5295
96481430,0.2111,4096.6797,865.0084
96481467,0.2111,4096.6797,865.0084
96481505,0.2639,4091.7969,1079.9717
96481544,0.2111,4096.6797,865.0084
96481581,0.2111,4091.7969,863.9774
96481618,0.2111,4091.7969,863.9774
96481655,0.1848,4096.6797,756.8823
96481693,0.1584,4082.0313,646.4365
96481730,0.2111,4101.5625,866.0394
96481768,0.2111,4101.5625,866.0394
96481805,0.2903,4096.6797,1189.3866
96481844,0.1848,4086.9141,755.0781
96481882,0.1848,4096.6797,756.8823
96481918,0.2111,4082.0313,861.9154
96481956,2.7185,3828.1250,10406.9060
96481995,3.4840,3676.7578,12809.6500
96482035,3.4312,3710.9375,12732.8410
96482074,2.9033,3759.7656,10915.7040
96482114,2.3226,3803.7109,8834.6328
96482153,1.9267,3862.3047,7441.6240
96482191,1.8476,3847.6563,7108.7397
96482230,1.8739,3857.4219,7228.5938
96482268,1.9267,3862.3047,7441.6240
96482307,1.9003,3872.0703,7358.2417
96482345,1.8476,3847.6563,7108.7397
96482383,1.8212,3896.4844,7096.1104
96482422,1.7948,3896.4844,6993.2681
96482460,1.9267,3891.6016,7498.0713
96482499,1.8212,3906.2500,7113.8950
