2343,r???b402.7344,748.7632
80342380,0.1848,4047.8516,747.8611
80342418,0.1848,4047.8516,747.8611
80342455,0.1584,4047.8516,641.0237
80342493,0.1584,4047.8516,641.0237
80342530,0.2375,4042.9688,960.3758
80342567,0.1848,4052.7344,748.7632
80342604,0.1848,4047.8516,747.8611
80342642,0.1848,4042.9688,746.9590
80342680,0.1848,4052.7344,748.7632
80342717,0.1848,4057.6172,749.6653
80342755,0.1584,4052.7344,641.7970
80342792,0.1848,4047.8516,747.8611
80342830,0.1584,4052.7344,641.7970
80342866,0.2111,4047.8516,854.6984
80342904,0.1848,4047.8516,747.8611
80342942,0.2111,4047.8516,854.6984
80342979,0.1584,4033.2031,638.7040
80343017,0.2375,4052.7344,962.6956
80343054,0.1848,4052.7344,748.7632
80343092,0.2111,4042.9688,853.6674
80343129,0.2111,4042.9688,853.6674
80343166,0.1848,4042.9688,746.9590
80343203,0.2375,4028.3203,956.8962
80343241,0.1584,4042.9688,640.2505
80343279,0.1848,4057.6172,749.6653
80343316,0.2111,4052.7344,855.7294
80343354,0.2111,4047.8516,854.6984
80343391,0.2111,4038.0859,852.6364
80343429,0.1584,4028.3203,637.9308
80343465,0.2111,4047.8516,854.6984
80343503,0.1584,4052.7344,641.7970
80343541,0.1848,4028.3203,744.2526
80343578,0.2639,4047.8516,1068.3729
80343617,0.3167,4047.8516,1282.0475
80343655,0.2639,4052.7344,1069.6617
80343694,0.2375,4042.9688,960.3758
80343731,0.1848,4047.8516,747.8611
80343769,0.1584,4033.2031,638.7040
80343806,0.1848,4038.0859,746.0569
80343843,0.2375,4047.8516,961.5356
80343881,0.1584,4042.9688,640.2505
80343918,0.2111,4047.8516,854.6984
80343956,0.1584,4042.9688,640.2505
80343993,0.1848,4047.8516,747.8611
80344031,0.3167,4047.8516,1282.0475
80344069,0.1848,4038.0859,746.0569
80344107,0.2375,4042.9688,960.3758
80344144,0.2111,4052.7344,855.7294
80344181,0.2111,4047.8516,854.6984
80344219,0.2639,4047.8516,1068.3729
80344257,0.2639,4052.7344,1069.6617
80344296,0.2111,4042.9688,853.6674
80344333,0.1584,4047.8516,641.0237
80344371,0.3431,4047.8516,1388.8849
80344410,0.1848,4033.2031,745.1547
80344446,0.2375,4042.9688,960.3758
80344484,0.3167,4047.8516,1282.0475
80344522,0.2375,4038.0859,959.2159
80344560,0.2111,4052.7344,855.7294
80344597,0.1848,4052.7344,748.7632
80344635,0.2111,4052.7344,855.7294
80344673,0.2375,4052.7344,962.6956
80344710,0.1848,4052.7344,748.7632
80344748,0.2375,4047.8516,961.5356
80344784,0.2111,4033.2031,851.6054
80344822,0.1320,4057.6172,535.4752
80344859,0.1848,4047.8516,747.8611
80344897,0.2375,4042.9688,960.3758
80344934,0.1848,4052.7344,748.7632
80344972,0.2111,4042.9688,853.6674
80345010,0.2375,4038.0859,959.2159
80345047,0.1848,4042.9688,746.9590
80345084,0.1848,4028.3203,744.2526
80345121,0.1848,4038.0859,746.0569
80345159,0.1848,4052.7344,748.7632
80345196,0.1584,4038.0859,639.4772
80345234,0.1584,4052.7344,641.7970
80345272,0.1584,4042.9688,640.2505
80345309,0.2639,4047.8516,1068.3729
80345348,0.1584,4047.8516,641.0237
80345384,0.2111,4047.8516,854.6984
80345422,0.1848,4038.0859,746.0569
80345459,0.2111,4038.0859,852.6364
80345497,0.2375,4052.7344,962.6956
80345534,0.1848,4047.8516,747.8611
80345572,0.1848,4047.8516,747.8611
80345610,0.2375,4042.9688,960.3758
80345647,0.1848,4052.7344,748.7632
80345684,0.2375,4047.8516,961.5356
80345721,0.2375,4047.8516,961.5356
80345759,0.2111,4057.6172,856.7604
80345796,0.1848,4033.2031,745.1547
80345834,0.1848,4047.8516,747.8611
80345872,0.1584,4057.6172,642.5703
80345909,0.2375,4047.8516,961.5356
80345947,0.2639,4052.7344,1069.6617
80345985,0.3167,4047.8516,1282.0475
80346023,0.2111,4052.7344,855.7294
80346060,0.1848,4052.7344,748.7632
80346098,0.2639,4047.8516,1068.3729
80346137,0.1848,4047.8516,747.8611
80346174,0.2111,4042.9688,853.6674
80346212,0.1848,4052.7344,748.7632
80346249,0.2375,4052.7344,962.6956
80346287,0.2111,4047.8516,854.6984
80346323,0.2111,4042.9688,853.6674
80346361,0.2375,4047.8516,961.5356
80346398,0.1848,4047.8516,747.8611
80346436,0.1584,4052.7344,641.7970
80346474,0.1584,4047.8516,641.0237
80346511,0.2111,4047.8516,854.6984
80346549,0.2111,4042.9688,853.6674
80346586,0.2111,4047.8516,854.6984
80346624,0.3167,4033.2031,1277.4081
80346661,0.1320,4052.7344,534.8309
80346699,0.2111,4057.6172,856.7604
80346737,0.1848,4047.8516,747.8611
80346774,0.1848,4052.7344,748.7632
80346812,0.2639,4042.9688,1067.0842
80346850,0.1320,4033.2031,532.2534
80346888,0.2903,4052.7344,1176.6279
80346926,0.1320,4047.8516,534.1865
80346963,0.2111,4047.8516,854.6984
80347001,0.2375,4052.7344,962.6956
80347038,0.2111,4052.7344,855.7294
80347076,0.2903,4052.7344,1176.6279
80347114,0.2111,4047.8516,854.6984
80347152,0.2111,4047.8516,854.6984
80347189,0.2111,4057.6172,856.7604
80347227,0.1848,4057.6172,749.6653
80347264,0.1848,4052.7344,748.7632
80347301,0.2111,4047.8516,854.6984
80347339,0.2375,4047.8516,961.5356
80347376,0.1584,4042.9688,640.2505
80347414,0.2903,4047.8516,1175.2103
80347452,0.1584,4047.8516,641.0237
80347490,0.1848,4047.8516,747.8611
80347527,0.2111,4033.2031,851.6054
80347565,0.2111,4052.7344,855.7294
80347602,0.2111,4028.3203,850.5744
80347639,0.2375,4047.8516,961.5356
80347677,0.1584,4028.3203,637.9308
80347714,0.1320,4047.8516,534.1865
80347752,0.1848,4047.8516,747.8611
80347789,0.1848,4052.7344,748.7632
80347827,0.1584,4052.7344,641.7970
80347864,0.3167,4052.7344,1283.5940
80347902,0.2639,4042.9688,1067.0842
80347941,0.2639,4042.9688,1067.0842
80347979,0.1848,4047.8516,747.8611
80348017,0.1848,4052.7344,748.7632
80348054,0.2375,4047.8516,961.5356
80348092,0.1848,4052.7344,748.7632
80348129,0.3431,4042.9688,1387.2095
80348168,0.1848,4047.8516,747.8611
80348206,0.2375,4047.8516,961.5356
80348242,0.2903,4047.8516,1175.2103
80348281,0.2111,4047.8516,854.6984
80348318,0.1848,4052.7344,748.7632
80348356,0.2111,4042.9688,853.6674
80348393,0.2111,4033.2031,851.6054
80348431,0.3167,4042.9688,1280.5010
80348470,0.1848,4023.4375,743.3505
80348507,0.2111,4047.8516,854.6984
80348545,0.2111,4052.7344,855.7294
80348581,0.2111,4047.8516,854.6984
80348619,0.2375,4047.8516,961.5356
80348656,0.2375,4047.8516,961.5356
80348694,0.2111,4057.6172,856.7604
80348732,0.2111,4052.7344,855.7294
80348769,0.1584,4052.7344,641.7970
80348807,0.1848,4052.7344,748.7632
80348844,0.2111,4052.7344,855.7294
80348881,0.1848,4052.7344,748.7632
80348918,0.3431,4047.8516,1388.8849
80348957,0.1848,4038.0859,746.0569
80348994,0.2111,4052.7344,855.7294
80349032,0.1584,4052.7344,641.7970
80349070,0.2903,4052.7344,1176.6279
80349108,0.2111,4038.0859,852.6364
80349146,0.2111,4057.6172,856.7604
80349182,0.2375,4052.7344,962.6956
80349220,0.1848,4042.9688,746.9590
80349257,0.3167,4042.9688,1280.5010
80349296,1.5308,3881.8359,5942.4224
80349335,1.5836,3920.8984,6209.1929
80349373,1.4253,3881.8359,5532.5996
80349412,1.5308,3935.5469,6024.6445
80349450,1.2669,3916.0156,4961.1685
80349489,1.1877,3950.1953,4691.6909
80349527,1.2405,3916.0156,4857.8105
80349565,1.1613,3959.9609,4598.7725
80349604,1.1877,3916.0156,4651.0952
80349642,1.1877,3945.3125,4685.8916
80349681,1.1613,3935.5469,4570.4199
80349719,1.2405,3945.3125,4894.1533
80349758,1.1085,3925.7813,4351.8477
80349797,1.1085,3945.3125,4373.4990
80349835,1.1349,3935.5469,4466.5464
80349874,1.1613,3950.1953,4587.4312
80349912,1.0557,3950.1953,4170.3921
80349950,1.1085,3945.3125,4373.4990
80349988,1.0821,3935.5469,4258.8003
80350027,1.0557,3950.1953,4170.3921
80350066,1.1085,3925.7813,4351.8477
80350104,1.1085,3945.3125,4373.4990
80350143,1.1085,3940.4297,4368.0859
80350181,1.1877,3940.4297,4680.0923
80350220,1.0821,3945.3125,4269.3682
80350258,1.1085,3945.3125,4373.4990
80350297,1.0821,3950.1953,4274.6519
80350336,1.1349,3935.5469,4466.5464
80350373,1.1349,3930.6641,4461.0049
80350412,1.1877,3940.4297,4680.0923
80350450,1.1877,3945.3125,4685.8916
80350489,1.1085,3920.8984,4346.4351
80350528,1.0821,3945.3125,4269.3682
80350566,1.2141,3935.5469,4778.1660
80350605,1.2405,3950.1953,4900.2104
80350643,1.0821,3935.5469,4258.8003
80350682,1.1349,3940.4297,4472.0879
80350720,1.1349,3930.6641,4461.0049
80350758,1.1085,3945.3125,4373.4990
80350797,1.1613,3935.5469,4570.4199
80350835,1.1085,3945.3125,4373.4990
80350874,1.1349,3935.5469,4466.5464
80350912,1.0821,3945.3125,4269.3682
80350951,1.1349,3940.4297,4472.0879
80350989,1.1349,3945.3125,4477.6294
80351028,1.1613,3925.7813,4559.0786
80351067,1.0557,3945.3125,4165.2368
80351105,1.1085,3920.8984,4346.4351
80351143,1.1613,3940.4297,4576.0903
80351181,1.2405,3935.5469,4882.0391
80351220,1.1085,3950.1953,4378.9116
80351258,1.0821,3935.5469,4258.8003
80351297,1.1085,3945.3125,4373.4990
80351336,1.0821,3930.6641,4253.5166
80351374,1.1877,3935.5469,4674.2930
80351413,1.2405,3925.7813,4869.9248
80351451,1.1877,3925.7813,4662.6938
80351490,1.1085,3916.0156,4341.0225
80351528,1.1085,3950.1953,4378.9116
80351566,1.1613,3920.8984,4553.4082
80351605,1.1349,3940.4297,4472.0879
80351643,1.1349,3925.7813,4455.4629
80351682,1.1349,3950.1953,4483.1714
80351720,1.1613,3916.0156,4547.7378
80351759,1.0821,3945.3125,4269.3682
80351798,1.1613,3916.0156,4547.7378
80351836,1.1613,3945.3125,4581.7607
80351875,1.1349,3916.0156,4444.3799
80351912,1.1613,3935.5469,4570.4199
80351951,1.2933,3911.1328,5058.2114
80351989,1.1877,3925.7813,4662.6938
80352028,1.2405,3906.2500,4845.6963
80352067,1.2669,3935.5469,4985.9121
80352105,1.1613,3901.3672,4530.7266
80352144,1.1877,3940.4297,4680.0923
80352182,1.1613,3896.4844,4525.0557
80352221,1.2933,3920.8984,5070.8408
80352260,1.3197,3896.4844,5142.1089
80352297,1.3725,3920.8984,5381.3008
80352336,1.3197,3896.4844,5142.1089
80352374,1.3197,3945.3125,5206.5459
80352413,1.2669,3896.4844,4936.4243
80352451,1.2933,3950.1953,5108.7305
80352490,1.2405,3911.1328,4851.7534
80352529,1.3461,3945.3125,5310.6772
80352567,1.2405,3891.6016,4827.5249
80352606,1.2933,3945.3125,5102.4155
80352644,1.1877,3920.8984,4656.8945
80352683,1.1613,3950.1953,4587.4312
80352720,1.2405,3901.3672,4839.6392
80352759,1.2669,3950.1953,5004.4702
80352798,1.2669,3916.0156,4961.1685
80352836,1.0821,3945.3125,4269.3682
80352875,1.2669,3916.0156,4961.1685
80352913,1.4253,3925.7813,5595.2329
80352952,1.3725,3911.1328,5367.8975
80352991,1.2933,3911.1328,5058.2114
80353029,1.3725,3916.0156,5374.5991
80353068,1.4253,3896.4844,5553.4775
80353105,1.4253,3911.1328,5574.3555
80353144,1.3461,3906.2500,5258.0962
80353182,1.3197,3911.1328,5161.4399
80353221,1.4253,3896.4844,5553.4775
80353260,1.4253,3916.0156,5581.3145
80353298,1.4780,3891.6016,5751.9448
80353337,1.4516,3901.3672,5663.4077
