,4062.5000,750.5675
84644956,0.2375,4057.6172,963.8554
84644994,0.3167,40684644881,0.2111,4062.5000,857.7914
84644919,0.1848,4062.5000,750.5675
84644956,0.2375,4057.6172,963.8554
84644994,0.3167,406284644881,0.2111,4062.5000,857.7914
84644919,0.1848,4062.5000,750.5675
84644956,0.2375,4057.6172,963.8554
84644994,0.3167,4062.50?b128.6??j84645031,0.2375,4062.5000,965.0153
84645069,0.1584,4057.6172,642.5703
84645106,0.2111,4062.5000,857.7914
84645144,0.2111,4057.6172,856.7604
84645182,0.2111,4067.3828,858.8224
84645219,0.1584,4067.3828,644.1168
84645257,0.1848,4047.8516,747.8611
84645294,0.2111,4047.8516,854.6984
84645331,0.2111,4057.6172,856.7604
84645368,0.3695,4057.6172,1499.3307
84645407,0.2903,4057.6172,1178.0455
84645446,0.2375,4067.3828,966.1752
84645483,0.2375,4057.6172,963.8554
84645521,0.2375,4062.5000,965.0153
84645558,0.2639,4057.6172,1070.9504
84645597,0.2639,4052.7344,1069.6617
84645635,0.2111,4057.6172,856.7604
84645672,0.2111,4062.5000,857.7914
84645709,0.1848,4057.6172,749.6653
84645747,0.2111,4052.7344,855.7294
84645785,0.1848,4062.5000,750.5675
84645822,0.2111,4057.6172,856.7604
84645860,0.2111,4057.6172,856.7604
84645897,0.1848,4067.3828,751.4696
84645935,0.1320,4067.3828,536.7640
84645971,0.1848,4062.5000,750.5675
84646009,0.2375,4062.5000,965.0153
84646047,0.2111,4057.6172,856.7604
84646084,0.1848,4057.6172,749.6653
84646122,0.2639,4052.7344,1069.6617
84646160,0.1584,4062.5000,643.3435
84646198,0.1848,4062.5000,750.5675
84646235,0.2639,4067.3828,1073.5280
84646274,0.1848,4057.6172,749.6653
84646311,0.1848,4067.3828,751.4696
84646348,0.2111,4062.5000,857.7914
84646386,0.2639,4067.3828,1073.5280
84646424,0.1848,4067.3828,751.4696
84646462,0.2375,4062.5000,965.0153
84646499,0.2375,4062.5000,965.0153
84646537,0.1848,4057.6172,749.6653
84646574,0.1848,4057.6172,749.6653
84646611,0.1848,4057.6172,749.6653
84646649,0.1584,4062.5000,643.3435
84646686,0.2111,4067.3828,858.8224
84646724,0.2111,4067.3828,858.8224
84646761,0.1848,4067.3828,751.4696
84646799,0.2111,4067.3828,858.8224
84646836,0.2111,4062.5000,857.7914
84646874,0.1848,4062.5000,750.5675
84646912,0.1848,4057.6172,749.6653
84646948,0.2111,4047.8516,854.6984
84646986,0.1848,4062.5000,750.5675
84647023,0.2375,4052.7344,962.6956
84647061,0.2111,4047.8516,854.6984
84647098,0.2375,4062.5000,965.0153
84647136,0.3695,4067.3828,1502.9392
84647174,0.2375,4072.2656,967.3350
84647212,0.3431,4052.7344,1390.5603
84647250,0.2639,4062.5000,1072.2393
84647288,0.1848,4062.5000,750.5675
84647326,0.2111,4067.3828,858.8224
84647363,0.1584,4047.8516,641.0237
84647401,0.2639,4057.6172,1070.9504
84647439,0.2375,4067.3828,966.1752
84647477,0.2903,4062.5000,1179.4631
84647516,0.2111,4062.5000,857.7914
84647553,0.2375,4057.6172,963.8554
84647590,0.3959,4057.6172,1606.4257
84647628,0.1848,4057.6172,749.6653
84647666,0.2111,4057.6172,856.7604
84647703,0.1848,4057.6172,749.6653
84647741,0.2639,4062.5000,1072.2393
84647780,0.1848,4057.6172,749.6653
84647817,0.2111,4062.5000,857.7914
84647855,0.2111,4067.3828,858.8224
84647891,0.1320,4067.3828,536.7640
84647929,0.2375,4042.9688,960.3758
84647966,0.2111,4062.5000,857.7914
84648004,0.2111,4077.1484,860.8844
84648042,0.3695,4062.5000,1501.1350
84648080,0.2639,4057.6172,1070.9504
84648119,0.2375,4057.6172,963.8554
84648156,0.1584,4062.5000,643.3435
84648194,0.3431,4067.3828,1395.5864
84648231,0.1848,4067.3828,751.4696
84648269,0.2111,4067.3828,858.8224
84648307,0.2111,4067.3828,858.8224
84648344,0.2639,4062.5000,1072.2393
84648383,0.1848,4067.3828,751.4696
84648420,0.2111,4072.2656,859.8534
84648458,0.3959,4057.6172,1606.4257
84648496,0.3695,4067.3828,1502.9392
84648535,0.1848,4062.5000,750.5675
84648571,0.1848,4057.6172,749.6653
84648609,0.1584,4067.3828,644.1168
84648647,0.1848,4062.5000,750.5675
84648684,0.1848,4067.3828,751.4696
84648722,0.2111,4057.6172,856.7604
84648759,0.2375,4047.8516,961.5356
84648797,0.2111,4057.6172,856.7604
84648834,0.2111,4067.3828,858.8224
84648871,0.2111,4062.5000,857.7914
84648909,0.1848,4067.3828,751.4696
84648946,0.1848,4067.3828,751.4696
84648984,0.2375,4067.3828,966.1752
84649021,0.1848,4062.5000,750.5675
84649059,0.2111,4062.5000,857.7914
84649096,0.2111,4062.5000,857.7914
84649134,0.2375,4052.7344,962.6956
84649170,0.2111,4062.5000,857.7914
84649208,0.3431,4057.6172,1392.2356
84649247,0.2111,4067.3828,858.8224
84649284,0.2375,4057.6172,963.8554
84649322,0.2111,4062.5000,857.7914
84649359,0.2111,4062.5000,857.7914
84649397,0.2375,4062.5000,965.0153
84649434,0.3431,4057.6172,1392.2356
84649473,0.2111,4062.5000,857.7914
84649510,0.2111,4042.9688,853.6674
84649547,0.1848,4062.5000,750.5675
84649585,0.2903,4062.5000,1179.4631
84649623,0.1848,4062.5000,750.5675
84649661,0.3431,4067.3828,1395.5864
84649699,0.1848,4052.7344,748.7632
84649737,0.2111,4062.5000,857.7914
84649775,0.1848,4067.3828,751.4696
84649811,0.1848,4067.3828,751.4696
84649849,0.1584,4062.5000,643.3435
84649886,0.3431,4057.6172,1392.2356
84649925,0.1848,4067.3828,751.4696
84649962,0.2111,4062.5000,857.7914
