6872	r??S,438.0859,959.2159
33496910,0.1848,4042.9688,746.9590
33496948,0.2111,4033.2031,851.6054
33496985,0.1848,4038.0859,746.0569
33497023,0.1848,4042.9688,746.9590
33497060,0.1848,4042.9688,746.9590
33497098,0.2111,4038.0859,852.6364
33497135,0.1848,4033.2031,745.1547
33497172,0.2375,4038.0859,959.2159
33497209,0.2111,4038.0859,852.6364
33497247,0.1584,4028.3203,637.9308
33497285,0.1848,4038.0859,746.0569
33497322,0.1848,4038.0859,746.0569
33497360,0.2375,4038.0859,959.2159
33497397,0.1848,4038.0859,746.0569
33497435,0.2111,4033.2031,851.6054
33497472,0.2111,4038.0859,852.6364
33497509,0.2111,4042.9688,853.6674
33497547,0.1848,4038.0859,746.0569
33497584,0.1584,4033.2031,638.7040
33497622,0.3167,4042.9688,1280.5010
33497660,0.2111,4042.9688,853.6674
33497698,0.2111,4038.0859,852.6364
33497735,0.2375,4042.9688,960.3758
33497773,0.2375,4018.5547,954.5764
33497809,0.1848,4038.0859,746.0569
33497847,0.2111,4038.0859,852.6364
33497885,0.2111,4033.2031,851.6054
33497922,0.2111,4038.0859,852.6364
33497960,0.2375,4038.0859,959.2159
33497997,0.2375,4028.3203,956.8962
33498035,0.2639,4038.0859,1065.7954
33498073,0.2639,4042.9688,1067.0842
33498112,0.2639,4042.9688,1067.0842
33498150,0.2111,4038.0859,852.6364
33498187,0.1848,4038.0859,746.0569
33498225,0.2903,4038.0859,1172.3750
33498263,0.3167,4042.9688,1280.5010
33498302,0.2375,4042.9688,960.3758
33498339,0.3431,4033.2031,1383.8588
33498378,0.2111,4038.0859,852.6364
33498416,0.2375,4042.9688,960.3758
33498452,0.2639,4038.0859,1065.7954
33498491,0.2375,4038.0859,959.2159
33498528,0.2639,4018.5547,1060.6405
33498567,0.2111,4042.9688,853.6674
33498604,0.1584,4038.0859,639.4772
33498642,0.2111,4038.0859,852.6364
33498680,0.2375,4033.2031,958.0560
33498717,0.2111,4042.9688,853.6674
33498755,0.2639,4042.9688,1067.0842
33498792,0.1848,4033.2031,745.1547
33498830,0.2111,4038.0859,852.6364
33498867,0.3167,4033.2031,1277.4081
33498906,0.2111,4038.0859,852.6364
33498944,0.1584,4042.9688,640.2505
33498981,0.2375,4042.9688,960.3758
33499019,0.2111,4038.0859,852.6364
33499056,0.2375,4042.9688,960.3758
33499094,0.1584,4042.9688,640.2505
33499130,0.2639,4033.2031,1064.5067
33499169,0.2375,4042.9688,960.3758
33499206,0.3695,4038.0859,1492.1138
33499245,0.2375,4038.0859,959.2159
33499283,0.2111,4038.0859,852.6364
33499320,0.3695,4038.0859,1492.1138
33499359,0.2375,4038.0859,959.2159
33499396,0.1848,4023.4375,743.3505
33499433,0.2111,4038.0859,852.6364
33499470,0.2111,4042.9688,853.6674
33499508,0.2375,4028.3203,956.8962
33499546,0.2111,4042.9688,853.6674
33499583,0.3431,4038.0859,1385.5342
33499622,0.2375,4038.0859,959.2159
33499659,0.2639,4033.2031,1064.5067
33499698,0.2375,4038.0859,959.2159
33499735,0.1584,4042.9688,640.2505
33499772,0.2639,4042.9688,1067.0842
33499811,0.3167,4038.0859,1278.9545
33499849,0.2375,4038.0859,959.2159
33499887,0.1584,4028.3203,637.9308
33499924,0.2111,4042.9688,853.6674
33499962,0.2111,4042.9688,853.6674
33499999,0.1848,4042.9688,746.9590
33500037,0.2375,4023.4375,955.7363
33500073,0.3695,4042.9688,1493.9180
33500112,0.3695,4038.0859,1492.1138
33500151,0.2375,4033.2031,958.0560
33500188,0.2639,4042.9688,1067.0842
33500227,0.2111,4038.0859,852.6364
33500264,0.2111,4033.2031,851.6054
33500302,0.2375,4038.0859,959.2159
33500339,0.2375,4047.8516,961.5356
33500377,0.1848,4042.9688,746.9590
33500414,0.1848,4042.9688,746.9590
33500451,0.1848,4047.8516,747.8611
33500489,0.2375,4042.9688,960.3758
33500526,0.1584,4052.7344,641.7970
33500564,0.2639,4042.9688,1067.0842
33500602,0.2375,4042.9688,960.3758
33500640,0.1848,4042.9688,746.9590
33500678,0.2111,4042.9688,853.6674
33500715,0.2639,4047.8516,1068.3729
33500753,0.1848,4042.9688,746.9590
33500790,0.2375,4038.0859,959.2159
33500828,0.2375,4042.9688,960.3758
33500865,0.2375,4038.0859,959.2159
33500903,0.2639,4038.0859,1065.7954
33500942,0.2111,4033.2031,851.6054
33500979,0.1848,4028.3203,744.2526
33501017,0.1848,4042.9688,746.9590
33501053,0.2375,4033.2031,958.0560
33501091,0.2111,4038.0859,852.6364
33501128,0.1584,4047.8516,641.0237
33501166,0.2375,4038.0859,959.2159
33501203,0.3167,4038.0859,1278.9545
33501242,0.2111,4033.2031,851.6054
33501280,0.3167,4038.0859,1278.9545
33501318,0.2111,4042.9688,853.6674
33501356,0.1848,4042.9688,746.9590
33501392,0.2111,4038.0859,852.6364
33501430,0.2111,4038.0859,852.6364
33501467,0.2111,4033.2031,851.6054
33501505,0.2639,4047.8516,1068.3729
33501544,0.2639,4042.9688,1067.0842
33501582,0.2111,4042.9688,853.6674
33501620,0.3431,4042.9688,1387.2095
33501658,0.3959,4038.0859,1598.6932
33501697,0.1848,4038.0859,746.0569
33501733,0.2375,4023.4375,955.7363
33501771,0.1848,4042.9688,746.9590
33501809,0.3431,4038.0859,1385.5342
33501847,0.1848,4028.3203,744.2526
33501885,0.2375,4028.3203,956.8962
33501922,0.2111,4042.9688,853.6674
33501960,0.1848,4042.9688,746.9590
33501997,0.2111,4038.0859,852.6364
33502034,0.2111,4042.9688,853.6674
33502072,0.1848,4042.9688,746.9590
33502109,0.2111,4023.4375,849.5434
33502147,0.2111,4042.9688,853.6674
33502184,0.2903,4038.0859,1172.3750
33502223,0.1848,4042.9688,746.9590
33502260,0.2375,4042.9688,960.3758
33502298,0.2639,4047.8516,1068.3729
33502336,0.2375,4038.0859,959.2159
33502373,0.3431,4038.0859,1385.5342
33502412,0.2111,4042.9688,853.6674
33502449,0.2375,4042.9688,960.3758
33502487,0.1848,4042.9688,746.9590
33502524,0.2375,4042.9688,960.3758
33502562,0.3695,4038.0859,1492.1138
33502600,0.2375,4033.2031,958.0560
33502638,0.2375,4038.0859,959.2159
33502675,0.2375,4042.9688,960.3758
33502712,0.2111,4047.8516,854.6984
33502750,0.2639,4042.9688,1067.0842
33502788,0.1848,4038.0859,746.0569
33502826,0.2639,4042.9688,1067.0842
33502864,0.2111,4042.9688,853.6674
33502902,0.2111,4038.0859,852.6364
33502940,0.2639,4042.9688,1067.0842
33502978,0.2639,4047.8516,1068.3729
33503016,0.3695,4042.9688,1493.9180
33503054,0.2639,4033.2031,1064.5067
33503093,0.2639,4038.0859,1065.7954
33503131,0.2111,4028.3203,850.5744
33503169,0.2111,4018.5547,848.5124
33503207,0.2111,4033.2031,851.6054
33503244,0.2375,4038.0859,959.2159
33503282,0.1584,4042.9688,640.2505
