,0.1584,2426.7578,384.3050
2547650,0.1848,2421.8750,447.4537
2547686,0.1848,2451.1719,452.8664
2547723,r???b&?M	???b???r????j2547759,0.1584,2431.6406,385.0782
2547795,0.1584,2412.1094,381.9852
2547831,0.1848,2436.5234,450.1601
2547868,0.1584,2456.0547,388.9445
2547904,0.1848,2451.1719,452.8664
2547941,0.2111,2446.2891,516.5306
2547977,0.1584,2426.7578,384.3050
2548014,0.1848,2446.2891,451.9643
2548050,0.2111,2436.5234,514.4686
2548086,0.1584,2460.9375,389.7177
2548123,0.1584,2436.5234,385.8515
2548159,0.2111,2416.9922,510.3446
2548196,0.1584,2421.8750,383.5317
2548232,0.2111,2431.6406,513.4376
2548269,0.1056,2456.0547,259.2963
2548304,0.1848,2431.6406,449.2579
2548341,0.2111,2426.7578,512.4066
2548377,0.1584,2426.7578,384.3050
2548414,0.1848,2416.9922,446.5516
2548451,0.2375,2451.1719,582.2568
2548487,0.1848,2446.2891,451.9643
2548524,0.1848,2436.5234,450.1601
2548559,0.2111,2416.9922,510.3446
2548596,0.1584,2441.4063,386.6247
2548632,0.1320,2456.0547,324.1204
2548669,0.2111,2431.6406,513.4376
2548705,0.1848,2451.1719,452.8664
2548742,0.2375,2412.1094,572.9778
2548777,0.1320,2407.2266,317.6766
2548814,0.1848,2441.4063,451.0622
2548851,0.1584,2451.1719,388.1712
2548887,0.1848,2451.1719,452.8664
2548924,0.1848,2402.3438,443.8452
2548960,0.1848,2431.6406,449.2579
2548997,0.2111,2426.7578,512.4066
2549032,0.1320,2441.4063,322.1873
2549069,0.1848,2373.0469,438.4324
2549105,0.1584,2387.6953,378.1190
2549142,0.1584,2431.6406,385.0782
2549178,0.1848,2421.8750,447.4537
2549215,0.1584,2456.0547,388.9445
2549252,0.2375,2456.0547,583.4167
2549287,0.2111,2431.6406,513.4376
2549324,0.1584,2431.6406,385.0782
2549360,0.1320,2446.2891,322.8316
2549397,0.1848,2451.1719,452.8664
2549433,0.1584,2441.4063,386.6247
2549470,0.1584,2446.2891,387.3979
2549506,0.1848,2421.8750,447.4537
2549542,0.1320,2407.2266,317.6766
2549578,0.2111,2436.5234,514.4686
2549615,0.1320,2446.2891,322.8316
2549652,0.1848,2456.0547,453.7686
2549688,0.1848,2416.9922,446.5516
2549725,0.1848,2431.6406,449.2579
2549761,0.1584,2441.4063,386.6247
2549797,0.1848,2431.6406,449.2579
2549833,0.1848,2436.5234,450.1601
2549870,0.1848,2426.7578,448.3558
2549906,0.1848,2412.1094,445.6494
2549943,0.1584,2436.5234,385.8515
2549980,0.1320,2460.9375,324.7648
2550016,0.1848,2465.8203,455.5728
2550052,0.1848,2416.9922,446.5516
2550088,0.1848,2436.5234,450.1601
2550125,0.2111,2431.6406,513.4376
2550161,0.1584,2431.6406,385.0782
2550198,0.1848,2456.0547,453.7686
2550234,0.2375,2451.1719,582.2568
2550270,0.2111,2426.7578,512.4066
2550306,0.1584,2382.8125,377.3457
2550343,0.1320,2421.8750,319.6098
2550380,0.1320,2446.2891,322.8316
2550416,0.1584,2441.4063,386.6247
2550453,0.1584,2431.6406,385.0782
2550489,0.1584,2426.7578,384.3050
2550525,0.2111,2451.1719,517.5616
2550561,0.1848,2426.7578,448.3558
2550598,0.2111,2441.4063,515.4996
2550634,0.2375,2412.1094,572.9778
2550671,0.2375,2407.2266,571.8179
2550707,0.3695,2426.7578,896.7116
2550744,0.1848,2451.1719,452.8664
2550780,0.1848,2446.2891,451.9643
2550816,0.2111,2426.7578,512.4066
2550853,0.1848,2426.7578,448.3558
2550889,0.1584,2412.1094,381.9852
2550926,0.1584,2416.9922,382.7585
2550962,0.1848,2446.2891,451.9643
2550999,0.3431,2436.5234,836.0115
2551034,0.2111,2436.5234,514.4686
2551071,0.1848,2412.1094,445.6494
2551107,0.1584,2431.6406,385.0782
2551144,0.1848,2451.1719,452.8664
2551181,0.3167,2431.6406,770.1564
2551217,0.1848,2426.7578,448.3558
2551254,0.2375,2421.8750,575.2976
2551289,0.2111,2407.2266,508.2826
2551326,0.1584,2460.9375,389.7177
2551362,0.1848,2441.4063,451.0622
2551399,0.2903,2451.1719,711.6473
2551435,0.2375,2412.1094,572.9778
2551472,0.3167,2416.9922,765.5169
2551507,0.2111,2436.5234,514.4686
2551544,0.1848,2426.7578,448.3558
2551581,0.1584,2436.5234,385.8515
2551617,0.1848,2416.9922,446.5516
2551654,0.1848,2426.7578,448.3558
2551690,0.3167,2416.9922,765.5169
2551727,0.2375,2456.0547,583.4167
2551762,0.2111,2451.1719,517.5616
2551799,0.3431,2426.7578,832.6608
2551835,0.1320,2431.6406,320.8985
2551872,0.1584,2436.5234,385.8515
2551908,0.1320,2465.8203,325.4091
2551945,0.1848,2456.0547,453.7686
2551982,0.3695,2441.4063,902.1244
2552017,0.1848,2421.8750,447.4537
2552054,0.3167,2412.1094,763.9704
2552090,0.2111,2436.5234,514.4686
2552127,0.1848,2460.9375,454.6707
2552163,0.1584,2416.9922,382.7585
2552200,0.2111,2412.1094,509.3136
2552236,0.1584,2402.3438,380.4387
2552272,0.3167,2431.6406,770.1564
2552309,0.1848,2475.5859,457.3770
2552345,0.1848,2456.0547,453.7686
2552382,0.3431,2426.7578,832.6608
2552418,0.1848,2397.4609,442.9431
2552455,0.1584,2426.7578,384.3050
2552491,0.1584,2446.2891,387.3979
2552527,0.2111,2460.9375,519.6237
2552563,0.1848,2426.7578,448.3558
2552600,0.1584,2426.7578,384.3050
2552636,0.2111,2421.8750,511.3756
2552673,0.2111,2426.7578,512.4066
2552710,0.2111,2446.2891,516.5306
2552745,0.2903,2441.4063,708.8120
2552782,0.2111,2426.7578,512.4066
2552818,0.1848,2421.8750,447.4537
2552855,0.2111,2436.5234,514.4686
2552891,0.1584,2456.0547,388.9445
2552928,0.2111,2436.5234,514.4686
2552964,0.1848,2431.6406,449.2579
2553000,0.1848,2421.8750,447.4537
2553036,0.3167,2402.3438,760.8774
2553073,0.3167,2446.2891,774.7959
2553110,0.1584,2441.4063,386.6247
2553146,0.3959,2441.4063,966.5618
2553183,0.1056,2412.1094,254.6568
2553219,0.1848,2412.1094,445.6494
2553255,0.1320,2426.7578,320.2542
2553291,0.2111,2451.1719,517.5616
2553328,0.2375,2441.4063,579.9371
2553364,0.2903,2416.9922,701.7239
2553401,0.1848,2431.6406,449.2579
2553437,0.2111,2412.1094,509.3136
2553474,0.2903,2412.1094,700.3063
2553510,0.3431,2441.4063,837.6869
2553546,0.1848,2416.9922,446.5516
2553583,0.1848,2412.1094,445.6494
2553619,0.2375,2416.9922,574.1377
2553656,0.2375,2446.2891,581.0969
2553692,0.1848,2431.6406,449.2579
2553729,0.2111,2451.1719,517.5616
2553764,0.1848,2431.6406,449.2579
2553801,0.1320,2421.8750,319.6098
2553837,0.1848,2441.4063,451.0622
2553874,0.1848,2451.1719,452.8664
2553911,0.1320,2431.6406,320.8985
2553947,0.1848,2431.6406,449.2579
2553984,0.3431,2421.8750,830.9854
2554019,0.1584,2446.2891,387.3979
2554056,0.2639,2436.5234,643.0858
2554092,0.1584,2446.2891,387.3979
2554129,0.2111,2412.1094,509.3136
2554165,0.1848,2421.8750,447.4537
2554202,0.1584,2426.7578,384.3050
2554237,0.1848,2446.2891,451.9643
2554274,0.3431,2456.0547,842.7130
2554311,0.1848,2421.8750,447.4537
2554347,0.3167,2426.7578,768.6099
2554384,0.1320,2412.1094,318.3210
2554420,0.2111,2416.9922,510.3446
2554457,0.2111,2446.2891,516.5306
2554492,0.2375,2426.7578,576.4575
2554529,0.2111,2416.9922,510.3446
2554565,0.1584,2431.6406,385.0782
2554602,0.3167,2416.9922,765.5169
2554639,0.2903,2431.6406,705.9767
2554675,0.2903,2421.8750,703.1415
2554712,0.2111,2421.8750,511.3756
2554747,0.2375,2392.5781,568.3383
2554784,0.3167,2416.9922,765.5169
2554820,0.1848,2475.5859,457.3770
2554857,0.1584,2460.9375,389.7177
2554893,0.1848,2436.5234,450.1601
2554930,0.2903,2421.8750,703.1415
2554966,0.2375,2441.4063,579.9371
2555002,0.2639,2456.0547,648.2408
2555039,0.1584,2441.4063,386.6247
2555075,0.1320,2451.1719,323.4760
2555112,0.1056,2416.9922,255.1723
2555148,0.3167,2431.6406,770.1564
2555185,0.2903,2421.8750,703.1415
2555220,0.1584,2436.5234,385.8515
2555257,0.1848,2436.5234,450.1601
2555293,0.1584,2392.5781,378.8922
2555330,0.1320,2421.8750,319.6098
2555366,0.3167,2431.6406,770.1564
2555403,0.2639,2441.4063,644.3745
2555440,0.2111,2431.6406,513.4376
2555475,0.1584,2416.9922,382.7585
2555512,0.2111,2421.8750,511.3756
2555548,0.1320,2416.9922,318.9654
2555585,0.1584,2431.6406,385.0782
2555621,0.3431,2436.5234,836.0115
2555658,0.2111,2421.8750,511.3756
2555694,0.2375,2426.7578,576.4575
2555730,0.1584,2451.1719,388.1712
2555766,0.1848,2451.1719,452.8664
2555803,0.1584,2446.2891,387.3979
2555840,0.1848,2436.5234,450.1601
2555876,0.1848,2426.7578,448.3558
2555913,0.2111,2412.1094,509.3136
2555949,0.1848,2421.8750,447.4537
2555985,0.1584,2441.4063,386.6247
2556021,0.1320,2416.9922,318.9654
2556058,0.1848,2421.8750,447.4537
2556094,0.2903,2412.1094,700.3063
2556131,0.2639,2421.8750,639.2195
2556167,0.1584,2431.6406,385.0782
2556204,0.3167,2441.4063,773.2494
2556240,0.1584,2421.8750,383.5317
2556276,0.2111,2412.1094,509.3136
2556313,0.2903,2426.7578,704.5591
2556349,0.2375,2446.2891,581.0969
2556386,0.3167,2470.7031,782.5284
