12031,1064.506038.0859,959.2159
349412849,0.2111,4106.4453,867.0704
349412887,0.2375,4023.4375,955.7363
349412926,0.2639,4033.2031,1064.5067
3491266,r???b????r????b???r????j349413004,0.1848,3969.7266,733.4271
349413043,0.2111,4028.3203,850.5744
349413081,0.2111,4033.2031,851.6054
349413120,0.3959,4072.2656,1612.2251
349413158,0.2639,4038.0859,1065.7954
349413198,0.2375,4033.2031,958.0560
349413237,0.2375,4008.7891,952.2567
349413275,0.2111,4023.4375,849.5434
349413314,0.2375,4028.3203,956.8962
349413352,0.2111,4028.3203,850.5744
349413391,0.3431,4028.3203,1382.1833
349413431,0.2375,4033.2031,958.0560
349413469,0.2639,4033.2031,1064.5067
349413509,0.2639,4033.2031,1064.5067
349413548,0.2375,4028.3203,956.8962
349413586,0.2639,4023.4375,1061.9292
349413626,0.3431,4028.3203,1382.1833
349413665,0.2111,4033.2031,851.6054
349413704,0.2903,4023.4375,1168.1222
349413743,0.2375,4023.4375,955.7363
349413782,0.2903,4033.2031,1170.9574
349413821,0.3695,4028.3203,1488.5052
349413861,0.2375,4033.2031,958.0560
349413900,0.3959,4033.2031,1596.7600
349413939,0.2111,4033.2031,851.6054
349413978,0.2111,4008.7891,846.4504
349414016,0.2903,4028.3203,1169.5398
349414055,0.2903,4082.0313,1185.1337
349414095,0.2375,4023.4375,955.7363
349414133,0.2375,4038.0859,959.2159
349414172,0.2111,4018.5547,848.5124
349414210,0.2375,4028.3203,956.8962
349414249,0.3167,4023.4375,1274.3151
349414288,0.4223,4023.4375,1699.0868
349414328,0.2375,4033.2031,958.0560
349414367,0.2903,4033.2031,1170.9574
349414406,0.2375,4023.4375,955.7363
349414445,0.2639,4028.3203,1063.2180
349414483,0.2111,4028.3203,850.5744
349414522,0.2639,4028.3203,1063.2180
349414562,0.3431,4028.3203,1382.1833
349414601,0.3167,4028.3203,1275.8616
349414641,0.2111,4023.4375,849.5434
349414679,0.2375,4033.2031,958.0560
349414718,0.2375,4003.9063,951.0968
349414756,0.2639,4023.4375,1061.9292
349414796,0.2639,4028.3203,1063.2180
349414836,0.3431,4038.0859,1385.5342
349414875,0.2375,4013.6719,953.4166
349414914,0.2639,4028.3203,1063.2180
349414952,0.2903,4028.3203,1169.5398
349414992,0.2903,4008.7891,1163.8693
349415032,0.2639,4042.9688,1067.0842
349415071,0.2375,4038.0859,959.2159
349415110,0.2111,4038.0859,852.6364
349415148,0.2111,4028.3203,850.5744
349415187,0.2375,4033.2031,958.0560
349415226,0.2375,4023.4375,955.7363
349415264,0.2375,4033.2031,958.0560
349415303,0.2639,4013.6719,1059.3517
349415342,0.2903,4028.3203,1169.5398
349415382,0.3167,4013.6719,1271.2220
349415420,0.2639,4028.3203,1063.2180
349415460,0.2111,4033.2031,851.6054
349415499,0.2639,4028.3203,1063.2180
349415538,0.2375,3979.4922,945.2974
349415577,0.2639,4038.0859,1065.7954
349415616,0.2111,4047.8516,854.6984
349415655,0.2375,4033.2031,958.0560
349415694,0.2375,4062.5000,965.0153
349415732,0.2375,4003.9063,951.0968
349415771,0.2111,4008.7891,846.4504
