84,4072.2656,644.8900
1914337,0.2111,4082.0313,861.9154
1914374,0.1848,4067.3828,751.4696
1914411,0.1320,4077.1484,538.0527
84,4072.2656,644.8900
1914337,0.2111,4082.0313,861.9154
1914374,0.1848,4067.3828,751.4696
1914411,0.1320,4077.1484,538.0527
14,4072.2656,644.8900
1914337,0.2111,4082.0313,861.9154
1914374,0.1848,4067.3828,751.4696
1914411,0.1320,4077.1484,538.0527
19???	)?48,4077.1484,753.2739
1914483,0.1848,4086.9141,755.0781
1914519,0.1848,4086.9141,755.0781
1914556,0.1584,4077.1484,645.6633
1914592,0.1584,4072.2656,644.8900
1914629,0.1320,4082.0313,538.6971
1914664,0.1320,3989.2578,526.4540
1914701,0.1320,4116.2109,543.2077
1914737,0.1584,4086.9141,647.2098
1914774,0.1584,4082.0313,646.4365
1914811,0.1320,4091.7969,539.9858
1914847,0.1848,4082.0313,754.1760
1914884,0.1320,4086.9141,539.3415
1914919,0.1584,4082.0313,646.4365
1914956,0.2111,4082.0313,861.9154
1914992,0.1848,4067.3828,751.4696
1915029,0.1584,4091.7969,647.9830
1915065,0.1848,4091.7969,755.9802
1915102,0.1320,4091.7969,539.9858
1915138,0.1056,4072.2656,429.9267
1915174,0.1848,4082.0313,754.1760
1915211,0.1320,4096.6797,540.6302
1915247,0.1584,4086.9141,647.2098
1915284,0.1848,4082.0313,754.1760
1915320,0.1584,4086.9141,647.2098
1915357,0.1320,4086.9141,539.3415
1915393,0.1584,4082.0313,646.4365
1915429,0.2111,4082.0313,861.9154
1915465,0.1320,4082.0313,538.6971
1915502,0.1320,4086.9141,539.3415
1915538,0.1584,4072.2656,644.8900
1915575,0.1848,4086.9141,755.0781
1915612,0.1584,4199.2188,664.9945
1915648,0.1584,4086.9141,647.2098
1915684,0.1848,4082.0313,754.1760
1915720,0.1320,4042.9688,533.5421
1915757,0.1320,4077.1484,538.0527
1915793,0.1584,4082.0313,646.4365
1915830,0.1848,4082.0313,754.1760
1915866,0.1320,4091.7969,539.9858
1915902,0.1584,4077.1484,645.6633
1915939,0.1320,4077.1484,538.0527
1915975,0.1584,4086.9141,647.2098
1916012,0.2111,4086.9141,862.9464
1916048,0.2111,4077.1484,860.8844
1916085,0.1848,4077.1484,753.2739
1916121,0.1320,4086.9141,539.3415
1916157,0.1584,4077.1484,645.6633
1916193,0.1320,4082.0313,538.6971
1916230,0.1848,4082.0313,754.1760
1916266,0.1584,4086.9141,647.2098
1916303,0.2111,4091.7969,863.9774
1916340,0.1584,4082.0313,646.4365
1916376,0.1056,4052.7344,427.8647
1916412,0.1584,4091.7969,647.9830
1916448,0.1584,4082.0313,646.4365
1916485,0.1584,4160.1563,658.8085
1916521,0.1320,4072.2656,537.4083
1916558,0.1320,4082.0313,538.6971
1916594,0.1584,4077.1484,645.6633
1916631,0.1320,4082.0313,538.6971
1916666,0.1320,4082.0313,538.6971
1916703,0.1584,4091.7969,647.9830
1916740,0.1320,4086.9141,539.3415
1916776,0.1584,4091.7969,647.9830
1916813,0.1584,4033.2031,638.7040
1916849,0.1848,4082.0313,754.1760
1916886,0.1584,4091.7969,647.9830
1916921,0.1848,4082.0313,754.1760
1916958,0.1320,4091.7969,539.9858
1916994,0.1584,4082.0313,646.4365
1917031,0.2111,4082.0313,861.9154
1917067,0.1320,4082.0313,538.6971
1917104,0.3431,4077.1484,1398.9371
1917142,0.1848,4077.1484,753.2739
1917177,0.1056,4082.0313,430.9577
1917214,0.2903,4077.1484,1183.7161
1917251,0.2111,4145.5078,875.3184
1917288,0.1848,4052.7344,748.7632
1917324,0.1320,4086.9141,539.3415
1917361,0.2903,4082.0313,1185.1337
1917398,0.3167,4082.0313,1292.8730
1917435,0.1584,4082.0313,646.4365
1917472,0.1848,4047.8516,747.8611
1917508,0.1320,4082.0313,538.6971
1917545,0.2111,4067.3828,858.8224
1917581,0.1848,4082.0313,754.1760
1917618,0.1320,4077.1484,538.0527
1917654,0.1320,4082.0313,538.6971
