960,0.1??,?8.203,744.2526
351128997,0.2639,4028.3203,1063.2180
351129037,0.1848,4028.3203,744.2526
351129075,0.2639,4033.2031,1064.5067
351129115,0.2639,4028.3203,1063.2180
351129155,0.2111,4033.2031,851.6054
351129193,0.2903,4033.2031,1170.9574
351129233,0.2375,4028.3203,956.8962
351129271,0.2111,4038.0859,852.6364
351129310,0.2375,4033.2031,958.0560
351129349,0.2639,4028.3203,1063.2180
351129388,0.2375,4038.0859,959.2159
351129426,0.2111,4038.0859,852.6364
351129464,0.2375,3994.1406,948.7770
351129503,0.1848,4013.6719,741.5463
351129541,0.2375,4038.0859,959.2159
351129580,0.2111,4033.2031,851.6054
351129619,0.2375,4033.2031,958.0560
351129657,0.2375,4028.3203,956.8962
351129696,0.2903,4033.2031,1170.9574
351129735,0.2639,4033.2031,1064.5067
351129775,0.2111,4033.2031,851.6054
351129814,0.2111,4033.2031,851.6054
351129851,0.2903,4038.0859,1172.3750
351129891,0.2375,4038.0859,959.2159
351129929,0.2639,4038.0859,1065.7954
351129969,0.2375,4033.2031,958.0560
351130008,0.2639,4033.2031,1064.5067
351130047,0.2375,4033.2031,958.0560
351130086,0.1848,4028.3203,744.2526
351130124,0.2111,4038.0859,852.6364
351130163,0.2903,4033.2031,1170.9574
351130202,0.2639,4033.2031,1064.5067
351130242,0.2111,4008.7891,846.4504
351130280,0.2375,4072.2656,967.3350
351130318,0.2111,4038.0859,852.6364
351130357,0.2639,4033.2031,1064.5067
351130396,0.1848,4033.2031,745.1547
351130435,0.2639,4038.0859,1065.7954
351130475,0.1848,4013.6719,741.5463
351130513,0.2639,4038.0859,1065.7954
351130553,0.2903,4023.4375,1168.1222
351130592,0.3167,4023.4375,1274.3151
351130632,0.1848,4038.0859,746.0569
351130670,0.2639,4038.0859,1065.7954
351130710,0.3695,4042.9688,1493.9180
351130749,0.2375,4033.2031,958.0560
351130787,0.2639,4018.5547,1060.6405
351130827,0.2375,3940.4297,936.0184
351130865,0.2375,4028.3203,956.8962
351130904,0.2375,3974.6094,944.1376
351130943,0.2375,4008.7891,952.2567
351130981,0.2639,4033.2031,1064.5067
351131021,0.2903,4028.3203,1169.5398
351131060,0.2639,4033.2031,1064.5067
351131100,0.2903,4038.0859,1172.3750
351131139,0.2111,4033.2031,851.6054
351131177,0.2111,4038.0859,852.6364
351131216,0.3167,4033.2031,1277.4081
351131255,0.2111,4038.0859,852.6364
351131294,0.2375,4033.2031,958.0560
351131332,0.3695,4028.3203,1488.5052
351131372,0.2903,4023.4375,1168.1222
351131412,0.2639,4013.6719,1059.3517
351131451,0.2639,4013.6719,1059.3517
351131491,0.2111,4033.2031,851.6054
351131529,0.2111,4033.2031,851.6054
351131568,0.3431,4038.0859,1385.5342
351131608,0.2639,4033.2031,1064.5067
351131646,0.3167,4028.3203,1275.8616
351131686,0.2903,4038.0859,1172.3750
351131725,0.2903,4042.9688,1173.7927
351131765,0.2903,4033.2031,1170.9574
351131804,0.2639,4028.3203,1063.2180
351131844,0.2903,4033.2031,1170.9574
351131884,0.2375,4038.0859,959.2159
351131922,0.2639,4033.2031,1064.5067
351131962,0.2903,4042.9688,1173.7927
351132001,0.2375,4013.6719,953.4166
351132040,0.2639,4042.9688,1067.0842
351132080,0.2375,4018.5547,954.5764
351132118,0.2903,4013.6719,1165.2870
351132157,0.2639,4033.2031,1064.5067
351132196,0.2111,4028.3203,850.5744
351132235,0.2375,4028.3203,956.8962
351132274,0.2639,4038.0859,1065.7954
351132313,0.2111,4023.4375,849.5434
351132352,0.2375,4038.0859,959.2159
351132390,0.2375,4033.2031,958.0560
351132429,0.2639,4033.2031,1064.5067
351132468,0.3167,4013.6719,1271.2220
351132508,0.3431,3950.1953,1355.3774
351132548,0.2903,4033.2031,1170.9574
351132587,0.2375,4013.6719,953.4166
351132625,0.2639,4038.0859,1065.7954
351132664,0.2375,4023.4375,955.7363
351132703,0.3167,4033.2031,1277.4081
351132743,0.2375,4038.0859,959.2159
351132781,0.2375,4033.2031,958.0560
351132820,0.4223,4033.2031,1703.2108
351132859,0.2375,4033.2031,958.0560
351132898,0.2375,4028.3203,956.8962
351132936,0.2639,4028.3203,1063.2180
351132976,0.2375,4038.0859,959.2159
351133015,0.3959,4033.2031,1596.7600
351133053,0.2639,4033.2031,1064.5067
351133093,0.2111,4038.0859,852.6364
351133131,0.2375,4013.6719,953.4166
351133170,0.3959,4218.7500,1670.2188
351133210,0.2111,4018.5547,848.5124
351133248,0.3959,4038.0859,1598.6932
351133288,0.2111,4038.0859,852.6364
351133326,0.3167,4033.2031,1277.4081
351133366,0.2375,4033.2031,958.0560
351133405,0.2639,4023.4375,1061.9292
351133444,0.1848,4042.9688,746.9590
351133483,0.3695,4033.2031,1490.3094
351133521,0.3431,4033.2031,1383.8588
351133561,0.2375,4042.9688,960.3758
351133599,0.2903,4057.6172,1178.0455
351133639,0.2375,4042.9688,960.3758
351133678,0.1848,4018.5547,742.4484
351133716,0.2903,4038.0859,1172.3750
351133756,0.2375,4033.2031,958.0560
351133794,0.2639,4033.2031,1064.5067
351133834,0.2903,4038.0859,1172.3750
351133874,0.2375,4042.9688,960.3758
351133912,0.2375,4033.2031,958.0560
351133950,0.2375,4038.0859,959.2159
351133988,0.2375,4028.3203,956.8962
351134027,0.2111,4028.3203,850.5744
351134065,0.1848,4013.6719,741.5463
351134104,0.2375,4013.6719,953.4166
351134143,0.2375,4033.2031,958.0560
351134181,0.2375,4028.3203,956.8962
351134220,0.2639,4033.2031,1064.5067
351134259,0.2639,4042.9688,1067.0842
351134299,0.2375,4013.6719,953.4166
351134338,0.2639,3999.0234,1055.4855
351134376,0.2639,4038.0859,1065.7954
351134416,0.2375,4038.0859,959.2159
351134454,0.2111,4033.2031,851.6054
351134493,0.2375,4038.0859,959.2159
351134531,0.2111,4018.5547,848.5124
351134570,0.2639,4038.0859,1065.7954
351134610,0.2375,4038.0859,959.2159
351134648,0.2375,4028.3203,956.8962
351134687,0.1848,4023.4375,743.3505
351134725,0.2111,4033.2031,851.6054
351134764,0.1848,4033.2031,745.1547
351134802,0.2639,4013.6719,1059.3517
351134841,0.2639,4033.2031,1064.5067
351134881,0.2639,4038.0859,1065.7954
351134920,0.2639,4028.3203,1063.2180
351134960,0.2111,4116.2109,869.1324
351134998,0.1848,4057.6172,749.6653
351135037,0.2375,4033.2031,958.0560
351135076,0.3167,4042.9688,1280.5010
351135115,0.3167,4033.2031,1277.4081
351135155,0.2639,4033.2031,1064.5067
351135194,0.2375,4033.2031,958.0560
351135233,0.2639,4033.2031,1064.5067
351135272,0.2111,4018.5547,848.5124
351135310,0.2639,4028.3203,1063.2180
351135350,0.3695,4033.2031,1490.3094
351135389,0.2639,4033.2031,1064.5067
351135429,0.3167,4038.0859,1278.9545
351135469,0.2375,4038.0859,959.2159
351135507,0.3959,4130.8594,1635.4225
351135547,0.2375,4038.0859,959.2159
351135585,0.2639,4038.0859,1065.7954
351135625,0.2639,4033.2031,1064.5067
351135664,0.2111,4028.3203,850.5744
351135703,0.2375,4038.0859,959.2159
351135741,0.2111,4013.6719,847.4814
351135779,0.2639,4033.2031,1064.5067
351135819,0.2639,4033.2031,1064.5067
351135858,0.2639,4018.5547,1060.6405
351135898,0.3431,4028.3203,1382.1833
351135938,0.1848,4047.8516,747.8611
351135976,0.2639,4033.2031,1064.5067
351136016,0.2111,4038.0859,852.6364
351136054,0.2375,4038.0859,959.2159
351136093,0.2375,4038.0859,959.2159
351136131,0.3167,3891.6016,1232.5596
351136171,0.3959,4038.0859,1598.6932
351136210,0.3167,4042.9688,1280.5010
351136249,0.2375,4038.0859,959.2159
351136288,0.3167,4033.2031,1277.4081
351136327,0.2639,4013.6719,1059.3517
351136367,0.3695,3989.2578,1474.0713
351136407,0.2639,4038.0859,1065.7954
351136446,0.1848,4042.9688,746.9590
351136485,0.2111,4042.9688,853.6674
351136523,0.3167,4038.0859,1278.9545
351136563,0.2639,4033.2031,1064.5067
351136603,0.3431,4038.0859,1385.5342
351136642,0.2111,4038.0859,852.6364
351136680,0.2903,4028.3203,1169.5398
351136719,1.4780,3852.5391,5694.2090
351136759,1.5044,3876.9531,5832.6206
351136799,1.4253,3828.1250,5456.0483
351136838,1.5308,3872.0703,5927.4727
351136878,1.3461,3876.9531,5218.6606
351136917,1.3197,3886.7188,5129.2212
351136957,1.2669,3901.3672,4942.6104
351136996,1.2141,3906.2500,4742.5967
351137036,1.2141,3896.4844,4730.7402
351137076,1.2141,3886.7188,4718.8838
351137115,1.2933,3911.1328,5058.2114
351137155,1.1613,3901.3672,4530.7266
351137193,1.1613,3979.4922,4621.4541
351137233,1.1613,3916.0156,4547.7378
351137273,1.1085,3901.3672,4324.7842
351137312,1.1613,3916.0156,4547.7378
351137352,1.1085,3911.1328,4335.6099
351137391,1.1349,3906.2500,4433.2964
351137431,1.1877,3930.6641,4668.4937
351137471,1.1613,3906.2500,4536.3970
351137510,1.1877,3901.3672,4633.6973
351137550,1.1613,3896.4844,4525.0557
351137589,1.3461,3867.1875,5205.5156
351137629,1.3989,3872.0703,5416.4834
351137669,1.2933,3872.0703,5007.6924
351137708,1.5836,3847.6563,6093.2056
351137747,1.5572,3867.1875,6022.0669
351137786,1.4780,3837.8906,5672.5581
351137826,1.3461,3872.0703,5212.0879
351137866,1.5044,3867.1875,5817.9287
351137905,1.6364,3828.1250,6264.3516
351137945,1.5044,3891.6016,5854.6582
351137984,1.4253,3852.5391,5490.8442
351138024,1.3461,3876.9531,5218.6606
351138064,1.4253,3886.7188,5539.5591
351138103,1.4516,3837.8906,5571.2622
351138143,1.5572,3842.7734,5984.0488
351138182,1.5836,3857.4219,6108.6704
351138222,1.5308,3706.0547,5673.3315
351138260,1.3989,3862.3047,5402.8228
351138300,1.4516,3862.3047,5606.7026
351138340,1.4516,3852.5391,5592.5264
351138379,1.5308,3872.0703,5927.4727
351138419,1.7156,3828.1250,6567.4653
351138458,1.5836,3837.8906,6077.7407
351138498,1.4780,3891.6016,5751.9448
351138538,1.4253,3847.6563,5483.8853
351138577,1.4516,3872.0703,5620.8789
351138617,1.5572,3862.3047,6014.4629
351138656,1.6364,3828.1250,6264.3516
351138696,1.6364,3833.0078,6272.3418
351138736,1.5572,3837.8906,5976.4448
351138775,1.3197,3862.3047,5097.0024
351138814,1.2933,3862.3047,4995.0625
351138853,1.4516,3847.6563,5585.4385
351138893,1.7420,3823.2422,6659.9976
351138933,1.6628,3847.6563,6397.8662
351138972,1.6100,3759.7656,6053.2544
351139012,1.3989,3837.8906,5368.6709
351139051,1.4780,3852.5391,5694.2090
351139091,1.5572,3842.7734,5984.0488
351139131,1.5044,3886.7188,5847.3125
351139170,1.5044,3857.4219,5803.2368
351139210,1.5836,3818.3594,6046.8105
351139249,1.6364,3886.7188,6360.2344
351139289,1.3725,3857.4219,5294.1812
351139329,1.3725,3872.0703,5314.2856
351139367,1.4516,3872.0703,5620.8789
351139407,1.6100,3828.1250,6163.3135
351139446,1.8476,3823.2422,7063.6333
351139486,1.4516,3862.3047,5606.7026
351139525,1.3725,3852.5391,5287.4795
351139565,1.3197,3886.7188,5129.2212
351139605,1.3725,3872.0703,5314.2856
351139644,1.5836,3847.6563,6093.2056
351139684,1.6628,3852.5391,6405.9854
351139723,1.7420,3808.5938,6634.4805
351139763,1.5308,3833.0078,5867.6748
351139803,1.4516,3857.4219,5599.6147
351139842,1.4516,3847.6563,5585.4385
351139881,1.6364,3842.7734,6288.3223
351139920,1.6628,3833.0078,6373.5088
351139960,1.7684,3808.5938,6735.0024
351140000,1.4516,3818.3594,5542.9097
351140039,1.3461,3916.0156,5271.2417
351140079,1.3197,3876.9531,5116.3335
351140118,1.5836,3867.1875,6124.1353
351140158,1.7156,3803.7109,6525.5806
351140198,1.6628,3833.0078,6373.5088
351140237,1.5044,3852.5391,5795.8911
351140277,1.3989,3813.4766,5334.5190
351140316,1.6892,3857.4219,6515.9155
351140356,1.6100,3828.1250,6163.3135
351140396,1.7156,3808.5938,6533.9575
351140434,1.7420,3847.6563,6702.5264
351140474,1.5572,3818.3594,5946.0308
351140513,1.5308,3857.4219,5905.0483
351140553,1.4516,3886.7188,5642.1436
351140593,1.5044,3837.8906,5773.8535
351140632,1.6628,3857.4219,6414.1045
351140672,1.6892,3818.3594,6449.9316
351140711,1.6364,3823.2422,6256.3613
351140751,1.6100,3784.1797,6092.5615
351140790,1.4516,3979.4922,5776.8174
351140830,1.6892,3837.8906,6482.9233
351140870,1.6892,3852.5391,6507.6675
351140909,1.7948,3789.0625,6800.4712
351140948,1.9795,3803.7109,7529.5161
351140987,1.7156,3828.1250,6567.4653
351141027,1.5044,3823.2422,5751.8159
351141067,1.4253,3876.9531,5525.6406
351141106,1.5044,3852.5391,5795.8911
351141146,1.6892,3828.1250,6466.4272
351141185,1.6892,3837.8906,6482.9233
351141225,1.5572,3828.1250,5961.2378
351141265,1.3989,3862.3047,5402.8228
351141304,1.4253,3876.9531,5525.6406
351141344,1.5308,3828.1250,5860.2002
351141383,1.6628,3842.7734,6389.7471
351141423,1.9003,3813.4766,7246.8936
351141463,1.5308,3813.4766,5837.7759
351141501,1.4253,3886.7188,5539.5591
351141541,1.2669,3847.6563,4874.5645
351141580,1.2669,3876.9531,4911.6802
351141620,1.2405,3906.2500,4845.6963
351141660,1.3989,3847.6563,5382.3315
351141699,1.5044,3852.5391,5795.8911
351141739,1.5572,3862.3047,6014.4629
351141778,1.4516,3837.8906,5571.2622
351141818,1.5836,3764.6484,5961.7529
351141858,1.6100,3828.1250,6163.3135
351141897,1.6364,3803.7109,6224.4004
351141937,1.5572,3867.1875,6022.0669
351141976,1.5572,3837.8906,5976.4448
351142016,1.6892,3818.3594,6449.9316
351142054,1.7948,3784.1797,6791.7080
351142094,2.0059,3759.7656,7541.7593
351142134,2.1643,3754.8828,8126.5942
351142173,2.1379,3779.2969,8079.6836
351142213,2.1643,3725.5859,8063.1880
351142252,2.0323,3789.0625,7700.5332
351142292,2.1907,3750.0000,8215.0020
351142332,2.2171,3730.4688,8270.6758
351142371,2.2435,3784.1797,8489.6348
351142411,2.1379,3745.1172,8006.6113
351142450,2.0587,3769.5313,7760.3315
351142490,1.9267,3789.0625,7300.5059
351142530,1.8212,3906.2500,7113.8950
351142568,1.9531,3813.4766,7448.1963
351142608,2.0059,3769.5313,7561.3481
351142647,2.0323,3784.1797,7690.6099
351142687,2.1115,3769.5313,7959.3140
351142727,2.3754,3715.8203,8826.6426
351142766,2.4546,3735.3516,9168.8047
351142806,2.3754,3735.3516,8873.0371
351142845,2.3490,3735.3516,8774.4482
351142885,2.3754,3745.1172,8896.2344
351142925,2.4282,3706.0547,8999.0771
