4
26S????,r2375,4028.3203,956.8962
264106356,0.2639,4023.4375,1061.9292
264106395,0.1848,4013.6719,741.5463
264106434,0.1848,4023.4375,743.3505
264106473,0.2375,4023.4375,955.7363
264106511,0.2375,4008.7891,952.2567
264106550,0.2375,3969.7266,942.9777
264106588,0.2639,4028.3203,1063.2180
264106628,0.2375,4028.3203,956.8962
264106665,0.2903,4038.0859,1172.3750
264106705,0.2639,4033.2031,1064.5067
264106745,0.2903,4033.2031,1170.9574
264106784,0.1848,4028.3203,744.2526
264106823,0.2903,4038.0859,1172.3750
264106862,0.2639,4028.3203,1063.2180
264106902,0.2639,4028.3203,1063.2180
264106942,0.2639,4038.0859,1065.7954
264106981,0.2903,3955.0781,1148.2754
264107021,0.2375,4028.3203,956.8962
264107059,0.2111,4033.2031,851.6054
264107098,0.2375,4033.2031,958.0560
264107137,0.2111,4038.0859,852.6364
264107174,0.2639,4028.3203,1063.2180
264107214,0.2111,4033.2031,851.6054
264107252,0.2903,4028.3203,1169.5398
264107292,0.2375,4038.0859,959.2159
264107330,0.2639,4038.0859,1065.7954
264107370,0.2111,4028.3203,850.5744
264107409,0.2639,4033.2031,1064.5067
264107448,0.2639,4038.0859,1065.7954
264107488,0.2639,4028.3203,1063.2180
264107527,0.2639,4033.2031,1064.5067
264107567,0.2375,4038.0859,959.2159
264107606,0.2639,4028.3203,1063.2180
264107644,0.2375,4033.2031,958.0560
264107683,0.2903,4033.2031,1170.9574
264107722,0.2375,4033.2031,958.0560
264107761,0.2903,4028.3203,1169.5398
264107801,0.3167,4028.3203,1275.8616
264107840,0.3695,4033.2031,1490.3094
264107880,0.2639,4033.2031,1064.5067
264107919,0.2375,4033.2031,958.0560
264107958,0.3959,4023.4375,1592.8938
264107997,0.2639,4033.2031,1064.5067
264108037,0.2639,4023.4375,1061.9292
264108077,0.2903,4028.3203,1169.5398
264108115,0.2903,4033.2031,1170.9574
264108155,0.2375,4033.2031,958.0560
264108193,0.2111,4042.9688,853.6674
264108232,0.2111,4038.0859,852.6364
264108271,0.2639,4033.2031,1064.5067
264108310,0.2111,4013.6719,847.4814
264108349,0.3695,4028.3203,1488.5052
264108388,0.2375,4008.7891,952.2567
264108427,0.2903,4033.2031,1170.9574
264108467,0.2111,4018.5547,848.5124
264108505,0.2111,4038.0859,852.6364
264108544,0.2639,4033.2031,1064.5067
264108582,0.2375,4038.0859,959.2159
264108621,0.2375,4033.2031,958.0560
264108659,0.2903,4013.6719,1165.2870
264108699,0.2903,4028.3203,1169.5398
264108739,0.2903,4028.3203,1169.5398
264108778,0.2639,4042.9688,1067.0842
264108818,0.2639,4028.3203,1063.2180
264108857,0.2375,4023.4375,955.7363
264108896,0.2639,4028.3203,1063.2180
264108936,0.2111,4038.0859,852.6364
264108974,0.2111,4033.2031,851.6054
264109012,0.3695,4028.3203,1488.5052
264109051,0.3431,4042.9688,1387.2095
264109091,0.2639,4033.2031,1064.5067
264109130,0.4223,4033.2031,1703.2108
264109170,0.3695,4042.9688,1493.9180
264109210,0.2375,4013.6719,953.4166
264109248,0.2375,4023.4375,955.7363
264109287,0.2375,4033.2031,958.0560
