5,4042.9688,960.3758
264232938,0.2375,4047.8516,961.5356
264232976,0.2375,4038.0859,959.2159
264233015,0.2375,4042.9688,0.2375,4042.9688,960.3758
264232938,0.2375,4047.8516,961.5356
264232976,0.2375,4038.0859,959.2159
264233015,0.2375,4042.9688,960i?5j26233053,0.2111,4038.0859,852.6364
264233092,0.2639,4042.9688,1067.0842
264233131,0.2903,4042.9688,1173.7927
264233170,0.2111,4052.7344,855.7294
264233209,0.2903,4042.9688,1173.7927
264233248,0.2375,4042.9688,960.3758
264233287,0.2639,4042.9688,1067.0842
264233326,0.2375,4042.9688,960.3758
264233365,0.2111,4047.8516,854.6984
264233404,0.2375,4042.9688,960.3758
264233442,0.2639,4038.0859,1065.7954
264233482,0.2111,4038.0859,852.6364
264233520,0.2639,4047.8516,1068.3729
264233560,0.2111,4042.9688,853.6674
264233597,0.2639,4067.3828,1073.5280
264233637,0.2639,4047.8516,1068.3729
264233677,0.2639,4038.0859,1065.7954
264233716,0.2639,4042.9688,1067.0842
264233756,0.2111,4042.9688,853.6674
264233794,0.2375,4042.9688,960.3758
264233833,0.2375,4047.8516,961.5356
264233872,0.2375,4038.0859,959.2159
264233910,0.2375,4042.9688,960.3758
264233949,0.4223,4047.8516,1709.3967
264233988,0.2375,4038.0859,959.2159
264234027,0.2903,4042.9688,1173.7927
264234066,0.2639,4028.3203,1063.2180
264234105,0.2375,4042.9688,960.3758
264234144,0.2639,4038.0859,1065.7954
264234183,0.2111,4042.9688,853.6674
264234222,0.2639,4047.8516,1068.3729
264234261,0.2639,4042.9688,1067.0842
264234301,0.2903,4042.9688,1173.7927
264234341,0.2375,4047.8516,961.5356
264234379,0.2903,4057.6172,1178.0455
264234419,0.2903,4047.8516,1175.2103
264234458,0.2111,4038.0859,852.6364
264234497,0.2375,4042.9688,960.3758
264234535,0.2639,4047.8516,1068.3729
264234574,0.3695,4038.0859,1492.1138
264234614,0.2375,4047.8516,961.5356
264234652,0.2111,4038.0859,852.6364
264234691,0.2111,4018.5547,848.5124
264234729,0.2639,4038.0859,1065.7954
