944,r???b???r??47,1166.7046
261148983,0.2111,4033.2031,851.6054
261149022,0.2375,4033.2031,958.0560
261149060,0.2639,4028.3203,1063.2180
261149100,0.2375,4033.2031,958.0560
261149137,0.2375,4028.3203,956.8962
261149176,0.2111,4028.3203,850.5744
261149215,0.1848,4033.2031,745.1547
261149253,0.2375,4028.3203,956.8962
261149292,0.2375,4023.4375,955.7363
261149330,0.2375,4033.2031,958.0560
261149369,0.2111,4033.2031,851.6054
261149407,0.2639,4018.5547,1060.6405
261149447,0.2375,4023.4375,955.7363
261149486,0.2903,4033.2031,1170.9574
261149524,0.3695,4023.4375,1486.7009
261149564,0.2111,4047.8516,854.6984
261149602,0.2903,4028.3203,1169.5398
261149642,0.2639,4028.3203,1063.2180
261149682,0.2111,4033.2031,851.6054
261149720,0.2639,4028.3203,1063.2180
261149760,0.2639,4033.2031,1064.5067
261149799,0.2639,4023.4375,1061.9292
261149839,0.2639,4028.3203,1063.2180
261149879,0.2375,4028.3203,956.8962
261149917,0.2375,4008.7891,952.2567
261149956,0.2639,4028.3203,1063.2180
261149995,0.2903,4028.3203,1169.5398
261150034,0.2639,4018.5547,1060.6405
261150074,0.2639,4028.3203,1063.2180
261150113,0.2903,4028.3203,1169.5398
261150153,0.2639,4028.3203,1063.2180
261150192,0.2639,4028.3203,1063.2180
261150232,0.3167,4038.0859,1278.9545
261150271,0.2903,4028.3203,1169.5398
261150311,0.3167,4023.4375,1274.3151
261150351,0.2111,4033.2031,851.6054
261150389,0.2639,4033.2031,1064.5067
261150429,0.2639,4033.2031,1064.5067
261150468,0.2375,4018.5547,954.5764
261150507,0.2375,4028.3203,956.8962
261150545,0.2639,4033.2031,1064.5067
261150584,0.2903,4033.2031,1170.9574
261150624,0.3167,4028.3203,1275.8616
261150663,0.2639,4023.4375,1061.9292
261150703,0.2903,4023.4375,1168.1222
261150743,0.3959,4033.2031,1596.7600
261150782,0.2375,4033.2031,958.0560
261150821,0.2639,4028.3203,1063.2180
261150860,0.2903,4028.3203,1169.5398
261150900,0.2375,4028.3203,956.8962
261150938,0.2375,4028.3203,956.8962
261150977,0.2375,4033.2031,958.0560
261151015,0.2375,4018.5547,954.5764
261151053,0.2375,4028.3203,956.8962
261151092,0.2639,4028.3203,1063.2180
261151131,0.2375,3857.4219,916.3006
261151170,0.2639,4130.8594,1090.2817
261151210,0.2639,4023.4375,1061.9292
261151249,0.2375,4023.4375,955.7363
261151288,0.2375,4028.3203,956.8962
261151326,0.2639,4023.4375,1061.9292
261151366,0.2639,4033.2031,1064.5067
261151406,0.2639,4018.5547,1060.6405
261151444,0.2639,4003.9063,1056.7742
261151484,0.2903,4033.2031,1170.9574
261151523,0.2111,4028.3203,850.5744
261151562,0.2375,4018.5547,954.5764
261151600,0.2903,4023.4375,1168.1222
261151640,0.2903,4018.5547,1166.7046
261151680,0.1848,4028.3203,744.2526
261151718,0.3167,4023.4375,1274.3151
261151758,0.2903,4023.4375,1168.1222
261151797,0.2375,4028.3203,956.8962
261151836,0.2903,4033.2031,1170.9574
261151876,0.2639,4028.3203,1063.2180
261151915,0.2639,4052.7344,1069.6617
261151954,0.2111,4028.3203,850.5744
261151992,0.3695,4008.7891,1481.2882
261152032,0.2903,4042.9688,1173.7927
261152072,0.2639,4033.2031,1064.5067
261152111,0.2375,4033.2031,958.0560
261152150,0.2375,4028.3203,956.8962
261152188,0.3959,4028.3203,1594.8269
261152228,0.2639,4028.3203,1063.2180
261152267,0.2639,4052.7344,1069.6617
261152307,0.2639,4033.2031,1064.5067
261152347,0.2375,4077.1484,968.4949
261152385,0.2639,4111.3281,1085.1267
261152424,0.2375,4038.0859,959.2159
