,4003.9063,951.0968
275610792,0.2111,4003.9063,845.4194
275610831,0.2903,3950.1953,1146.8578
27344,962.6956
275610755,0.2375,4003.9063,951.0968
275610792,0.2111,4003.9063,845.4194
275610831,0.2903,3950.1953,1146.8578
27561??L	r??1,4018.5547,848.5124
275610909,0.2111,4028.3203,850.5744
275610948,0.3167,4033.2031,1277.4081
275610987,0.2639,4018.5547,1060.6405
275611027,0.2903,4023.4375,1168.1222
275611067,0.1848,4023.4375,743.3505
275611105,0.2375,4023.4375,955.7363
275611144,0.2375,4028.3203,956.8962
275611182,0.2375,4033.2031,958.0560
275611220,0.2903,4033.2031,1170.9574
275611259,0.2111,4028.3203,850.5744
275611298,0.2375,4013.6719,953.4166
275611337,0.3167,4023.4375,1274.3151
275611376,0.3431,4018.5547,1378.8326
275611416,0.2639,4023.4375,1061.9292
275611455,0.2375,4008.7891,952.2567
275611494,0.2375,4028.3203,956.8962
275611533,0.2375,4023.4375,955.7363
275611571,0.2375,4028.3203,956.8962
275611610,0.2111,4028.3203,850.5744
275611648,0.2375,4028.3203,956.8962
275611686,0.2111,4023.4375,849.5434
275611724,0.2111,4008.7891,846.4504
275611763,0.2375,4023.4375,955.7363
275611802,0.2639,4033.2031,1064.5067
275611841,0.3695,4018.5547,1484.8967
275611881,0.2111,4028.3203,850.5744
275611919,0.2375,4023.4375,955.7363
275611958,0.2111,4033.2031,851.6054
275611997,0.2903,4003.9063,1162.4517
275612036,0.2375,4013.6719,953.4166
275612075,0.2639,4023.4375,1061.9292
275612113,0.2639,4023.4375,1061.9292
275612153,0.3431,4023.4375,1380.5081
275612192,0.2375,4028.3203,956.8962
275612231,0.3959,4023.4375,1592.8938
275612271,0.3695,4023.4375,1486.7009
275612310,0.2639,4028.3203,1063.2180
275612350,0.2111,4033.2031,851.6054
275612388,0.2639,4018.5547,1060.6405
275612428,0.2375,4013.6719,953.4166
275612467,0.2639,4023.4375,1061.9292
275612506,0.2375,4033.2031,958.0560
275612545,0.1848,4023.4375,743.3505
275612582,0.3431,4023.4375,1380.5081
275612622,0.2903,3969.7266,1152.5283
275612662,0.2639,4028.3203,1063.2180
275612701,0.2111,3876.9531,818.6134
275612740,0.2375,3950.1953,938.3382
275612778,0.2375,3984.3750,946.4573
275612817,0.2375,4057.6172,963.8554
275612855,0.2111,3979.4922,840.2644
275612894,0.2639,4047.8516,1068.3729
275612934,0.3695,4023.4375,1486.7009
275612973,0.2903,4023.4375,1168.1222
275613012,0.2375,4023.4375,955.7363
275613050,0.2111,4008.7891,846.4504
275613089,0.2903,4023.4375,1168.1222
275613129,0.1848,4033.2031,745.1547
275613167,0.2639,4033.2031,1064.5067
275613207,0.2639,4023.4375,1061.9292
275613246,0.2111,4033.2031,851.6054
275613285,0.2375,4028.3203,956.8962
275613323,0.3695,4028.3203,1488.5052
275613363,0.2111,4038.0859,852.6364
275613402,0.3431,4116.2109,1412.3401
275613441,0.2639,4023.4375,1061.9292
275613480,0.3167,4028.3203,1275.8616
275613519,0.3695,4028.3203,1488.5052
275613559,0.2111,4003.9063,845.4194
275613598,0.2639,4018.5547,1060.6405
