0.2375,4052.7344,962.6956
258297810,0.2375,4052.7344,962.6956
258297849,0.63,40?r???b????r????j258297888,0.2111,4057.6172,856.7604
258297927,0.1848,4047.8516,747.8611
258297965,0.2111,4057.6172,856.7604
258298004,0.2111,4042.9688,853.6674
258298042,0.1848,4057.6172,749.6653
258298081,0.2375,4047.8516,961.5356
258298120,0.2111,4052.7344,855.7294
258298158,0.2375,4052.7344,962.6956
258298196,0.2639,4057.6172,1070.9504
258298235,0.2375,4052.7344,962.6956
258298274,0.2375,4052.7344,962.6956
258298313,0.2111,4062.5000,857.7914
258298351,0.2111,4052.7344,855.7294
258298390,0.2111,4062.5000,857.7914
258298428,0.2375,4047.8516,961.5356
258298467,0.2111,4052.7344,855.7294
258298505,0.2903,4052.7344,1176.6279
258298545,0.2111,4013.6719,847.4814
258298584,0.2375,4062.5000,965.0153
258298621,0.3167,4047.8516,1282.0475
258298661,0.2375,4057.6172,963.8554
258298699,0.2639,4057.6172,1070.9504
258298739,0.2111,3950.1953,834.0784
258298778,0.2375,4165.0391,989.3727
258298816,0.2111,4091.7969,863.9774
258298855,0.2375,4033.2031,958.0560
258298893,0.2375,3989.2578,947.6172
258298932,0.1848,4101.5625,757.7845
258298970,0.2375,4077.1484,968.4949
258299009,0.2639,4023.4375,1061.9292
258299048,0.2903,4052.7344,1176.6279
258299087,0.2375,4052.7344,962.6956
258299126,0.2639,4052.7344,1069.6617
258299165,0.2639,4072.2656,1074.8167
258299205,0.2375,4057.6172,963.8554
258299244,0.2375,4057.6172,963.8554
258299282,0.2375,4033.2031,958.0560
258299321,0.2111,4062.5000,857.7914
258299359,0.1848,4057.6172,749.6653
258299398,0.2639,4052.7344,1069.6617
258299437,0.3431,4042.9688,1387.2095
258299476,0.2903,4047.8516,1175.2103
258299516,0.2639,4052.7344,1069.6617
258299555,0.3959,4047.8516,1602.5594
258299595,0.2375,4047.8516,961.5356
258299633,0.3431,4052.7344,1390.5603
258299673,0.1584,4038.0859,639.4772
258299712,0.1584,4062.5000,643.3435
258299750,0.2639,4057.6172,1070.9504
258299790,0.2639,4038.0859,1065.7954
258299829,0.2111,4052.7344,855.7294
258299868,0.2375,4082.0313,969.6548
258299906,0.2375,4042.9688,960.3758
258299944,0.2903,4028.3203,1169.5398
258299984,0.2639,4052.7344,1069.6617
258300023,0.1848,4038.0859,746.0569
258300062,0.2903,4047.8516,1175.2103
258300101,0.2111,4057.6172,856.7604
258300140,0.2903,4052.7344,1176.6279
258300180,0.2375,4047.8516,961.5356
258300218,0.2639,4047.8516,1068.3729
258300258,0.2375,4047.8516,961.5356
258300296,0.2111,4057.6172,856.7604
258300335,0.2639,4057.6172,1070.9504
258300375,0.2111,4057.6172,856.7604
258300412,0.2111,4042.9688,853.6674
258300451,0.2375,4047.8516,961.5356
258300489,0.2111,4052.7344,855.7294
258300528,0.3167,4057.6172,1285.1405
258300567,0.1848,4072.2656,752.3717
258300606,0.2639,4008.7891,1058.0630
258300646,0.2903,4052.7344,1176.6279
258300685,0.2639,4057.6172,1070.9504
258300725,0.2903,4057.6172,1178.0455
258300764,0.2111,4057.6172,856.7604
258300803,0.2639,4052.7344,1069.6617
258300843,0.2111,4052.7344,855.7294
258300880,0.2111,4052.7344,855.7294
258300919,0.2903,4052.7344,1176.6279
258300958,0.2903,4057.6172,1178.0455
258300998,0.1848,4052.7344,748.7632
258301036,0.2111,4038.0859,852.6364
258301075,0.2375,4052.7344,962.6956
258301114,0.2375,4028.3203,956.8962
258301152,0.2375,4052.7344,962.6956
258301191,0.3167,4052.7344,1283.5940
258301230,0.2903,4047.8516,1175.2103
258301270,0.2111,4052.7344,855.7294
258301308,0.2903,4033.2031,1170.9574
258301347,0.3695,4047.8516,1495.7222
258301387,0.2639,4038.0859,1065.7954
258301426,0.2111,4052.7344,855.7294
258301465,0.3695,4052.7344,1497.5265
258301504,0.2375,4057.6172,963.8554
258301543,0.2111,4052.7344,855.7294
258301582,0.3695,4052.7344,1497.5265
258301621,0.2375,4038.0859,959.2159
258301660,0.2375,4052.7344,962.6956
258301698,0.2639,4047.8516,1068.3729
258301737,0.2639,4057.6172,1070.9504
258301777,0.2639,4057.6172,1070.9504
258301816,0.2903,4057.6172,1178.0455
258301856,0.3167,4052.7344,1283.5940
258301895,0.2375,4047.8516,961.5356
258301934,0.2111,4057.6172,856.7604
258301973,0.2639,4057.6172,1070.9504
258302012,0.2903,4052.7344,1176.6279
258302052,0.2639,4047.8516,1068.3729
258302091,0.2375,4052.7344,962.6956
258302130,0.1848,4057.6172,749.6653
258302168,0.2375,4033.2031,958.0560
258302206,0.2375,4052.7344,962.6956
258302245,0.2375,4052.7344,962.6956
258302283,0.2639,4052.7344,1069.6617
258302323,0.2375,4062.5000,965.0153
258302361,0.2639,4057.6172,1070.9504
258302401,0.2111,4057.6172,856.7604
258302440,0.2375,4062.5000,965.0153
258302478,0.2375,4057.6172,963.8554
258302517,0.2375,4052.7344,962.6956
258302555,0.2111,4052.7344,855.7294
258302594,0.1584,4057.6172,642.5703
258302631,0.2111,4052.7344,855.7294
258302670,0.2639,4052.7344,1069.6617
258302710,0.2375,4057.6172,963.8554
258302748,0.3167,4052.7344,1283.5940
258302788,0.2111,4057.6172,856.7604
258302826,0.2111,4052.7344,855.7294
