266100??	r?37,4067.3828,966.1752
266100674,0.2375,4067.3828,966.1752
266100712,0.2639,4062.5000,1072.2393
266100752,0.2375,4057.6172,963.8554
266100790,0.2639,4042.9688,1067.0842
266100830,0.2639,4057.6172,1070.9504
266100869,0.3167,4062.5000,1286.6870
266100909,0.2375,4062.5000,965.0153
266100947,0.2903,4057.6172,1178.0455
266100986,0.2111,4057.6172,856.7604
266101025,0.2111,4057.6172,856.7604
266101063,0.2375,4057.6172,963.8554
266101102,0.2111,4052.7344,855.7294
266101141,0.2111,4042.9688,853.6674
266101179,0.2375,4062.5000,965.0153
266101218,0.2639,4052.7344,1069.6617
266101257,0.3959,4062.5000,1608.3588
266101297,0.2639,4057.6172,1070.9504
266101336,0.2639,4062.5000,1072.2393
266101376,0.2639,4057.6172,1070.9504
266101415,0.2375,4057.6172,963.8554
266101453,0.2375,4062.5000,965.0153
266101492,0.2639,4057.6172,1070.9504
266101531,0.3167,4057.6172,1285.1405
266101571,0.4223,4057.6172,1713.5208
266101611,0.2639,4047.8516,1068.3729
266101650,0.3167,4067.3828,1288.2335
266101690,0.2639,4057.6172,1070.9504
266101729,0.3167,4057.6172,1285.1405
266101769,0.2375,4067.3828,966.1752
266101808,0.2111,4062.5000,857.7914
266101846,0.3167,4057.6172,1285.1405
266101885,0.2375,4057.6172,963.8554
266101923,0.2375,4047.8516,961.5356
266101962,0.2375,4062.5000,965.0153
266102000,0.3431,4057.6172,1392.2356
266102040,0.2903,4057.6172,1178.0455
266102080,0.2639,4062.5000,1072.2393
266102119,0.1848,4057.6172,749.6653
266102158,0.2111,4057.6172,856.7604
266102196,0.2375,4057.6172,963.8554
266102235,0.2639,4057.6172,1070.9504
266102275,0.2639,4057.6172,1070.9504
266102313,0.2375,4057.6172,963.8554
266102352,0.2903,4057.6172,1178.0455
266102391,0.2111,4062.5000,857.7914
266102430,0.3431,4062.5000,1393.9110
266102469,0.2639,4057.6172,1070.9504
266102509,0.2375,4057.6172,963.8554
266102548,0.2375,4003.9063,951.0968
266102586,0.2375,4052.7344,962.6956
266102625,0.2111,4067.3828,858.8224
266102663,0.2375,4042.9688,960.3758
266102702,0.2639,4042.9688,1067.0842
266102742,0.2375,4057.6172,963.8554
266102779,0.3695,4057.6172,1499.3307
266102819,0.2903,4057.6172,1178.0455
266102858,0.2375,4062.5000,965.0153
266102897,0.2639,4062.5000,1072.2393
266102937,0.2639,4038.0859,1065.7954
266102976,0.2111,4042.9688,853.6674
266103015,0.2903,4062.5000,1179.4631
266103054,0.3695,4072.2656,1504.7434
266103094,0.2111,4067.3828,858.8224
266103132,0.2375,4057.6172,963.8554
266103171,0.2375,4052.7344,962.6956
266103209,0.2375,4052.7344,962.6956
266103247,0.2639,4047.8516,1068.3729
266103287,0.1848,4057.6172,749.6653
266103325,0.2903,4047.8516,1175.2103
266103365,0.2639,4062.5000,1072.2393
266103405,0.2375,4057.6172,963.8554
266103443,0.1848,4062.5000,750.5675
266103482,0.2375,4062.5000,965.0153
266103520,0.2639,4072.2656,1074.8167
266103560,0.2639,4057.6172,1070.9504
266103599,0.2639,4057.6172,1070.9504
266103639,0.2375,4062.5000,965.0153
266103677,0.2375,4062.5000,965.0153
266103715,0.2375,4062.5000,965.0153
266103754,0.2375,4062.5000,965.0153
266103792,0.2639,4062.5000,1072.2393
266103832,0.2639,4042.9688,1067.0842
