,3935.5469,1454.2245
35003523,0.3695,3916.0156,1447.0074
35003560,0.3695,4145.5078,1531.8071
35??MNN0.223,4042.9688,1707.3348
35003637,0.4223,4287.1094,1810.4347
35003676,0.4223,4252.9297,1796.0007
35003715,0.3959,4047.8516,1602.5594
35003753,0.3959,4248.0469,1681.8175
35003792,0.4223,4091.7969,1727.9547
35003830,0.3695,4091.7969,1511.9604
35003869,0.3959,3984.3750,1577.4288
35003907,0.3431,3984.3750,1367.1050
35003945,0.3959,4160.1563,1647.0212
35003984,0.3959,3994.1406,1581.2950
35004022,0.3959,4208.9844,1666.3525
35004061,0.3959,4038.0859,1598.6932
35004099,0.3695,4165.0391,1539.0242
35004138,0.4223,4165.0391,1758.8848
35004176,0.3959,4106.4453,1625.7570
35004215,0.3431,4072.2656,1397.2617
35004254,0.3695,4057.6172,1499.3307
35004292,0.3695,4082.0313,1508.3519
35004331,0.4223,4038.0859,1705.2728
35004368,0.3695,4101.5625,1515.5690
35004407,0.4223,4028.3203,1701.1488
35004446,0.3695,4062.5000,1501.1350
35004484,0.4487,4033.2031,1809.6615
35004523,0.3959,4018.5547,1590.9607
35004561,0.3959,4140.6250,1639.2888
35004600,0.3695,4067.3828,1502.9392
35004638,0.4223,4184.5703,1767.1327
35004677,0.3959,4033.2031,1596.7600
35004716,0.3695,4184.5703,1546.2412
35004753,0.3695,4150.3906,1533.6115
35004792,0.4223,4091.7969,1727.9547
35004830,0.4487,4155.2734,1864.4333
35004869,0.3959,3984.3750,1577.4288
35004907,0.4223,4174.8047,1763.0088
35004946,0.4223,4072.2656,1719.7068
35004985,0.3959,4067.3828,1610.2920
35005023,0.3959,4135.7422,1637.3557
35005062,0.4487,4140.6250,1857.8607
35005100,0.3695,4145.5078,1531.8071
35005138,0.3959,4096.6797,1621.8906
35005177,0.3959,4101.5625,1623.8239
35005215,0.3959,4067.3828,1610.2920
35005254,0.3431,4062.5000,1393.9110
35005292,0.4223,4160.1563,1756.8228
35005331,0.3695,4111.3281,1519.1775
35005369,0.4223,4165.0391,1758.8848
35005408,0.3959,4077.1484,1614.1582
35005447,0.3431,4116.2109,1412.3401
35005485,0.3695,4116.2109,1520.9817
35005523,0.4223,4130.8594,1744.4508
35005561,0.3959,4047.8516,1602.5594
35005600,0.4223,4135.7422,1746.5127
35005638,0.4223,4082.0313,1723.8308
35005677,0.4487,4042.9688,1814.0432
35005716,0.3695,4091.7969,1511.9604
35005754,0.4223,4057.6172,1713.5208
35005793,0.3959,4140.6250,1639.2888
35005831,0.3959,4057.6172,1606.4257
35005870,0.3959,4145.5078,1641.2219
35005907,0.3695,4086.9141,1510.1563
35005946,0.3695,4135.7422,1528.1987
35005985,0.3695,4101.5625,1515.5690
35006023,0.3431,4091.7969,1403.9633
35006062,0.5807,4116.2109,2390.1140
35006100,0.3695,4057.6172,1499.3307
35006139,0.5015,4121.0938,2066.6379
35006178,0.4487,4052.7344,1818.4250
35006216,0.3695,4150.3906,1533.6115
35006255,0.3959,4082.0313,1616.0913
35006292,0.5543,4082.0313,2262.5278
35006331,0.3695,4067.3828,1502.9392
35006369,0.3695,4086.9141,1510.1563
35006408,0.3695,4121.0938,1522.7859
35006447,0.3695,4096.6797,1513.7646
35006485,0.4223,4091.7969,1727.9547
35006524,0.4223,4057.6172,1713.5208
35006562,0.4223,4111.3281,1736.2028
35006601,0.3959,4086.9141,1618.0244
35006639,0.5279,4101.5625,2165.0984
35006678,0.3959,4086.9141,1618.0244
35006716,0.4487,4077.1484,1829.3794
35006754,0.5015,4072.2656,2042.1517
35006793,0.4487,4101.5625,1840.3337
35006831,0.5807,4111.3281,2387.2788
35006870,0.4223,4077.1484,1721.7688
35006909,0.3959,4086.9141,1618.0244
35006947,0.5015,4082.0313,2047.0490
35006986,0.4223,4086.9141,1725.8928
35007024,0.5807,4086.9141,2373.1025
35007063,0.3431,4096.6797,1405.6385
35007100,0.4487,4082.0313,1831.5702
35007139,0.4487,4091.7969,1835.9520
35007178,0.4223,4082.0313,1723.8308
35007216,0.3959,4121.0938,1631.5563
35007255,0.5015,4062.5000,2037.2544
35007293,0.3959,4082.0313,1616.0913
35007332,0.3959,4106.4453,1625.7570
35007370,0.3959,4077.1484,1614.1582
35007409,0.4223,4121.0938,1740.3268
35007448,0.3695,4077.1484,1506.5477
35007485,0.5279,4116.2109,2172.8308
35007524,0.5279,4111.3281,2170.2534
35007562,0.3959,4101.5625,1623.8239
35007601,0.5543,4111.3281,2278.7661
35007640,0.3695,4101.5625,1515.5690
35007678,0.4487,4091.7969,1835.9520
35007717,0.3959,4096.6797,1621.8906
35007755,0.4223,4096.6797,1730.0167
35007794,0.4223,4096.6797,1730.0167
35007832,0.4223,4096.6797,1730.0167
35007870,0.3959,4096.6797,1621.8906
35007909,0.4223,4091.7969,1727.9547
35007947,0.4223,4086.9141,1725.8928
35007986,0.5279,4101.5625,2165.0984
35008024,0.4487,4101.5625,1840.3337
35008063,0.3959,4096.6797,1621.8906
35008101,0.3959,4096.6797,1621.8906
35008140,0.4223,4101.5625,1732.0787
35008179,0.4223,4091.7969,1727.9547
35008217,0.4223,4091.7969,1727.9547
35008256,0.3695,4106.4453,1517.3732
35008293,0.4223,4101.5625,1732.0787
35008332,0.3695,4101.5625,1515.5690
35008370,0.4223,4101.5625,1732.0787
35008409,0.3959,4082.0313,1616.0913
35008448,0.3959,4077.1484,1614.1582
35008486,0.3959,4101.5625,1623.8239
35008525,0.4223,4096.6797,1730.0167
35008563,0.4223,4096.6797,1730.0167
35008602,0.3431,4091.7969,1403.9633
35008641,0.4223,4091.7969,1727.9547
35008678,0.3959,4111.3281,1627.6901
35008717,0.3695,4072.2656,1504.7434
35008755,0.4223,4077.1484,1721.7688
35008794,0.4487,4101.5625,1840.3337
35008832,0.4751,4096.6797,1946.2688
35008871,0.3959,4091.7969,1619.9575
35008910,0.5015,4096.6797,2054.3948
35008948,0.4223,4101.5625,1732.0787
35008987,0.5543,4096.6797,2270.6470
35009025,0.4487,4091.7969,1835.9520
35009063,0.4487,4086.9141,1833.7611
35009101,0.4487,4101.5625,1840.3337
35009140,0.3959,4082.0313,1616.0913
35009179,0.4487,4096.6797,1838.1428
35009217,0.3695,4096.6797,1513.7646
35009256,0.5543,4077.1484,2259.8215
35009294,0.3695,4086.9141,1510.1563
35009333,0.3959,4101.5625,1623.8239
35009372,0.3695,4101.5625,1515.5690
35009410,0.3695,4101.5625,1515.5690
35009448,0.4223,4082.0313,1723.8308
35009486,0.5279,4101.5625,2165.0984
35009525,0.4223,4101.5625,1732.0787
35009563,0.4487,4082.0313,1831.5702
35009602,0.4223,4101.5625,1732.0787
35009641,0.4223,4091.7969,1727.9547
35009679,0.4223,4101.5625,1732.0787
35009718,0.5279,4101.5625,2165.0984
35009756,0.3695,4096.6797,1513.7646
35009795,0.4487,4096.6797,1838.1428
35009832,0.5015,4091.7969,2051.9463
35009871,0.3959,4101.5625,1623.8239
35009910,0.3959,4072.2656,1612.2251
35009948,0.3959,4091.7969,1619.9575
35009987,0.3959,4091.7969,1619.9575
35010025,0.4487,4106.4453,1842.5247
35010064,0.3959,4096.6797,1621.8906
35010103,0.5279,4096.6797,2162.5210
35010141,0.3959,4096.6797,1621.8906
35010180,0.3695,4101.5625,1515.5690
35010217,0.5279,4096.6797,2162.5210
35010256,0.3959,4077.1484,1614.1582
35010294,0.4751,4111.3281,1953.2280
35010333,0.4487,4096.6797,1838.1428
35010372,0.4223,4101.5625,1732.0787
35010410,0.3431,4096.6797,1405.6385
35010449,0.3959,4101.5625,1623.8239
35010487,0.4223,4091.7969,1727.9547
35010526,0.4223,4101.5625,1732.0787
35010564,0.5015,4096.6797,2054.3948
35010603,0.3959,4091.7969,1619.9575
35010641,0.3959,4096.6797,1621.8906
35010679,0.3695,4101.5625,1515.5690
35010718,0.4487,4096.6797,1838.1428
35010756,0.4751,4101.5625,1948.5886
35010795,0.4223,4101.5625,1732.0787
35010833,0.3959,4096.6797,1621.8906
35010872,0.3695,4140.6250,1530.0029
35010911,0.4223,4096.6797,1730.0167
35010949,0.4223,4101.5625,1732.0787
35010988,0.3959,4101.5625,1623.8239
35011025,0.4223,4096.6797,1730.0167
35011064,0.3695,4101.5625,1515.5690
35011103,0.3695,4082.0313,1508.3519
35011141,0.4223,4106.4453,1734.1407
35011180,0.4487,4096.6797,1838.1428
35011218,0.3695,4077.1484,1506.5477
35011257,0.3959,4096.6797,1621.8906
35011295,0.5015,4101.5625,2056.8435
35011334,0.5015,4106.4453,2059.2920
35011373,0.3959,4106.4453,1625.7570
35011410,0.5807,4096.6797,2378.7732
35011449,0.4223,4096.6797,1730.0167
35011487,0.5279,4101.5625,2165.0984
35011526,0.3959,4101.5625,1623.8239
35011564,0.4223,4091.7969,1727.9547
35011603,0.3695,4096.6797,1513.7646
35011642,0.3695,4096.6797,1513.7646
35011680,0.4223,4096.6797,1730.0167
35011719,0.4487,4096.6797,1838.1428
35011757,0.4223,4096.6797,1730.0167
35011795,0.3959,4091.7969,1619.9575
35011834,0.3695,4086.9141,1510.1563
35011872,0.3959,4096.6797,1621.8906
35011911,0.4223,4077.1484,1721.7688
35011949,0.3695,4096.6797,1513.7646
35011988,0.4487,4091.7969,1835.9520
35012026,0.3695,4101.5625,1515.5690
35012065,0.5015,4096.6797,2054.3948
35012104,0.3959,4091.7969,1619.9575
35012142,0.4487,4086.9141,1833.7611
35012180,0.4223,4096.6797,1730.0167
35012218,0.3695,4091.7969,1511.9604
35012257,0.4487,4096.6797,1838.1428
35012295,0.3695,4091.7969,1511.9604
35012334,0.4223,4101.5625,1732.0787
35012373,0.4487,4096.6797,1838.1428
35012411,1.8476,3940.4297,7280.1436
35012450,1.7156,3964.8438,6802.0176
35012488,1.9003,3940.4297,7488.1475
35012527,1.5572,3974.6094,6189.3462
35012566,1.4780,3974.6094,5874.6338
35012603,1.5044,3964.8438,5964.8462
35012642,1.3725,3964.8438,5441.6143
35012680,1.5044,3959.9609,5957.5005
35012719,1.3197,3964.8438,5232.3213
35012757,1.3725,3984.3750,5468.4199
35012796,1.3725,3984.3750,5468.4199
35012835,1.5572,3964.8438,6174.1392
35012873,1.3197,3989.2578,5264.5400
35012912,1.4516,3989.2578,5790.9937
35012950,1.5044,3969.7266,5972.1919
35012988,1.2669,3984.3750,5047.7720
35013026,1.4780,3994.1406,5903.5020
35013065,1.3725,3964.8438,5441.6143
35013104,1.3725,3945.3125,5414.8081
35013142,1.3461,3955.0781,5323.8228
35013181,1.3461,3989.2578,5369.8311
35013219,1.3989,3964.8438,5546.2603
35013258,1.2933,3989.2578,5159.2490
35013296,1.5572,3955.0781,6158.9316
35013335,1.3461,3959.9609,5330.3950
