82.0313,1616.0913
3969061,0.3959,402
3968950,0.4487,4072.2656,1827.1885
3968987,0.3959,4072.2656,1612.2251
3969025,0.3959,4082.0313,1616.0913
3969061,0.3959,4072.2S?,16?.???j3969099,0.3695,4077.1484,1506.5477
3969137,0.3695,4072.2656,1504.7434
3969174,0.3695,4028.3203,1488.5052
3969212,0.3695,4057.6172,1499.3307
3969249,0.3695,4077.1484,1506.5477
3969287,0.4487,4082.0313,1831.5702
3969324,0.3959,4077.1484,1614.1582
3969361,0.3959,4072.2656,1612.2251
3969399,0.3959,3881.8359,1536.8333
3969436,0.3959,4072.2656,1612.2251
3969474,0.3959,4072.2656,1612.2251
3969511,0.3431,4067.3828,1395.5864
3969549,0.3959,4077.1484,1614.1582
3969586,0.3959,4077.1484,1614.1582
3969624,0.3959,4077.1484,1614.1582
3969660,0.3959,4047.8516,1602.5594
3969698,0.4223,4077.1484,1721.7688
3969736,0.3959,4072.2656,1612.2251
3969773,0.3431,4072.2656,1397.2617
3969811,0.3431,4082.0313,1400.6124
3969848,0.3695,4077.1484,1506.5477
3969886,0.3959,4072.2656,1612.2251
3969923,0.3431,4072.2656,1397.2617
3969960,0.3959,4077.1484,1614.1582
3969998,0.3695,4082.0313,1508.3519
3970035,0.4223,4077.1484,1721.7688
3970073,0.3695,4057.6172,1499.3307
3970110,0.3695,4077.1484,1506.5477
3970148,0.3695,4077.1484,1506.5477
3970185,0.3695,4091.7969,1511.9604
3970223,0.3959,4072.2656,1612.2251
3970259,0.3959,4101.5625,1623.8239
3970297,0.3695,4072.2656,1504.7434
3970335,0.3695,4077.1484,1506.5477
3970372,0.3959,4052.7344,1604.4926
3970410,0.4223,4077.1484,1721.7688
3970447,0.3959,4072.2656,1612.2251
3970485,0.4223,4077.1484,1721.7688
3970522,0.3959,4077.1484,1614.1582
3970560,0.3959,4082.0313,1616.0913
3970597,0.3695,4077.1484,1506.5477
3970634,0.3695,4082.0313,1508.3519
3970672,0.3959,4072.2656,1612.2251
3970709,0.3431,4062.5000,1393.9110
3970747,0.3959,4072.2656,1612.2251
3970784,0.3959,4072.2656,1612.2251
3970822,0.3431,4082.0313,1400.6124
3970859,0.3695,4072.2656,1504.7434
3970896,0.3695,4077.1484,1506.5477
3970934,0.3959,4077.1484,1614.1582
3970971,0.3959,4077.1484,1614.1582
3971009,0.3695,4077.1484,1506.5477
3971046,0.3695,4096.6797,1513.7646
3971084,0.3959,4077.1484,1614.1582
3971121,0.3695,4077.1484,1506.5477
3971159,0.3959,4072.2656,1612.2251
3971196,0.3959,4072.2656,1612.2251
3971233,0.4223,4062.5000,1715.5828
3971271,0.4223,4077.1484,1721.7688
3971308,0.3431,4082.0313,1400.6124
3971346,0.3959,4077.1484,1614.1582
3971383,0.4487,4072.2656,1827.1885
3971421,0.3695,4072.2656,1504.7434
3971458,0.3959,4062.5000,1608.3588
3971495,0.3695,4067.3828,1502.9392
3971533,0.4223,4077.1484,1721.7688
