500683,0.3695,4106775
900574,0.3959,4106.4453,1625.7570
900611,0.3959,4111.3281,1627.6901
900647,0.3959,4160.1563,1647.0212
900683,0.3695,4106.75
900574,0.3959,4106.4453,1625.7570
900611,0.3959,4111.3281,1627.6901
900647,0.3959,4160.1563,1647.0212
900683,0.3695,4106.445,1??r??j900720,0.3959,4116.2109,1629.6232
900756,0.4223,4096.6797,1730.0167
900793,0.5279,4106.4453,2167.6758
900829,0.3959,4111.3281,1627.6901
900866,0.4223,4111.3281,1736.2028
900901,0.3695,4125.9766,1524.5902
900938,0.4223,4125.9766,1742.3888
900974,0.5279,4111.3281,2170.2534
901011,0.4487,4111.3281,1844.7155
901048,0.4751,4116.2109,1955.5479
901084,0.4751,4077.1484,1936.9899
901121,0.3431,4116.2109,1412.3401
901156,0.4751,4111.3281,1953.2280
901193,0.3959,4174.8047,1652.8207
901229,0.3959,4116.2109,1629.6232
901266,0.4223,4111.3281,1736.2028
901302,0.3695,4111.3281,1519.1775
901339,0.3695,4091.7969,1511.9604
901374,0.5279,4116.2109,2172.8308
901411,0.5279,4116.2109,2172.8308
901448,0.3431,4111.3281,1410.6647
901484,0.3695,4106.4453,1517.3732
901521,0.4487,4121.0938,1849.0972
901557,0.5543,4106.4453,2276.0598
901594,0.3695,4111.3281,1519.1775
901629,0.3695,4047.8516,1495.7222
901666,0.3959,4116.2109,1629.6232
901702,0.4223,4116.2109,1738.2648
901739,0.3959,4111.3281,1627.6901
901775,0.3431,4111.3281,1410.6647
901812,0.5543,4111.3281,2278.7661
901849,0.3959,4213.8672,1668.2856
901884,0.3959,4106.4453,1625.7570
901921,0.3959,4106.4453,1625.7570
901957,0.4223,4111.3281,1736.2028
901994,0.3959,4096.6797,1621.8906
902030,0.3695,4116.2109,1520.9817
902067,0.4487,4116.2109,1846.9064
902103,0.4223,4111.3281,1736.2028
902139,0.3695,4111.3281,1519.1775
902175,0.3959,4121.0938,1631.5563
902212,0.3959,4106.4453,1625.7570
902249,0.5279,4116.2109,2172.8308
902285,0.3959,4111.3281,1627.6901
902322,0.4223,4101.5625,1732.0787
902358,0.3959,4111.3281,1627.6901
902394,0.3959,4106.4453,1625.7570
902430,0.3167,4033.2031,1277.4081
902467,0.4223,4111.3281,1736.2028
902503,0.5543,4111.3281,2278.7661
902540,0.4223,4116.2109,1738.2648
902576,0.4223,4116.2109,1738.2648
902612,0.4751,4111.3281,1953.2280
902649,0.3959,4135.7422,1637.3557
902685,0.5015,4116.2109,2064.1892
902722,0.5279,4106.4453,2167.6758
902758,0.3695,4140.6250,1530.0029
902795,0.3431,4116.2109,1412.3401
902831,0.4223,4106.4453,1734.1407
902867,0.3695,4125.9766,1524.5902
902903,0.4751,4106.4453,1950.9083
902940,0.4223,4116.2109,1738.2648
902977,0.4751,4111.3281,1953.2280
903013,0.3959,4106.4453,1625.7570
903050,0.3959,4111.3281,1627.6901
903086,0.3431,4121.0938,1414.0155
903122,0.4223,4111.3281,1736.2028
903158,0.3959,4111.3281,1627.6901
903195,0.3695,4125.9766,1524.5902
903231,0.4223,4116.2109,1738.2648
903268,0.3431,4111.3281,1410.6647
903304,0.3695,4121.0938,1522.7859
903341,0.3695,4116.2109,1520.9817
903377,0.4487,4111.3281,1844.7155
903413,0.3695,4116.2109,1520.9817
903450,0.4487,4106.4453,1842.5247
903486,0.3959,4096.6797,1621.8906
903523,0.3959,4111.3281,1627.6901
903559,0.3959,4101.5625,1623.8239
903596,0.3695,4096.6797,1513.7646
903631,0.3695,4111.3281,1519.1775
903668,0.4223,4111.3281,1736.2028
903704,0.3695,4096.6797,1513.7646
903741,0.5279,4091.7969,2159.9434
903778,0.4487,4111.3281,1844.7155
903814,0.5543,4121.0938,2284.1790
903851,0.4223,4111.3281,1736.2028
903886,0.3695,4111.3281,1519.1775
903923,0.3431,4116.2109,1412.3401
903959,0.4487,4125.9766,1851.2881
903996,0.4223,4111.3281,1736.2028
904032,0.4223,4116.2109,1738.2648
904069,0.4223,4116.2109,1738.2648
904104,0.3959,4111.3281,1627.6901
904141,0.4487,4106.4453,1842.5247
904178,0.4223,4106.4453,1734.1407
904214,0.3695,4116.2109,1520.9817
904251,0.3431,4111.3281,1410.6647
904287,0.5279,4111.3281,2170.2534
904324,0.3959,4125.9766,1633.4894
904359,0.3695,4116.2109,1520.9817
904396,0.4487,4106.4453,1842.5247
904432,0.4223,4106.4453,1734.1407
904469,0.4223,4096.6797,1730.0167
904505,0.3695,4096.6797,1513.7646
904542,0.4751,4116.2109,1955.5479
904579,0.5015,4111.3281,2061.7407
904614,0.4487,4106.4453,1842.5247
904651,0.4223,4116.2109,1738.2648
904687,0.5279,4111.3281,2170.2534
904724,0.5015,4116.2109,2064.1892
904760,0.3431,4086.9141,1402.2878
904797,0.3959,4082.0313,1616.0913
904833,0.3959,4160.1563,1647.0212
904869,0.4223,4106.4453,1734.1407
904905,0.3959,4111.3281,1627.6901
904942,0.3959,4184.5703,1656.6869
904979,0.4223,4111.3281,1736.2028
905015,0.4223,4111.3281,1736.2028
905052,0.3959,4111.3281,1627.6901
905088,0.3959,4111.3281,1627.6901
905124,0.4223,4111.3281,1736.2028
905160,0.3959,4091.7969,1619.9575
905197,0.4487,4106.4453,1842.5247
905233,0.4487,4116.2109,1846.9064
905270,0.3695,4072.2656,1504.7434
905307,0.3695,4116.2109,1520.9817
905342,0.4223,4116.2109,1738.2648
905379,0.4487,4052.7344,1818.4250
905415,0.4487,4121.0938,1849.0972
905452,0.3695,4116.2109,1520.9817
905488,0.4487,4111.3281,1844.7155
905525,0.4751,4125.9766,1960.1874
905561,0.3695,4096.6797,1513.7646
905597,0.4223,4111.3281,1736.2028
905633,0.3959,4111.3281,1627.6901
905670,0.3695,4116.2109,1520.9817
905707,0.3959,4106.4453,1625.7570
905743,0.3959,4101.5625,1623.8239
905780,0.4223,4116.2109,1738.2648
905816,0.3959,4106.4453,1625.7570
905852,0.3167,4091.7969,1295.9661
905888,0.3695,4101.5625,1515.5690
905925,0.3695,4111.3281,1519.1775
905961,0.4223,4111.3281,1736.2028
905998,0.3959,4111.3281,1627.6901
906034,0.3695,4106.4453,1517.3732
906071,0.4487,4116.2109,1846.9064
906107,0.3695,4096.6797,1513.7646
906143,2.4810,3828.1250,9497.5654
906180,2.6394,3930.6641,10374.4300
906217,2.2435,3896.4844,8741.5850
906254,2.0851,3901.3672,8134.7134
906290,1.9003,3896.4844,7404.6367
906327,1.9003,3916.0156,7441.7524
906362,1.8739,3945.3125,7393.2959
906399,1.7156,3945.3125,6768.5098
906435,1.9267,3906.2500,7526.2949
906472,1.5572,3950.1953,6151.3281
906509,1.6364,3964.8438,6488.0781
906545,1.7684,3950.1953,6985.4067
906582,1.5308,3950.1953,6047.0688
906617,1.9795,3911.1328,7742.1597
906654,1.6364,3959.9609,6480.0879
906690,1.8476,3945.3125,7289.1646
906727,1.8476,3906.2500,7216.9946
906763,1.7420,3940.4297,6864.1353
906800,2.1115,3901.3672,8237.6836
906835,1.8212,4042.9688,7362.8813
906872,1.9795,3906.2500,7732.4941
906909,2.0059,3901.3672,7825.7993
906945,2.0323,3896.4844,7918.8477
906982,2.2171,3906.2500,8660.3936
907018,2.0323,3896.4844,7918.8477
907055,2.0587,3901.3672,8031.7422
907090,1.9003,3974.6094,7553.1006
907127,2.2435,3891.6016,8730.6309
907163,2.1115,3813.4766,8052.1040
907200,2.0323,3896.4844,7918.8477
907237,2.1907,3911.1328,8567.9902
907273,1.9003,3886.7188,7386.0786
907310,2.2435,3872.0703,8686.8135
907345,2.0851,3872.0703,8073.6270
907382,2.2698,3881.8359,8811.1768
907418,2.1379,3881.8359,8298.8994
907455,2.1907,3862.3047,8461.0244
907491,2.2698,3842.7734,8722.5107
907528,2.2435,3886.7188,8719.6768
907564,2.3490,3872.0703,9095.6045
907600,2.0851,3901.3672,8134.7134
907637,2.1907,3876.9531,8493.1143
907673,2.0323,3916.0156,7958.5410
907710,2.0059,3911.1328,7845.3887
907746,2.0851,3906.2500,8144.8945
907783,1.9267,3896.4844,7507.4790
907819,2.1643,3906.2500,8454.1943
907855,2.2171,3881.8359,8606.2666
907891,2.2435,3867.1875,8675.8594
907928,2.1115,3881.8359,8196.4443
907964,2.0851,3920.8984,8175.4380
908001,2.2171,3906.2500,8660.3936
908038,2.1379,3876.9531,8288.4609
908073,2.4282,3876.9531,9414.0547
908110,2.1643,3896.4844,8433.0586
908146,2.5074,3852.5391,9659.8193
908183,2.2171,3857.4219,8552.1387
908219,2.3490,3852.5391,9049.7256
908256,2.2435,3886.7188,8719.6768
908292,2.1643,3876.9531,8390.7881
908328,2.2698,3842.7734,8722.5107
908364,2.1907,3876.9531,8493.1143
908401,2.2698,3896.4844,8844.4268
908438,2.1379,3867.1875,8267.5830
908474,2.1379,3867.1875,8267.5830
908511,2.2171,3930.6641,8714.5215
908547,2.2962,3876.9531,8902.4209
908583,2.2435,3886.7188,8719.6768
908619,2.1643,3872.0703,8380.2197
908656,2.2962,3872.0703,8891.2090
908692,2.1907,3916.0156,8578.6865
908729,2.1907,3876.9531,8493.1143
908765,2.0851,3857.4219,8043.0835
908802,2.2171,3896.4844,8638.7432
908838,2.3226,3847.6563,8936.7021
908874,2.2435,3862.3047,8664.9043
908911,2.2435,3876.9531,8697.7676
908947,2.0323,3906.2500,7938.6943
908984,2.3490,3857.4219,9061.1953
909020,2.0851,3862.3047,8053.2646
909057,2.2962,3862.3047,8868.7842
909092,2.2171,3852.5391,8541.3135
909129,1.9795,3916.0156,7751.8257
909165,2.5866,3828.1250,9901.7168
909202,2.1907,3862.3047,8461.0244
909239,2.2962,3876.9531,8902.4209
909275,2.1907,3886.7188,8514.5068
909312,1.9531,3862.3047,7543.5640
909347,2.2171,3881.8359,8606.2666
909384,2.2962,3886.7188,8924.8447
909420,2.2435,3857.4219,8653.9502
909457,2.0059,3876.9531,7776.8271
909493,2.0323,3906.2500,7938.6943
909530,2.1379,3911.1328,8361.5332
909566,2.0587,3896.4844,8021.6899
909602,2.0851,3886.7188,8104.1699
909639,1.9003,3916.0156,7441.7524
909675,2.1643,3911.1328,8464.7617
909712,2.1115,3862.3047,8155.2041
909748,2.2962,3862.3047,8868.7842
909785,2.3226,3886.7188,9027.4297
909820,2.2698,3872.0703,8789.0107
909857,2.1907,3837.8906,8407.5410
909893,2.4282,3852.5391,9354.7725
909930,2.1379,3906.2500,8351.0938
909967,2.1115,3872.0703,8175.8237
910003,2.3226,3828.1250,8891.3379
910040,2.2698,3862.3047,8766.8438
910075,2.3754,3881.8359,9220.9990
910112,2.3490,3852.5391,9049.7256
910148,2.1643,3857.4219,8348.5166
910185,2.4282,3847.6563,9342.9160
910221,2.2435,3906.2500,8763.4941
910258,2.3226,3872.0703,8993.4063
910294,2.0851,3857.4219,8043.0835
910330,1.9003,3911.1328,7432.4736
910367,2.2171,3901.3672,8649.5684
910403,2.0323,3891.6016,7908.9243
910440,2.1643,3867.1875,8369.6523
910476,2.0851,3872.0703,8073.6270
910513,2.1115,3916.0156,8268.6143
910548,2.2435,3852.5391,8642.9961
910585,2.3754,3833.0078,9105.0117
910621,2.3226,3862.3047,8970.7246
910658,2.1907,3901.3672,8546.5967
910694,2.2962,3847.6563,8835.1484
910731,2.2171,3847.6563,8530.4883
910768,2.1907,3876.9531,8493.1143
910803,2.3490,3876.9531,9107.0742
910840,2.0851,3886.7188,8104.1699
910876,2.2962,3876.9531,8902.4209
910913,2.3226,4052.7344,9413.0234
910949,2.2435,3862.3047,8664.9043
910986,1.9531,3906.2500,7629.3945
911022,2.2171,3862.3047,8562.9639
911058,2.1379,3901.3672,8340.6553
911094,2.2698,3891.6016,8833.3438
911131,2.1115,3891.6016,8217.0635
911168,2.0059,3891.6016,7806.2104
911204,2.3226,3872.0703,8993.4063
911241,2.2698,3891.6016,8833.3438
911277,2.3754,3852.5391,9151.4072
911313,2.2435,3857.4219,8653.9502
911349,2.0851,3886.7188,8104.1699
911386,2.1907,3901.3672,8546.5967
911422,2.2435,3876.9531,8697.7676
911459,2.4282,3828.1250,9295.4893
911495,2.2698,3837.8906,8711.4277
911532,2.1115,3906.2500,8247.9941
911568,2.1379,3862.3047,8257.1445
911604,2.1379,3857.4219,8246.7051
911641,2.1907,3876.9531,8493.1143
911677,2.0851,3916.0156,8165.2568
911714,2.0059,3911.1328,7845.3887
911750,2.1907,3852.5391,8439.6309
911787,2.1907,3891.6016,8525.2041
911822,2.2171,3818.3594,8465.5352
911859,2.1115,3872.0703,8175.8237
911896,2.0851,3955.0781,8246.7061
911932,2.3226,3867.1875,8982.0654
911969,2.2435,3891.6016,8730.6309
912005,2.3490,3852.5391,9049.7256
912041,2.2171,3857.4219,8552.1387
912077,2.3490,3867.1875,9084.1348
912114,2.3226,3881.8359,9016.0889
912150,2.3754,3813.4766,9058.6172
912187,2.3754,3847.6563,9139.8086
912223,2.2171,3886.7188,8617.0918
912260,2.3226,3935.5469,9140.8398
912296,2.1115,3876.9531,8186.1338
912332,2.1643,3872.0703,8380.2197
912369,2.1379,3881.8359,8298.8994
912405,2.1643,3901.3672,8443.6270
912442,2.3226,3837.8906,8914.0195
912478,2.2962,3842.7734,8823.9355
912515,2.3754,3867.1875,9186.2031
912550,2.0851,3906.2500,8144.8945
912587,2.1907,3886.7188,8514.5068
912623,2.2962,3862.3047,8868.7842
912660,2.3226,3857.4219,8959.3838
912697,2.4018,3862.3047,9276.5449
912733,2.4546,3842.7734,9432.4834
912770,2.3226,3833.0078,8902.6787
912805,2.3490,3847.6563,9038.2559
912842,2.3490,3872.0703,9095.6045
912878,2.3754,3886.7188,9232.5986
912915,2.2698,3837.8906,8711.4277
912951,2.3754,3842.7734,9128.2100
912988,2.3226,3857.4219,8959.3838
913024,2.2435,3881.8359,8708.7217
913060,2.2962,3837.8906,8812.7236
913097,2.3226,3842.7734,8925.3604
913133,2.3754,3857.4219,9163.0059
913170,2.1115,3876.9531,8186.1338
913206,2.1907,3872.0703,8482.4170
913243,2.2698,3867.1875,8777.9277
913278,2.2435,3891.6016,8730.6309
913315,2.3754,3872.0703,9197.8018
913351,2.1907,3847.6563,8428.9346
913388,2.2962,3857.4219,8857.5723
913424,2.2171,3872.0703,8584.6152
913461,2.2171,3896.4844,8638.7432
913498,2.4282,3842.7734,9331.0596
913533,2.4018,3803.7109,9135.8135
913570,2.3490,3852.5391,9049.7256
913606,2.3490,3867.1875,9084.1348
913643,2.3754,3842.7734,9128.2100
913679,2.5074,3842.7734,9635.3330
913716,2.5074,3833.0078,9610.8467
913752,2.4810,3818.3594,9473.3369
913788,2.4546,3837.8906,9420.4980
913824,2.4810,3818.3594,9473.3369
913861,2.4018,3842.7734,9229.6348
913898,2.4282,3833.0078,9307.3457
913934,2.4810,3833.0078,9509.6797
913971,2.4018,3828.1250,9194.4512
914007,2.2698,3701.1719,8401.0967
914043,2.3490,3876.9531,9107.0742
914079,2.4810,3857.4219,9570.2510
914116,2.3226,3828.1250,8891.3379
914152,2.2435,3852.5391,8642.9961
914189,2.3226,3876.9531,9004.7480
914226,2.3754,3833.0078,9105.0117
914262,2.2435,3857.4219,8653.9502
914298,2.3490,3857.4219,9061.1953
914334,2.2962,4033.2031,9261.2080
914371,2.3490,3872.0703,9095.6045
914407,2.2962,3842.7734,8823.9355
914444,2.4018,3823.2422,9182.7236
914480,2.5602,3833.0078,9813.1797
914516,2.5602,3837.8906,9825.6807
914552,2.3754,3833.0078,9105.0117
914589,2.4282,3842.7734,9331.0596
914626,2.2435,3876.9531,8697.7676
914662,2.3754,3891.6016,9244.1973
914699,2.3490,3852.5391,9049.7256
914735,2.2962,3828.1250,8790.2998
914771,2.2435,3857.4219,8653.9502
914807,2.2962,3896.4844,8947.2695
914844,2.3490,3876.9531,9107.0742
914880,2.3490,3823.2422,8980.9063
914917,2.3490,3842.7734,9026.7852
914953,2.4018,3867.1875,9288.2725
914990,2.5074,3837.8906,9623.0898
915026,2.6130,3823.2422,9989.9971
915062,2.6394,3833.0078,10116.6800
915100,2.6921,3833.0078,10319.0140
915137,2.3754,3852.5391,9151.4072
915174,2.4018,3837.8906,9217.9063
915210,2.4282,3833.0078,9307.3457
915247,2.2435,3842.7734,8621.0869
915282,2.2435,3867.1875,8675.8594
915319,2.2435,3881.8359,8708.7217
915355,2.3226,3852.5391,8948.0430
915392,2.4018,3891.6016,9346.9102
915429,2.4810,3852.5391,9558.1367
915465,2.4282,3862.3047,9378.4854
915502,2.5602,3813.4766,9763.1758
915537,2.6130,3808.5938,9951.7207
915574,2.4810,3828.1250,9497.5654
915610,2.4546,3852.5391,9456.4541
915647,2.4018,3818.3594,9170.9961
915683,2.4810,3837.8906,9521.7939
915720,2.4810,3847.6563,9546.0225
915757,2.3490,3842.7734,9026.7852
915792,2.2435,3872.0703,8686.8135
915829,2.3754,3837.8906,9116.6104
915865,2.4018,3828.1250,9194.4512
915902,2.3754,3842.7734,9128.2100
915938,2.6130,3833.0078,10015.5140
915976,2.4282,3828.1250,9295.4893
916012,2.4018,3828.1250,9194.4512
916048,2.6394,3828.1250,10103.7930
916085,2.5074,3808.5938,9549.6309
916122,2.4018,3862.3047,9276.5449
916159,2.3490,3837.8906,9015.3154
916195,2.2962,3842.7734,8823.9355
916232,2.3754,3867.1875,9186.2031
916268,2.4282,3886.7188,9437.7676
916304,2.3226,3852.5391,8948.0430
916340,2.2698,3867.1875,8777.9277
916377,2.2962,3852.5391,8846.3604
916413,2.2962,3867.1875,8879.9961
916450,2.4018,3847.6563,9241.3623
916486,2.4282,3808.5938,9248.0635
916523,2.4546,3842.7734,9432.4834
916559,2.5338,3823.2422,9687.2686
916595,2.5338,3808.5938,9650.1523
916632,2.4018,3842.7734,9229.6348
916668,2.3490,3842.7734,9026.7852
916705,2.4018,3857.4219,9264.8174
916741,2.4282,3857.4219,9366.6289
916777,2.2962,3852.5391,8846.3604
916813,2.1643,3876.9531,8390.7881
916850,2.2962,3862.3047,8868.7842
916886,2.4018,3852.5391,9253.0898
916923,2.4282,3828.1250,9295.4893
916960,2.4282,3828.1250,9295.4893
916996,2.4282,3833.0078,9307.3457
917032,2.4282,3862.3047,9378.4854
917068,2.4546,3837.8906,9420.4980
917105,2.5074,3813.4766,9561.8740
917141,2.4282,3842.7734,9331.0596
917178,2.3490,3847.6563,9038.2559
917214,2.7185,3842.7734,10446.7290
917252,2.5866,3808.5938,9851.1982
917288,2.4810,3852.5391,9558.1367
917324,2.4282,3833.0078,9307.3457
917361,2.4282,3857.4219,9366.6289
917397,2.6658,3818.3594,10178.7980
917435,2.3226,3857.4219,8959.3838
917471,2.2962,3872.0703,8891.2090
917508,2.1907,3891.6016,8525.2041
917543,2.2698,3862.3047,8766.8438
917580,2.4810,3833.0078,9509.6797
917616,2.3490,3833.0078,9003.8457
917653,2.4282,3857.4219,9366.6289
917690,2.3490,3867.1875,9084.1348
917726,2.4018,3842.7734,9229.6348
917763,2.5338,3833.0078,9712.0127
917798,2.5074,3833.0078,9610.8467
917835,2.4546,3847.6563,9444.4688
917871,2.5338,3989.2578,10107.9160
917909,2.7449,3803.7109,10440.9300
917946,2.6921,3793.9453,10213.8530
917984,2.4810,3833.0078,9509.6797
918021,2.4546,3852.5391,9456.4541
918056,2.3490,3916.0156,9198.8340
918093,2.5074,3828.1250,9598.6035
918129,2.1643,3852.5391,8337.9492
918166,2.1907,3872.0703,8482.4170
