1,4038.0859,1918.4319
269364432,0.4487,4038.0859,1811.8524
269364472,0.4487,4038.0859,1811.8524
269364512,0.4487,4023.4375,1805I?Nj&S364551,0.4487,4038.0859,1811.8524
269364591,0.4487,4033.2031,1809.6615
269364630,0.4751,4042.9688,1920.7516
269364670,0.4751,4042.9688,1920.7516
269364710,0.4487,4042.9688,1814.0432
269364749,0.4487,4028.3203,1807.4706
269364789,0.4223,4038.0859,1705.2728
269364828,0.4487,4042.9688,1814.0432
269364868,0.5015,4033.2031,2022.5627
269364907,0.4487,4033.2031,1809.6615
269364946,0.4751,4038.0859,1918.4319
269364986,0.4751,4042.9688,1920.7516
269365025,0.5015,4047.8516,2029.9086
269365065,0.4223,4028.3203,1701.1488
269365104,0.4223,4038.0859,1705.2728
269365144,0.5015,4042.9688,2027.4600
269365184,0.4751,4033.2031,1916.1121
269365223,0.4751,4038.0859,1918.4319
269365263,0.4487,4047.8516,1816.2341
269365302,0.5015,4042.9688,2027.4600
269365342,0.5015,4033.2031,2022.5627
269365382,0.4487,4038.0859,1811.8524
269365421,0.4751,4042.9688,1920.7516
269365460,0.4751,4042.9688,1920.7516
269365499,0.5543,4038.0859,2238.1704
269365539,0.4751,4023.4375,1911.4727
269365579,0.4487,4033.2031,1809.6615
269365618,0.4751,4033.2031,1916.1121
269365658,0.4751,4038.0859,1918.4319
269365697,0.5015,4033.2031,2022.5627
269365737,0.5015,4042.9688,2027.4600
269365777,0.5015,4033.2031,2022.5627
269365816,0.4751,4038.0859,1918.4319
269365856,0.4487,4038.0859,1811.8524
269365895,0.4751,4042.9688,1920.7516
269365935,0.4751,4052.7344,1925.3911
269365975,0.4487,4033.2031,1809.6615
269366013,0.5015,4042.9688,2027.4600
269366053,0.4751,4047.8516,1923.0713
269366092,0.4751,4042.9688,1920.7516
269366132,0.5807,4038.0859,2344.7500
269366171,0.4751,4038.0859,1918.4319
269366211,0.5015,4038.0859,2025.0114
269366251,0.6071,4038.0859,2451.3296
269366290,0.4223,4018.5547,1697.0248
269366330,0.4751,4028.3203,1913.7924
269366369,0.5015,4008.7891,2010.3196
269366409,0.5807,4033.2031,2341.9148
269366449,0.4223,4042.9688,1707.3348
269366488,0.5807,4038.0859,2344.7500
269366528,0.6334,4038.0859,2557.9089
269366566,0.4487,4042.9688,1814.0432
269366606,0.5279,4033.2031,2129.0134
269366646,0.4751,4038.0859,1918.4319
269366685,0.4487,4033.2031,1809.6615
269366725,0.5015,4028.3203,2020.1141
269366764,0.5015,4042.9688,2027.4600
269366804,0.4487,4062.5000,1822.8068
269366844,0.4487,4038.0859,1811.8524
269366883,0.5015,4038.0859,2025.0114
269366923,0.5543,4038.0859,2238.1704
269366962,0.4751,4033.2031,1916.1121
269367002,0.4223,4042.9688,1707.3348
269367042,0.3959,4038.0859,1598.6932
269367080,0.4487,4042.9688,1814.0432
269367120,0.6071,4033.2031,2448.3655
269367159,0.5015,4038.0859,2025.0114
269367199,0.5279,4033.2031,2129.0134
269367239,0.4751,4038.0859,1918.4319
269367278,0.5015,4033.2031,2022.5627
269367318,0.4751,3994.1406,1897.5541
269367357,0.4487,4047.8516,1816.2341
269367397,0.4223,4033.2031,1703.2108
269367436,0.4487,4023.4375,1805.2798
269367476,0.5279,4033.2031,2129.0134
269367516,0.4751,4028.3203,1913.7924
269367555,0.4751,4042.9688,1920.7516
269367595,0.5807,4038.0859,2344.7500
269367633,0.6071,4042.9688,2454.2939
269367673,0.4487,4028.3203,1807.4706
269367713,0.5279,4038.0859,2131.5908
269367752,0.5015,4038.0859,2025.0114
269367792,0.4487,4028.3203,1807.4706
269367831,0.4487,4047.8516,1816.2341
269367871,0.4487,4038.0859,1811.8524
269367911,0.4751,4013.6719,1906.8331
269367950,0.4487,4023.4375,1805.2798
269367990,0.4487,4038.0859,1811.8524
269368029,0.4751,4023.4375,1911.4727
269368069,0.4751,4038.0859,1918.4319
269368109,0.5015,4033.2031,2022.5627
269368147,0.4487,4038.0859,1811.8524
269368187,0.5807,4042.9688,2347.5854
269368226,0.4751,4047.8516,1923.0713
269368266,0.5015,4013.6719,2012.7682
269368306,0.5015,4028.3203,2020.1141
269368345,0.4751,4018.5547,1909.1528
269368385,0.4223,4038.0859,1705.2728
269368424,0.4487,4038.0859,1811.8524
269368464,0.5015,4038.0859,2025.0114
269368504,0.5015,4033.2031,2022.5627
269368543,0.4751,4042.9688,1920.7516
269368583,0.4751,4042.9688,1920.7516
269368622,0.4223,4042.9688,1707.3348
269368662,0.5015,4038.0859,2025.0114
269368700,0.4751,4038.0859,1918.4319
269368740,0.4487,4033.2031,1809.6615
269368780,0.4751,4018.5547,1909.1528
269368819,0.5807,3911.1328,2271.0337
269368859,0.4487,4038.0859,1811.8524
269368898,0.4223,4042.9688,1707.3348
269368938,0.4487,4042.9688,1814.0432
269368978,0.4223,4038.0859,1705.2728
269369017,0.4223,4042.9688,1707.3348
269369057,0.4223,4042.9688,1707.3348
269369096,0.4751,4033.2031,1916.1121
269369136,0.4751,4038.0859,1918.4319
269369176,0.5807,4033.2031,2341.9148
269369214,0.4751,4018.5547,1909.1528
269369254,0.4751,4038.0859,1918.4319
269369293,0.4223,4038.0859,1705.2728
269369333,0.4751,4160.1563,1976.4255
269369373,0.4751,4038.0859,1918.4319
269369412,0.4751,4028.3203,1913.7924
269369452,0.4487,4018.5547,1803.0889
269369491,0.4487,4033.2031,1809.6615
269369531,0.5015,4042.9688,2027.4600
269369571,0.6598,4033.2031,2661.2668
269369610,0.6071,4047.8516,2457.2581
269369650,0.4487,4165.0391,1868.8151
269369689,0.4751,4028.3203,1913.7924
269369729,0.4487,4038.0859,1811.8524
269369768,0.4487,4042.9688,1814.0432
269369807,0.4487,4047.8516,1816.2341
269369847,0.4223,4042.9688,1707.3348
269369886,0.4487,4038.0859,1811.8524
269369926,0.4487,4038.0859,1811.8524
269369965,0.5015,4038.0859,2025.0114
269370005,0.4751,4042.9688,1920.7516
269370045,0.5543,4038.0859,2238.1704
269370084,0.4487,4042.9688,1814.0432
269370124,0.4487,4033.2031,1809.6615
269370163,0.4487,3935.5469,1765.8440
269370203,0.4751,4038.0859,1918.4319
269370243,0.4751,4038.0859,1918.4319
269370281,0.5015,4033.2031,2022.5627
269370321,0.4751,4038.0859,1918.4319
269370360,0.5543,4057.6172,2248.9961
269370400,0.4487,4033.2031,1809.6615
269370440,0.4751,4042.9688,1920.7516
269370479,0.4487,4042.9688,1814.0432
269370519,0.4751,4042.9688,1920.7516
269370558,0.4751,4038.0859,1918.4319
269370598,0.5015,4052.7344,2032.3572
269370638,0.4751,4018.5547,1909.1528
269370677,0.4487,4028.3203,1807.4706
269370717,0.6071,4038.0859,2451.3296
269370756,0.4751,4038.0859,1918.4319
269370796,0.5015,4038.0859,2025.0114
269370835,0.4487,4042.9688,1814.0432
269370874,0.4751,4038.0859,1918.4319
269370914,0.4751,4033.2031,1916.1121
269370953,0.6071,4042.9688,2454.2939
269370993,0.4487,4028.3203,1807.4706
269371033,0.5543,4042.9688,2240.8770
269371072,0.4487,4038.0859,1811.8524
269371112,0.5279,4033.2031,2129.0134
269371151,0.5015,4042.9688,2027.4600
269371191,0.5015,4038.0859,2025.0114
269371230,0.4223,4042.9688,1707.3348
269371270,0.4751,4038.0859,1918.4319
269371310,0.6071,4038.0859,2451.3296
269371348,0.5543,4038.0859,2238.1704
269371388,0.5279,4028.3203,2126.4360
269371427,0.5015,4038.0859,2025.0114
269371467,0.4751,4042.9688,1920.7516
269371507,0.5543,4038.0859,2238.1704
269371546,0.5279,4033.2031,2129.0134
269371586,1.8476,3837.8906,7090.6973
269371625,1.8476,3881.8359,7171.8887
269371665,1.8212,3837.8906,6989.4019
269371705,1.6364,3896.4844,6376.2148
269371744,1.5572,3876.9531,6037.2739
269371784,1.5308,3906.2500,5979.7959
269371823,1.4253,3916.0156,5581.3145
269371863,1.5308,3886.7188,5949.8970
269371902,1.4253,3906.2500,5567.3960
269371941,1.6364,3833.0078,6272.3418
269371981,1.5308,3881.8359,5942.4224
269372020,1.4516,3881.8359,5635.0552
269372060,1.5836,3876.9531,6139.6006
269372100,1.4253,3891.6016,5546.5186
269372139,1.6364,3867.1875,6328.2734
269372179,1.5572,3876.9531,6037.2739
269372218,1.3725,3911.1328,5367.8975
269372258,1.7156,3876.9531,6651.2339
269372298,1.3989,3901.3672,5457.4653
269372337,1.6364,3886.7188,6360.2344
269372377,1.6100,3867.1875,6226.2046
269372416,1.4780,3901.3672,5766.3789
269372455,1.5572,3891.6016,6060.0850
269372494,1.5044,3891.6016,5854.6582
269372534,1.3989,3896.4844,5450.6353
269372574,1.6364,3872.0703,6336.2637
269372613,1.5044,3911.1328,5884.0415
269372653,1.7420,3857.4219,6719.5376
269372692,1.9003,3837.8906,7293.2886
269372732,1.7948,3833.0078,6879.3428
269372772,2.0059,3813.4766,7649.4985
269372811,1.7684,3857.4219,6821.3486
269372851,1.6892,3837.8906,6482.9233
269372890,1.5044,3916.0156,5891.3877
269372930,1.5308,3867.1875,5919.9980
269372969,1.5308,3916.0156,5994.7456
269373008,1.5836,3862.3047,6116.4028
269373048,1.5308,3876.9531,5934.9473
269373087,1.6364,3881.8359,6352.2441
269373127,1.7948,3857.4219,6923.1602
269373167,1.6892,3876.9531,6548.9072
269373206,1.7684,3852.5391,6812.7144
269373246,1.4780,3876.9531,5730.2939
269373285,1.7156,3857.4219,6617.7266
269373325,1.5572,3857.4219,6006.8594
269373365,1.8476,3847.6563,7108.7397
269373404,1.8212,3828.1250,6971.6172
269373444,1.8212,3837.8906,6989.4019
269373483,1.9267,3823.2422,7366.3608
269373522,1.9531,3823.2422,7467.2700
269373562,1.9003,3823.2422,7265.4517
269373601,1.8476,3837.8906,7090.6973
269373641,1.9531,3818.3594,7457.7334
269373680,1.8212,3837.8906,6989.4019
269373720,1.9267,3818.3594,7356.9531
269373759,1.6628,3891.6016,6470.9380
269373799,1.7684,3828.1250,6769.5410
269373839,1.8476,3852.5391,7117.7607
269373878,1.9531,3793.9453,7410.0493
269373918,1.9795,3828.1250,7577.8442
269373957,1.6100,3872.0703,6234.0659
269373997,1.7420,3813.4766,6642.9863
269374036,1.7156,3847.6563,6600.9727
269374075,1.8739,3833.0078,7182.8433
269374115,1.6100,3881.8359,6249.7886
269374154,1.7684,3847.6563,6804.0796
269374194,1.7684,3837.8906,6786.8105
269374234,1.9531,3828.1250,7476.8066
269374273,1.8476,3842.7734,7099.7183
269374313,1.7420,3857.4219,6719.5376
269374352,1.9531,3813.4766,7448.1963
269374392,1.9795,3823.2422,7568.1787
269374432,1.9531,3837.8906,7495.8799
269374471,1.6364,3842.7734,6288.3223
269374511,1.9795,3808.5938,7539.1821
269374550,1.6892,3857.4219,6515.9155
