8404,0.2??????	516,1175.2103
356958443,0.2111,4062.5000,857.7914
356958482,0.2375,4057.6172,963.8554
356958520,0.2639,4062.5000,1072.2393
356958560,0.2375,4057.6172,963.8554
356958598,0.1848,4062.5000,750.5675
356958637,0.2639,4047.8516,1068.3729
356958676,0.2375,4057.6172,963.8554
356958714,0.2639,4057.6172,1070.9504
356958754,0.2375,4057.6172,963.8554
356958792,0.1848,4062.5000,750.5675
356958831,0.2111,4057.6172,856.7604
356958870,0.2375,4062.5000,965.0153
356958908,0.2639,4062.5000,1072.2393
356958948,0.3167,4047.8516,1282.0475
356958987,0.2375,4003.9063,951.0968
356959026,0.3959,4106.4453,1625.7570
356959065,0.2111,4067.3828,858.8224
356959104,0.2375,4057.6172,963.8554
356959142,0.2903,4057.6172,1178.0455
356959181,0.1848,4038.0859,746.0569
356959220,0.2639,4052.7344,1069.6617
356959259,0.2375,4057.6172,963.8554
356959298,0.2639,4052.7344,1069.6617
356959338,0.2639,4057.6172,1070.9504
356959377,0.2639,4067.3828,1073.5280
356959417,0.2903,4057.6172,1178.0455
356959456,0.2639,4057.6172,1070.9504
356959496,0.3695,4057.6172,1499.3307
356959536,0.2111,4062.5000,857.7914
356959574,0.2111,4062.5000,857.7914
356959612,0.2375,4033.2031,958.0560
356959650,0.2111,4052.7344,855.7294
356959689,0.2903,4062.5000,1179.4631
356959728,0.2639,4052.7344,1069.6617
356959768,0.2375,4052.7344,962.6956
356959807,0.2375,4057.6172,963.8554
356959845,0.2375,4038.0859,959.2159
356959884,0.2375,4033.2031,958.0560
356959922,0.2639,4057.6172,1070.9504
356959962,0.2903,4057.6172,1178.0455
356960002,0.2903,4091.7969,1187.9689
356960040,0.3167,4057.6172,1285.1405
356960080,0.2639,4057.6172,1070.9504
356960119,0.2111,4062.5000,857.7914
356960158,0.2639,4052.7344,1069.6617
356960197,0.2639,4062.5000,1072.2393
356960237,0.4223,3916.0156,1653.7228
356960277,0.2903,4052.7344,1176.6279
356960316,0.2375,4062.5000,965.0153
356960355,0.2111,4057.6172,856.7604
356960393,0.2375,4062.5000,965.0153
356960432,0.2111,4057.6172,856.7604
356960471,0.2375,4057.6172,963.8554
356960508,0.3167,4062.5000,1286.6870
356960548,0.2639,4057.6172,1070.9504
356960587,0.2639,4057.6172,1070.9504
356960627,0.1848,4067.3828,751.4696
