12465.8203,390.4910
7450303,0.1320,243636
7450193,0.1584,2421.8750,383.5317
7450230,0.2111,2441.4063,515.4996
7450266,0.1584,2465.8203,390.4910
7450303,0.1320,2436.523b??r???C?S???b?r????b????r????b???r????j7450376,0.1848,2421.8750,447.4537
7450413,0.1584,2392.5781,378.8922
7450448,0.1848,2460.9375,454.6707
7450485,0.1584,2451.1719,388.1712
7450521,0.1848,2436.5234,450.1601
7450558,0.1320,2412.1094,318.3210
7450594,0.1320,2436.5234,321.5429
7450631,0.1848,2456.0547,453.7686
7450667,0.1848,2465.8203,455.5728
7450703,0.1584,2426.7578,384.3050
7450739,0.1848,2426.7578,448.3558
7450776,0.2111,2431.6406,513.4376
7450813,0.1584,2426.7578,384.3050
7450849,0.1584,2460.9375,389.7177
7450886,0.2111,2446.2891,516.5306
7450921,0.1320,2426.7578,320.2542
7450958,0.1848,2416.9922,446.5516
7450994,0.1584,2436.5234,385.8515
7451031,0.1584,2451.1719,388.1712
7451067,0.1584,2456.0547,388.9445
7451104,0.1320,2421.8750,319.6098
7451140,0.1848,2431.6406,449.2579
7451176,0.2111,2436.5234,514.4686
7451213,0.1848,2431.6406,449.2579
7451249,0.1848,2446.2891,451.9643
7451286,0.2111,2441.4063,515.4996
7451322,0.1848,2412.1094,445.6494
7451359,0.1584,2421.8750,383.5317
7451395,0.1848,2446.2891,451.9643
7451431,0.1584,2460.9375,389.7177
7451467,0.1848,2456.0547,453.7686
7451504,0.2111,2412.1094,509.3136
7451540,0.1848,2421.8750,447.4537
7451577,0.1848,2431.6406,449.2579
7451614,0.1848,2441.4063,451.0622
7451650,0.1848,2456.0547,453.7686
7451686,0.1848,2441.4063,451.0622
7451722,0.2375,2426.7578,576.4575
7451759,0.1320,2416.9922,318.9654
7451795,0.2111,2451.1719,517.5616
7451832,0.1848,2451.1719,452.8664
7451868,0.1584,2426.7578,384.3050
7451905,0.2111,2412.1094,509.3136
7451940,0.2375,2426.7578,576.4575
7451977,0.1320,2441.4063,322.1873
7452014,0.1848,2446.2891,451.9643
7452050,0.1848,2451.1719,452.8664
7452087,0.2111,2426.7578,512.4066
7452123,0.2111,2436.5234,514.4686
7452160,0.1848,2416.9922,446.5516
7452195,0.1584,2451.1719,388.1712
7452232,0.1584,2446.2891,387.3979
7452268,0.2111,2426.7578,512.4066
7452305,0.1584,2407.2266,381.2120
7452341,0.2111,2421.8750,511.3756
7452378,0.1320,2441.4063,322.1873
7452414,0.1584,2441.4063,386.6247
7452450,0.1848,2446.2891,451.9643
7452487,0.1584,2421.8750,383.5317
7452523,0.2111,2436.5234,514.4686
7452560,0.1320,2431.6406,320.8985
7452596,0.1848,2451.1719,452.8664
7452633,0.1584,2446.2891,387.3979
7452668,0.1584,2436.5234,385.8515
7452705,0.1584,2407.2266,381.2120
7452742,0.1584,2421.8750,383.5317
7452778,0.1584,2451.1719,388.1712
7452815,0.2111,2441.4063,515.4996
7452851,0.2111,2441.4063,515.4996
7452888,0.1056,2426.7578,256.2033
7452923,0.1848,2441.4063,451.0622
7452960,0.1848,2431.6406,449.2579
7452996,0.1848,2460.9375,454.6707
7453033,0.1848,2446.2891,451.9643
7453069,0.1584,2441.4063,386.6247
7453106,0.2111,2402.3438,507.2516
7453143,0.1056,2441.4063,257.7498
7453178,0.1320,2446.2891,322.8316
7453215,0.1320,2441.4063,322.1873
7453251,0.1584,2431.6406,385.0782
7453288,0.1320,2421.8750,319.6098
7453324,0.1848,2446.2891,451.9643
7453361,0.2111,2441.4063,515.4996
7453396,0.1584,2451.1719,388.1712
7453433,0.1320,2426.7578,320.2542
7453469,0.1320,2421.8750,319.6098
7453506,0.1848,2451.1719,452.8664
7453543,0.1320,2446.2891,322.8316
7453579,0.1584,2451.1719,388.1712
7453616,0.2375,2426.7578,576.4575
7453651,0.1584,2426.7578,384.3050
7453688,0.1320,2426.7578,320.2542
7453724,0.1848,2446.2891,451.9643
7453761,0.1848,2441.4063,451.0622
7453797,0.2111,2446.2891,516.5306
7453834,0.2111,2436.5234,514.4686
7453870,0.2111,2421.8750,511.3756
7453906,0.1848,2446.2891,451.9643
7453943,0.2111,2451.1719,517.5616
7453979,0.1584,2446.2891,387.3979
7454016,0.2111,2412.1094,509.3136
7454052,0.1848,2426.7578,448.3558
7454089,0.2375,2436.5234,578.7772
7454125,0.1848,2460.9375,454.6707
7454161,0.1584,2441.4063,386.6247
7454197,0.1848,2436.5234,450.1601
7454234,0.1848,2416.9922,446.5516
7454270,0.1848,2426.7578,448.3558
7454307,0.2111,2441.4063,515.4996
7454344,0.1320,2451.1719,323.4760
7454380,0.2111,2485.3516,524.7786
7454416,0.1848,2421.8750,447.4537
7454452,0.1320,2426.7578,320.2542
7454489,0.1584,2436.5234,385.8515
7454525,0.1584,2460.9375,389.7177
7454562,0.1320,2436.5234,321.5429
7454598,0.1848,2431.6406,449.2579
7454635,0.2111,2421.8750,511.3756
7454670,0.1584,2421.8750,383.5317
7454707,0.1848,2451.1719,452.8664
7454744,0.1320,2446.2891,322.8316
7454780,0.1584,2446.2891,387.3979
7454817,0.1584,2407.2266,381.2120
7454853,0.1848,2421.8750,447.4537
7454889,0.2375,2436.5234,578.7772
7454925,0.2111,2441.4063,515.4996
7454962,0.1320,2436.5234,321.5429
7454998,0.1584,2421.8750,383.5317
7455035,0.2111,2416.9922,510.3446
7455072,0.1848,2416.9922,446.5516
7455108,0.1584,2451.1719,388.1712
7455144,0.2111,2451.1719,517.5616
7455180,0.1584,2431.6406,385.0782
7455217,0.1584,2402.3438,380.4387
7455253,0.1584,2426.7578,384.3050
7455290,0.1320,2451.1719,323.4760
7455326,0.2111,2446.2891,516.5306
7455363,0.1848,2441.4063,451.0622
7455398,0.2111,2421.8750,511.3756
7455435,0.1584,2441.4063,386.6247
7455472,0.2903,2446.2891,710.2296
7455508,0.1320,2446.2891,322.8316
7455545,0.2375,2431.6406,577.6173
7455581,0.1848,2407.2266,444.7473
7455618,0.2639,2426.7578,640.5083
7455653,0.2375,2426.7578,576.4575
7455690,0.1584,2451.1719,388.1712
7455726,0.1320,2441.4063,322.1873
7455763,0.2111,2436.5234,514.4686
7455799,0.1584,2421.8750,383.5317
7455836,0.1848,2431.6406,449.2579
7455873,0.2375,2431.6406,577.6173
7455908,0.1584,2451.1719,388.1712
7455945,0.2375,2441.4063,579.9371
7455981,0.2903,2412.1094,700.3063
7456018,0.1584,2416.9922,382.7585
7456054,0.1848,2441.4063,451.0622
7456091,0.2111,2451.1719,517.5616
7456126,0.2111,2436.5234,514.4686
7456163,0.2111,2421.8750,511.3756
7456199,0.1320,2421.8750,319.6098
7456236,0.1584,2446.2891,387.3979
7456273,0.1848,2451.1719,452.8664
7456309,0.1848,2451.1719,452.8664
7456346,0.1848,2431.6406,449.2579
7456381,0.1848,2402.3438,443.8452
7456418,0.2375,2426.7578,576.4575
7456454,0.1584,2456.0547,388.9445
7456491,0.1848,2446.2891,451.9643
7456527,0.2111,2441.4063,515.4996
7456564,0.1848,2421.8750,447.4537
7456600,0.1584,2421.8750,383.5317
7456636,0.1584,2426.7578,384.3050
7456673,0.1848,2446.2891,451.9643
7456709,0.2903,2446.2891,710.2296
7456746,0.2903,2421.8750,703.1415
7456782,0.1320,2397.4609,316.3879
7456819,0.3431,2426.7578,832.6608
7456855,0.2111,2441.4063,515.4996
7456891,0.1848,2456.0547,453.7686
7456927,0.2639,2416.9922,637.9308
7456964,0.1848,2416.9922,446.5516
7457000,0.2375,2421.8750,575.2976
7457037,0.2639,2436.5234,643.0858
7457074,0.1056,2475.5859,261.3583
7457110,0.1848,2451.1719,452.8664
7457146,0.1584,2431.6406,385.0782
7457182,0.1056,2412.1094,254.6568
7457219,0.3167,2431.6406,770.1564
7457255,0.2375,2446.2891,581.0969
7457292,0.1848,2441.4063,451.0622
7457328,0.1584,2431.6406,385.0782
7457364,0.1848,2426.7578,448.3558
7457401,0.1848,2426.7578,448.3558
7457437,0.2903,2436.5234,707.3944
7457474,0.1848,2446.2891,451.9643
7457510,0.1848,2426.7578,448.3558
7457547,0.1848,2412.1094,445.6494
7457583,0.1848,2436.5234,450.1601
7457619,0.1848,2451.1719,452.8664
7457655,0.1584,2456.0547,388.9445
7457692,0.2375,2436.5234,578.7772
7457728,0.1848,2416.9922,446.5516
7457765,0.1848,2426.7578,448.3558
7457802,0.1848,2441.4063,451.0622
7457838,0.1848,2431.6406,449.2579
7457874,0.1848,2451.1719,452.8664
7457910,0.1584,2431.6406,385.0782
7457947,0.3167,2416.9922,765.5169
7457983,0.1848,2426.7578,448.3558
7458020,0.3695,2446.2891,903.9286
7458056,0.2639,2446.2891,645.6633
7458093,0.1320,2407.2266,317.6766
