82111,4038.0859,852.6364
81005377,0.2111,40
81005264,0.2111,4042.9688,853.6674
81005302,0.1848,4038.0859,746.0569
81005339,0.2111,4038.0859,852.6364
81005377,0.2111,4038.0??,85.6?4
81005415,0.2111,4038.0859,852.6364
81005452,0.1848,4038.0859,746.0569
81005490,0.2111,4033.2031,851.6054
81005527,0.1848,4042.9688,746.9590
81005564,0.1848,4038.0859,746.0569
81005601,0.1848,4038.0859,746.0569
81005639,0.1584,4042.9688,640.2505
81005676,0.1848,4038.0859,746.0569
81005714,0.1584,4038.0859,639.4772
81005752,0.1584,4033.2031,638.7040
81005789,0.1320,4038.0859,532.8977
81005827,0.1584,4042.9688,640.2505
81005863,0.1848,4033.2031,745.1547
81005901,0.2375,4033.2031,958.0560
81005938,0.1848,4038.0859,746.0569
81005976,0.2111,4038.0859,852.6364
81006014,0.1584,4038.0859,639.4772
81006051,0.2111,4038.0859,852.6364
81006089,0.1848,4038.0859,746.0569
81006126,0.1848,4038.0859,746.0569
81006163,0.1848,4013.6719,741.5463
81006200,0.1848,4018.5547,742.4484
81006238,0.2375,4038.0859,959.2159
81006275,0.1584,4038.0859,639.4772
81006313,0.2639,4038.0859,1065.7954
81006352,0.1848,4038.0859,746.0569
81006389,0.3167,4038.0859,1278.9545
81006428,0.2111,4038.0859,852.6364
81006465,0.2111,4033.2031,851.6054
81006502,0.1584,4033.2031,638.7040
81006539,0.1848,4038.0859,746.0569
81006577,0.2375,4033.2031,958.0560
81006615,0.2639,4042.9688,1067.0842
81006653,0.2111,4038.0859,852.6364
81006691,0.2111,4038.0859,852.6364
81006728,0.1848,4042.9688,746.9590
81006766,0.3695,4038.0859,1492.1138
81006803,0.2111,4038.0859,852.6364
81006841,0.2111,4033.2031,851.6054
81006879,0.1848,4018.5547,742.4484
81006916,0.2375,4023.4375,955.7363
81006954,0.1848,4038.0859,746.0569
81006991,0.2375,4018.5547,954.5764
81007029,0.1320,4042.9688,533.5421
81007066,0.1848,4033.2031,745.1547
81007104,0.1584,4038.0859,639.4772
81007140,0.1584,4033.2031,638.7040
81007178,0.1848,4042.9688,746.9590
81007216,0.2639,4038.0859,1065.7954
81007254,0.2111,4038.0859,852.6364
81007292,0.1848,4042.9688,746.9590
81007329,0.3431,4033.2031,1383.8588
81007368,0.3167,4028.3203,1275.8616
81007406,0.1848,4033.2031,745.1547
81007443,0.2111,4038.0859,852.6364
81007481,0.3167,4033.2031,1277.4081
81007519,0.1848,4052.7344,748.7632
81007557,0.2375,4033.2031,958.0560
81007594,0.2111,4038.0859,852.6364
81007632,0.2639,4033.2031,1064.5067
81007670,0.2639,4047.8516,1068.3729
81007709,0.2111,4038.0859,852.6364
81007747,0.1848,4038.0859,746.0569
81007783,0.2111,4033.2031,851.6054
81007821,0.1848,4042.9688,746.9590
81007858,0.2375,4023.4375,955.7363
81007896,0.2111,4038.0859,852.6364
81007933,0.2111,4033.2031,851.6054
81007971,0.1848,4023.4375,743.3505
81008009,0.2639,4038.0859,1065.7954
81008047,0.1584,4038.0859,639.4772
81008084,0.1848,4033.2031,745.1547
81008121,0.2111,4033.2031,851.6054
81008159,0.1848,4033.2031,745.1547
81008196,0.1848,4042.9688,746.9590
81008234,0.1320,4038.0859,532.8977
81008271,0.2111,4042.9688,853.6674
81008309,0.2375,4038.0859,959.2159
81008347,0.2111,4038.0859,852.6364
81008384,0.2111,4038.0859,852.6364
81008421,0.2111,4042.9688,853.6674
81008458,0.2375,4038.0859,959.2159
81008496,0.2375,4042.9688,960.3758
81008533,0.2111,4028.3203,850.5744
81008571,0.2111,4038.0859,852.6364
81008609,0.2111,4042.9688,853.6674
81008646,0.2111,4038.0859,852.6364
81008684,0.1848,4038.0859,746.0569
81008720,0.1584,4038.0859,639.4772
81008758,0.1848,4042.9688,746.9590
81008795,0.2111,4028.3203,850.5744
81008833,0.2375,4042.9688,960.3758
81008870,0.2111,4047.8516,854.6984
81008908,0.3431,4033.2031,1383.8588
81008947,0.3167,4033.2031,1277.4081
81008985,0.1848,4023.4375,743.3505
81009022,0.2111,4038.0859,852.6364
81009059,0.1584,4038.0859,639.4772
81009097,0.1848,4033.2031,745.1547
81009134,0.3167,4038.0859,1278.9545
81009173,0.2375,4038.0859,959.2159
81009211,0.2375,4042.9688,960.3758
81009248,0.2111,4038.0859,852.6364
81009286,0.2111,4023.4375,849.5434
81009323,0.2375,4023.4375,955.7363
81009360,0.2639,4033.2031,1064.5067
81009398,0.1848,4033.2031,745.1547
81009436,0.3695,4042.9688,1493.9180
81009475,0.3695,4042.9688,1493.9180
81009513,0.1584,4042.9688,640.2505
81009551,0.1320,4028.3203,531.6090
81009588,0.2375,4042.9688,960.3758
81009626,0.2639,4038.0859,1065.7954
81009664,0.3431,4042.9688,1387.2095
81009702,0.3431,4033.2031,1383.8588
81009741,0.3695,4042.9688,1493.9180
81009779,0.2375,4038.0859,959.2159
81009817,0.2111,4033.2031,851.6054
81009854,0.1584,4042.9688,640.2505
81009892,0.2111,4023.4375,849.5434
81009929,0.3695,4033.2031,1490.3094
81009968,0.2375,4038.0859,959.2159
81010006,0.1848,4038.0859,746.0569
81010042,0.2111,4038.0859,852.6364
81010080,0.1584,4038.0859,639.4772
81010117,0.1848,4023.4375,743.3505
81010155,0.2375,4038.0859,959.2159
81010192,0.2111,4038.0859,852.6364
81010230,0.2639,4042.9688,1067.0842
81010268,0.1848,4028.3203,744.2526
81010306,0.1848,4042.9688,746.9590
81010343,0.1848,4042.9688,746.9590
81010380,0.1848,4033.2031,745.1547
81010418,0.1584,4033.2031,638.7040
81010455,0.2111,4038.0859,852.6364
81010493,0.1584,4038.0859,639.4772
81010530,0.2639,4042.9688,1067.0842
81010569,0.2111,4038.0859,852.6364
81010607,0.1848,4038.0859,746.0569
81010643,0.1848,4033.2031,745.1547
81010681,0.2111,4042.9688,853.6674
81010718,0.2111,4042.9688,853.6674
81010756,0.2639,4038.0859,1065.7954
81010794,0.2903,4033.2031,1170.9574
81010833,0.2111,4033.2031,851.6054
81010871,0.2903,4033.2031,1170.9574
81010909,0.1848,4038.0859,746.0569
81010947,0.3167,4042.9688,1280.5010
81010984,0.2375,4042.9688,960.3758
81011022,0.1320,4038.0859,532.8977
