8108??	r??5,4033.2031,958.0560
81088274,0.2111,4028.3203,850.5744
81088312,0.1584,4038.0859,639.4772
81088350,0.1848,4033.2031,745.1547
81088387,0.2375,4038.0859,959.2159
81088424,0.1584,4038.0859,639.4772
81088461,0.1848,4033.2031,745.1547
81088499,0.2639,4033.2031,1064.5067
81088537,0.2111,4038.0859,852.6364
81088575,0.1848,4028.3203,744.2526
81088613,0.2111,4033.2031,851.6054
81088650,0.1848,4033.2031,745.1547
81088688,0.1848,4033.2031,745.1547
81088724,0.1848,4033.2031,745.1547
81088762,0.2111,4033.2031,851.6054
81088799,0.2375,4038.0859,959.2159
81088837,0.2375,4033.2031,958.0560
81088874,0.2639,4038.0859,1065.7954
81088913,0.1584,4038.0859,639.4772
81088951,0.2375,4038.0859,959.2159
81088988,0.1584,4033.2031,638.7040
81089026,0.1848,4028.3203,744.2526
81089062,0.2111,4033.2031,851.6054
81089100,0.1848,4028.3203,744.2526
81089137,0.1848,4033.2031,745.1547
81089175,0.2111,4033.2031,851.6054
81089213,0.1848,4023.4375,743.3505
81089250,0.2375,4033.2031,958.0560
81089288,0.2111,4038.0859,852.6364
81089325,0.2111,4023.4375,849.5434
81089362,0.3431,4038.0859,1385.5342
81089400,0.1848,4038.0859,746.0569
81089438,0.1848,4033.2031,745.1547
81089475,0.2375,4038.0859,959.2159
81089513,0.1584,4033.2031,638.7040
81089551,0.1848,4038.0859,746.0569
81089588,0.2111,4038.0859,852.6364
81089626,0.1584,4038.0859,639.4772
81089662,0.2639,4033.2031,1064.5067
81089701,0.2903,4038.0859,1172.3750
81089739,0.2375,4028.3203,956.8962
81089777,0.3431,4028.3203,1382.1833
81089816,0.3167,4033.2031,1277.4081
81089854,0.1848,4033.2031,745.1547
81089892,0.2375,4038.0859,959.2159
81089929,0.2111,4033.2031,851.6054
81089967,0.2111,4038.0859,852.6364
81090003,0.2375,4038.0859,959.2159
81090041,0.2111,4033.2031,851.6054
81090079,0.2375,4038.0859,959.2159
81090116,0.2111,4028.3203,850.5744
81090154,0.1848,4033.2031,745.1547
81090191,0.1584,4038.0859,639.4772
81090229,0.2111,4028.3203,850.5744
81090266,0.2375,4033.2031,958.0560
81090304,0.2375,4023.4375,955.7363
81090340,0.1848,4033.2031,745.1547
81090378,0.3167,4028.3203,1275.8616
81090417,0.1848,4028.3203,744.2526
81090454,0.2375,4033.2031,958.0560
81090492,0.1584,4018.5547,636.3843
81090529,0.2375,4042.9688,960.3758
81090567,0.1848,4033.2031,745.1547
81090604,0.2111,4033.2031,851.6054
81090641,0.2111,4038.0859,852.6364
81090679,0.1584,4033.2031,638.7040
81090716,0.1584,4028.3203,637.9308
81090754,0.2111,4028.3203,850.5744
81090791,0.2375,4023.4375,955.7363
81090829,0.2111,4033.2031,851.6054
81090866,0.1848,4033.2031,745.1547
81090904,0.2903,4042.9688,1173.7927
81090942,0.1584,4033.2031,638.7040
81090979,0.1848,4033.2031,745.1547
81091017,0.1848,4042.9688,746.9590
81091054,0.2111,4033.2031,851.6054
81091092,0.2111,4033.2031,851.6054
81091129,0.1848,4033.2031,745.1547
81091167,0.2639,4038.0859,1065.7954
81091205,0.1848,4038.0859,746.0569
81091243,0.1848,4033.2031,745.1547
81091280,0.2111,4038.0859,852.6364
81091317,0.2639,4038.0859,1065.7954
81091356,0.2375,4033.2031,958.0560
81091393,0.2111,4038.0859,852.6364
81091431,0.2111,4038.0859,852.6364
81091468,0.1848,4042.9688,746.9590
81091506,0.1848,4033.2031,745.1547
81091544,0.2111,4023.4375,849.5434
81091580,0.2111,4038.0859,852.6364
81091618,0.2639,4028.3203,1063.2180
81091656,0.2111,4028.3203,850.5744
81091694,0.1584,4033.2031,638.7040
