007,0.2LL???8.891,846.4504
101544046,0.1584,4018.5547,636.3843
101544084,0.2111,4013.6719,847.4814
101544123,0.2111,4018.5547,848.5124
101544161,0.1320,4013.6719,529.6758
101544200,0.1848,3994.1406,737.9377
101544239,0.2111,3999.0234,844.3884
101544276,0.1848,4018.5547,742.4484
101544315,0.2111,4003.9063,845.4194
101544353,0.3167,4013.6719,1271.2220
101544393,0.2111,4013.6719,847.4814
101544432,0.2111,4018.5547,848.5124
101544470,0.3431,4013.6719,1377.1572
101544510,0.1848,4018.5547,742.4484
101544548,0.1848,4013.6719,741.5463
101544587,0.1584,4013.6719,635.6110
101544625,0.1848,4003.9063,739.7420
101544664,0.1848,4018.5547,742.4484
101544702,0.2375,4018.5547,954.5764
101544740,0.1584,4018.5547,636.3843
101544779,0.1848,4018.5547,742.4484
101544817,0.2111,4003.9063,845.4194
101544856,0.2111,4013.6719,847.4814
101544894,0.1848,4023.4375,743.3505
101544933,0.2375,4018.5547,954.5764
101544972,0.1584,4018.5547,636.3843
101545010,0.1848,4008.7891,740.6441
101545049,0.1848,4018.5547,742.4484
101545086,0.1848,3994.1406,737.9377
101545125,0.2111,4013.6719,847.4814
101545164,0.1848,4008.7891,740.6441
101545202,0.1848,4018.5547,742.4484
101545241,0.2111,3999.0234,844.3884
101545279,0.1848,3999.0234,738.8398
101545318,0.1584,4013.6719,635.6110
101545356,0.2111,4013.6719,847.4814
101545395,0.3167,4013.6719,1271.2220
101545435,0.1848,4008.7891,740.6441
101545473,0.2111,4018.5547,848.5124
101545511,0.2639,4018.5547,1060.6405
101545550,0.2111,4023.4375,849.5434
101545589,0.2375,4018.5547,954.5764
101545628,0.2111,4018.5547,848.5124
101545666,0.2639,4013.6719,1059.3517
101545706,0.3431,4013.6719,1377.1572
101545745,0.2375,4013.6719,953.4166
101545784,0.1848,4013.6719,741.5463
101545822,0.2111,4013.6719,847.4814
101545861,0.2903,4018.5547,1166.7046
101545901,0.3167,4013.6719,1271.2220
101545939,0.1320,4028.3203,531.6090
101545978,0.1848,4013.6719,741.5463
101546016,0.2111,4013.6719,847.4814
101546055,0.1848,4018.5547,742.4484
101546094,0.2375,4023.4375,955.7363
101546132,0.1848,4013.6719,741.5463
101546171,0.2639,4018.5547,1060.6405
101546210,0.2903,4013.6719,1165.2870
101546250,0.2375,4018.5547,954.5764
101546288,0.1848,3999.0234,738.8398
101546327,0.1848,4018.5547,742.4484
101546365,0.1584,4018.5547,636.3843
101546403,0.2111,4018.5547,848.5124
101546442,0.1584,4018.5547,636.3843
101546480,0.1584,4008.7891,634.8378
101546519,0.1584,4008.7891,634.8378
101546557,0.2111,4018.5547,848.5124
101546596,0.1848,4018.5547,742.4484
101546635,0.2639,4013.6719,1059.3517
101546674,0.1848,4018.5547,742.4484
101546713,0.2111,4018.5547,848.5124
101546750,0.1848,4023.4375,743.3505
101546789,0.2111,4008.7891,846.4504
101546828,0.1584,4023.4375,637.1575
101546866,0.2111,4018.5547,848.5124
101546905,0.1848,4018.5547,742.4484
101546943,0.1320,3999.0234,527.7427
101546982,0.2111,4013.6719,847.4814
101547020,0.2375,4018.5547,954.5764
101547059,0.1584,4023.4375,637.1575
101547098,0.2111,4013.6719,847.4814
101547136,0.1848,4013.6719,741.5463
101547174,0.1848,4033.2031,745.1547
101547212,0.2111,4023.4375,849.5434
101547251,0.2111,4013.6719,847.4814
101547289,0.1848,4018.5547,742.4484
101547328,0.2111,4018.5547,848.5124
101547367,0.2111,4018.5547,848.5124
101547405,0.2111,4018.5547,848.5124
101547444,0.1848,3999.0234,738.8398
101547482,0.1848,4008.7891,740.6441
101547521,0.2639,4018.5547,1060.6405
101547560,0.2375,4013.6719,953.4166
101547598,0.1584,4018.5547,636.3843
101547637,0.1584,4023.4375,637.1575
101547675,0.2111,4013.6719,847.4814
101547714,0.1848,4018.5547,742.4484
101547752,0.1584,4018.5547,636.3843
101547791,0.1320,4003.9063,528.3871
101547830,0.2639,4018.5547,1060.6405
101547869,0.1848,4018.5547,742.4484
101547908,0.3167,4023.4375,1274.3151
101547947,0.2903,4008.7891,1163.8693
101547986,0.2111,4013.6719,847.4814
101548025,0.2111,4018.5547,848.5124
101548063,0.1848,4013.6719,741.5463
101548102,0.3431,4018.5547,1378.8326
101548141,0.2111,4013.6719,847.4814
101548180,0.2111,4023.4375,849.5434
101548218,0.2639,4013.6719,1059.3517
101548258,0.1848,4018.5547,742.4484
101548297,0.3431,4018.5547,1378.8326
101548336,0.1848,4013.6719,741.5463
101548375,0.3431,4023.4375,1380.5081
101548413,0.2903,4013.6719,1165.2870
101548453,0.1848,4013.6719,741.5463
101548492,0.1320,4023.4375,530.9646
101548530,0.2111,4008.7891,846.4504
101548569,0.1848,4018.5547,742.4484
101548607,0.3695,4018.5547,1484.8967
101548647,0.2639,4013.6719,1059.3517
101548686,0.1848,4018.5547,742.4484
101548725,0.2375,4018.5547,954.5764
101548764,0.1848,4013.6719,741.5463
101548802,0.1848,3994.1406,737.9377
101548840,0.1320,4013.6719,529.6758
101548878,0.2111,4023.4375,849.5434
101548917,0.1848,4023.4375,743.3505
101548956,0.2375,4023.4375,955.7363
101548994,0.2111,4018.5547,848.5124
101549033,0.2111,4018.5547,848.5124
101549071,0.2111,4018.5547,848.5124
101549110,0.1848,4018.5547,742.4484
101549148,0.2111,4023.4375,849.5434
101549187,0.2111,4003.9063,845.4194
101549225,0.1320,4018.5547,530.3203
101549263,0.3431,4018.5547,1378.8326
101549303,0.1584,4023.4375,637.1575
101549341,0.1848,4003.9063,739.7420
101549380,0.1584,4008.7891,634.8378
101549418,0.2111,4018.5547,848.5124
101549457,0.1848,4018.5547,742.4484
101549496,0.1848,4018.5547,742.4484
101549534,0.2111,4013.6719,847.4814
101549573,0.1848,4023.4375,743.3505
101549611,0.2111,4023.4375,849.5434
101549649,0.2375,4018.5547,954.5764
101549688,0.2111,4013.6719,847.4814
101549726,0.2111,4023.4375,849.5434
101549765,0.2111,4028.3203,850.5744
101549803,0.1320,4018.5547,530.3203
101549842,0.1848,4003.9063,739.7420
101549880,0.1848,4018.5547,742.4484
101549919,0.2111,4003.9063,845.4194
101549958,1.6100,3862.3047,6218.3433
101549997,1.5044,3857.4219,5803.2368
101550036,1.3989,3867.1875,5409.6528
101550075,1.3461,3867.1875,5205.5156
101550115,1.2933,3906.2500,5051.8965
101550155,1.2405,3901.3672,4839.6392
101550194,1.3197,3886.7188,5129.2212
101550234,1.2405,3891.6016,4827.5249
101550273,1.1613,3925.7813,4559.0786
101550313,1.1877,3906.2500,4639.4966
101550352,1.1877,3876.9531,4604.7002
101550392,1.2405,3916.0156,4857.8105
101550432,1.1877,3916.0156,4651.0952
101550471,1.1877,3901.3672,4633.6973
101550511,1.2141,3872.0703,4701.0991
101550550,1.2669,3891.6016,4930.2383
101550589,1.1877,3906.2500,4639.4966
101550629,1.4253,3852.5391,5490.8442
101550668,1.4253,3852.5391,5490.8442
101550708,1.3725,3876.9531,5320.9873
101550747,1.5836,3847.6563,6093.2056
101550787,1.6100,3833.0078,6171.1753
101550827,1.5308,3857.4219,5905.0483
101550866,1.7948,3847.6563,6905.6333
101550906,1.7156,3798.8281,6517.2041
101550945,1.6892,3823.2422,6458.1792
101550985,1.8739,3828.1250,7173.6929
101551025,1.9267,3779.2969,7281.6904
101551064,1.9531,3803.7109,7429.1230
101551104,1.9531,3828.1250,7476.8066
101551142,2.0059,3779.2969,7580.9370
101551182,1.9267,3784.1797,7291.0981
101551222,2.0059,3813.4766,7649.4985
101551261,2.0059,3798.8281,7620.1152
101551301,2.0587,3774.4141,7770.3838
101551340,1.9003,3789.0625,7200.4985
101551380,1.9531,3808.5938,7438.6597
101551420,1.9267,3798.8281,7319.3218
101551459,1.9267,3789.0625,7300.5059
101551499,1.9267,3803.7109,7328.7295
101551538,1.9531,3798.8281,7419.5859
101551578,1.9531,3759.7656,7343.2920
101551617,1.9795,3803.7109,7529.5161
101551656,2.0587,3803.7109,7830.6973
101551696,1.9795,3769.5313,7461.8569
101551735,2.0851,3779.2969,7880.1855
101551775,2.0059,3803.7109,7629.9097
101551814,2.1907,3798.8281,8321.9678
101551854,2.0851,3754.8828,7829.2798
101551894,2.0587,3789.0625,7800.5405
101551933,2.1115,3808.5938,8041.7939
101551973,2.1379,3774.4141,8069.2446
101552012,2.2171,3779.2969,8378.9307
101552052,2.1115,3803.7109,8031.4839
101552092,2.0323,3784.1797,7690.6099
101552131,2.0059,3764.6484,7551.5537
101552171,2.0059,3784.1797,7590.7319
101552209,2.0587,3793.9453,7810.5928
101552249,2.1379,3784.1797,8090.1226
101552289,2.1643,3769.5313,8158.2974
101552328,2.0587,3793.9453,7810.5928
101552368,2.0851,3798.8281,7920.9102
101552407,2.1115,3764.6484,7949.0039
101552447,2.1643,3764.6484,8147.7300
101552487,2.2171,3793.9453,8411.4072
101552526,2.1115,3779.2969,7979.9341
101552566,2.1643,3740.2344,8094.8911
101552605,2.1115,3774.4141,7969.6240
101552645,2.1115,3793.9453,8010.8643
