76,0.21LL??.059,852.6364
100602714,0.1848,4047.8516,747.8611
100602753,0.2111,4052.7344,855.7294
100602790,0.2111,4052.7344,855.7294
100602829,0.1848,4052.7344,748.7632
100602867,0.1848,4052.7344,748.7632
100602906,0.2375,4052.7344,962.6956
100602945,0.1584,4057.6172,642.5703
100602983,0.2375,4067.3828,966.1752
100603022,0.1848,4052.7344,748.7632
100603060,0.1848,4038.0859,746.0569
100603099,0.2375,4047.8516,961.5356
100603137,0.2639,4052.7344,1069.6617
100603176,0.1848,4057.6172,749.6653
100603215,0.1848,4062.5000,750.5675
100603253,0.1848,4057.6172,749.6653
100603292,0.2111,4062.5000,857.7914
100603330,0.1584,4057.6172,642.5703
100603369,0.1848,4052.7344,748.7632
100603408,0.1584,4052.7344,641.7970
100603446,0.1848,4057.6172,749.6653
100603485,0.2111,4052.7344,855.7294
100603523,0.1848,4057.6172,749.6653
100603561,0.1848,4052.7344,748.7632
100603599,0.1848,4057.6172,749.6653
100603638,0.1848,4052.7344,748.7632
100603677,0.1584,4057.6172,642.5703
100603715,0.1584,4062.5000,643.3435
100603754,0.2111,4057.6172,856.7604
100603792,0.1848,4057.6172,749.6653
100603831,0.1848,4057.6172,749.6653
100603869,0.1848,4057.6172,749.6653
100603908,0.2111,4052.7344,855.7294
100603947,0.2111,4052.7344,855.7294
100603984,0.1584,4062.5000,643.3435
100604023,0.2375,4052.7344,962.6956
100604061,0.1848,4057.6172,749.6653
100604100,0.2111,4062.5000,857.7914
100604139,0.1848,4057.6172,749.6653
100604177,0.2639,4057.6172,1070.9504
100604217,0.2375,4052.7344,962.6956
100604255,0.1584,4062.5000,643.3435
100604294,0.1848,4057.6172,749.6653
100604332,0.2375,4062.5000,965.0153
100604370,0.1584,4042.9688,640.2505
100604409,0.2111,4047.8516,854.6984
100604447,0.1584,4042.9688,640.2505
100604486,0.2111,4052.7344,855.7294
100604524,0.2111,4062.5000,857.7914
100604563,0.2111,4057.6172,856.7604
100604601,0.1848,4062.5000,750.5675
100604640,0.1584,4057.6172,642.5703
100604679,0.1584,4057.6172,642.5703
100604717,0.1584,4057.6172,642.5703
100604755,0.2375,4047.8516,961.5356
100604793,0.1848,4057.6172,749.6653
100604832,0.1848,4062.5000,750.5675
100604871,0.1584,4052.7344,641.7970
100604909,0.1848,4038.0859,746.0569
100604948,0.1848,4062.5000,750.5675
100604986,0.1584,4057.6172,642.5703
100605025,0.2111,4047.8516,854.6984
100605063,0.1848,4062.5000,750.5675
100605102,0.1584,4047.8516,641.0237
100605140,0.1584,4047.8516,641.0237
100605178,0.2111,4042.9688,853.6674
100605217,0.1584,4057.6172,642.5703
100605255,0.2111,4057.6172,856.7604
100605294,0.2111,4057.6172,856.7604
100605332,0.1584,4057.6172,642.5703
100605371,0.2111,4052.7344,855.7294
100605410,0.2375,4057.6172,963.8554
100605448,0.2111,4057.6172,856.7604
100605487,0.2639,4052.7344,1069.6617
100605526,0.1848,4062.5000,750.5675
100605564,0.3167,4052.7344,1283.5940
100605604,0.1848,4057.6172,749.6653
100605642,0.2375,4057.6172,963.8554
100605681,0.1848,4067.3828,751.4696
100605719,0.1848,4062.5000,750.5675
100605758,0.1848,4062.5000,750.5675
100605796,0.3431,4057.6172,1392.2356
100605836,0.1848,4042.9688,746.9590
100605875,0.3431,4052.7344,1390.5603
100605914,0.2111,4052.7344,855.7294
100605953,0.1584,4062.5000,643.3435
100605990,0.2111,4038.0859,852.6364
100606029,0.2111,4052.7344,855.7294
100606068,0.1584,4052.7344,641.7970
100606106,0.1584,4057.6172,642.5703
100606145,0.3431,4057.6172,1392.2356
100606184,0.2375,4057.6172,963.8554
100606223,0.2639,4062.5000,1072.2393
100606262,0.2375,4057.6172,963.8554
100606301,0.1584,4057.6172,642.5703
100606340,0.2375,4057.6172,963.8554
100606377,0.1848,4057.6172,749.6653
100606416,0.2111,4042.9688,853.6674
100606454,0.2111,4052.7344,855.7294
100606493,0.1320,4062.5000,536.1196
100606531,0.2375,4052.7344,962.6956
100606570,0.2111,4047.8516,854.6984
100606609,0.1584,4057.6172,642.5703
100606647,0.2903,4057.6172,1178.0455
100606687,0.2375,4052.7344,962.6956
100606725,0.1584,4062.5000,643.3435
100606764,0.2903,4057.6172,1178.0455
100606803,0.2111,4067.3828,858.8224
100606841,0.1848,4057.6172,749.6653
100606880,0.2375,4057.6172,963.8554
100606918,0.1584,4057.6172,642.5703
100606957,0.1584,4067.3828,644.1168
100606995,0.1320,4057.6172,535.4752
100607034,0.2903,4052.7344,1176.6279
100607074,0.1848,4057.6172,749.6653
100607112,0.1848,4062.5000,750.5675
100607151,0.2111,4057.6172,856.7604
100607188,0.2111,4038.0859,852.6364
100607227,0.1848,4057.6172,749.6653
100607266,0.1848,4057.6172,749.6653
100607304,0.2375,4057.6172,963.8554
100607343,0.2111,4057.6172,856.7604
100607381,0.2111,4062.5000,857.7914
100607420,0.1848,4047.8516,747.8611
100607458,0.2639,4057.6172,1070.9504
100607498,0.2111,4057.6172,856.7604
100607537,0.1848,4057.6172,749.6653
100607575,0.1320,4062.5000,536.1196
100607613,0.1848,4057.6172,749.6653
100607651,0.1584,4057.6172,642.5703
100607690,0.2111,4062.5000,857.7914
100607728,0.2375,4052.7344,962.6956
100607767,0.2375,4062.5000,965.0153
100607806,0.2111,4052.7344,855.7294
100607844,0.2111,4062.5000,857.7914
100607883,0.1848,4052.7344,748.7632
100607921,0.2375,4052.7344,962.6956
100607960,0.2903,4062.5000,1179.4631
100608000,0.2111,4057.6172,856.7604
100608037,0.1848,4057.6172,749.6653
100608076,0.2111,4057.6172,856.7604
100608114,0.1848,4052.7344,748.7632
100608153,0.1848,4057.6172,749.6653
100608191,0.1848,4057.6172,749.6653
100608230,0.1848,4042.9688,746.9590
100608269,0.1848,4052.7344,748.7632
100608307,0.2111,4052.7344,855.7294
100608346,0.2375,4057.6172,963.8554
100608384,0.1848,4042.9688,746.9590
100608422,0.2111,4062.5000,857.7914
100608460,0.2111,4062.5000,857.7914
100608499,0.3695,4062.5000,1501.1350
100608539,0.2375,4057.6172,963.8554
100608577,0.2111,4057.6172,856.7604
100608616,0.2375,4062.5000,965.0153
100608654,0.2375,4057.6172,963.8554
100608693,0.2375,4052.7344,962.6956
100608732,0.2111,4047.8516,854.6984
100608770,0.1848,4062.5000,750.5675
100608808,0.2111,4062.5000,857.7914
100608846,0.1584,4057.6172,642.5703
100608885,0.2375,4057.6172,963.8554
100608923,0.1584,4067.3828,644.1168
100608962,0.1584,4067.3828,644.1168
100609001,0.3167,4062.5000,1286.6870
100609040,0.2111,4038.0859,852.6364
100609079,0.3167,4057.6172,1285.1405
100609118,0.2111,4062.5000,857.7914
100609157,0.3167,4057.6172,1285.1405
100609197,0.2111,4057.6172,856.7604
100609234,0.1848,4052.7344,748.7632
100609273,0.2375,4057.6172,963.8554
100609311,0.2375,4057.6172,963.8554
100609350,0.2111,4062.5000,857.7914
100609388,0.3431,4057.6172,1392.2356
100609428,0.2903,4067.3828,1180.8807
100609468,0.2111,4062.5000,857.7914
100609506,0.1848,4057.6172,749.6653
100609545,0.1848,4072.2656,752.3717
100609583,0.1320,4067.3828,536.7640
100609622,0.2903,4057.6172,1178.0455
100609661,0.1848,4067.3828,751.4696
100609699,0.2111,4057.6172,856.7604
100609738,0.1584,4047.8516,641.0237
100609776,0.3167,4057.6172,1285.1405
100609816,0.1584,4067.3828,644.1168
100609854,0.1584,4057.6172,642.5703
100609893,0.1584,4047.8516,641.0237
