39,4?????4,069.6617
346687797,0.2375,4047.8516,961.5356
346687835,0.1848,4052.7344,748.7632
346687874,0.2639,4038.0859,1065.7954
346687912,0.2375,4042.9688,960.3758
346687951,0.2375,4047.8516,961.5356
346687989,0.2375,4047.8516,961.5356
346688028,0.2639,4047.8516,1068.3729
346688068,0.2903,4042.9688,1173.7927
346688107,0.2639,4042.9688,1067.0842
346688147,0.2903,4042.9688,1173.7927
346688186,0.2903,4042.9688,1173.7927
346688226,0.2639,4067.3828,1073.5280
346688266,0.2903,4047.8516,1175.2103
346688305,0.2639,4038.0859,1065.7954
346688345,0.2111,4047.8516,854.6984
346688382,0.2375,4052.7344,962.6956
346688421,0.2375,4042.9688,960.3758
346688460,0.1584,4047.8516,641.0237
346688498,0.2375,4047.8516,961.5356
346688537,0.2375,4047.8516,961.5356
346688575,0.2375,4047.8516,961.5356
346688614,0.2111,4042.9688,853.6674
346688652,0.2639,4047.8516,1068.3729
346688692,0.2375,4047.8516,961.5356
346688731,0.3695,4042.9688,1493.9180
346688770,0.3431,4038.0859,1385.5342
346688809,0.2375,4028.3203,956.8962
346688847,0.2639,4023.4375,1061.9292
346688887,0.2375,4047.8516,961.5356
346688926,0.2903,4042.9688,1173.7927
346688965,0.3167,4038.0859,1278.9545
346689005,0.2375,4042.9688,960.3758
346689043,0.2375,4042.9688,960.3758
346689082,0.2375,4033.2031,958.0560
346689120,0.2639,4047.8516,1068.3729
346689160,0.2111,4033.2031,851.6054
346689199,0.2375,4023.4375,955.7363
346689236,0.2375,4047.8516,961.5356
346689275,0.2903,4028.3203,1169.5398
346689314,0.3959,4047.8516,1602.5594
346689354,0.2375,4042.9688,960.3758
346689393,0.2111,4042.9688,853.6674
346689431,0.2375,4028.3203,956.8962
346689470,0.2375,4047.8516,961.5356
346689508,0.2903,4052.7344,1176.6279
346689548,0.3431,4047.8516,1388.8849
346689587,0.2639,4057.6172,1070.9504
346689627,0.2375,4042.9688,960.3758
346689666,0.2375,4052.7344,962.6956
346689703,0.2639,4042.9688,1067.0842
346689743,0.2375,4052.7344,962.6956
346689781,0.3959,4042.9688,1600.6263
346689821,0.2639,4047.8516,1068.3729
346689861,0.2639,4008.7891,1058.0630
346689900,0.2375,4038.0859,959.2159
346689939,0.2903,4042.9688,1173.7927
346689978,0.2639,4013.6719,1059.3517
346690018,0.2375,4155.2734,987.0529
346690056,0.2375,4047.8516,961.5356
346690095,0.2111,4028.3203,850.5744
346690134,0.2639,4130.8594,1090.2817
346690172,0.2375,4047.8516,961.5356
346690211,0.2903,4038.0859,1172.3750
346690250,0.3959,4028.3203,1594.8269
346690290,0.2903,4047.8516,1175.2103
346690330,0.2375,4042.9688,960.3758
346690368,0.3695,4038.0859,1492.1138
346690408,0.2375,4057.6172,963.8554
346690446,0.2111,4042.9688,853.6674
346690485,0.1848,4038.0859,746.0569
346690524,0.3431,4042.9688,1387.2095
346690563,0.2639,4042.9688,1067.0842
346690603,0.2375,4042.9688,960.3758
346690640,0.3431,4033.2031,1383.8588
346690680,0.3431,4042.9688,1387.2095
346690719,0.2903,4023.4375,1168.1222
346690759,0.2903,4047.8516,1175.2103
346690799,0.2639,4047.8516,1068.3729
346690838,0.2375,3964.8438,941.8178
346690877,0.2903,4028.3203,1169.5398
346690916,0.2111,4023.4375,849.5434
346690955,0.2111,4038.0859,852.6364
346690994,0.2111,4042.9688,853.6674
346691032,0.2639,4106.4453,1083.8379
346691072,0.2639,4047.8516,1068.3729
346691110,0.2903,4028.3203,1169.5398
346691150,0.2375,4047.8516,961.5356
346691189,0.2639,4038.0859,1065.7954
346691228,0.2375,4038.0859,959.2159
346691267,0.2111,4042.9688,853.6674
346691305,0.2375,4028.3203,956.8962
346691344,0.2375,4052.7344,962.6956
346691382,0.2639,4047.8516,1068.3729
346691422,0.3959,4038.0859,1598.6932
346691462,0.2375,4047.8516,961.5356
346691500,0.1848,4052.7344,748.7632
346691538,0.2375,4047.8516,961.5356
346691576,0.2375,3994.1406,948.7770
346691615,0.2639,4042.9688,1067.0842
346691655,0.2639,4047.8516,1068.3729
346691694,0.2903,4042.9688,1173.7927
346691734,0.2639,4047.8516,1068.3729
346691773,0.2111,4047.8516,854.6984
346691812,0.2639,4052.7344,1069.6617
346691851,0.2111,4052.7344,855.7294
346691890,0.4223,4047.8516,1709.3967
346691930,0.2903,4028.3203,1169.5398
346691969,0.3431,4042.9688,1387.2095
346692008,0.2639,4033.2031,1064.5067
346692047,0.2639,4047.8516,1068.3729
346692087,0.2903,4047.8516,1175.2103
346692127,0.2903,4023.4375,1168.1222
346692166,0.2639,4052.7344,1069.6617
346692206,0.2375,4028.3203,956.8962
346692244,0.3695,4077.1484,1506.5477
346692284,0.2639,3940.4297,1040.0205
346692324,0.2111,4047.8516,854.6984
346692362,0.2903,4052.7344,1176.6279
346692402,0.2639,4042.9688,1067.0842
346692441,0.3695,4042.9688,1493.9180
346692481,0.2903,4047.8516,1175.2103
346692520,0.2375,4047.8516,961.5356
346692558,0.2639,4003.9063,1056.7742
346692598,0.2375,4047.8516,961.5356
346692636,0.2903,4047.8516,1175.2103
346692676,0.2639,4047.8516,1068.3729
346692715,0.3959,4042.9688,1600.6263
346692755,0.2111,4042.9688,853.6674
346692794,0.2375,4052.7344,962.6956
346692832,0.2639,4038.0859,1065.7954
346692872,0.2375,4047.8516,961.5356
346692910,0.2375,4042.9688,960.3758
346692948,0.1848,4047.8516,747.8611
346692987,0.3695,4052.7344,1497.5265
346693026,0.2639,4052.7344,1069.6617
346693066,0.2375,4047.8516,961.5356
346693104,0.2903,4047.8516,1175.2103
346693144,0.1848,4047.8516,747.8611
346693182,0.2375,3959.9609,940.6580
346693221,0.2375,4018.5547,954.5764
346693260,0.2111,4052.7344,855.7294
346693298,0.2375,4042.9688,960.3758
346693337,0.2639,4047.8516,1068.3729
346693376,0.2639,4047.8516,1068.3729
346693415,0.2375,4038.0859,959.2159
346693454,0.2375,4047.8516,961.5356
346693492,0.3431,4047.8516,1388.8849
346693532,0.2111,4052.7344,855.7294
346693570,0.2903,4038.0859,1172.3750
346693610,0.2375,4047.8516,961.5356
346693648,0.2375,4052.7344,962.6956
346693687,0.2639,4042.9688,1067.0842
346693727,0.3167,4038.0859,1278.9545
346693766,0.2375,4052.7344,962.6956
346693805,0.2375,4047.8516,961.5356
346693842,0.3959,4047.8516,1602.5594
346693882,0.2375,4082.0313,969.6548
346693921,0.2639,4038.0859,1065.7954
346693960,0.2111,4047.8516,854.6984
346693999,0.2375,4047.8516,961.5356
346694037,0.2111,4038.0859,852.6364
346694076,0.3431,4042.9688,1387.2095
346694115,0.2375,4042.9688,960.3758
346694154,0.2375,4042.9688,960.3758
346694193,0.3959,4047.8516,1602.5594
346694232,0.1848,4042.9688,746.9590
346694270,0.2375,4042.9688,960.3758
346694308,0.2375,4057.6172,963.8554
346694347,0.2903,4047.8516,1175.2103
346694387,0.3695,4042.9688,1493.9180
346694426,0.2903,4038.0859,1172.3750
346694466,0.2375,4052.7344,962.6956
346694504,0.2639,4052.7344,1069.6617
346694544,0.2375,4047.8516,961.5356
346694582,0.2111,4057.6172,856.7604
346694621,0.2903,4052.7344,1176.6279
346694661,0.2111,4057.6172,856.7604
346694699,0.3431,4047.8516,1388.8849
346694738,0.2375,4042.9688,960.3758
346694776,0.2639,4047.8516,1068.3729
346694816,0.2639,4047.8516,1068.3729
346694856,0.2375,4047.8516,961.5356
346694894,0.2639,4047.8516,1068.3729
346694934,0.2375,4028.3203,956.8962
346694972,0.2375,4033.2031,958.0560
346695011,0.2375,4023.4375,955.7363
346695050,2.6658,3710.9375,9892.4375
346695089,2.9033,3652.3438,10603.8270
