34393??b?r&?1,4067.3828,1395.5864
343932808,0.3431,4072.2656,1397.2617
343932848,0.3431,4072.2656,1397.2617
343932888,0.3431,4067.3828,1395.5864
343932926,0.3431,4072.2656,1397.2617
343932966,0.3431,4067.3828,1395.5864
343933005,0.3695,4067.3828,1502.9392
343933045,0.3431,4062.5000,1393.9110
343933085,0.3431,4067.3828,1395.5864
343933124,0.3695,4067.3828,1502.9392
343933164,0.3431,4072.2656,1397.2617
343933203,0.3695,4165.0391,1539.0242
343933243,0.3431,4062.5000,1393.9110
343933283,0.3167,4067.3828,1288.2335
343933322,0.3695,4072.2656,1504.7434
343933362,0.3431,4077.1484,1398.9371
343933401,0.3431,4072.2656,1397.2617
343933441,0.3167,4062.5000,1286.6870
343933480,0.3431,4077.1484,1398.9371
343933519,0.3695,4072.2656,1504.7434
343933559,0.3695,4067.3828,1502.9392
343933598,0.3431,4077.1484,1398.9371
343933638,0.2903,4077.1484,1183.7161
343933678,0.3431,4057.6172,1392.2356
343933717,0.3167,4038.0859,1278.9545
343933757,0.3431,4067.3828,1395.5864
343933796,0.3431,4072.2656,1397.2617
343933836,0.3695,4072.2656,1504.7434
343933876,0.3431,4072.2656,1397.2617
343933915,0.3431,4072.2656,1397.2617
343933955,0.3431,4052.7344,1390.5603
343933993,0.3167,4072.2656,1289.7800
343934033,0.3167,4077.1484,1291.3265
343934072,0.3695,4067.3828,1502.9392
343934112,0.3167,4067.3828,1288.2335
343934152,0.3431,4072.2656,1397.2617
343934191,0.3959,4072.2656,1612.2251
343934231,0.3695,4067.3828,1502.9392
343934270,0.3695,4077.1484,1506.5477
343934310,0.3431,4072.2656,1397.2617
343934350,0.3431,4072.2656,1397.2617
343934389,0.4751,4067.3828,1932.3503
343934429,0.3695,4077.1484,1506.5477
343934468,0.3167,4067.3828,1288.2335
343934508,0.3431,4077.1484,1398.9371
343934547,0.3695,4072.2656,1504.7434
343934586,0.3959,4072.2656,1612.2251
343934626,0.3431,4072.2656,1397.2617
343934665,0.2903,4072.2656,1182.2985
343934705,0.4751,4047.8516,1923.0713
343934745,0.3431,4042.9688,1387.2095
343934784,0.3167,4072.2656,1289.7800
343934824,0.3431,4067.3828,1395.5864
343934863,0.3695,4082.0313,1508.3519
343934903,0.3695,4067.3828,1502.9392
343934943,0.3167,4042.9688,1280.5010
343934982,0.3431,4057.6172,1392.2356
343935022,0.4487,4160.1563,1866.6243
343935060,0.3167,4042.9688,1280.5010
343935100,0.3431,4072.2656,1397.2617
343935140,0.3959,4067.3828,1610.2920
343935179,0.3695,4072.2656,1504.7434
343935219,0.3167,4067.3828,1288.2335
343935258,0.3695,4062.5000,1501.1350
343935298,0.3695,4072.2656,1504.7434
343935337,0.3167,4077.1484,1291.3265
343935377,0.2903,4077.1484,1183.7161
343935417,0.3167,4057.6172,1285.1405
343935456,0.3695,4072.2656,1504.7434
343935496,0.3695,4072.2656,1504.7434
343935535,0.3431,4067.3828,1395.5864
343935575,0.3431,4072.2656,1397.2617
343935614,0.4223,4082.0313,1723.8308
343935653,0.3431,4067.3828,1395.5864
343935693,0.3959,4067.3828,1610.2920
343935732,0.3959,4077.1484,1614.1582
343935772,0.4751,4067.3828,1932.3503
343935812,0.5015,4067.3828,2039.7031
343935851,0.3167,4052.7344,1283.5940
343935891,0.3167,4072.2656,1289.7800
343935930,0.4751,4062.5000,1930.0306
343935970,0.4487,4082.0313,1831.5702
343936010,0.3431,4067.3828,1395.5864
343936049,0.3431,4096.6797,1405.6385
343936089,0.3431,4072.2656,1397.2617
343936128,0.3959,4047.8516,1602.5594
343936167,0.3695,4072.2656,1504.7434
343936207,0.5279,4072.2656,2149.6333
343936246,0.4223,4067.3828,1717.6448
343936286,0.3959,4072.2656,1612.2251
343936325,0.3959,4091.7969,1619.9575
343936365,0.3431,4086.9141,1402.2878
343936405,0.3431,4072.2656,1397.2617
343936444,0.4223,4072.2656,1719.7068
343936484,0.3695,4008.7891,1481.2882
343936523,0.3695,4072.2656,1504.7434
343936563,0.3695,4067.3828,1502.9392
343936602,0.3695,4052.7344,1497.5265
343936642,0.3695,4072.2656,1504.7434
343936681,0.3959,4072.2656,1612.2251
343936720,0.3959,4067.3828,1610.2920
343936760,0.3959,4072.2656,1612.2251
343936799,0.5015,4072.2656,2042.1517
343936839,0.4487,4067.3828,1824.9976
343936879,0.3431,4062.5000,1393.9110
343936918,0.3167,4067.3828,1288.2335
343936958,0.3695,4072.2656,1504.7434
343936997,0.3695,4067.3828,1502.9392
343937037,0.3695,4067.3828,1502.9392
343937077,0.3431,4067.3828,1395.5864
343937116,0.3695,4052.7344,1497.5265
343937156,0.3431,4077.1484,1398.9371
343937195,0.3695,4072.2656,1504.7434
343937234,0.3431,4072.2656,1397.2617
343937274,0.5015,4072.2656,2042.1517
343937313,0.3431,4082.0313,1400.6124
343937353,0.3431,4077.1484,1398.9371
343937392,0.3695,4057.6172,1499.3307
343937432,0.3431,4042.9688,1387.2095
343937472,0.3431,4057.6172,1392.2356
343937511,0.3959,4052.7344,1604.4926
343937551,0.3695,4082.0313,1508.3519
343937590,0.3431,4052.7344,1390.5603
343937630,0.3431,4062.5000,1393.9110
343937670,0.3167,4072.2656,1289.7800
343937709,0.3431,4072.2656,1397.2617
343937748,0.3959,4072.2656,1612.2251
343937787,0.3431,4042.9688,1387.2095
343937827,0.3167,4077.1484,1291.3265
343937866,0.3959,4072.2656,1612.2251
343937906,0.3431,4072.2656,1397.2617
343937946,0.3167,4067.3828,1288.2335
343937985,0.2903,4067.3828,1180.8807
343938025,0.3959,4057.6172,1606.4257
343938064,0.3431,4072.2656,1397.2617
343938104,0.3959,4057.6172,1606.4257
343938144,0.3695,4072.2656,1504.7434
343938183,0.4751,4072.2656,1934.6700
343938223,0.3695,4091.7969,1511.9604
343938262,0.4487,3979.4922,1785.5619
343938301,0.3959,4072.2656,1612.2251
343938341,0.3431,4057.6172,1392.2356
343938380,0.3695,4082.0313,1508.3519
343938420,0.3431,4082.0313,1400.6124
343938459,0.3959,4077.1484,1614.1582
343938499,0.3431,4077.1484,1398.9371
343938539,0.3959,4062.5000,1608.3588
343938578,0.3431,4052.7344,1390.5603
343938618,0.3431,4077.1484,1398.9371
343938657,0.3431,4067.3828,1395.5864
343938697,0.3431,4082.0313,1400.6124
343938737,0.3695,4077.1484,1506.5477
343938776,0.3431,4082.0313,1400.6124
343938816,0.3431,4077.1484,1398.9371
343938854,0.3167,4077.1484,1291.3265
343938894,0.4487,4082.0313,1831.5702
343938934,0.3695,4082.0313,1508.3519
343938973,0.3167,4072.2656,1289.7800
343939013,0.3167,4052.7344,1283.5940
343939052,0.3695,4082.0313,1508.3519
343939092,0.3695,4072.2656,1504.7434
343939131,0.3959,4072.2656,1612.2251
343939171,0.3695,4057.6172,1499.3307
343939211,0.2903,4077.1484,1183.7161
343939250,0.5015,4077.1484,2044.6003
343939290,0.3959,4052.7344,1604.4926
343939329,0.4487,4106.4453,1842.5247
343939368,0.3431,4067.3828,1395.5864
343939408,0.3695,4072.2656,1504.7434
343939447,0.5015,4067.3828,2039.7031
343939487,0.3959,4062.5000,1608.3588
343939526,0.5015,4072.2656,2042.1517
343939566,0.3167,4082.0313,1292.8730
343939606,0.3959,4077.1484,1614.1582
343939645,0.3695,4082.0313,1508.3519
343939685,0.3695,4072.2656,1504.7434
343939724,0.3431,4067.3828,1395.5864
343939764,0.3695,4077.1484,1506.5477
343939804,0.3695,4077.1484,1506.5477
343939843,0.3431,4062.5000,1393.9110
343939883,0.3695,4072.2656,1504.7434
343939921,0.3695,4072.2656,1504.7434
343939961,0.4223,4082.0313,1723.8308
343940001,0.3431,4077.1484,1398.9371
343940040,0.3431,4018.5547,1378.8326
343940080,0.3431,4077.1484,1398.9371
343940119,0.3695,4072.2656,1504.7434
343940159,0.3431,4072.2656,1397.2617
343940199,0.3959,4057.6172,1606.4257
343940238,0.3959,4067.3828,1610.2920
343940278,0.4751,4072.2656,1934.6700
343940317,0.3695,4077.1484,1506.5477
343940357,0.4487,4077.1484,1829.3794
343940396,0.3695,4072.2656,1504.7434
343940435,0.2903,4052.7344,1176.6279
