289224&?	r?84,4028.3203,744.2526
289224360,0.2111,4033.2031,851.6054
289224399,0.2375,4028.3203,956.8962
289224437,0.2375,4023.4375,955.7363
289224476,0.2111,4028.3203,850.5744
289224515,0.2111,4028.3203,850.5744
289224553,0.2375,4023.4375,955.7363
289224592,0.2639,4028.3203,1063.2180
289224631,0.2375,4028.3203,956.8962
289224670,0.2375,4033.2031,958.0560
289224708,0.2639,4038.0859,1065.7954
289224748,0.2375,4028.3203,956.8962
289224786,0.2111,4033.2031,851.6054
289224824,0.2639,4033.2031,1064.5067
289224864,0.2375,4033.2031,958.0560
289224902,0.1848,4042.9688,746.9590
289224941,0.2111,4018.5547,848.5124
289224979,0.1848,4042.9688,746.9590
289225018,0.2111,4023.4375,849.5434
289225057,0.2375,4033.2031,958.0560
289225095,0.2375,4038.0859,959.2159
289225134,0.2111,4028.3203,850.5744
289225171,0.2375,4028.3203,956.8962
289225210,0.2375,4018.5547,954.5764
289225249,0.2375,4033.2031,958.0560
289225287,0.2111,4028.3203,850.5744
289225326,0.3167,4023.4375,1274.3151
289225365,0.2639,4023.4375,1061.9292
289225405,0.2903,4028.3203,1169.5398
289225444,0.2639,4028.3203,1063.2180
289225484,0.2375,4038.0859,959.2159
289225523,0.2903,4038.0859,1172.3750
289225562,0.2639,4028.3203,1063.2180
289225602,0.2375,4033.2031,958.0560
289225639,0.2375,4038.0859,959.2159
289225678,0.2903,4038.0859,1172.3750
289225718,0.2639,4028.3203,1063.2180
289225757,0.2639,3930.6641,1037.4430
289225797,0.2375,4023.4375,955.7363
289225835,0.2903,4033.2031,1170.9574
289225875,0.2639,4028.3203,1063.2180
289225915,0.2375,4033.2031,958.0560
289225953,0.2903,4008.7891,1163.8693
289225993,0.2639,4033.2031,1064.5067
289226032,0.2111,4003.9063,845.4194
289226071,0.2639,4033.2031,1064.5067
289226109,0.3695,4033.2031,1490.3094
289226149,0.2375,4033.2031,958.0560
289226188,0.2375,4033.2031,958.0560
289226226,0.2639,4003.9063,1056.7742
289226266,0.2375,4028.3203,956.8962
289226304,0.3959,4023.4375,1592.8938
289226344,0.2903,4033.2031,1170.9574
289226384,0.2639,4023.4375,1061.9292
289226423,0.2639,4038.0859,1065.7954
289226463,0.2903,4028.3203,1169.5398
289226502,0.2903,4028.3203,1169.5398
289226542,0.2375,4033.2031,958.0560
289226580,0.2375,4038.0859,959.2159
289226618,0.2903,4033.2031,1170.9574
289226658,0.2639,4033.2031,1064.5067
289226697,0.2375,4028.3203,956.8962
289226736,0.2111,4038.0859,852.6364
289226774,0.2111,4033.2031,851.6054
289226813,0.2375,4018.5547,954.5764
289226852,0.2639,4028.3203,1063.2180
289226891,0.2375,4028.3203,956.8962
289226930,0.2639,4033.2031,1064.5067
289226969,0.2375,4008.7891,952.2567
289227008,0.3431,4028.3203,1382.1833
289227047,0.2111,4033.2031,851.6054
289227085,0.2375,4057.6172,963.8554
289227124,0.3431,4028.3203,1382.1833
289227163,0.2639,4033.2031,1064.5067
289227203,0.2903,4082.0313,1185.1337
289227242,0.2375,4038.0859,959.2159
289227281,0.2639,4033.2031,1064.5067
289227321,0.2903,4033.2031,1170.9574
289227360,0.2903,4033.2031,1170.9574
289227400,0.2639,4023.4375,1061.9292
289227439,0.1848,4008.7891,740.6441
289227478,0.2903,4023.4375,1168.1222
289227517,0.2375,4013.6719,953.4166
289227555,0.2639,4033.2031,1064.5067
289227595,0.2111,4033.2031,851.6054
289227633,0.3431,4018.5547,1378.8326
289227673,0.2639,4033.2031,1064.5067
289227713,0.3695,4028.3203,1488.5052
289227752,0.2375,4028.3203,956.8962
289227791,0.3695,4033.2031,1490.3094
289227830,0.2639,4033.2031,1064.5067
289227870,0.2639,4033.2031,1064.5067
289227910,0.2639,3999.0234,1055.4855
289227949,0.2111,4042.9688,853.6674
289227987,0.2111,4038.0859,852.6364
289228025,0.2375,4033.2031,958.0560
289228064,0.2111,4038.0859,852.6364
289228102,0.3959,4033.2031,1596.7600
289228142,0.4223,4033.2031,1703.2108
289228182,0.2639,4033.2031,1064.5067
289228221,0.2639,4038.0859,1065.7954
289228261,0.2639,4018.5547,1060.6405
289228300,0.2639,4008.7891,1058.0630
289228340,0.2639,4023.4375,1061.9292
289228380,0.3167,4038.0859,1278.9545
289228419,0.3695,4033.2031,1490.3094
289228459,0.2375,4033.2031,958.0560
289228496,0.2639,4033.2031,1064.5067
289228536,0.1584,4028.3203,637.9308
289228575,0.2639,4038.0859,1065.7954
289228614,0.2639,4038.0859,1065.7954
289228654,0.2639,4150.3906,1095.4366
289228693,0.2903,4028.3203,1169.5398
289228733,0.2375,4033.2031,958.0560
289228771,0.2903,4023.4375,1168.1222
289228811,0.2639,4028.3203,1063.2180
289228851,0.2639,4038.0859,1065.7954
289228890,0.2111,4033.2031,851.6054
289228929,0.2639,4033.2031,1064.5067
289228967,0.2639,4023.4375,1061.9292
289229007,0.2903,4033.2031,1170.9574
289229047,0.3695,4028.3203,1488.5052
289229086,0.2639,4033.2031,1064.5067
289229126,0.2903,4033.2031,1170.9574
289229165,0.2111,4018.5547,848.5124
289229204,0.2903,4038.0859,1172.3750
289229244,0.2375,4033.2031,958.0560
289229282,0.2375,4042.9688,960.3758
289229321,0.2639,4033.2031,1064.5067
289229360,0.2639,4038.0859,1065.7954
289229400,0.2639,4033.2031,1064.5067
289229438,0.2639,4052.7344,1069.6617
289229478,0.3431,4033.2031,1383.8588
289229518,0.2639,4038.0859,1065.7954
289229557,0.2639,4028.3203,1063.2180
289229597,0.2903,4033.2031,1170.9574
289229636,0.3431,4038.0859,1385.5342
289229676,0.2375,4042.9688,960.3758
289229715,0.2903,4023.4375,1168.1222
289229754,0.2639,4028.3203,1063.2180
289229794,0.2111,4028.3203,850.5744
289229832,0.2639,4052.7344,1069.6617
289229872,0.2375,4033.2031,958.0560
289229911,0.2903,4033.2031,1170.9574
289229949,0.2375,4038.0859,959.2159
289229988,0.2903,4038.0859,1172.3750
289230027,0.1848,4042.9688,746.9590
289230066,0.2375,4038.0859,959.2159
289230104,0.2111,4042.9688,853.6674
289230143,0.2639,4033.2031,1064.5067
289230183,0.2375,4038.0859,959.2159
289230221,0.2111,4038.0859,852.6364
289230260,0.2639,4038.0859,1065.7954
289230299,0.2639,4018.5547,1060.6405
289230339,0.2111,4057.6172,856.7604
289230377,0.2375,4096.6797,973.1344
289230415,0.3695,4047.8516,1495.7222
289230455,0.2111,4042.9688,853.6674
289230493,0.2903,4013.6719,1165.2870
289230533,0.2903,4018.5547,1166.7046
289230573,0.2903,4033.2031,1170.9574
289230612,0.2639,4033.2031,1064.5067
289230652,0.2903,4033.2031,1170.9574
289230691,0.2375,4047.8516,961.5356
289230730,0.2111,4028.3203,850.5744
289230768,0.2639,4023.4375,1061.9292
289230808,0.2639,4008.7891,1058.0630
289230848,0.2903,4033.2031,1170.9574
289230886,0.2639,4033.2031,1064.5067
289230926,0.2639,4038.0859,1065.7954
289230965,0.2375,4033.2031,958.0560
289231004,0.2639,4023.4375,1061.9292
289231044,0.2111,4038.0859,852.6364
289231082,0.2639,4038.0859,1065.7954
289231122,0.2375,4038.0859,959.2159
289231160,0.2903,4033.2031,1170.9574
289231200,0.2111,4018.5547,848.5124
289231239,0.2375,4042.9688,960.3758
289231277,0.3695,4028.3203,1488.5052
289231316,0.2375,4038.0859,959.2159
289231354,0.2111,4038.0859,852.6364
289231393,0.2111,4033.2031,851.6054
289231431,0.3167,4042.9688,1280.5010
289231471,0.2639,4038.0859,1065.7954
289231511,2.5866,3730.4688,9649.1221
289231550,3.2992,3618.1641,11937.0380
289231591,3.2992,3559.5703,11743.7270
289231631,2.8241,3662.1094,10342.2110
289231672,2.1379,3769.5313,8058.8057
289231712,2.0059,3784.1797,7590.7319
289231751,1.8476,3803.7109,7027.5483
289231791,1.6628,3842.7734,6389.7471
289231830,1.7420,3833.0078,6677.0093
289231869,1.6100,3837.8906,6179.0366
289231909,1.6364,3847.6563,6296.3125
289231948,1.4780,3833.0078,5665.3413
289231988,1.5044,3852.5391,5795.8911
289232027,1.5836,3818.3594,6046.8105
289232067,1.7156,3842.7734,6592.5957
289232107,1.9267,3793.9453,7309.9141
289232146,1.9267,3813.4766,7347.5454
289232186,2.0323,3774.4141,7670.7632
289232225,1.9795,3793.9453,7510.1851
289232265,1.9795,3627.9297,7181.5542
289232305,1.9267,3789.0625,7300.5059
289232344,1.8476,3813.4766,7045.5908
289232384,1.8476,3784.1797,6991.4634
289232422,1.8212,3837.8906,6989.4019
289232462,1.8739,3784.1797,7091.3418
289232502,1.8476,3784.1797,6991.4634
289232541,1.7684,3798.8281,6717.7334
289232581,1.7420,3930.6641,6847.1240
289232620,1.8212,3798.8281,6918.2627
289232660,1.7948,3798.8281,6817.9985
289232699,1.8739,3823.2422,7164.5430
289232739,1.8476,3784.1797,6991.4634
289232779,1.9531,3745.1172,7314.6821
289232818,1.9003,3784.1797,7191.2197
289232858,1.8739,3803.7109,7127.9424
289232897,1.9531,3808.5938,7438.6597
289232936,1.8739,3789.0625,7100.4922
289232976,1.8212,3813.4766,6944.9399
289233015,1.8476,3779.2969,6982.4424
289233055,1.8212,3823.2422,6962.7246
289233094,2.0059,3808.5938,7639.7041
289233134,1.8739,3784.1797,7091.3418
289233174,1.7948,3813.4766,6844.2886
289233213,1.7420,3789.0625,6600.4575
289233253,1.8476,3823.2422,7063.6333
289233292,1.7948,3774.4141,6774.1807
289233332,1.9003,3828.1250,7274.7305
289233372,1.9795,3852.5391,7626.1724
289233411,1.8739,3774.4141,7073.0415
289233451,1.9003,3798.8281,7219.0566
289233489,1.8476,3779.2969,6982.4424
289233529,1.8476,3828.1250,7072.6548
289233569,1.8476,3798.8281,7018.5273
289233608,1.9531,3803.7109,7429.1230
289233648,1.7948,3808.5938,6835.5254
289233687,1.8476,3784.1797,6991.4634
289233727,1.9531,3813.4766,7448.1963
289233767,1.8212,3823.2422,6962.7246
289233806,1.8212,3828.1250,6971.6172
289233846,1.7684,3808.5938,6735.0024
289233885,1.8212,3793.9453,6909.3706
289233925,1.8739,3823.2422,7164.5430
289233964,1.8739,3779.2969,7082.1919
289234003,1.8212,3813.4766,6944.9399
289234043,1.9267,3798.8281,7319.3218
289234082,1.7948,3798.8281,6817.9985
289234122,1.8212,3803.7109,6927.1553
289234161,1.8212,3789.0625,6900.4780
289234201,1.8476,3833.0078,7081.6758
289234241,1.6892,3784.1797,6392.1953
289234280,1.7684,3828.1250,6769.5410
289234320,1.7948,3813.4766,6844.2886
289234359,1.8212,3818.3594,6953.8325
289234399,1.7684,3823.2422,6760.9063
289234439,1.8212,3774.4141,6873.8008
289234478,1.8212,3828.1250,6971.6172
289234518,1.8212,3793.9453,6909.3706
289234556,1.8476,3808.5938,7036.5698
289234596,2.0323,3818.3594,7760.0737
289234636,1.7948,3823.2422,6861.8159
289234675,1.8212,3823.2422,6962.7246
289234715,1.7948,3784.1797,6791.7080
289234754,1.8212,3803.7109,6927.1553
289234794,1.7684,3798.8281,6717.7334
289234834,1.8212,3798.8281,6918.2627
289234873,1.7948,3837.8906,6888.1064
289234913,1.7156,3784.1797,6492.0732
289234952,1.7684,3837.8906,6786.8105
289234992,1.8476,3803.7109,7027.5483
289235032,1.7948,3793.9453,6809.2349
289235070,1.7420,3813.4766,6642.9863
289235110,1.8212,3789.0625,6900.4780
289235149,1.8476,3823.2422,7063.6333
289235189,1.8739,3779.2969,7082.1919
289235228,1.8212,3818.3594,6953.8325
289235268,1.8212,3784.1797,6891.5859
289235308,1.8476,3813.4766,7045.5908
289235347,1.8739,3823.2422,7164.5430
289235387,1.7948,3793.9453,6809.2349
289235426,1.7420,3828.1250,6668.5034
289235466,1.7420,3842.7734,6694.0205
289235506,1.7948,3823.2422,6861.8159
289235545,1.8476,3784.1797,6991.4634
289235585,1.8476,3798.8281,7018.5273
289235623,1.8739,3808.5938,7137.0923
289235663,1.9003,3784.1797,7191.2197
289235703,1.7156,3808.5938,6533.9575
289235742,1.7684,3798.8281,6717.7334
289235782,1.7948,3803.7109,6826.7617
289235821,1.7684,3813.4766,6743.6372
289235861,1.8476,3798.8281,7018.5273
289235901,1.8212,3808.5938,6936.0474
289235940,1.8212,3774.4141,6873.8008
289235980,1.8212,3828.1250,6971.6172
289236019,1.7420,3808.5938,6634.4805
289236059,1.7420,3818.3594,6651.4917
289236099,1.8212,3808.5938,6936.0474
289236137,1.7684,3798.8281,6717.7334
289236177,1.8212,3813.4766,6944.9399
289236216,1.9267,3789.0625,7300.5059
289236256,1.8212,3828.1250,6971.6172
289236296,1.7684,3710.9375,6562.3101
289236335,1.7684,3808.5938,6735.0024
289236375,1.8212,3818.3594,6953.8325
289236414,1.9795,3784.1797,7490.8540
289236454,1.8212,3823.2422,6962.7246
289236493,1.9267,3789.0625,7300.5059
289236533,1.8212,3808.5938,6936.0474
289236573,1.7684,3793.9453,6709.0986
289236612,1.8476,3803.7109,7027.5483
289236652,1.8476,3813.4766,7045.5908
289236690,1.7156,3808.5938,6533.9575
289236730,1.7684,3818.3594,6752.2720
289236770,1.8476,3789.0625,7000.4849
289236809,1.8476,3808.5938,7036.5698
289236849,1.8476,3798.8281,7018.5273
289236888,1.7948,3803.7109,6826.7617
289236928,1.8212,3793.9453,6909.3706
289236968,1.8212,3784.1797,6891.5859
289237007,1.9531,3818.3594,7457.7334
289237047,1.8476,3798.8281,7018.5273
289237086,1.8212,3823.2422,6962.7246
289237126,1.9003,3789.0625,7200.4985
289237166,1.8739,3798.8281,7118.7925
289237204,1.7420,3793.9453,6608.9629
289237244,1.7948,3774.4141,6774.1807
289237283,1.7948,3823.2422,6861.8159
289237323,1.8212,3769.5313,6864.9087
289237363,1.7948,3823.2422,6861.8159
289237402,1.8739,3789.0625,7100.4922
289237442,1.8212,3823.2422,6962.7246
289237481,1.7684,3798.8281,6717.7334
289237521,1.8739,3789.0625,7100.4922
289237561,1.9531,3808.5938,7438.6597
289237600,1.8212,3793.9453,6909.3706
289237640,1.7948,3823.2422,6861.8159
289237679,1.7684,3779.2969,6683.1948
289237719,1.7948,3808.5938,6835.5254
289237757,1.8212,3720.7031,6775.9849
289237797,1.9003,3808.5938,7237.6147
289237837,1.8212,3808.5938,6936.0474
289237876,1.6892,3793.9453,6408.6914
289237916,1.7948,3842.7734,6896.8696
289237955,1.8212,3793.9453,6909.3706
289237995,1.8739,3798.8281,7118.7925
289238035,1.9267,3789.0625,7300.5059
289238074,2.0059,3779.2969,7580.9370
289238114,1.9795,3784.1797,7490.8540
289238153,2.0323,3764.6484,7650.9165
289238193,2.0851,3779.2969,7880.1855
289238233,2.2171,3735.3516,8281.5020
289238272,2.3490,3774.4141,8866.2070
289238311,2.2962,3720.7031,8543.6328
289238350,2.3490,3759.7656,8831.7979
289238390,2.2171,3725.5859,8259.8506
289238430,2.1115,3764.6484,7949.0039
289238469,2.1379,3745.1172,8006.6113
289238509,2.0323,3764.6484,7650.9165
289238548,2.0587,3764.6484,7750.2793
289238588,2.1379,3740.2344,7996.1724
289238628,2.0851,3779.2969,7880.1855
289238667,2.1115,3754.8828,7928.3843
289238707,2.0587,3769.5313,7760.3315
289238746,2.0323,3769.5313,7660.8398
289238786,2.1115,3779.2969,7979.9341
289238825,2.1643,3779.2969,8179.4331
289238864,2.0851,3764.6484,7849.6421
289238904,2.0851,3740.2344,7798.7368
289238943,2.1115,3750.0000,7918.0742
289238983,2.2171,3774.4141,8368.1055
289239022,2.1379,3750.0000,8017.0503
289239062,2.1379,3764.6484,8048.3667
289239102,2.0851,3740.2344,7798.7368
289239141,2.0851,3793.9453,7910.7290
289239181,2.0851,3730.4688,7778.3745
289239220,2.1379,3754.8828,8027.4893
289239260,2.1907,3745.1172,8204.3057
289239300,2.1115,3769.5313,7959.3140
289239339,2.1907,3740.2344,8193.6084
289239378,2.1379,3759.7656,8037.9282
289239417,2.1115,3735.3516,7887.1440
289239457,2.1115,3759.7656,7938.6943
289239497,2.0587,3750.0000,7720.1226
289239536,2.1379,3759.7656,8037.9282
289239576,2.0851,3759.7656,7839.4609
289239615,2.0323,3745.1172,7611.2231
289239655,2.1115,3779.2969,7979.9341
289239695,2.0851,3764.6484,7849.6421
289239734,2.0851,3784.1797,7890.3667
289239774,2.0587,3740.2344,7700.0181
289239813,2.1115,3764.6484,7949.0039
289239853,2.1643,3710.9375,8031.4844
289239892,2.2171,3754.8828,8324.8037
289239931,2.2171,3735.3516,8281.5020
289239971,2.2698,3750.0000,8511.9297
289240010,2.2698,3735.3516,8478.6797
289240050,2.2171,3759.7656,8335.6289
289240090,2.2698,3735.3516,8478.6797
289240129,2.1643,3759.7656,8137.1621
289240169,2.1643,3735.3516,8084.3232
289240208,2.1643,3774.4141,8168.8652
289240248,2.1115,3745.1172,7907.7642
289240287,2.0323,3764.6484,7650.9165
289240327,2.0323,3759.7656,7640.9932
289240367,2.1379,3759.7656,8037.9282
289240406,2.0851,3769.5313,7859.8232
289240445,2.1115,3715.8203,7845.9043
289240484,2.2171,3750.0000,8313.9775
289240524,2.2171,3725.5859,8259.8506
289240564,2.2435,3740.2344,8391.0459
289240603,2.3490,3720.7031,8740.0391
289240643,2.3490,3730.4688,8762.9785
289240682,2.1643,3730.4688,8073.7554
289240722,2.2171,3750.0000,8313.9775
289240762,2.1643,3745.1172,8105.4590
289240801,2.0323,3769.5313,7660.8398
289240841,2.0059,3750.0000,7522.1704
