
288383??	r?90,4072.2656,1182.2985
288383087,0.3695,4072.2656,1504.7434
288383126,0.2903,4082.0313,1185.1337
288383166,0.2903,4077.1484,1183.7161
288383206,0.2639,4072.2656,1074.8167
288383245,0.3167,4028.3203,1275.8616
288383285,0.2111,4077.1484,860.8844
288383323,0.2375,4077.1484,968.4949
288383362,0.2111,4057.6172,856.7604
288383400,0.2111,4072.2656,859.8534
288383438,0.2639,4067.3828,1073.5280
288383478,0.2111,4072.2656,859.8534
288383516,0.2375,4062.5000,965.0153
288383555,0.2111,4077.1484,860.8844
288383593,0.3695,4145.5078,1531.8071
288383633,0.2375,4077.1484,968.4949
288383672,0.2639,4057.6172,1070.9504
288383711,0.2639,4062.5000,1072.2393
288383751,0.2375,4082.0313,969.6548
288383789,0.2639,4077.1484,1076.1055
288383828,0.2375,4077.1484,968.4949
288383867,0.2639,4077.1484,1076.1055
288383906,0.2111,4062.5000,857.7914
288383945,0.2375,4125.9766,980.0937
288383983,0.3695,4028.3203,1488.5052
288384023,0.2111,4082.0313,861.9154
288384062,0.2111,4072.2656,859.8534
288384100,0.2375,4091.7969,971.9745
288384139,0.2111,4077.1484,860.8844
288384177,0.2639,4062.5000,1072.2393
288384217,0.2111,4067.3828,858.8224
288384254,0.2903,4008.7891,1163.8693
288384294,0.2375,4082.0313,969.6548
288384333,0.3959,4077.1484,1614.1582
288384372,0.1848,4082.0313,754.1760
288384411,0.2111,4057.6172,856.7604
288384449,0.2375,4072.2656,967.3350
288384488,0.2375,4077.1484,968.4949
288384526,0.2375,4077.1484,968.4949
288384565,0.2111,4086.9141,862.9464
288384604,0.2375,4077.1484,968.4949
288384642,0.2375,4057.6172,963.8554
288384680,0.2375,4082.0313,969.6548
288384718,0.3695,4077.1484,1506.5477
288384758,0.2639,4072.2656,1074.8167
288384798,0.2375,4057.6172,963.8554
288384836,0.2903,4077.1484,1183.7161
288384876,0.2639,4077.1484,1076.1055
288384915,0.3431,4077.1484,1398.9371
288384955,0.1848,4082.0313,754.1760
288384994,0.2639,4077.1484,1076.1055
288385033,0.2375,4077.1484,968.4949
288385072,0.2639,4057.6172,1070.9504
288385111,0.2111,4082.0313,861.9154
288385149,0.2375,4067.3828,966.1752
288385187,0.2375,4077.1484,968.4949
288385226,0.2375,4077.1484,968.4949
288385265,0.2111,4082.0313,861.9154
288385303,0.2111,4077.1484,860.8844
288385342,0.2375,4077.1484,968.4949
288385380,0.2375,4057.6172,963.8554
288385419,0.2375,4057.6172,963.8554
288385457,0.2375,4077.1484,968.4949
288385496,0.2639,4077.1484,1076.1055
288385536,0.2375,4082.0313,969.6548
288385573,0.2903,4082.0313,1185.1337
288385613,0.2375,4086.9141,970.8147
288385651,0.2375,4077.1484,968.4949
288385690,0.2375,4077.1484,968.4949
288385729,0.2111,4082.0313,861.9154
288385767,0.2639,4057.6172,1070.9504
288385807,0.2375,4077.1484,968.4949
288385845,0.2375,4052.7344,962.6956
288385884,0.2375,4077.1484,968.4949
288385922,0.3431,4072.2656,1397.2617
288385961,0.2375,4082.0313,969.6548
288386000,0.2111,4077.1484,860.8844
288386038,0.3167,4082.0313,1292.8730
288386078,0.2639,4047.8516,1068.3729
288386117,0.2111,4077.1484,860.8844
288386156,0.1848,4057.6172,749.6653
288386195,0.3167,4072.2656,1289.7800
288386234,0.3167,4067.3828,1288.2335
288386274,0.2375,4062.5000,965.0153
288386312,0.3431,4082.0313,1400.6124
288386352,0.2375,4077.1484,968.4949
288386390,0.2375,4082.0313,969.6548
288386428,0.2375,4077.1484,968.4949
288386467,0.2375,4067.3828,966.1752
288386505,0.2111,4082.0313,861.9154
288386544,0.3959,4082.0313,1616.0913
288386583,0.2375,4077.1484,968.4949
288386622,0.1848,4057.6172,749.6653
288386661,0.2375,4077.1484,968.4949
288386699,0.2375,4072.2656,967.3350
288386738,0.2375,4082.0313,969.6548
288386776,0.2375,4082.0313,969.6548
288386814,0.2375,4086.9141,970.8147
288386852,0.2375,4077.1484,968.4949
288386891,0.2111,4086.9141,862.9464
288386930,0.2375,4057.6172,963.8554
288386968,0.2111,4077.1484,860.8844
288387007,0.2639,4077.1484,1076.1055
288387046,0.2639,4082.0313,1077.3942
288387086,0.2639,4077.1484,1076.1055
288387126,0.2375,4086.9141,970.8147
288387164,0.2375,4086.9141,970.8147
288387203,0.3959,4086.9141,1618.0244
288387241,0.2639,4077.1484,1076.1055
288387281,0.2111,4072.2656,859.8534
288387319,0.2111,4145.5078,875.3184
288387358,0.3431,4111.3281,1410.6647
288387398,0.3695,4077.1484,1506.5477
288387437,0.2111,4077.1484,860.8844
288387476,0.2639,4072.2656,1074.8167
288387515,0.3431,4072.2656,1397.2617
288387555,0.2639,4077.1484,1076.1055
288387595,0.2375,4091.7969,971.9745
288387633,0.2375,4091.7969,971.9745
288387672,0.3695,4082.0313,1508.3519
288387710,0.2639,4072.2656,1074.8167
288387750,0.2375,4038.0859,959.2159
288387789,0.2111,4086.9141,862.9464
288387827,0.2375,4218.7500,1002.1313
288387867,0.2111,4057.6172,856.7604
288387905,0.2111,4077.1484,860.8844
288387944,0.2375,4082.0313,969.6548
288387982,2.3490,3808.5938,8946.4961
