,0.2111,4028.3203,850.5744
261413384,0.2639,4023.4375,1061.9292
261413424,0.2639,4018.5547,10605,4047.8516,961.5356
261413346,0.2111,4028.3203,850.5744
261413384,0.2639,4023.4375,1061.9292
261413424,0.2639,4018.5547,1060.,4047.8516,961.5356
261413346,0.2111,4028.3203,850.5744
261413384,0.2639,4023.4375,1061.9292
261413424,0.2639,4018.5547,1060.640MC&S?1364,0.2639,4018.5547,1060.6405
261413502,0.2375,4023.4375,955.7363
261413541,0.2639,4023.4375,1061.9292
261413580,0.2639,4028.3203,1063.2180
261413620,0.2639,4028.3203,1063.2180
261413660,0.2375,4028.3203,956.8962
261413698,0.2375,4013.6719,953.4166
261413737,0.2639,4028.3203,1063.2180
261413776,0.2639,4028.3203,1063.2180
261413816,0.3959,4023.4375,1592.8938
261413856,0.2639,3881.8359,1024.5555
261413895,0.2903,4023.4375,1168.1222
261413935,0.2111,4028.3203,850.5744
261413972,0.2639,4003.9063,1056.7742
261414012,0.2903,4028.3203,1169.5398
261414052,0.2639,4008.7891,1058.0630
261414091,0.2639,4028.3203,1063.2180
261414131,0.3167,4003.9063,1268.1290
261414170,0.2639,4023.4375,1061.9292
261414210,0.3695,4028.3203,1488.5052
261414249,0.2375,4028.3203,956.8962
261414288,0.2111,4033.2031,851.6054
261414327,0.2375,4028.3203,956.8962
261414365,0.2375,4023.4375,955.7363
261414404,0.2639,4028.3203,1063.2180
261414443,0.2111,4028.3203,850.5744
261414481,0.2639,4023.4375,1061.9292
261414521,0.2903,4023.4375,1168.1222
261414560,0.2639,4028.3203,1063.2180
261414600,0.2111,4023.4375,849.5434
261414638,0.2639,4023.4375,1061.9292
261414678,0.1848,4028.3203,744.2526
261414717,0.2111,4086.9141,862.9464
261414755,0.2111,4023.4375,849.5434
261414794,0.1848,4028.3203,744.2526
261414832,0.2639,4028.3203,1063.2180
261414872,0.2903,4003.9063,1162.4517
261414910,0.2111,4028.3203,850.5744
261414949,0.2639,4018.5547,1060.6405
261414989,0.2639,4023.4375,1061.9292
261415028,0.2375,4028.3203,956.8962
261415067,0.2903,4023.4375,1168.1222
261415106,0.2375,4028.3203,956.8962
261415145,0.2639,4028.3203,1063.2180
261415185,0.2903,4023.4375,1168.1222
261415224,0.3167,4018.5547,1272.7686
261415264,0.2375,4023.4375,955.7363
261415302,0.2111,4028.3203,850.5744
261415341,0.2375,4028.3203,956.8962
261415378,0.3167,4023.4375,1274.3151
261415418,0.3431,4023.4375,1380.5081
261415458,0.2639,4023.4375,1061.9292
261415497,0.1848,4013.6719,741.5463
261415536,0.2111,4111.3281,868.1014
261415574,0.2639,3945.3125,1041.3092
261415614,0.2903,4028.3203,1169.5398
261415654,0.3431,4013.6719,1377.1572
261415693,0.2639,4028.3203,1063.2180
261415733,0.2375,4028.3203,956.8962
261415771,0.2903,4028.3203,1169.5398
261415811,0.2375,4028.3203,956.8962
261415849,0.2639,4013.6719,1059.3517
261415888,0.2111,4018.5547,848.5124
261415927,0.2639,4023.4375,1061.9292
261415966,0.2375,4028.3203,956.8962
261416005,0.3695,4023.4375,1486.7009
261416044,0.2639,4028.3203,1063.2180
261416084,0.2375,4023.4375,955.7363
261416123,0.2111,4028.3203,850.5744
261416161,0.2903,4013.6719,1165.2870
261416201,0.1848,4033.2031,745.1547
261416239,0.3695,4018.5547,1484.8967
261416279,0.2375,4023.4375,955.7363
261416317,0.2903,4023.4375,1168.1222
261416356,0.2903,4028.3203,1169.5398
261416396,0.2375,4047.8516,961.5356
261416434,0.2375,3964.8438,941.8178
261416473,0.2375,4047.8516,961.5356
261416511,0.2375,4042.9688,960.3758
261416550,0.2375,4028.3203,956.8962
261416589,0.2375,4018.5547,954.5764
261416627,0.3431,4042.9688,1387.2095
261416667,0.2903,4023.4375,1168.1222
261416706,0.2639,4018.5547,1060.6405
261416745,0.2639,4018.5547,1060.6405
261416785,0.2903,4008.7891,1163.8693
261416824,0.2375,4023.4375,955.7363
261416863,0.2375,4023.4375,955.7363
261416901,0.2111,4033.2031,851.6054
261416940,0.2111,4028.3203,850.5744
261416978,0.2111,4028.3203,850.5744
261417017,0.2639,4028.3203,1063.2180
261417057,0.2375,4013.6719,953.4166
261417095,0.3695,4028.3203,1488.5052
261417135,0.2639,4023.4375,1061.9292
261417174,0.2639,4028.3203,1063.2180
261417213,0.2375,4013.6719,953.4166
261417252,0.2639,4028.3203,1063.2180
261417291,0.2375,4033.2031,958.0560
261417330,0.2375,4028.3203,956.8962
261417368,0.2903,4033.2031,1170.9574
261417408,0.2639,4028.3203,1063.2180
261417448,0.2111,4033.2031,851.6054
261417486,0.2375,4028.3203,956.8962
261417525,0.4223,4028.3203,1701.1488
261417564,0.3431,4018.5547,1378.8326
261417604,0.2903,4028.3203,1169.5398
261417643,0.2903,4199.2188,1219.1566
261417682,0.2903,4023.4375,1168.1222
261417722,0.2375,4028.3203,956.8962
261417760,0.2639,4003.9063,1056.7742
261417800,0.3695,4028.3203,1488.5052
261417839,0.2111,4028.3203,850.5744
261417878,0.2903,4023.4375,1168.1222
261417918,0.2111,4008.7891,846.4504
261417956,0.2111,4033.2031,851.6054
261417995,0.1848,4033.2031,745.1547
261418033,0.2903,4033.2031,1170.9574
261418073,0.2639,4023.4375,1061.9292
261418113,0.2375,4023.4375,955.7363
261418150,0.3695,4023.4375,1486.7009
261418190,0.2639,4018.5547,1060.6405
261418229,0.2639,4028.3203,1063.2180
261418269,0.3167,4028.3203,1275.8616
261418308,0.3959,4023.4375,1592.8938
261418348,0.2375,4028.3203,956.8962
261418387,0.3695,4023.4375,1486.7009
261418426,0.2639,4033.2031,1064.5067
261418466,0.2903,4033.2031,1170.9574
261418505,0.2111,4028.3203,850.5744
261418544,0.2375,4023.4375,955.7363
261418583,0.2111,4028.3203,850.5744
261418620,0.2903,4023.4375,1168.1222
261418660,0.2903,4023.4375,1168.1222
261418699,0.2639,4028.3203,1063.2180
261418739,0.2111,4028.3203,850.5744
261418778,0.3167,4028.3203,1275.8616
261418817,0.2111,4023.4375,849.5434
261418856,0.2375,4028.3203,956.8962
261418894,0.2111,4028.3203,850.5744
261418933,0.2639,4033.2031,1064.5067
261418972,0.2375,4028.3203,956.8962
261419011,0.2111,4028.3203,850.5744
261419049,0.2375,4028.3203,956.8962
261419087,0.2375,4008.7891,952.2567
261419126,0.2903,4028.3203,1169.5398
261419165,0.2639,4028.3203,1063.2180
261419205,0.2375,4008.7891,952.2567
261419244,0.2639,4008.7891,1058.0630
261419283,0.2903,4033.2031,1170.9574
261419323,0.2375,4033.2031,958.0560
261419361,0.3167,4028.3203,1275.8616
261419401,0.3959,4033.2031,1596.7600
261419440,0.2375,4033.2031,958.0560
261419479,0.2111,4008.7891,846.4504
261419517,0.2639,4028.3203,1063.2180
261419556,0.3959,4028.3203,1594.8269
261419596,0.2639,4023.4375,1061.9292
261419635,0.2375,4028.3203,956.8962
261419674,0.2375,4013.6719,953.4166
261419713,0.2375,4028.3203,956.8962
