5,4077.1484,968.4949
274661501,0.2111,4082.0313,861.9154
274661540,0.2111,4077.124,0.2903,4077.1484,1183.7161
274661464,0.2375,4077.1484,968.4949
274661501,0.2111,4082.0313,861.9154
274661540,0.2111,4077.148486r???jH????????b?r????b????r????b???r????j274661617,0.2375,4082.0313,969.6548
274661656,0.1848,4082.0313,754.1760
274661694,0.2375,4082.0313,969.6548
274661733,0.2375,4082.0313,969.6548
274661771,0.2375,4077.1484,968.4949
274661810,0.2111,4082.0313,861.9154
274661848,0.2375,4082.0313,969.6548
274661886,0.2375,4082.0313,969.6548
274661925,0.2639,4072.2656,1074.8167
274661964,0.1848,4082.0313,754.1760
274662003,0.2111,4077.1484,860.8844
274662041,0.2111,4082.0313,861.9154
274662080,0.2903,4077.1484,1183.7161
274662120,0.2375,4082.0313,969.6548
274662158,0.2111,4082.0313,861.9154
274662197,0.2639,4082.0313,1077.3942
274662236,0.2639,4082.0313,1077.3942
274662276,0.2111,4082.0313,861.9154
274662313,0.2111,4077.1484,860.8844
274662352,0.2375,4072.2656,967.3350
274662391,0.2639,4082.0313,1077.3942
274662430,0.2639,4077.1484,1076.1055
274662470,0.2375,4077.1484,968.4949
274662508,0.2639,4072.2656,1074.8167
274662548,0.2639,4082.0313,1077.3942
274662588,0.2639,4082.0313,1077.3942
274662627,0.2375,4086.9141,970.8147
274662666,0.3431,4082.0313,1400.6124
274662705,0.2639,4082.0313,1077.3942
274662745,0.3431,4086.9141,1402.2878
274662785,0.2903,4072.2656,1182.2985
274662823,0.2375,4047.8516,961.5356
274662862,0.2639,4067.3828,1073.5280
274662901,0.2639,4086.9141,1078.6830
274662941,0.2375,4062.5000,965.0153
274662979,0.2375,4072.2656,967.3350
274663018,0.2375,4052.7344,962.6956
274663057,0.2639,4082.0313,1077.3942
274663096,0.2375,4077.1484,968.4949
274663135,0.2375,4077.1484,968.4949
274663173,0.2111,4077.1484,860.8844
274663212,0.2375,4082.0313,969.6548
274663250,0.3431,4072.2656,1397.2617
274663289,0.2375,4077.1484,968.4949
274663328,0.3695,4077.1484,1506.5477
274663367,0.2111,4062.5000,857.7914
274663406,0.2375,4082.0313,969.6548
274663444,0.2375,4057.6172,963.8554
274663483,0.2111,4082.0313,861.9154
274663522,0.2639,4077.1484,1076.1055
274663561,0.2111,4067.3828,858.8224
274663600,0.2639,4082.0313,1077.3942
274663639,0.3167,4111.3281,1302.1520
274663678,0.2639,4082.0313,1077.3942
274663718,0.2375,4204.1016,998.6517
274663756,0.2375,4116.2109,977.7739
274663795,0.2903,4150.3906,1204.9803
274663834,0.2375,4077.1484,968.4949
274663873,0.2375,4077.1484,968.4949
274663911,0.2111,4077.1484,860.8844
274663950,0.3431,4091.7969,1403.9633
274663990,0.2375,4082.0313,969.6548
274664028,0.3431,4082.0313,1400.6124
274664068,0.2375,4077.1484,968.4949
274664105,0.2903,4082.0313,1185.1337
274664145,0.3431,4072.2656,1397.2617
274664185,0.2639,4077.1484,1076.1055
