,0.4487,4082.0313,1831.5702
34556603,0.4751,4082.0313,1939.3096
34556642,0.4223,4086.9141,1725.8928
34556680,0.3952
34556565,0.4487,4082.0313,1831.5702
34556603,0.4751,4082.0313,1939.3096
34556642,0.4223,4086.9141,1725.8928
34556680,0.3959,477???b?S?r????j34556719,0.4223,4082.0313,1723.8308
34556756,0.3695,4072.2656,1504.7434
34556795,0.3431,4077.1484,1398.9371
34556834,0.3959,4086.9141,1618.0244
34556872,0.4751,4067.3828,1932.3503
34556911,0.3695,4082.0313,1508.3519
34556949,0.4487,4082.0313,1831.5702
34556988,0.4223,4086.9141,1725.8928
34557026,0.5279,4077.1484,2152.2109
34557065,0.4223,4091.7969,1727.9547
34557104,0.3959,4067.3828,1610.2920
34557142,0.3695,4086.9141,1510.1563
34557180,0.5279,4077.1484,2152.2109
34557218,0.4223,4077.1484,1721.7688
34557257,0.3959,4086.9141,1618.0244
34557296,0.4487,4082.0313,1831.5702
34557334,0.4223,4082.0313,1723.8308
34557373,0.4751,4077.1484,1936.9899
34557411,0.4223,4082.0313,1723.8308
34557450,0.5279,4067.3828,2147.0559
34557488,0.4487,4067.3828,1824.9976
34557527,0.3695,4086.9141,1510.1563
34557565,0.3695,4086.9141,1510.1563
34557603,0.4223,4101.5625,1732.0787
34557642,0.3695,4086.9141,1510.1563
34557680,0.3695,4082.0313,1508.3519
34557719,0.3959,4082.0313,1616.0913
34557757,0.3695,4086.9141,1510.1563
34557796,0.4223,4086.9141,1725.8928
34557835,0.3695,4077.1484,1506.5477
34557873,0.4223,4082.0313,1723.8308
34557912,0.4487,4091.7969,1835.9520
34557949,0.4487,4086.9141,1833.7611
34557988,0.3959,4067.3828,1610.2920
34558027,0.4487,4077.1484,1829.3794
34558065,0.4223,4082.0313,1723.8308
34558104,0.4223,4062.5000,1715.5828
34558142,0.3431,4077.1484,1398.9371
34558181,0.4223,4086.9141,1725.8928
34558219,0.3695,4082.0313,1508.3519
34558258,0.3695,4091.7969,1511.9604
34558297,0.4223,4072.2656,1719.7068
34558334,0.4223,4077.1484,1721.7688
34558373,0.5015,4082.0313,2047.0490
34558411,0.3695,4091.7969,1511.9604
34558450,0.4223,4091.7969,1727.9547
34558488,0.4487,4082.0313,1831.5702
34558527,0.5279,4091.7969,2159.9434
34558566,0.4751,4082.0313,1939.3096
34558604,0.3959,4082.0313,1616.0913
34558643,0.4223,4082.0313,1723.8308
34558681,0.5543,4077.1484,2259.8215
34558720,0.3959,4072.2656,1612.2251
34558757,0.3695,4072.2656,1504.7434
34558796,0.3959,4082.0313,1616.0913
34558835,0.3959,4077.1484,1614.1582
34558873,0.3695,4082.0313,1508.3519
34558912,0.4487,4086.9141,1833.7611
34558950,0.4223,4082.0313,1723.8308
34558989,0.4223,4082.0313,1723.8308
34559028,0.3959,4086.9141,1618.0244
34559066,0.3695,4082.0313,1508.3519
34559105,0.4223,4072.2656,1719.7068
34559142,0.3959,4086.9141,1618.0244
34559181,0.4487,4072.2656,1827.1885
34559219,0.3959,4077.1484,1614.1582
34559258,0.5015,4077.1484,2044.6003
34559297,0.3959,4067.3828,1610.2920
34559335,0.3959,4086.9141,1618.0244
34559374,0.5015,4082.0313,2047.0490
34559412,0.3959,4077.1484,1614.1582
34559451,0.3959,4082.0313,1616.0913
34559489,0.4223,4082.0313,1723.8308
34559527,0.3695,4086.9141,1510.1563
