223,4101.5625,1732.0787
3417711,0.3959,416
3417598,0.3431,4101.5625,1407.3140
3417636,0.3695,4101.5625,1515.5690
3417673,0.4223,4101.5625,1732.0787
3417711,0.3959,4101.5??,163.???j3417749,0.3695,4130.8594,1526.3944
3417786,0.3959,4091.7969,1619.9575
3417824,0.3431,4101.5625,1407.3140
3417861,0.3959,4096.6797,1621.8906
3417899,0.3695,4116.2109,1520.9817
3417935,0.3959,4072.2656,1612.2251
3417973,0.3959,4091.7969,1619.9575
3418010,0.3959,4096.6797,1621.8906
3418048,0.4223,4101.5625,1732.0787
3418086,0.3959,4096.6797,1621.8906
3418123,0.4223,4101.5625,1732.0787
3418161,0.3959,3969.7266,1571.6295
3418198,0.3959,4106.4453,1625.7570
3418235,0.3959,4096.6797,1621.8906
3418272,0.3959,4096.6797,1621.8906
3418310,0.3959,4096.6797,1621.8906
3418348,0.3959,4096.6797,1621.8906
3418385,0.3959,4047.8516,1602.5594
3418423,0.3959,3876.9531,1534.9001
3418460,0.3959,4096.6797,1621.8906
3418498,0.5279,4101.5625,2165.0984
3418534,0.3695,4086.9141,1510.1563
3418572,0.3959,4101.5625,1623.8239
3418609,0.3959,4101.5625,1623.8239
3418647,0.3695,4082.0313,1508.3519
3418685,0.3959,4106.4453,1625.7570
3418722,0.3695,4101.5625,1515.5690
3418760,0.5015,4096.6797,2054.3948
3418797,0.3959,4101.5625,1623.8239
3418834,0.3959,4145.5078,1641.2219
3418871,0.4223,4096.6797,1730.0167
3418909,0.4487,4106.4453,1842.5247
3418947,0.3695,4096.6797,1513.7646
3418984,0.4223,4096.6797,1730.0167
3419022,0.4223,4077.1484,1721.7688
3419059,0.3959,4096.6797,1621.8906
3419097,0.3695,4096.6797,1513.7646
3419133,0.3695,4091.7969,1511.9604
3419171,0.3959,4091.7969,1619.9575
3419208,0.3695,4091.7969,1511.9604
3419246,0.3695,4082.0313,1508.3519
3419284,0.3959,4101.5625,1623.8239
3419321,0.3959,4125.9766,1633.4894
3419359,0.3959,4096.6797,1621.8906
3419396,0.3959,4082.0313,1616.0913
3419433,0.3959,4091.7969,1619.9575
3419470,0.3695,4096.6797,1513.7646
3419508,0.4223,4130.8594,1744.4508
3419546,0.3959,4096.6797,1621.8906
3419583,0.3959,4101.5625,1623.8239
3419621,0.4223,4096.6797,1730.0167
3419658,0.4223,4106.4453,1734.1407
3419696,0.4223,4096.6797,1730.0167
3419732,0.4223,4165.0391,1758.8848
3419770,0.4223,4101.5625,1732.0787
3419807,0.3695,4101.5625,1515.5690
3419845,0.3695,4086.9141,1510.1563
3419883,0.3695,4101.5625,1515.5690
3419920,0.4487,4096.6797,1838.1428
3419958,0.4223,4096.6797,1730.0167
3419995,0.3959,4233.3984,1676.0182
3420033,0.3695,4111.3281,1519.1775
3420069,0.4487,4096.6797,1838.1428
3420107,0.3959,4096.6797,1621.8906
3420145,0.3959,4106.4453,1625.7570
3420182,0.3695,4101.5625,1515.5690
3420220,0.3695,4091.7969,1511.9604
3420257,0.3959,4101.5625,1623.8239
3420295,0.3959,4096.6797,1621.8906
3420332,0.3695,4111.3281,1519.1775
3420369,0.3695,4106.4453,1517.3732
3420406,0.3959,4101.5625,1623.8239
3420444,0.4223,4096.6797,1730.0167
3420482,0.4223,4096.6797,1730.0167
3420519,0.3695,4091.7969,1511.9604
3420557,0.5015,4096.6797,2054.3948
3420594,0.5543,4106.4453,2276.0598
3420632,0.5015,4052.7344,2032.3572
3420668,0.4223,4106.4453,1734.1407
3420706,0.3959,4091.7969,1619.9575
3420744,0.4487,4096.6797,1838.1428
3420781,0.5015,4091.7969,2051.9463
3420819,0.5543,4096.6797,2270.6470
3420856,0.3695,4101.5625,1515.5690
3420894,0.3959,4072.2656,1612.2251
3420931,0.3431,4101.5625,1407.3140
3420968,0.4223,4101.5625,1732.0787
3421005,0.3959,4106.4453,1625.7570
3421043,0.3695,4106.4453,1517.3732
3421081,0.3695,4101.5625,1515.5690
3421118,0.3959,4086.9141,1618.0244
3421156,0.3959,4106.4453,1625.7570
3421193,0.4223,4091.7969,1727.9547
3421231,0.3695,4101.5625,1515.5690
3421267,0.3959,4091.7969,1619.9575
3421305,0.3431,4140.6250,1420.7169
3421343,0.4223,4096.6797,1730.0167
3421380,0.3959,4111.3281,1627.6901
3421418,0.4223,4082.0313,1723.8308
3421455,0.3959,4101.5625,1623.8239
3421493,0.4223,4096.6797,1730.0167
3421530,0.3695,4082.0313,1508.3519
3421568,0.4223,4096.6797,1730.0167
3421604,0.3959,4101.5625,1623.8239
3421642,0.3959,4101.5625,1623.8239
3421680,0.3695,4101.5625,1515.5690
3421717,0.5543,4096.6797,2270.6470
3421755,0.3695,4116.2109,1520.9817
3421792,0.3695,4082.0313,1508.3519
3421830,0.4223,4106.4453,1734.1407
3421867,0.3959,4082.0313,1616.0913
3421904,0.3695,4096.6797,1513.7646
3421942,0.3959,4096.6797,1621.8906
3421979,0.3695,4057.6172,1499.3307
3422017,0.3959,4096.6797,1621.8906
3422054,0.4223,4096.6797,1730.0167
3422092,0.3959,4101.5625,1623.8239
3422129,0.3959,4067.3828,1610.2920
3422167,0.3695,4101.5625,1515.5690
3422203,0.3695,4179.6875,1544.4369
3422241,0.5015,4086.9141,2049.4976
3422279,0.3959,4091.7969,1619.9575
3422316,0.3431,4101.5625,1407.3140
3422354,0.5015,4091.7969,2051.9463
3422391,0.3959,4096.6797,1621.8906
3422429,0.4223,4096.6797,1730.0167
3422466,0.3959,4028.3203,1594.8269
3422503,0.4751,4101.5625,1948.5886
3422541,0.3695,4101.5625,1515.5690
3422578,0.3959,4106.4453,1625.7570
3422616,0.3959,4072.2656,1612.2251
3422653,0.3695,4096.6797,1513.7646
3422691,0.4751,4130.8594,1962.5071
3422728,0.3431,4101.5625,1407.3140
3422766,0.4223,4106.4453,1734.1407
3422802,0.3695,4101.5625,1515.5690
3422840,0.3959,4086.9141,1618.0244
3422878,0.5279,4086.9141,2157.3660
3422915,0.4223,4096.6797,1730.0167
3422953,0.3695,4077.1484,1506.5477
3422990,0.3959,4096.6797,1621.8906
3423028,0.3959,4101.5625,1623.8239
3423065,0.3959,4096.6797,1621.8906
3423102,0.4487,4169.9219,1871.0060
3423140,0.4223,4086.9141,1725.8928
3423177,0.3695,4101.5625,1515.5690
3423215,0.4223,4101.5625,1732.0787
3423252,0.3959,4091.7969,1619.9575
3423290,0.3959,4096.6797,1621.8906
3423327,0.4751,4096.6797,1946.2688
3423365,0.3959,4086.9141,1618.0244
3423401,0.3959,4091.7969,1619.9575
3423439,0.3431,4086.9141,1402.2878
3423477,0.3959,4125.9766,1633.4894
3423514,0.3167,4111.3281,1302.1520
3423552,0.4223,4096.6797,1730.0167
3423589,0.5543,4062.5000,2251.7024
3423627,0.4487,4101.5625,1840.3337
3423664,0.3695,4091.7969,1511.9604
3423702,0.4223,4096.6797,1730.0167
3423739,0.4223,4101.5625,1732.0787
3423776,0.3167,4199.2188,1329.9890
3423814,0.3695,4101.5625,1515.5690
3423851,0.4223,4096.6797,1730.0167
3423889,0.3959,4091.7969,1619.9575
3423926,0.3959,4096.6797,1621.8906
3423964,0.3695,4096.6797,1513.7646
3424001,0.4487,4101.5625,1840.3337
3424038,0.3695,4101.5625,1515.5690
3424076,0.3695,4106.4453,1517.3732
3424113,0.4487,4096.6797,1838.1428
3424151,0.3431,4086.9141,1402.2878
3424188,0.3959,4077.1484,1614.1582
3424226,0.3695,4101.5625,1515.5690
3424263,0.5279,4086.9141,2157.3660
3424301,0.3695,4101.5625,1515.5690
3424338,0.4487,4101.5625,1840.3337
3424375,0.4751,4101.5625,1948.5886
3424413,0.4223,4101.5625,1732.0787
3424450,0.4223,4091.7969,1727.9547
3424488,0.4223,4096.6797,1730.0167
3424525,0.3959,4106.4453,1625.7570
3424563,0.4223,4101.5625,1732.0787
3424600,0.4487,4101.5625,1840.3337
3424637,0.3695,4101.5625,1515.5690
3424675,0.4223,4272.4609,1804.2487
3424712,0.4223,4096.6797,1730.0167
3424750,1.6100,3920.8984,6312.6797
3424787,1.7420,3935.5469,6855.6299
3424825,1.6628,3969.7266,6600.8442
3424862,1.4780,3979.4922,5881.8511
3424900,1.4253,3955.0781,5636.9883
