,16,1282.0475
293060640,0.3431,4042.9688,1387.2095
29,1274.3151
293060561,0.3431,4057.6172,1392.2356
293060601,0.3167,4047.8516,1282.0475
293060640,0.3431,4042.9688,1387.2095
293060?	r?69b????r????b????r????j293060719,0.3431,4047.8516,1388.8849
293060759,0.3695,4042.9688,1493.9180
293060798,0.3695,4042.9688,1493.9180
293060838,0.3431,4038.0859,1385.5342
293060878,0.3431,4042.9688,1387.2095
293060917,0.3431,4042.9688,1387.2095
293060957,0.3431,4042.9688,1387.2095
293060996,0.3431,4033.2031,1383.8588
293061036,0.3167,4038.0859,1278.9545
293061075,0.3695,4062.5000,1501.1350
293061114,0.3167,4042.9688,1280.5010
293061154,0.3959,4111.3281,1627.6901
293061193,0.3167,4038.0859,1278.9545
293061233,0.3695,4038.0859,1492.1138
293061273,0.3959,4042.9688,1600.6263
293061312,0.3695,4038.0859,1492.1138
293061352,0.4487,4042.9688,1814.0432
293061391,0.5015,4062.5000,2037.2544
293061431,0.3431,4042.9688,1387.2095
293061471,0.3695,4042.9688,1493.9180
293061510,0.5279,4042.9688,2134.1685
293061550,0.3695,4033.2031,1490.3094
293061588,0.3431,4042.9688,1387.2095
293061628,0.3431,4038.0859,1385.5342
293061668,0.3959,4042.9688,1600.6263
293061707,0.4487,4042.9688,1814.0432
293061747,0.3695,4018.5547,1484.8967
293061786,0.3431,4042.9688,1387.2095
293061826,0.3695,4042.9688,1493.9180
293061865,0.3431,4042.9688,1387.2095
293061905,0.3695,4042.9688,1493.9180
293061945,0.3431,4013.6719,1377.1572
293061984,0.3695,4052.7344,1497.5265
293062024,0.3695,4038.0859,1492.1138
293062063,0.3431,4018.5547,1378.8326
293062103,0.3959,4038.0859,1598.6932
293062142,0.3431,4038.0859,1385.5342
293062181,0.3959,4042.9688,1600.6263
293062221,0.3431,4023.4375,1380.5081
293062260,0.3695,4047.8516,1495.7222
293062300,0.3959,4038.0859,1598.6932
293062340,0.3695,4057.6172,1499.3307
293062379,0.3431,4042.9688,1387.2095
293062419,0.3959,4033.2031,1596.7600
293062458,0.3695,4033.2031,1490.3094
293062498,0.4751,4038.0859,1918.4319
293062538,0.4223,4042.9688,1707.3348
293062577,0.4751,4042.9688,1920.7516
293062617,0.4751,4038.0859,1918.4319
293062656,0.3695,4057.6172,1499.3307
293062695,0.3695,4042.9688,1493.9180
293062735,0.3167,4047.8516,1282.0475
293062774,0.3431,4038.0859,1385.5342
293062814,0.3167,4047.8516,1282.0475
293062853,0.3959,4038.0859,1598.6932
293062893,0.3695,4038.0859,1492.1138
293062933,0.3167,4018.5547,1272.7686
293062972,0.4751,4038.0859,1918.4319
293063012,0.4487,4042.9688,1814.0432
293063051,0.3695,4042.9688,1493.9180
293063091,0.5015,4047.8516,2029.9086
293063131,0.3431,4042.9688,1387.2095
293063170,0.3431,4033.2031,1383.8588
293063209,0.3695,4042.9688,1493.9180
293063248,0.4223,4028.3203,1701.1488
293063288,0.4487,4033.2031,1809.6615
293063327,0.3431,4042.9688,1387.2095
293063367,0.3695,4028.3203,1488.5052
293063407,0.3959,4033.2031,1596.7600
293063446,0.3695,3911.1328,1445.2032
293063486,0.3167,4047.8516,1282.0475
293063525,0.3431,4042.9688,1387.2095
293063565,0.3959,4038.0859,1598.6932
293063605,0.3695,4038.0859,1492.1138
293063644,0.3695,4042.9688,1493.9180
293063684,0.3431,4042.9688,1387.2095
293063723,0.3431,4042.9688,1387.2095
293063762,0.3431,4042.9688,1387.2095
293063802,0.3431,4047.8516,1388.8849
293063841,0.3695,4038.0859,1492.1138
293063881,0.3695,4042.9688,1493.9180
293063920,0.3959,4062.5000,1608.3588
293063960,0.3431,4047.8516,1388.8849
293064000,0.4223,4038.0859,1705.2728
293064039,0.3695,4038.0859,1492.1138
293064079,0.3167,4052.7344,1283.5940
293064118,0.3695,4042.9688,1493.9180
293064158,0.3431,4042.9688,1387.2095
293064198,0.3431,4038.0859,1385.5342
293064237,0.3167,4028.3203,1275.8616
293064276,0.3431,4052.7344,1390.5603
293064315,0.3695,4047.8516,1495.7222
293064355,0.3695,4038.0859,1492.1138
293064394,0.3695,4042.9688,1493.9180
293064434,0.3695,4111.3281,1519.1775
293064474,0.3695,4047.8516,1495.7222
293064513,0.3959,4038.0859,1598.6932
293064553,0.3431,4033.2031,1383.8588
293064592,0.4487,4042.9688,1814.0432
293064632,0.4487,4042.9688,1814.0432
293064672,0.3431,4042.9688,1387.2095
293064711,0.3695,4042.9688,1493.9180
293064751,0.4751,4042.9688,1920.7516
293064790,0.4223,4042.9688,1707.3348
293064829,0.3695,4042.9688,1493.9180
293064869,0.3695,4023.4375,1486.7009
293064908,0.3959,4033.2031,1596.7600
293064948,0.3695,4033.2031,1490.3094
293064987,0.3695,4028.3203,1488.5052
293065027,0.3695,4047.8516,1495.7222
293065067,0.3167,4042.9688,1280.5010
293065106,0.3431,4047.8516,1388.8849
293065146,0.3431,4033.2031,1383.8588
293065185,0.3431,4042.9688,1387.2095
