2700???&	??15,4023.4375,2017.6654
270029473,0.4751,4023.4375,1911.4727
270029513,0.5015,4023.4375,2017.6654
270029552,0.5543,4023.4375,2230.0515
270029592,0.5015,4018.5547,2015.2168
270029631,0.5015,4023.4375,2017.6654
270029671,0.4751,3964.8438,1883.6356
270029711,0.4487,4023.4375,1805.2798
270029750,0.5279,4018.5547,2121.2810
270029790,0.5015,4018.5547,2015.2168
270029829,0.5279,4013.6719,2118.7034
270029869,0.5279,4018.5547,2121.2810
270029907,0.5279,4018.5547,2121.2810
270029947,0.4751,4023.4375,1911.4727
270029987,0.5543,4013.6719,2224.6387
270030026,0.5015,4018.5547,2015.2168
270030066,0.5015,4018.5547,2015.2168
270030105,0.4751,4028.3203,1913.7924
270030145,0.6071,4013.6719,2436.5090
270030185,0.5279,4072.2656,2149.6333
270030224,0.5015,4003.9063,2007.8710
270030264,0.5015,4018.5547,2015.2168
270030303,0.6598,4013.6719,2648.3794
270030343,0.5279,3999.0234,2110.9709
270030383,0.5279,4023.4375,2123.8584
270030422,0.5807,4018.5547,2333.4092
270030461,0.5015,4018.5547,2015.2168
270030500,0.5015,4018.5547,2015.2168
270030540,0.6071,4018.5547,2439.4731
270030580,0.6598,4018.5547,2651.6011
270030619,0.5543,4018.5547,2227.3450
270030659,0.6334,4008.7891,2539.3511
270030698,0.4751,3979.4922,1890.5948
270030738,0.5279,4008.7891,2116.1260
270030778,0.4751,4003.9063,1902.1936
270030817,0.5015,4013.6719,2012.7682
270030857,0.5279,4013.6719,2118.7034
270030896,0.6334,4013.6719,2542.4441
270030936,0.5015,4023.4375,2017.6654
270030976,0.5279,4013.6719,2118.7034
270031014,0.6334,4013.6719,2542.4441
270031054,0.5015,4028.3203,2020.1141
270031093,0.5279,4023.4375,2123.8584
270031133,0.5807,4023.4375,2336.2444
270031172,0.6334,4018.5547,2545.5371
270031212,0.5807,4013.6719,2330.5740
270031252,0.5279,4018.5547,2121.2810
270031291,0.5543,4023.4375,2230.0515
270031331,0.5279,4028.3203,2126.4360
270031370,0.5015,4028.3203,2020.1141
270031410,0.5279,4023.4375,2123.8584
270031450,0.4751,4003.9063,1902.1936
270031489,0.6071,4013.6719,2436.5090
270031528,0.4751,4018.5547,1909.1528
270031567,0.5279,4023.4375,2123.8584
270031607,0.5279,4018.5547,2121.2810
270031647,0.5279,4013.6719,2118.7034
270031686,0.5015,3896.4844,1954.0012
270031726,0.4487,4033.2031,1809.6615
270031765,0.5279,4013.6719,2118.7034
270031805,0.5279,4018.5547,2121.2810
270031845,0.5015,4023.4375,2017.6654
270031884,0.4751,4003.9063,1902.1936
270031924,0.5015,4018.5547,2015.2168
270031963,0.5543,4008.7891,2221.9324
270032003,0.6334,4023.4375,2548.6301
270032043,0.5279,4023.4375,2123.8584
270032081,0.4751,4023.4375,1911.4727
270032121,0.5015,4028.3203,2020.1141
270032160,0.5015,4018.5547,2015.2168
270032200,0.5543,4018.5547,2227.3450
270032240,0.5015,4018.5547,2015.2168
270032279,0.5279,4023.4375,2123.8584
270032319,0.5543,4018.5547,2227.3450
270032358,0.5543,4023.4375,2230.0515
270032398,0.5807,4008.7891,2327.7385
270032437,0.5807,4013.6719,2330.5740
270032477,0.5015,4023.4375,2017.6654
270032517,0.4751,4003.9063,1902.1936
270032556,0.5015,4023.4375,2017.6654
270032595,0.5543,4013.6719,2224.6387
270032634,0.5015,4018.5547,2015.2168
270032674,0.5543,4018.5547,2227.3450
270032714,0.5279,4023.4375,2123.8584
270032753,0.5543,4023.4375,2230.0515
270032793,0.5015,4023.4375,2017.6654
270032832,0.5279,4008.7891,2116.1260
270032872,0.4751,4023.4375,1911.4727
270032912,0.4751,4013.6719,1906.8331
270032951,0.5279,4023.4375,2123.8584
270032991,0.5015,4023.4375,2017.6654
270033030,0.5279,4018.5547,2121.2810
270033070,0.5015,4008.7891,2010.3196
270033110,0.5543,4023.4375,2230.0515
270033148,0.5015,4023.4375,2017.6654
270033188,0.6071,4023.4375,2442.4373
270033227,0.5279,4028.3203,2126.4360
270033267,0.5015,4013.6719,2012.7682
270033307,0.5015,4018.5547,2015.2168
270033346,0.5279,4018.5547,2121.2810
270033386,0.5279,4023.4375,2123.8584
270033425,0.5015,4023.4375,2017.6654
270033465,0.5279,4018.5547,2121.2810
270033505,0.5015,4008.7891,2010.3196
270033544,0.4751,4023.4375,1911.4727
270033584,0.5015,4008.7891,2010.3196
270033623,0.6598,4033.2031,2661.2668
270033662,0.4751,4013.6719,1906.8331
270033701,0.4751,4018.5547,1909.1528
270033741,0.5543,4013.6719,2224.6387
270033781,0.6334,4023.4375,2548.6301
270033820,0.5279,4018.5547,2121.2810
270033860,0.5015,4003.9063,2007.8710
270033899,0.4751,4023.4375,1911.4727
270033939,0.4751,4008.7891,1904.5133
270033979,0.4751,4023.4375,1911.4727
270034018,0.4751,4013.6719,1906.8331
270034058,0.5015,4038.0859,2025.0114
270034097,0.5015,4028.3203,2020.1141
270034137,0.5543,4023.4375,2230.0515
270034177,0.5279,4018.5547,2121.2810
270034215,0.4751,4023.4375,1911.4727
270034255,0.5279,4008.7891,2116.1260
270034294,0.5015,4023.4375,2017.6654
270034334,0.5543,4013.6719,2224.6387
270034374,0.4751,4018.5547,1909.1528
270034413,0.4751,4028.3203,1913.7924
270034453,0.5279,4028.3203,2126.4360
270034492,0.5015,4052.7344,2032.3572
270034532,0.4751,4023.4375,1911.4727
270034572,0.4751,4008.7891,1904.5133
270034611,0.5279,4028.3203,2126.4360
270034651,0.5279,4018.5547,2121.2810
270034690,0.5543,4028.3203,2232.7578
270034729,0.5015,4003.9063,2007.8710
270034769,0.4751,4023.4375,1911.4727
270034808,0.5543,3999.0234,2216.5195
270034848,0.5015,4023.4375,2017.6654
270034887,0.5015,4028.3203,2020.1141
270034927,0.5015,4028.3203,2020.1141
270034966,0.5279,4023.4375,2123.8584
270035006,0.5015,4052.7344,2032.3572
270035046,0.6071,4008.7891,2433.5449
270035085,0.6071,4018.5547,2439.4731
270035125,0.5015,4023.4375,2017.6654
270035164,0.5543,4028.3203,2232.7578
270035204,0.5279,4023.4375,2123.8584
270035244,0.5807,4023.4375,2336.2444
270035282,0.5015,4028.3203,2020.1141
270035322,0.5543,4023.4375,2230.0515
270035361,0.5015,4018.5547,2015.2168
270035401,0.5543,4018.5547,2227.3450
270035441,0.5279,4003.9063,2113.5483
270035480,0.5807,4023.4375,2336.2444
270035520,0.5543,4003.9063,2219.2258
270035559,0.5015,4028.3203,2020.1141
270035599,0.5543,4023.4375,2230.0515
270035639,0.5015,4018.5547,2015.2168
270035678,0.4751,4028.3203,1913.7924
270035718,0.4751,4008.7891,1904.5133
270035757,0.5543,4018.5547,2227.3450
270035796,0.5543,4028.3203,2232.7578
270035836,0.5543,3999.0234,2216.5195
270035875,0.5015,4028.3203,2020.1141
270035915,0.5279,4023.4375,2123.8584
270035954,0.5015,4023.4375,2017.6654
270035994,0.5543,4023.4375,2230.0515
270036034,0.4751,4033.2031,1916.1121
270036073,0.5015,4028.3203,2020.1141
270036113,0.4751,4013.6719,1906.8331
270036152,0.6071,4042.9688,2454.2939
270036192,0.5015,4023.4375,2017.6654
270036231,0.5279,4003.9063,2113.5483
270036271,1.7156,3833.0078,6575.8418
270036311,1.9003,3847.6563,7311.8467
270036349,1.7684,3837.8906,6786.8105
270036389,2.0059,3793.9453,7610.3208
270036428,1.5572,3872.0703,6029.6704
270036468,1.8212,3823.2422,6962.7246
270036508,1.5836,3872.0703,6131.8682
270036547,1.6628,3847.6563,6397.8662
270036587,1.6364,3876.9531,6344.2539
270036626,1.3989,3876.9531,5423.3135
270036666,1.6364,3857.4219,6312.2930
270036706,1.6364,3862.3047,6320.2832
270036745,1.5836,3872.0703,6131.8682
270036785,1.5572,3876.9531,6037.2739
270036824,1.3989,3872.0703,5416.4834
270036864,1.6364,3891.6016,6368.2246
270036903,1.3461,3867.1875,5205.5156
270036942,1.6628,3872.0703,6438.4619
270036982,1.3989,3872.0703,5416.4834
270037021,1.5572,3876.9531,6037.2739
270037061,1.3725,3876.9531,5320.9873
270037101,1.4780,3876.9531,5730.2939
270037140,1.3989,3872.0703,5416.4834
270037180,1.5044,3857.4219,5803.2368
270037219,1.4780,3896.4844,5759.1621
270037259,1.5308,3872.0703,5927.4727
270037299,1.5836,3857.4219,6108.6704
270037338,1.5308,3852.5391,5897.5737
270037378,1.6892,3911.1328,6606.6431
270037416,1.4516,3876.9531,5627.9673
270037456,1.6892,3823.2422,6458.1792
270037495,1.5572,3862.3047,6014.4629
270037535,1.5044,3862.3047,5810.5830
270037575,1.6628,3862.3047,6422.2236
270037614,1.5836,3847.6563,6093.2056
270037654,1.6100,3857.4219,6210.4819
270037693,1.4780,3886.7188,5744.7280
270037733,1.6892,3837.8906,6482.9233
270037773,1.5044,3886.7188,5847.3125
270037812,1.6364,3872.0703,6336.2637
270037852,1.5044,3867.1875,5817.9287
270037891,1.8212,3886.7188,7078.3252
270037931,1.7948,3828.1250,6870.5791
270037970,1.6628,3852.5391,6405.9854
270038009,1.5308,3847.6563,5890.0991
270038049,1.5308,3867.1875,5919.9980
270038088,1.6364,3857.4219,6312.2930
270038128,1.6100,3847.6563,6194.7593
270038168,1.3989,3901.3672,5457.4653
270038207,1.5572,3852.5391,5999.2559
270038247,1.5308,3891.6016,5957.3716
270038286,1.6364,3867.1875,6328.2734
270038326,1.6364,3862.3047,6320.2832
270038366,1.3989,3901.3672,5457.4653
270038405,1.5044,3994.1406,6008.9214
270038445,1.4516,3896.4844,5656.3193
270038483,1.6364,3867.1875,6328.2734
270038523,1.3989,3896.4844,5450.6353
270038563,1.7156,3847.6563,6600.9727
270038602,1.7420,3857.4219,6719.5376
270038642,1.4780,3862.3047,5708.6431
270038681,1.5572,3867.1875,6022.0669
270038721,1.3989,3891.6016,5443.8047
270038760,1.6364,3867.1875,6328.2734
270038800,1.5572,3872.0703,6029.6704
270038840,1.5836,3876.9531,6139.6006
270038879,1.5836,3867.1875,6124.1353
270038919,1.4780,3886.7188,5744.7280
270038958,1.7420,3857.4219,6719.5376
270038998,1.4780,3891.6016,5751.9448
270039037,1.5836,3876.9531,6139.6006
270039076,1.5308,3847.6563,5890.0991
270039116,1.5044,3901.3672,5869.3501
270039155,1.6100,3862.3047,6218.3433
270039195,1.5308,3886.7188,5949.8970
270039235,1.5836,3867.1875,6124.1353
270039274,1.4253,3867.1875,5511.7222
270039314,1.6628,3876.9531,6446.5811
270039353,1.4253,3906.2500,5567.3960
270039393,1.6628,3959.9609,6584.6060
270039433,1.5572,3891.6016,6060.0850
270039472,1.5836,3852.5391,6100.9380
270039512,1.6892,3872.0703,6540.6592
270039550,1.5308,3867.1875,5919.9980
270039590,1.5572,3872.0703,6029.6704
270039630,1.5572,3867.1875,6022.0669
270039669,1.5836,3862.3047,6116.4028
270039709,1.6100,3852.5391,6202.6206
270039748,1.7156,3842.7734,6592.5957
270039788,1.4253,3906.2500,5567.3960
270039828,1.6364,3867.1875,6328.2734
270039867,1.4780,3876.9531,5730.2939
270039907,1.6364,3886.7188,6360.2344
270039946,1.5836,3842.7734,6085.4731
270039986,1.5044,3891.6016,5854.6582
270040025,1.6628,3847.6563,6397.8662
270040065,1.4516,3886.7188,5642.1436
270040104,1.5572,3867.1875,6022.0669
270040143,1.3725,3886.7188,5334.3901
270040183,1.6100,3857.4219,6210.4819
270040222,1.5044,3857.4219,5803.2368
270040262,1.5572,3876.9531,6037.2739
270040302,1.5572,3867.1875,6022.0669
270040341,1.3989,3886.7188,5436.9746
270040381,1.6892,3852.5391,6507.6675
270040420,1.4253,3823.2422,5449.0889
270040460,1.7156,3881.8359,6659.6108
270040500,1.5308,3857.4219,5905.0483
270040539,1.6364,3847.6563,6296.3125
270040579,1.5308,3852.5391,5897.5737
270040617,1.4780,3862.3047,5708.6431
270040657,1.5044,3896.4844,5862.0039
270040697,1.3989,3867.1875,5409.6528
270040736,1.5044,3852.5391,5795.8911
270040776,1.4253,3872.0703,5518.6812
270040815,1.4780,3886.7188,5744.7280
270040855,1.3989,3886.7188,5436.9746
270040895,1.4780,3852.5391,5694.2090
270040934,1.3989,3872.0703,5416.4834
270040974,1.5836,3852.5391,6100.9380
270041013,1.3989,3896.4844,5450.6353
270041053,1.5836,3852.5391,6100.9380
270041093,1.3989,3867.1875,5409.6528
270041132,1.6628,3862.3047,6422.2236
270041171,1.6628,3867.1875,6430.3428
270041210,1.6364,3886.7188,6360.2344
270041250,1.7420,3862.3047,6728.0435
270041289,1.5308,3886.7188,5949.8970
270041329,1.6100,3847.6563,6194.7593
270041369,1.3989,3867.1875,5409.6528
270041408,1.6628,3862.3047,6422.2236
270041448,1.4253,3886.7188,5539.5591
270041487,1.5044,3867.1875,5817.9287
270041527,1.5836,3847.6563,6093.2056
270041567,1.4253,3876.9531,5525.6406
270041606,1.5044,3876.9531,5832.6206
270041646,1.5044,3862.3047,5810.5830
270041684,1.5044,3886.7188,5847.3125
270041724,1.4516,3862.3047,5606.7026
270041764,1.5308,3872.0703,5927.4727
270041803,1.5044,3876.9531,5832.6206
270041843,1.5308,3891.6016,5957.3716
270041882,1.5044,3886.7188,5847.3125
270041922,1.4253,3876.9531,5525.6406
270041962,1.5836,3872.0703,6131.8682
270042001,1.4780,3876.9531,5730.2939
270042041,1.6628,3872.0703,6438.4619
270042080,1.3989,3876.9531,5423.3135
270042120,1.6628,3837.8906,6381.6279
270042160,1.5044,3867.1875,5817.9287
