679069b?.??3,082.0313,1185.1337
356790738,0.2111,4086.9141,862.9464
356790776,0.2375,4082.0313,969.6548
356790815,0.2111,4086.9141,862.9464
356790853,0.2375,4082.0313,969.6548
356790892,0.2375,4082.0313,969.6548
356790930,0.2375,4086.9141,970.8147
356790969,0.1848,4082.0313,754.1760
356791008,0.2375,4082.0313,969.6548
356791046,0.2375,4082.0313,969.6548
356791085,0.2639,4082.0313,1077.3942
356791123,0.2111,4082.0313,861.9154
356791162,0.2111,4077.1484,860.8844
356791200,0.2903,4077.1484,1183.7161
356791240,0.2639,4067.3828,1073.5280
356791280,0.2375,4086.9141,970.8147
356791318,0.2375,4086.9141,970.8147
356791357,0.3695,4082.0313,1508.3519
356791396,0.3167,4077.1484,1291.3265
356791436,0.2639,4077.1484,1076.1055
356791476,0.2639,4082.0313,1077.3942
356791515,0.2375,4086.9141,970.8147
356791554,0.2111,4077.1484,860.8844
356791591,0.3695,4082.0313,1508.3519
356791631,0.2639,4082.0313,1077.3942
356791671,0.2639,4072.2656,1074.8167
356791710,0.2111,4086.9141,862.9464
356791749,0.4223,4086.9141,1725.8928
356791788,0.2639,4057.6172,1070.9504
356791828,0.2639,4072.2656,1074.8167
356791867,0.2375,4086.9141,970.8147
356791906,0.2639,4086.9141,1078.6830
356791946,0.2903,4077.1484,1183.7161
356791985,0.2375,4086.9141,970.8147
356792024,0.2111,4086.9141,862.9464
356792061,0.2111,4086.9141,862.9464
356792100,0.2639,4082.0313,1077.3942
356792140,0.3167,4072.2656,1289.7800
356792179,0.2375,4062.5000,965.0153
356792218,0.2111,4077.1484,860.8844
356792256,0.2375,4082.0313,969.6548
356792295,0.2111,4062.5000,857.7914
356792333,0.2903,4067.3828,1180.8807
356792373,0.3167,3911.1328,1238.7456
356792413,0.3959,4082.0313,1616.0913
356792452,0.3431,4086.9141,1402.2878
356792492,0.2903,4082.0313,1185.1337
356792530,0.2639,4082.0313,1077.3942
356792570,0.2375,4067.3828,966.1752
356792609,0.2903,4082.0313,1185.1337
356792648,0.3167,4077.1484,1291.3265
356792688,0.2639,4082.0313,1077.3942
356792727,0.2639,4082.0313,1077.3942
356792767,0.2375,4086.9141,970.8147
356792806,0.1848,4082.0313,754.1760
356792844,0.2375,4067.3828,966.1752
356792883,0.3167,4067.3828,1288.2335
356792922,0.2375,4086.9141,970.8147
356792961,0.2111,4086.9141,862.9464
356792998,0.1848,4086.9141,755.0781
356793037,0.2375,4086.9141,970.8147
356793076,0.2111,4086.9141,862.9464
356793114,0.2375,4082.0313,969.6548
356793153,0.2375,4086.9141,970.8147
356793191,0.2375,4082.0313,969.6548
356793230,0.3431,4082.0313,1400.6124
356793270,0.2375,4067.3828,966.1752
356793308,0.3431,4082.0313,1400.6124
356793348,0.3167,4082.0313,1292.8730
356793387,0.2639,4082.0313,1077.3942
356793426,0.2639,4082.0313,1077.3942
356793466,0.3695,4077.1484,1506.5477
356793505,0.2639,4082.0313,1077.3942
356793545,0.2639,4077.1484,1076.1055
356793584,0.2639,4086.9141,1078.6830
356793624,0.2111,4072.2656,859.8534
356793662,0.3959,4057.6172,1606.4257
356793702,0.2903,4072.2656,1182.2985
