,4082.0313,969.6548
355327289,0.2639,4091.7969,1079.9717
355327328,0.2903,4086.9141,1186.5513
355327680.2??b4091.7969,1079.9717
355327407,0.2375,4086.9141,970.8147
355327446,0.2639,4082.0313,1077.3942
355327485,0.2375,4082.0313,969.6548
355327523,0.2375,4082.0313,969.6548
355327562,0.2375,4082.0313,969.6548
355327600,0.2639,4086.9141,1078.6830
355327640,0.2375,4086.9141,970.8147
355327678,0.2639,4086.9141,1078.6830
355327718,0.2375,4086.9141,970.8147
355327757,0.2639,4091.7969,1079.9717
355327796,0.2375,4145.5078,984.7332
355327835,0.2375,4052.7344,962.6956
355327873,0.2111,4086.9141,862.9464
355327911,0.2639,4082.0313,1077.3942
355327951,0.3167,4067.3828,1288.2335
355327990,0.2639,4082.0313,1077.3942
355328030,0.2375,4062.5000,965.0153
355328068,0.1848,4072.2656,752.3717
355328107,0.2639,4082.0313,1077.3942
355328146,0.2375,4082.0313,969.6548
355328185,0.2639,4091.7969,1079.9717
355328225,0.2375,4038.0859,959.2159
355328263,0.2639,4082.0313,1077.3942
355328303,0.2375,4086.9141,970.8147
355328340,0.4223,4082.0313,1723.8308
355328380,0.2111,4082.0313,861.9154
355328419,0.2639,4082.0313,1077.3942
355328458,0.2375,4082.0313,969.6548
355328497,0.2111,4086.9141,862.9464
355328535,0.2111,4086.9141,862.9464
355328574,0.2903,4086.9141,1186.5513
355328614,0.2111,4101.5625,866.0394
355328652,0.3695,4082.0313,1508.3519
355328692,0.2639,4067.3828,1073.5280
355328731,0.2375,4072.2656,967.3350
355328770,0.2639,4082.0313,1077.3942
355328808,0.2375,4082.0313,969.6548
355328847,0.2375,4067.3828,966.1752
355328886,0.3167,4086.9141,1294.4196
355328925,0.2639,4038.0859,1065.7954
355328965,0.2375,4082.0313,969.6548
355329003,0.2903,4086.9141,1186.5513
355329043,0.2375,4067.3828,966.1752
355329082,0.2375,4062.5000,965.0153
355329120,0.2639,4086.9141,1078.6830
355329160,0.2375,4086.9141,970.8147
355329198,0.1848,4082.0313,754.1760
355329236,0.2639,4077.1484,1076.1055
355329275,0.3431,4077.1484,1398.9371
355329315,0.2639,4082.0313,1077.3942
355329355,0.2903,4086.9141,1186.5513
355329394,0.2375,4082.0313,969.6548
355329433,0.2111,4091.7969,863.9774
355329471,0.2375,4067.3828,966.1752
355329510,0.2903,4086.9141,1186.5513
355329550,0.3431,4082.0313,1400.6124
355329589,0.2375,4082.0313,969.6548
355329628,0.2111,4086.9141,862.9464
355329666,0.2375,4077.1484,968.4949
355329704,0.2375,4072.2656,967.3350
355329742,0.2639,4086.9141,1078.6830
355329782,0.2375,4082.0313,969.6548
355329821,0.2375,4091.7969,971.9745
355329859,0.2639,4077.1484,1076.1055
355329899,0.2375,4077.1484,968.4949
355329937,0.2639,4067.3828,1073.5280
355329977,0.2111,4091.7969,863.9774
355330016,0.2903,4091.7969,1187.9689
355330055,0.3695,4052.7344,1497.5265
355330095,0.2375,4086.9141,970.8147
355330132,0.2375,4072.2656,967.3350
355330171,0.2639,4082.0313,1077.3942
355330211,0.3167,4082.0313,1292.8730
355330250,0.2639,4086.9141,1078.6830
355330290,0.2375,4086.9141,970.8147
355330328,0.2903,4086.9141,1186.5513
355330368,0.2639,4086.9141,1078.6830
355330407,0.2375,4082.0313,969.6548
355330446,0.2639,4082.0313,1077.3942
355330486,0.2639,4091.7969,1079.9717
355330525,0.2375,4082.0313,969.6548
355330564,0.2903,4072.2656,1182.2985
355330603,0.2639,4072.2656,1074.8167
355330642,0.2375,4086.9141,970.8147
355330681,0.3959,4082.0313,1616.0913
355330720,0.2111,4096.6797,865.0084
355330759,0.2903,4082.0313,1185.1337
355330798,0.2111,4082.0313,861.9154
355330837,0.3167,4077.1484,1291.3265
355330877,0.2375,4082.0313,969.6548
355330915,0.2903,4091.7969,1187.9689
355330955,0.2639,4082.0313,1077.3942
355330994,0.3695,4086.9141,1510.1563
355331034,0.2639,4082.0313,1077.3942
355331073,0.2375,4077.1484,968.4949
355331111,0.2639,4082.0313,1077.3942
355331151,0.2375,4086.9141,970.8147
355331189,0.1848,4096.6797,756.8823
355331228,0.3431,4086.9141,1402.2878
355331267,0.2639,4067.3828,1073.5280
355331307,0.3695,4082.0313,1508.3519
355331347,0.2111,4086.9141,862.9464
355331385,0.3695,4086.9141,1510.1563
355331425,0.2903,4082.0313,1185.1337
355331464,0.3959,4086.9141,1618.0244
355331504,0.1848,4023.4375,743.3505
355331543,0.2639,4082.0313,1077.3942
355331581,0.2111,4077.1484,860.8844
355331620,0.2375,4091.7969,971.9745
355331658,0.2639,4067.3828,1073.5280
355331698,0.2375,4091.7969,971.9745
355331736,0.1848,4067.3828,751.4696
355331775,0.2375,4086.9141,970.8147
355331814,0.2903,4062.5000,1179.4631
355331853,0.2375,4077.1484,968.4949
355331892,0.2375,4077.1484,968.4949
355331930,0.2375,4072.2656,967.3350
355331969,0.3431,4082.0313,1400.6124
355332008,0.2903,4086.9141,1186.5513
355332047,0.2111,4067.3828,858.8224
355332086,0.2375,4067.3828,966.1752
355332124,0.2639,4086.9141,1078.6830
355332164,0.2639,4082.0313,1077.3942
