69
1825808,0.3167,404?	ML122.0475
1825846,0.2111,4052.7344,855.7294
1825882,0.2375,4038.0859,959.2159
1825918,0.1848,4042.9688,746.9590
1825954,0.3167,4047.8516,1282.0475
1825992,0.2375,4047.8516,961.5356
1826028,0.2375,4057.6172,963.8554
1826065,0.1848,4052.7344,748.7632
1826102,0.2375,4052.7344,962.6956
1826138,0.2111,4057.6172,856.7604
1826174,0.2111,4057.6172,856.7604
1826210,0.1848,4042.9688,746.9590
1826247,0.3167,4047.8516,1282.0475
1826284,0.2111,4047.8516,854.6984
1826321,0.2903,4052.7344,1176.6279
1826358,0.1848,4052.7344,748.7632
1826395,0.2375,4057.6172,963.8554
1826430,0.3167,4042.9688,1280.5010
1826468,0.2903,4052.7344,1176.6279
1826506,0.3167,4047.8516,1282.0475
1826543,0.1848,4057.6172,749.6653
1826580,0.2375,4052.7344,962.6956
1826616,0.1848,4052.7344,748.7632
1826653,0.1848,4038.0859,746.0569
1826689,0.2111,4052.7344,855.7294
1826725,0.1848,4047.8516,747.8611
1826761,0.3431,4052.7344,1390.5603
1826799,0.1584,4042.9688,640.2505
1826836,0.2111,4057.6172,856.7604
1826872,0.1848,4042.9688,746.9590
1826909,0.2111,4047.8516,854.6984
1826945,0.2111,4052.7344,855.7294
1826981,0.1848,4052.7344,748.7632
1827017,0.2375,4057.6172,963.8554
1827054,0.2639,4052.7344,1069.6617
1827091,0.1848,4047.8516,747.8611
1827128,0.2111,4052.7344,855.7294
1827164,0.1848,4047.8516,747.8611
1827201,0.1848,4042.9688,746.9590
1827237,0.2111,4047.8516,854.6984
1827273,0.2375,4047.8516,961.5356
1827310,0.2639,4052.7344,1069.6617
1827347,0.2375,4062.5000,965.0153
1827384,0.2375,4052.7344,962.6956
1827420,0.2111,4042.9688,853.6674
1827457,0.2111,4047.8516,854.6984
1827492,0.1848,4038.0859,746.0569
1827529,0.1848,4057.6172,749.6653
1827566,0.1848,4033.2031,745.1547
1827602,0.2903,4057.6172,1178.0455
1827640,0.2639,4052.7344,1069.6617
1827677,0.2111,4052.7344,855.7294
1827714,0.2375,4057.6172,963.8554
1827749,0.2111,4052.7344,855.7294
1827786,0.3167,4052.7344,1283.5940
1827823,0.1848,4052.7344,748.7632
1827860,0.2903,4052.7344,1176.6279
1827897,0.2111,4042.9688,853.6674
1827934,0.1848,4057.6172,749.6653
1827971,0.2111,4057.6172,856.7604
1828006,0.2111,4042.9688,853.6674
1828043,0.2375,4047.8516,961.5356
1828079,0.2111,4047.8516,854.6984
1828116,0.1848,4042.9688,746.9590
1828152,0.2375,4052.7344,962.6956
1828189,0.1848,4042.9688,746.9590
1828225,0.2375,4057.6172,963.8554
1828261,0.2111,4067.3828,858.8224
1828298,0.2639,4057.6172,1070.9504
1828335,0.2639,4057.6172,1070.9504
1828373,0.1584,4062.5000,643.3435
1828409,0.2375,4052.7344,962.6956
1828446,0.2111,4052.7344,855.7294
1828482,0.2111,4057.6172,856.7604
1828518,0.1848,4047.8516,747.8611
1828554,0.2375,4052.7344,962.6956
1828591,0.2111,4052.7344,855.7294
1828627,0.3695,4047.8516,1495.7222
1828665,0.2639,4047.8516,1068.3729
1828703,0.1584,4052.7344,641.7970
1828739,0.2111,4038.0859,852.6364
1828775,0.3167,4057.6172,1285.1405
1828812,0.1848,4057.6172,749.6653
1828849,0.1848,4052.7344,748.7632
1828885,0.3431,4057.6172,1392.2356
1828923,0.1848,4057.6172,749.6653
1828959,0.2111,4062.5000,857.7914
1828996,0.2375,4052.7344,962.6956
1829032,0.2639,4047.8516,1068.3729
1829069,0.1848,4052.7344,748.7632
1829106,0.2375,4052.7344,962.6956
1829142,0.3167,4052.7344,1283.5940
1829180,0.1320,4057.6172,535.4752
1829216,0.2111,4057.6172,856.7604
1829253,0.2639,4047.8516,1068.3729
1829289,0.2639,4062.5000,1072.2393
1829327,0.2375,4047.8516,961.5356
1829364,0.2375,4047.8516,961.5356
1829400,0.1848,4042.9688,746.9590
1829437,0.2375,4052.7344,962.6956
1829473,0.2903,4052.7344,1176.6279
1829511,0.3167,4057.6172,1285.1405
1829548,0.2111,4052.7344,855.7294
1829584,0.2639,4047.8516,1068.3729
1829621,0.2375,4047.8516,961.5356
1829658,0.2903,4047.8516,1175.2103
