6370695L	)??8,052.7344,748.7632
263706990,0.2111,4052.7344,855.7294
263707028,0.2375,4052.7344,962.6956
263707067,0.2111,4047.8516,854.6984
263707105,0.2903,4047.8516,1175.2103
263707145,0.2639,3891.6016,1027.1329
263707185,0.2639,4028.3203,1063.2180
263707224,0.2639,4052.7344,1069.6617
263707264,0.2375,4047.8516,961.5356
263707301,0.2111,4042.9688,853.6674
263707340,0.3431,4042.9688,1387.2095
263707380,0.2903,4052.7344,1176.6279
263707419,0.2375,4062.5000,965.0153
263707458,0.2375,4101.5625,974.2943
263707496,0.3431,4096.6797,1405.6385
263707536,0.2639,4052.7344,1069.6617
263707576,0.3167,4033.2031,1277.4081
263707615,0.2111,4042.9688,853.6674
263707654,0.2375,4052.7344,962.6956
263707692,0.2111,4047.8516,854.6984
263707730,0.2903,4047.8516,1175.2103
263707769,0.2375,4042.9688,960.3758
263707808,0.2639,4047.8516,1068.3729
263707848,0.2903,4042.9688,1173.7927
263707887,0.2111,4047.8516,854.6984
263707926,0.2903,4057.6172,1178.0455
263707965,0.2903,4052.7344,1176.6279
263708005,0.2639,4042.9688,1067.0842
263708045,0.2639,4047.8516,1068.3729
263708084,0.2903,4047.8516,1175.2103
263708124,0.2375,4033.2031,958.0560
263708162,0.2639,4047.8516,1068.3729
263708201,0.2111,4047.8516,854.6984
263708239,0.3167,4052.7344,1283.5940
263708279,0.2639,4047.8516,1068.3729
263708319,0.2375,4047.8516,961.5356
263708357,0.2639,4047.8516,1068.3729
263708397,0.2639,4042.9688,1067.0842
263708436,0.2903,4052.7344,1176.6279
263708476,0.3959,4047.8516,1602.5594
263708516,0.3431,4062.5000,1393.9110
263708555,0.4223,4042.9688,1707.3348
263708595,0.2903,4052.7344,1176.6279
263708634,0.2375,3994.1406,948.7770
263708673,0.2375,4072.2656,967.3350
263708711,0.2903,4033.2031,1170.9574
263708750,0.2111,4042.9688,853.6674
263708789,0.2639,4052.7344,1069.6617
263708828,0.2375,4052.7344,962.6956
263708867,0.2375,4038.0859,959.2159
263708905,0.2903,4042.9688,1173.7927
263708945,0.2375,4052.7344,962.6956
263708984,0.2639,4057.6172,1070.9504
263709023,0.2375,4047.8516,961.5356
263709062,0.2639,4047.8516,1068.3729
263709101,0.2639,4057.6172,1070.9504
263709140,0.3959,4042.9688,1600.6263
263709180,0.2903,4052.7344,1176.6279
263709219,0.4223,4052.7344,1711.4587
263709259,0.2903,4052.7344,1176.6279
263709298,0.2111,4047.8516,854.6984
263709337,0.2111,4042.9688,853.6674
263709376,0.2111,4057.6172,856.7604
263709414,0.2639,4052.7344,1069.6617
263709454,0.2111,4047.8516,854.6984
263709492,0.1848,4057.6172,749.6653
263709531,0.2375,4052.7344,962.6956
263709569,0.2639,4052.7344,1069.6617
263709608,0.2375,4038.0859,959.2159
263709647,0.2903,4052.7344,1176.6279
263709686,0.2375,4057.6172,963.8554
263709725,0.2639,4042.9688,1067.0842
263709764,0.2375,4052.7344,962.6956
263709803,0.2639,4052.7344,1069.6617
263709843,0.3431,4047.8516,1388.8849
263709882,0.2375,4052.7344,962.6956
263709921,0.3959,4052.7344,1604.4926
263709960,0.2639,4047.8516,1068.3729
263710000,0.2375,4047.8516,961.5356
263710039,0.2903,4052.7344,1176.6279
263710077,0.2375,4189.4531,995.1720
263710116,0.2639,3959.9609,1045.1754
263710155,0.2903,4047.8516,1175.2103
263710195,0.2639,4052.7344,1069.6617
263710234,0.2903,4052.7344,1176.6279
263710274,0.2111,4047.8516,854.6984
263710313,0.2375,4047.8516,961.5356
263710351,0.2375,4047.8516,961.5356
263710390,0.2903,4028.3203,1169.5398
263710429,0.2375,4038.0859,959.2159
263710468,0.2639,4047.8516,1068.3729
263710508,0.2111,4047.8516,854.6984
263710545,0.2639,4052.7344,1069.6617
263710585,0.4223,4052.7344,1711.4587
263710624,0.2639,3984.3750,1051.6193
263710664,0.2639,4047.8516,1068.3729
263710704,0.2375,4047.8516,961.5356
263710742,0.2111,4047.8516,854.6984
263710781,0.2639,4047.8516,1068.3729
263710820,0.3167,4047.8516,1282.0475
263710860,0.2111,4052.7344,855.7294
263710898,0.2903,4047.8516,1175.2103
263710938,0.2375,4096.6797,973.1344
263710977,0.2111,4057.6172,856.7604
263711014,0.2111,4038.0859,852.6364
263711053,0.2375,4067.3828,966.1752
263711091,0.2375,4072.2656,967.3350
263711130,0.2903,4067.3828,1180.8807
263711170,0.2639,4018.5547,1060.6405
263711209,0.2903,4052.7344,1176.6279
263711249,0.2375,4047.8516,961.5356
263711287,0.2375,4047.8516,961.5356
263711326,0.2111,4047.8516,854.6984
263711364,0.3431,4057.6172,1392.2356
263711404,0.2639,4047.8516,1068.3729
263711443,0.3959,4052.7344,1604.4926
263711482,0.2639,4038.0859,1065.7954
263711522,0.2375,4052.7344,962.6956
263711560,0.2639,4042.9688,1067.0842
263711600,0.3695,4057.6172,1499.3307
263711640,0.2375,4028.3203,956.8962
263711678,0.2639,4028.3203,1063.2180
263711718,0.3167,4052.7344,1283.5940
263711757,0.2639,4047.8516,1068.3729
263711797,0.2375,4033.2031,958.0560
263711836,0.2903,4047.8516,1175.2103
263711875,0.2639,4047.8516,1068.3729
263711915,0.2639,4047.8516,1068.3729
263711953,0.2375,4111.3281,976.6140
263711992,0.2375,4086.9141,970.8147
263712030,0.2111,4082.0313,861.9154
263712069,0.2639,4062.5000,1072.2393
263712109,0.3167,4047.8516,1282.0475
263712148,0.3431,4052.7344,1390.5603
263712188,0.2375,4042.9688,960.3758
263712226,0.2639,4042.9688,1067.0842
263712266,0.2903,4047.8516,1175.2103
263712306,0.2375,4052.7344,962.6956
263712344,0.2639,4047.8516,1068.3729
263712384,0.3167,4047.8516,1282.0475
263712422,0.3959,4047.8516,1602.5594
263712462,0.2375,4057.6172,963.8554
263712501,0.3695,4052.7344,1497.5265
263712540,0.2639,4057.6172,1070.9504
263712580,0.2375,4057.6172,963.8554
263712618,0.2111,4052.7344,855.7294
263712657,0.2375,4057.6172,963.8554
263712695,0.2639,4047.8516,1068.3729
263712735,0.2375,4047.8516,961.5356
263712774,0.2375,4047.8516,961.5356
263712812,0.2111,4057.6172,856.7604
263712850,0.2111,4062.5000,857.7914
263712888,0.2639,4052.7344,1069.6617
263712928,0.2639,4047.8516,1068.3729
263712968,0.2375,4052.7344,962.6956
263713006,0.2111,4052.7344,855.7294
263713045,0.2639,4038.0859,1065.7954
263713084,0.2375,4052.7344,962.6956
263713123,0.3167,4047.8516,1282.0475
263713162,0.3167,4052.7344,1283.5940
263713202,0.2639,4047.8516,1068.3729
263713242,0.2111,4057.6172,856.7604
263713280,0.2639,4052.7344,1069.6617
263713319,0.3431,4057.6172,1392.2356
263713358,0.2639,4018.5547,1060.6405
263713398,0.3959,4052.7344,1604.4926
263713438,0.2639,4047.8516,1068.3729
263713477,3.2728,3588.8672,11745.6590
263713518,3.6159,3510.7422,12694.5640
263713558,3.2464,3593.7500,11666.7870
263713599,2.4546,3745.1172,9192.7754
263713639,2.0323,3793.9453,7710.4565
263713678,1.9003,3828.1250,7274.7305
263713718,1.7156,3828.1250,6567.4653
263713757,1.7420,3828.1250,6668.5034
263713797,1.9003,3808.5938,7237.6147
263713837,1.8739,3837.8906,7191.9932
263713875,1.9795,3793.9453,7510.1851
263713915,1.9795,3803.7109,7529.5161
263713954,2.0059,3803.7109,7629.9097
263713994,2.0851,3930.6641,8195.7998
263714034,2.0323,3823.2422,7769.9971
263714073,2.0323,3784.1797,7690.6099
263714113,2.0059,3833.0078,7688.6768
263714152,1.8212,3818.3594,6953.8325
263714192,1.8476,3837.8906,7090.6973
263714232,1.7948,3833.0078,6879.3428
263714271,1.8212,3818.3594,6953.8325
263714311,1.8476,3833.0078,7081.6758
263714350,1.9795,3784.1797,7490.8540
263714390,2.0323,3813.4766,7750.1504
263714428,1.9531,3798.8281,7419.5859
263714468,1.9531,3789.0625,7400.5127
263714508,1.9267,3823.2422,7366.3608
263714547,1.9531,3798.8281,7419.5859
263714587,1.8476,3847.6563,7108.7397
263714626,1.8739,3818.3594,7155.3926
263714666,1.9267,3808.5938,7338.1372
263714706,1.9003,3837.8906,7293.2886
263714745,1.8476,3808.5938,7036.5698
263714785,1.8476,3823.2422,7063.6333
263714824,1.8739,3808.5938,7137.0923
263714864,1.8739,3818.3594,7155.3926
263714904,1.8739,3837.8906,7191.9932
263714942,1.7420,3798.8281,6617.4688
263714982,1.8476,3837.8906,7090.6973
263715021,1.8212,3847.6563,7007.1865
263715061,1.8212,3828.1250,6971.6172
263715101,1.7684,3847.6563,6804.0796
263715140,1.8212,3808.5938,6936.0474
263715180,1.7948,3833.0078,6879.3428
263715219,1.8476,3833.0078,7081.6758
