0560
2?836?b?.2639,4033.2031,1064.5067
260983736,0.2903,4033.2031,1170.9574
260983776,0.2375,4033.2031,958.0560
260983815,0.2375,4042.9688,960.3758
260983853,0.2375,4033.2031,958.0560
260983891,0.2639,4033.2031,1064.5067
260983930,0.2639,4028.3203,1063.2180
260983970,0.2639,4033.2031,1064.5067
260984010,0.2111,4033.2031,851.6054
260984048,0.2375,4023.4375,955.7363
260984087,0.2375,4033.2031,958.0560
260984125,0.2375,4033.2031,958.0560
260984164,0.2639,4038.0859,1065.7954
260984203,0.1848,4038.0859,746.0569
260984242,0.2375,4033.2031,958.0560
260984281,0.2375,4033.2031,958.0560
260984318,0.2903,4028.3203,1169.5398
260984358,0.2375,4028.3203,956.8962
260984396,0.2375,4033.2031,958.0560
260984435,0.2375,4033.2031,958.0560
260984474,0.2639,4033.2031,1064.5067
260984513,0.2639,4018.5547,1060.6405
260984553,0.2111,4038.0859,852.6364
260984591,0.2639,4042.9688,1067.0842
260984631,0.2903,4033.2031,1170.9574
260984670,0.2639,4033.2031,1064.5067
260984710,0.3431,4028.3203,1382.1833
260984750,0.2903,4033.2031,1170.9574
260984788,0.2639,4033.2031,1064.5067
260984828,0.2375,4028.3203,956.8962
260984866,0.2903,4038.0859,1172.3750
260984906,0.2639,4018.5547,1060.6405
260984946,0.2639,4028.3203,1063.2180
260984985,0.1848,4042.9688,746.9590
260985024,0.3959,4033.2031,1596.7600
260985063,0.3431,4033.2031,1383.8588
260985103,0.2639,4033.2031,1064.5067
260985143,0.3695,4047.8516,1495.7222
260985182,0.2375,4047.8516,961.5356
260985221,0.2375,4013.6719,953.4166
260985259,0.2375,4042.9688,960.3758
260985297,0.2903,4028.3203,1169.5398
260985336,0.1848,4038.0859,746.0569
260985375,0.2375,4033.2031,958.0560
260985414,0.2375,4008.7891,952.2567
260985452,0.2639,4028.3203,1063.2180
260985492,0.3695,4130.8594,1526.3944
260985531,0.3167,4013.6719,1271.2220
260985571,0.2375,4033.2031,958.0560
260985610,0.2903,4038.0859,1172.3750
260985649,0.2903,4038.0859,1172.3750
260985689,0.2375,4038.0859,959.2159
260985726,0.2111,4008.7891,846.4504
260985765,0.2375,4033.2031,958.0560
260985804,0.2639,4033.2031,1064.5067
260985843,0.2375,4033.2031,958.0560
260985882,0.2903,4033.2031,1170.9574
260985921,0.2903,4033.2031,1170.9574
260985961,0.2111,4018.5547,848.5124
260985999,0.2375,4033.2031,958.0560
260986038,0.2111,4033.2031,851.6054
260986077,0.2639,4023.4375,1061.9292
260986116,0.3167,4028.3203,1275.8616
260986156,0.2375,4038.0859,959.2159
260986193,0.2903,4042.9688,1173.7927
260986233,0.2639,4028.3203,1063.2180
260986273,0.2639,4033.2031,1064.5067
260986312,0.2639,4033.2031,1064.5067
260986352,0.2903,4140.6250,1202.1451
260986391,0.2375,4033.2031,958.0560
260986430,0.2375,4023.4375,955.7363
260986468,0.2639,4033.2031,1064.5067
260986508,0.2111,4013.6719,847.4814
260986547,0.2903,4038.0859,1172.3750
260986586,0.2639,4028.3203,1063.2180
260986626,0.2903,4033.2031,1170.9574
260986664,0.2639,4038.0859,1065.7954
260986704,0.2639,4018.5547,1060.6405
260986744,0.2903,4033.2031,1170.9574
260986783,0.2639,4033.2031,1064.5067
260986823,0.3431,4033.2031,1383.8588
260986862,0.2111,4038.0859,852.6364
260986901,0.2111,4033.2031,851.6054
260986940,0.2111,4028.3203,850.5744
260986978,0.2375,4033.2031,958.0560
260987017,0.2111,4033.2031,851.6054
260987055,0.2903,4013.6719,1165.2870
260987095,0.2639,4033.2031,1064.5067
260987133,0.2375,4028.3203,956.8962
260987172,0.3431,4033.2031,1383.8588
260987212,0.2375,4018.5547,954.5764
260987250,0.2375,4008.7891,952.2567
260987289,0.2375,4077.1484,968.4949
260987327,0.2111,4008.7891,846.4504
260987366,0.2639,4008.7891,1058.0630
260987406,0.2639,4018.5547,1060.6405
260987445,0.2639,4028.3203,1063.2180
