6674
??N??980.2111,4052.7344,855.7294
258929637,0.2111,4042.9688,853.6674
258929675,0.2111,4047.8516,854.6984
258929714,0.2639,4047.8516,1068.3729
258929753,0.2111,4052.7344,855.7294
258929792,0.2111,4052.7344,855.7294
258929829,0.2111,4033.2031,851.6054
258929868,0.2639,4047.8516,1068.3729
258929908,0.2639,4047.8516,1068.3729
258929947,0.2639,4042.9688,1067.0842
258929987,0.2639,4052.7344,1069.6617
258930026,0.2375,4052.7344,962.6956
258930065,0.2375,4047.8516,961.5356
258930104,0.2903,4042.9688,1173.7927
258930143,0.2639,4047.8516,1068.3729
258930183,0.2639,4047.8516,1068.3729
258930222,0.2375,4008.7891,952.2567
258930260,0.2375,4106.4453,975.4542
258930299,0.2111,4052.7344,855.7294
258930337,0.2639,4072.2656,1074.8167
258930377,0.2903,4047.8516,1175.2103
258930416,0.2375,4047.8516,961.5356
258930455,0.2111,4042.9688,853.6674
258930493,0.2111,4047.8516,854.6984
258930532,0.2375,4042.9688,960.3758
258930571,0.2111,4047.8516,854.6984
258930609,0.2639,4047.8516,1068.3729
258930649,0.2111,4052.7344,855.7294
258930686,0.2639,4038.0859,1065.7954
258930726,0.2375,4042.9688,960.3758
258930765,0.2375,4052.7344,962.6956
258930803,0.1848,4052.7344,748.7632
258930842,0.2639,4042.9688,1067.0842
258930881,0.2375,4047.8516,961.5356
258930920,0.2111,4052.7344,855.7294
258930958,0.2639,4047.8516,1068.3729
258930998,0.2375,4047.8516,961.5356
258931037,0.2375,4052.7344,962.6956
258931075,0.1848,4052.7344,748.7632
258931113,0.2111,4052.7344,855.7294
258931151,0.2111,4052.7344,855.7294
258931190,0.2375,4047.8516,961.5356
258931228,0.2375,4028.3203,956.8962
258931267,0.2639,4047.8516,1068.3729
258931307,0.2903,4047.8516,1175.2103
258931346,0.2639,4028.3203,1063.2180
258931386,0.2375,4047.8516,961.5356
258931424,0.2903,4033.2031,1170.9574
258931464,0.2111,4047.8516,854.6984
258931503,0.2639,4028.3203,1063.2180
258931542,0.2375,4052.7344,962.6956
258931580,0.2111,4042.9688,853.6674
258931618,0.3695,4047.8516,1495.7222
258931658,0.2375,4028.3203,956.8962
258931697,0.2375,4047.8516,961.5356
258931735,0.2903,4038.0859,1172.3750
258931775,0.2111,4047.8516,854.6984
258931813,0.3431,4052.7344,1390.5603
258931853,0.2639,4047.8516,1068.3729
258931892,0.1848,4072.2656,752.3717
258931931,0.2903,4052.7344,1176.6279
258931971,0.2903,4047.8516,1175.2103
258932009,0.2639,4047.8516,1068.3729
258932049,0.2639,4038.0859,1065.7954
258932088,0.2111,4052.7344,855.7294
258932127,0.2639,4038.0859,1065.7954
258932167,0.2111,4047.8516,854.6984
258932205,0.2375,4047.8516,961.5356
258932244,0.2375,4023.4375,955.7363
258932282,0.2111,4047.8516,854.6984
258932321,0.3431,4047.8516,1388.8849
258932360,0.2639,4038.0859,1065.7954
258932400,0.2111,4047.8516,854.6984
258932439,0.2111,4042.9688,853.6674
258932476,0.2111,4033.2031,851.6054
258932515,0.3959,4047.8516,1602.5594
258932554,0.2375,4062.5000,965.0153
258932593,0.2375,4028.3203,956.8962
258932632,0.2639,4047.8516,1068.3729
258932671,0.2639,4042.9688,1067.0842
258932711,0.2375,4042.9688,960.3758
258932749,0.2639,4047.8516,1068.3729
258932789,0.3695,4052.7344,1497.5265
258932829,0.2111,4047.8516,854.6984
258932867,0.2375,4047.8516,961.5356
258932905,0.1848,4052.7344,748.7632
258932943,0.2639,4047.8516,1068.3729
258932983,0.2639,4042.9688,1067.0842
258933022,0.2375,4042.9688,960.3758
258933061,0.2375,4047.8516,961.5356
258933100,0.2903,4052.7344,1176.6279
258933139,0.2639,4033.2031,1064.5067
258933179,0.2903,4052.7344,1176.6279
258933218,0.2375,4047.8516,961.5356
258933257,0.2639,4047.8516,1068.3729
258933297,0.2639,4047.8516,1068.3729
258933336,0.2375,4062.5000,965.0153
258933374,0.2375,4057.6172,963.8554
258933412,0.3695,4077.1484,1506.5477
258933452,0.2639,4047.8516,1068.3729
258933491,0.2375,4052.7344,962.6956
258933530,0.2111,4042.9688,853.6674
258933569,0.1848,4047.8516,747.8611
258933607,0.2375,4042.9688,960.3758
258933646,0.2375,4052.7344,962.6956
258933684,0.3167,4047.8516,1282.0475
258933724,0.2639,4042.9688,1067.0842
258933764,0.2375,4052.7344,962.6956
258933801,0.3695,4047.8516,1495.7222
258933841,0.2375,4047.8516,961.5356
258933879,0.2639,4033.2031,1064.5067
258933919,0.2111,4057.6172,856.7604
258933958,0.2375,4047.8516,961.5356
258933996,0.3431,4052.7344,1390.5603
258934036,0.2639,4042.9688,1067.0842
258934075,0.2639,4111.3281,1085.1267
258934115,0.2111,4042.9688,853.6674
258934153,0.2639,4028.3203,1063.2180
258934193,0.2639,4057.6172,1070.9504
258934233,0.2903,4052.7344,1176.6279
258934272,0.2375,4052.7344,962.6956
258934310,0.2375,4033.2031,958.0560
258934348,0.2375,4028.3203,956.8962
258934387,0.1848,4062.5000,750.5675
258934426,0.2639,4047.8516,1068.3729
258934465,0.2903,4086.9141,1186.5513
258934505,0.2639,4052.7344,1069.6617
258934544,0.2903,4042.9688,1173.7927
258934584,0.2375,4047.8516,961.5356
258934622,0.2375,4052.7344,962.6956
258934661,0.2111,4052.7344,855.7294
258934700,0.2375,4042.9688,960.3758
258934737,0.2111,4028.3203,850.5744
258934776,0.2903,4052.7344,1176.6279
258934815,0.2639,4042.9688,1067.0842
258934855,0.2639,4057.6172,1070.9504
258934895,0.2111,4057.6172,856.7604
258934933,0.3431,4052.7344,1390.5603
258934973,0.2111,4057.6172,856.7604
258935011,0.2111,4047.8516,854.6984
258935050,0.2903,4047.8516,1175.2103
258935089,0.2903,4121.0938,1196.4746
258935129,0.2903,4042.9688,1173.7927
258935169,0.2903,4042.9688,1173.7927
258935207,0.2639,4047.8516,1068.3729
258935247,0.3695,4062.5000,1501.1350
258935286,0.2375,4052.7344,962.6956
258935325,0.2375,4057.6172,963.8554
258935364,0.2639,4062.5000,1072.2393
258935403,0.2375,4057.6172,963.8554
258935442,0.2375,4052.7344,962.6956
258935480,0.3431,4052.7344,1390.5603
258935520,0.2639,4023.4375,1061.9292
258935560,0.2903,4047.8516,1175.2103
258935599,0.2111,4038.0859,852.6364
258935638,0.2639,4047.8516,1068.3729
258935676,0.2375,4047.8516,961.5356
258935715,0.2639,4028.3203,1063.2180
258935754,0.2375,4033.2031,958.0560
258935793,0.2375,4052.7344,962.6956
258935832,0.2375,4052.7344,962.6956
258935870,0.2639,4052.7344,1069.6617
258935910,0.2375,4028.3203,956.8962
258935948,0.2639,4052.7344,1069.6617
258935988,0.2375,4052.7344,962.6956
258936027,0.2111,4057.6172,856.7604
258936065,0.2375,4047.8516,961.5356
258936103,0.2111,4038.0859,852.6364
258936141,0.2903,4052.7344,1176.6279
258936181,0.2375,4028.3203,956.8962
258936219,0.2639,4042.9688,1067.0842
258936259,0.2639,4042.9688,1067.0842
258936299,0.2903,4047.8516,1175.2103
258936338,0.2375,4047.8516,961.5356
258936377,0.2375,4047.8516,961.5356
258936415,0.3167,4052.7344,1283.5940
258936455,0.2903,4023.4375,1168.1222
258936495,0.2639,3994.1406,1054.1968
258936534,0.2903,4047.8516,1175.2103
258936573,0.2375,4047.8516,961.5356
258936611,0.3695,4047.8516,1495.7222
258936651,0.2639,4052.7344,1069.6617
258936691,0.2639,4052.7344,1069.6617
258936730,0.2111,4042.9688,853.6674
258936769,0.2639,4052.7344,1069.6617
258936808,0.2639,4057.6172,1070.9504
258936848,0.2903,4052.7344,1176.6279
258936888,0.2903,4042.9688,1173.7927
258936927,0.2639,4052.7344,1069.6617
258936967,0.2639,4057.6172,1070.9504
258937006,0.2375,4028.3203,956.8962
258937044,0.2375,4052.7344,962.6956
258937082,0.3959,4047.8516,1602.5594
258937122,0.3695,4052.7344,1497.5265
258937162,0.2639,3901.3672,1029.7104
258937201,0.2639,4052.7344,1069.6617
258937241,0.2903,4038.0859,1172.3750
258937280,0.2639,4047.8516,1068.3729
258937320,0.2639,4052.7344,1069.6617
258937360,0.2375,4057.6172,963.8554
258937398,0.3167,4047.8516,1282.0475
258937438,0.2903,4057.6172,1178.0455
258937477,0.1848,4047.8516,747.8611
258937516,0.2639,4042.9688,1067.0842
258937555,1.5572,3916.0156,6098.1030
258937594,1.5836,3828.1250,6062.2754
258937634,1.6100,3857.4219,6210.4819
258937673,1.3989,3881.8359,5430.1440
258937713,1.2405,3911.1328,4851.7534
258937753,1.2933,3906.2500,5051.8965
258937792,1.2405,3911.1328,4851.7534
258937832,1.2405,3935.5469,4882.0391
258937871,1.2141,3896.4844,4730.7402
258937911,1.2141,3935.5469,4778.1660
258937950,1.1877,3896.4844,4627.8979
258937990,1.1877,3930.6641,4668.4937
258938030,1.1085,3935.5469,4362.6733
258938068,1.1349,3906.2500,4433.2964
258938108,1.0821,3930.6641,4253.5166
258938147,1.1349,3920.8984,4449.9214
258938187,1.1349,3935.5469,4466.5464
258938227,1.1613,3906.2500,4536.3970
258938266,1.2933,3930.6641,5083.4707
258938306,1.1349,3896.4844,4422.2134
258938345,1.1613,3925.7813,4559.0786
258938385,1.2141,3906.2500,4742.5967
258938425,1.1877,3916.0156,4651.0952
258938464,1.1613,3935.5469,4570.4199
258938504,1.1613,3881.8359,4508.0444
258938543,1.3989,3872.0703,5416.4834
258938583,1.3461,3867.1875,5205.5156
258938622,1.5572,3872.0703,6029.6704
258938661,1.6100,3857.4219,6210.4819
258938701,1.5836,3852.5391,6100.9380
258938740,1.6364,3872.0703,6336.2637
258938780,1.6100,3842.7734,6186.8979
258938820,1.5308,3881.8359,5942.4224
258938859,1.6100,3852.5391,6202.6206
258938899,1.5044,3876.9531,5832.6206
258938938,1.4516,3872.0703,5620.8789
258938978,1.4253,3872.0703,5518.6812
258939018,1.5044,3886.7188,5847.3125
258939057,1.4780,3847.6563,5686.9922
258939097,1.5044,3896.4844,5862.0039
258939136,1.4780,3862.3047,5708.6431
258939175,1.5308,3867.1875,5919.9980
258939214,1.6364,3876.9531,6344.2539
258939254,1.4253,3862.3047,5504.7627
258939294,1.5572,3886.7188,6052.4810
258939333,1.4516,3833.0078,5564.1738
258939373,1.4780,3891.6016,5751.9448
258939412,1.4780,3872.0703,5723.0771
258939452,1.5572,3872.0703,6029.6704
258939492,1.3989,3896.4844,5450.6353
258939531,1.4253,3867.1875,5511.7222
258939571,1.5308,3886.7188,5949.8970
258939610,1.5044,3862.3047,5810.5830
258939650,1.5044,3872.0703,5825.2744
258939689,1.5572,3867.1875,6022.0669
258939728,1.5044,3862.3047,5810.5830
258939768,1.4780,3896.4844,5759.1621
258939807,1.4253,3881.8359,5532.5996
258939847,1.5308,3886.7188,5949.8970
258939887,1.4253,3837.8906,5469.9668
258939926,1.4780,3891.6016,5751.9448
258939966,1.5044,3901.3672,5869.3501
258940005,1.5836,3857.4219,6108.6704
258940045,1.4516,3896.4844,5656.3193
258940085,1.4253,3862.3047,5504.7627
258940124,1.4780,3876.9531,5730.2939
258940164,1.6628,3872.0703,6438.4619
258940203,1.4780,3852.5391,5694.2090
258940242,1.6628,3881.8359,6454.7002
258940282,1.4780,3896.4844,5759.1621
258940321,1.4780,3881.8359,5737.5112
258940361,1.3989,3886.7188,5436.9746
258940400,1.3989,3867.1875,5409.6528
258940440,1.4253,3886.7188,5539.5591
258940479,1.3989,3862.3047,5402.8228
258940519,1.4516,3891.6016,5649.2314
258940559,1.4780,3852.5391,5694.2090
258940598,1.3989,3857.4219,5395.9922
258940638,1.4780,3881.8359,5737.5112
258940677,1.6364,3857.4219,6312.2930
258940717,1.4780,3886.7188,5744.7280
258940756,1.4253,3872.0703,5518.6812
258940795,1.5572,3793.9453,5908.0122
258940835,1.4516,3881.8359,5635.0552
258940874,1.4780,3862.3047,5708.6431
258940914,1.4516,3896.4844,5656.3193
258940954,1.5572,3852.5391,5999.2559
258940993,1.4780,3886.7188,5744.7280
258941033,1.4253,3876.9531,5525.6406
258941072,1.5044,3847.6563,5788.5454
258941112,1.3989,3906.2500,5464.2959
258941152,1.4516,3867.1875,5613.7910
258941191,1.4516,3896.4844,5656.3193
258941231,1.3989,3867.1875,5409.6528
258941270,1.5044,3876.9531,5832.6206
258941309,1.5044,3886.7188,5847.3125
258941349,1.4253,3842.7734,5476.9258
258941388,1.5308,3886.7188,5949.8970
258941428,1.5572,3857.4219,6006.8594
258941467,1.3989,3886.7188,5436.9746
258941507,1.4780,3886.7188,5744.7280
258941547,1.4516,3876.9531,5627.9673
258941586,1.4253,3950.1953,5630.0293
258941626,1.4780,3862.3047,5708.6431
258941665,1.4516,3867.1875,5613.7910
258941705,1.5308,3842.7734,5882.6240
258941744,1.4516,3872.0703,5620.8789
258941784,1.4780,3886.7188,5744.7280
258941824,1.4780,3852.5391,5694.2090
258941862,1.5836,3881.8359,6147.3330
258941902,1.4780,3842.7734,5679.7749
258941941,1.4253,3881.8359,5532.5996
258941981,1.6100,3876.9531,6241.9272
258942021,1.4516,3867.1875,5613.7910
258942060,1.4780,3896.4844,5759.1621
258942100,1.4253,3876.9531,5525.6406
258942139,1.3989,3891.6016,5443.8047
258942179,1.4516,3876.9531,5627.9673
258942219,1.5308,3872.0703,5927.4727
258942258,1.4516,3896.4844,5656.3193
258942298,1.4253,3857.4219,5497.8037
258942337,1.4780,3935.5469,5816.8979
258942376,1.5572,3867.1875,6022.0669
258942416,1.5572,3872.0703,6029.6704
258942455,1.4253,3881.8359,5532.5996
258942495,1.4253,3847.6563,5483.8853
258942534,1.4516,3891.6016,5649.2314
258942574,1.5308,3857.4219,5905.0483
258942614,1.5044,3891.6016,5854.6582
258942653,1.4780,3862.3047,5708.6431
258942693,1.5836,3862.3047,6116.4028
258942732,1.5572,3876.9531,6037.2739
258942772,1.4253,3852.5391,5490.8442
258942812,1.4253,3847.6563,5483.8853
258942851,1.5044,3862.3047,5810.5830
258942891,1.4516,3881.8359,5635.0552
258942929,1.3989,3872.0703,5416.4834
258942969,1.5836,3857.4219,6108.6704
258943008,1.4253,3872.0703,5518.6812
258943048,1.5308,3842.7734,5882.6240
258943088,1.5044,3881.8359,5839.9663
258943127,1.5044,3862.3047,5810.5830
258943167,1.5572,3872.0703,6029.6704
258943206,1.5572,3881.8359,6044.8774
258943246,1.5836,3842.7734,6085.4731
258943286,1.5308,3896.4844,5964.8467
258943325,1.4516,3857.4219,5599.6147
258943365,1.5572,3901.3672,6075.2920
258943404,1.4780,3876.9531,5730.2939
258943443,1.4516,3847.6563,5585.4385
258943483,1.5044,3891.6016,5854.6582
258943522,1.5044,3857.4219,5803.2368
258943562,1.3461,3906.2500,5258.0962
258943601,1.2405,3916.0156,4857.8105
258943641,1.1349,3925.7813,4455.4629
258943681,1.2933,3896.4844,5039.2666
258943720,1.5044,3862.3047,5810.5830
258943760,1.8212,3847.6563,7007.1865
258943799,1.7948,3798.8281,6817.9985
258943839,1.8212,3842.7734,6998.2939
258943879,1.5836,3852.5391,6100.9380
258943918,1.2669,3906.2500,4948.7964
258943958,1.2405,3925.7813,4869.9248
258943996,1.1877,3906.2500,4639.4966
258944036,1.3725,3901.3672,5354.4946
258944076,1.6364,3872.0703,6336.2637
258944115,1.8739,3823.2422,7164.5430
258944155,2.1115,3784.1797,7990.2441
258944194,2.2171,3740.2344,8292.3271
258944234,2.1643,3789.0625,8200.5684
258944273,1.8212,3808.5938,6936.0474
258944313,1.5308,3872.0703,5927.4727
258944353,1.5572,3862.3047,6014.4629
258944392,1.5572,3862.3047,6014.4629
258944432,1.6628,3847.6563,6397.8662
258944471,1.6628,3837.8906,6381.6279
258944510,1.8476,3823.2422,7063.6333
258944550,1.9003,3779.2969,7181.9409
258944589,1.9531,3823.2422,7467.2700
258944629,2.0059,3823.2422,7669.0874
258944668,1.7420,3842.7734,6694.0205
258944708,1.8476,3818.3594,7054.6123
258944748,1.9267,3798.8281,7319.3218
258944787,1.8476,3818.3594,7054.6123
258944827,1.9795,3784.1797,7490.8540
258944866,1.9795,3779.2969,7481.1880
258944906,2.1643,3784.1797,8190.0005
258944946,1.9003,3813.4766,7246.8936
258944985,1.8739,3813.4766,7146.2427
258945025,1.9267,3803.7109,7328.7295
258945063,2.0587,3808.5938,7840.7495
258945103,1.9267,3769.5313,7262.8745
258945143,2.0851,3735.3516,7788.5557
258945182,2.0587,3779.2969,7780.4360
258945222,2.1379,3793.9453,8111.0000
258945261,2.0851,3779.2969,7880.1855
258945301,2.0323,3784.1797,7690.6099
258945341,1.9531,3798.8281,7419.5859
258945380,1.9267,3789.0625,7300.5059
258945420,1.9531,3823.2422,7467.2700
258945459,1.9267,3793.9453,7309.9141
258945499,1.8739,3813.4766,7146.2427
258945538,1.9531,3798.8281,7419.5859
258945577,2.0323,3798.8281,7720.3799
258945617,2.2435,3774.4141,8467.7256
258945656,2.4018,3706.0547,8901.2607
258945696,2.5074,3750.0000,9402.7139
258945735,2.4282,3715.8203,9022.7900
258945775,2.3754,3759.7656,8931.0313
258945815,2.2171,3745.1172,8303.1523
258945854,2.1907,3784.1797,8289.8779
258945894,2.0059,3779.2969,7580.9370
258945933,2.0059,3808.5938,7639.7041
258945973,1.9003,3793.9453,7209.7778
258946013,1.8476,3798.8281,7018.5273
258946052,1.9003,3813.4766,7246.8936
258946092,1.9003,3735.3516,7098.4297
258946130,1.8476,3793.9453,7009.5059
258946170,1.9003,3769.5313,7163.3828
258946210,2.0323,3808.5938,7740.2271
258946249,2.1643,3764.6484,8147.7300
258946289,2.1907,3759.7656,8236.3955
258946328,2.2698,3769.5313,8556.2627
258946368,2.2962,3730.4688,8566.0576
258946408,2.4018,3823.2422,9182.7236
258946447,2.4018,3720.7031,8936.4443
258946487,2.3490,3754.8828,8820.3281
258946526,2.3490,3750.0000,8808.8584
258946566,2.2698,3774.4141,8567.3457
258946606,2.2435,3769.5313,8456.7715
258946644,2.1379,3789.0625,8100.5610
258946684,2.0587,3759.7656,7740.2271
258946723,1.9531,3813.4766,7448.1963
258946763,2.0059,3784.1797,7590.7319
258946802,2.1115,3779.2969,7979.9341
258946842,2.1379,3789.0625,8100.5610
258946882,2.1379,3764.6484,8048.3667
258946921,2.1643,3647.4609,7894.1040
