,0.2639??Lr?54,1060.6405
267447139,0.2903,4018.5547,1166.7046
267447178,0.2111,4013.6719,847.4814
267447217,0.2639,4023.4375,1061.9292
267447257,0.2903,4018.5547,1166.7046
267447296,0.2639,4018.5547,1060.6405
267447335,0.2375,4150.3906,985.8930
267447373,0.2639,4023.4375,1061.9292
267447413,0.2903,4003.9063,1162.4517
267447453,0.2111,4023.4375,849.5434
267447491,0.2903,4023.4375,1168.1222
267447531,0.2639,4018.5547,1060.6405
267447570,0.3431,4018.5547,1378.8326
267447610,0.2903,4018.5547,1166.7046
267447650,0.2639,4033.2031,1064.5067
267447689,0.2375,4003.9063,951.0968
267447728,0.2375,3999.0234,949.9370
267447766,0.2639,4018.5547,1060.6405
267447805,0.2639,3959.9609,1045.1754
267447844,0.2375,4023.4375,955.7363
267447883,0.1848,4008.7891,740.6441
267447922,0.2639,4018.5547,1060.6405
267447961,0.2639,4013.6719,1059.3517
267448001,0.3959,4018.5547,1590.9607
267448040,0.2639,4018.5547,1060.6405
267448080,0.2375,4023.4375,955.7363
267448119,0.2639,3955.0781,1043.8867
267448158,0.2903,4023.4375,1168.1222
267448198,0.2903,4018.5547,1166.7046
267448237,0.2111,4023.4375,849.5434
267448275,0.1848,4018.5547,742.4484
267448314,0.2111,4023.4375,849.5434
267448352,0.2903,4023.4375,1168.1222
267448392,0.2639,4018.5547,1060.6405
267448431,0.2111,4033.2031,851.6054
267448470,0.2639,4023.4375,1061.9292
267448509,0.2639,4018.5547,1060.6405
267448549,0.2375,4018.5547,954.5764
267448588,0.2111,4018.5547,848.5124
267448626,0.2111,4028.3203,850.5744
267448665,0.2375,4023.4375,955.7363
267448702,0.2903,4023.4375,1168.1222
267448742,0.2375,4023.4375,955.7363
267448781,0.2903,4018.5547,1166.7046
267448820,0.2903,4018.5547,1166.7046
267448860,0.2639,4018.5547,1060.6405
267448899,0.2375,4023.4375,955.7363
267448938,0.2639,4028.3203,1063.2180
267448977,0.2639,4013.6719,1059.3517
267449017,0.2111,4028.3203,850.5744
267449056,0.2375,4018.5547,954.5764
267449094,0.2375,3999.0234,949.9370
267449133,0.3431,4018.5547,1378.8326
267449171,0.2639,4023.4375,1061.9292
267449211,0.2903,4140.6250,1202.1451
267449251,0.2639,4023.4375,1061.9292
267449290,0.2375,4023.4375,955.7363
267449329,0.2639,4018.5547,1060.6405
267449368,0.2375,4023.4375,955.7363
267449407,0.3431,4023.4375,1380.5081
267449447,0.2639,4018.5547,1060.6405
267449486,0.2639,4003.9063,1056.7742
267449526,0.2903,4018.5547,1166.7046
267449565,0.2639,4023.4375,1061.9292
267449605,0.2639,4018.5547,1060.6405
267449644,0.2639,3974.6094,1049.0417
267449683,0.2903,4018.5547,1166.7046
267449723,0.3431,4018.5547,1378.8326
267449762,0.2111,4047.8516,854.6984
267449801,0.2111,4018.5547,848.5124
267449839,0.3959,4047.8516,1602.5594
267449879,0.2375,4018.5547,954.5764
267449918,0.2375,4018.5547,954.5764
267449956,0.2639,4003.9063,1056.7742
267449996,0.3695,4023.4375,1486.7009
267450035,0.2375,4023.4375,955.7363
267450074,0.3695,4023.4375,1486.7009
267450114,0.2375,4023.4375,955.7363
267450151,0.2903,3999.0234,1161.0341
267450191,0.2375,4018.5547,954.5764
267450229,0.2375,4003.9063,951.0968
267450268,0.2111,4023.4375,849.5434
267450306,0.2375,4028.3203,956.8962
267450345,0.2375,4003.9063,951.0968
267450384,0.2375,4008.7891,952.2567
267450422,0.2375,4023.4375,955.7363
267450461,0.2375,4003.9063,951.0968
267450499,0.2375,4008.7891,952.2567
267450537,0.2903,4028.3203,1169.5398
267450577,0.2903,4023.4375,1168.1222
267450616,0.2639,4101.5625,1082.5492
267450656,0.2639,4018.5547,1060.6405
267450695,0.2639,4023.4375,1061.9292
267450735,0.3167,4023.4375,1274.3151
