394.3359,2103.367228.5156,1674.0850
37883148,0.4223,4165.0391,1758.8848
37883187,0.3959,3940.4297,1560.0308
37883225,0.5015,4194.3359,2103.3672
378324,0???b????r????b????r????j37883302,0.4223,4140.6250,1748.5747
37883340,0.4223,4106.4453,1734.1407
37883379,0.5279,4116.2109,2172.8308
37883417,0.5015,4155.2734,2083.7783
37883456,0.4751,4223.6328,2006.5823
37883494,0.3959,4077.1484,1614.1582
37883533,0.4487,4096.6797,1838.1428
37883572,0.3959,4067.3828,1610.2920
37883610,0.3695,4111.3281,1519.1775
37883649,0.5543,4101.5625,2273.3533
37883686,0.4223,4077.1484,1721.7688
37883725,0.4223,4150.3906,1752.6987
37883764,0.4487,4111.3281,1844.7155
37883802,0.3695,4121.0938,1522.7859
37883841,0.4487,4096.6797,1838.1428
37883879,0.5279,4116.2109,2172.8308
37883918,0.4223,4111.3281,1736.2028
37883956,0.4223,4106.4453,1734.1407
37883995,0.4223,4106.4453,1734.1407
37884034,0.4223,4116.2109,1738.2648
37884071,0.5279,4116.2109,2172.8308
37884110,0.4487,4121.0938,1849.0972
37884148,0.5543,4116.2109,2281.4724
37884187,0.3695,4101.5625,1515.5690
37884225,0.5015,4106.4453,2059.2920
37884264,0.5279,4111.3281,2170.2534
37884303,0.4487,4121.0938,1849.0972
37884341,0.3695,4116.2109,1520.9817
37884380,0.3959,4121.0938,1631.5563
37884418,0.3695,4121.0938,1522.7859
37884456,0.4487,4121.0938,1849.0972
37884494,0.5279,4135.7422,2183.1409
37884533,0.5279,4125.9766,2177.9858
37884572,0.3959,4121.0938,1631.5563
37884610,0.4487,4116.2109,1846.9064
37884649,0.3959,4111.3281,1627.6901
37884687,0.3695,4121.0938,1522.7859
37884726,0.4223,4101.5625,1732.0787
37884765,0.4751,4111.3281,1953.2280
37884803,0.3959,4111.3281,1627.6901
37884841,0.4223,4116.2109,1738.2648
37884879,0.4223,4116.2109,1738.2648
37884918,0.4223,4116.2109,1738.2648
37884956,0.3959,4116.2109,1629.6232
37884995,0.4487,4111.3281,1844.7155
37885034,0.4487,4116.2109,1846.9064
37885072,0.5543,4116.2109,2281.4724
37885111,0.5807,4116.2109,2390.1140
37885149,0.4223,4121.0938,1740.3268
37885188,0.3959,4121.0938,1631.5563
37885225,0.4223,4101.5625,1732.0787
37885264,0.4487,4130.8594,1853.4790
37885303,0.3959,4125.9766,1633.4894
37885341,0.4223,4116.2109,1738.2648
37885380,0.4223,4121.0938,1740.3268
37885418,0.3959,4116.2109,1629.6232
37885457,0.3695,4111.3281,1519.1775
37885496,0.3959,4116.2109,1629.6232
37885534,0.4223,4111.3281,1736.2028
37885573,0.4223,4116.2109,1738.2648
37885611,0.4223,4116.2109,1738.2648
37885649,0.3431,4116.2109,1412.3401
37885687,0.4223,4116.2109,1738.2648
37885726,0.3959,4125.9766,1633.4894
37885765,0.4487,4116.2109,1846.9064
37885803,0.4487,4111.3281,1844.7155
37885842,0.3431,4121.0938,1414.0155
37885880,0.3959,4116.2109,1629.6232
37885919,0.5543,4111.3281,2278.7661
37885957,0.3959,4106.4453,1625.7570
37885996,0.4223,4121.0938,1740.3268
37886034,0.4223,4106.4453,1734.1407
37886072,0.4751,4116.2109,1955.5479
37886111,0.4223,4111.3281,1736.2028
37886149,0.4223,4125.9766,1742.3888
37886188,0.3959,4111.3281,1627.6901
37886227,0.3695,4121.0938,1522.7859
37886265,0.5543,4121.0938,2284.1790
37886304,0.3959,4116.2109,1629.6232
37886342,0.4487,4125.9766,1851.2881
37886381,0.4487,4116.2109,1846.9064
37886418,0.3959,4121.0938,1631.5563
37886457,0.3959,4121.0938,1631.5563
37886496,0.3695,4096.6797,1513.7646
37886534,0.4223,4121.0938,1740.3268
37886573,0.4223,4116.2109,1738.2648
37886611,0.4223,4111.3281,1736.2028
37886650,0.3959,4116.2109,1629.6232
37886688,0.4223,4116.2109,1738.2648
37886727,0.4223,4116.2109,1738.2648
37886766,0.3959,4121.0938,1631.5563
37886803,0.4223,4116.2109,1738.2648
37886842,0.3959,4106.4453,1625.7570
37886880,0.4223,4121.0938,1740.3268
37886919,0.5015,4121.0938,2066.6379
37886957,0.3959,4125.9766,1633.4894
37886996,0.3959,4121.0938,1631.5563
37887035,0.3959,4106.4453,1625.7570
37887073,0.4223,4111.3281,1736.2028
37887112,0.3959,4111.3281,1627.6901
37887150,0.4223,4116.2109,1738.2648
37887188,0.3959,4121.0938,1631.5563
37887227,0.4223,4125.9766,1742.3888
37887265,0.4223,4111.3281,1736.2028
37887304,0.4487,4116.2109,1846.9064
37887342,0.5543,4111.3281,2278.7661
37887381,0.3695,4116.2109,1520.9817
37887419,0.4223,4101.5625,1732.0787
37887458,0.5015,4116.2109,2064.1892
37887497,0.4223,4116.2109,1738.2648
37887535,0.3959,4155.2734,1645.0881
37887574,0.4487,4116.2109,1846.9064
37887611,0.3959,4121.0938,1631.5563
37887650,0.4223,4121.0938,1740.3268
37887688,0.4223,4121.0938,1740.3268
37887727,0.3959,4111.3281,1627.6901
37887766,0.3695,4130.8594,1526.3944
37887804,0.3959,4125.9766,1633.4894
37887843,0.3959,4116.2109,1629.6232
37887881,0.4223,4116.2109,1738.2648
37887920,0.4487,4111.3281,1844.7155
37887959,0.4223,4111.3281,1736.2028
37887996,0.3959,4116.2109,1629.6232
37888035,0.4487,4116.2109,1846.9064
37888073,0.4487,4121.0938,1849.0972
37888112,0.3695,4121.0938,1522.7859
37888150,0.5543,4125.9766,2286.8853
37888189,0.3959,4091.7969,1619.9575
37888228,0.3959,4091.7969,1619.9575
37888266,0.5015,4116.2109,2064.1892
37888305,0.5279,4116.2109,2172.8308
37888343,0.3959,4111.3281,1627.6901
37888381,0.3959,4111.3281,1627.6901
37888419,0.4751,4111.3281,1953.2280
37888458,0.4223,4111.3281,1736.2028
37888497,0.4223,4106.4453,1734.1407
37888535,0.4751,4111.3281,1953.2280
37888574,0.3695,4111.3281,1519.1775
37888612,0.5543,4116.2109,2281.4724
37888651,0.4223,4116.2109,1738.2648
37888690,0.4487,4121.0938,1849.0972
37888728,0.4223,4121.0938,1740.3268
37888766,0.3959,4111.3281,1627.6901
37888804,0.4223,4116.2109,1738.2648
37888843,0.4223,4121.0938,1740.3268
37888881,0.4751,4111.3281,1953.2280
37888920,0.4751,4111.3281,1953.2280
37888959,0.4223,4121.0938,1740.3268
37888997,0.5015,4111.3281,2061.7407
37889036,0.3959,4096.6797,1621.8906
37889074,0.4223,4111.3281,1736.2028
37889113,0.3695,4135.7422,1528.1987
37889150,0.4487,4111.3281,1844.7155
37889189,0.3959,4116.2109,1629.6232
37889228,0.5015,4111.3281,2061.7407
37889266,0.3959,4121.0938,1631.5563
37889305,0.4223,4111.3281,1736.2028
37889343,0.4487,4160.1563,1866.6243
37889382,0.3959,4116.2109,1629.6232
37889420,0.4223,4116.2109,1738.2648
37889459,0.3695,4121.0938,1522.7859
37889498,0.3959,4130.8594,1635.4225
37889536,0.3959,4116.2109,1629.6232
37889574,0.3959,4116.2109,1629.6232
37889612,3.2200,3730.4688,12012.1730
37889652,3.2992,3730.4688,12307.5540
37889692,3.1144,3808.5938,11861.6460
37889731,2.5074,3852.5391,9659.8193
37889770,2.3226,3876.9531,9004.7480
37889808,2.0059,3881.8359,7786.6216
37889847,2.0587,3930.6641,8092.0557
37889885,1.8739,3945.3125,7393.2959
37889924,2.0059,3901.3672,7825.7993
37889963,2.0323,3950.1953,8028.0044
37890000,1.7948,3935.5469,7063.3760
37890039,1.7948,3969.7266,7124.7207
37890077,1.7948,3959.9609,7107.1938
37890116,2.2171,3896.4844,8638.7432
37890155,1.8739,3916.0156,7338.3950
37890193,1.9267,3911.1328,7535.7026
37890232,1.9795,3935.5469,7790.4878
37890270,2.0323,3940.4297,8008.1577
37890309,2.2962,3872.0703,8891.2090
