,4086.9141,2049.4976
284383597,0.5015,4082.0313,2047.0490
284383636,0.4751,4082.0313,1939.3096
28438367,0???b???r????b????r????j284383716,0.5543,4082.0313,2262.5278
284383755,0.4751,4086.9141,1941.6294
284383795,0.5015,4086.9141,2049.4976
284383834,0.5279,4082.0313,2154.7883
284383874,0.5015,4086.9141,2049.4976
284383913,0.5279,4082.0313,2154.7883
284383952,0.4751,4086.9141,1941.6294
284383992,0.5279,4077.1484,2152.2109
284384031,0.5279,4086.9141,2157.3660
284384071,0.5543,4082.0313,2262.5278
284384111,0.5015,4067.3828,2039.7031
284384150,0.5279,4086.9141,2157.3660
284384190,0.5015,4091.7969,2051.9463
284384229,0.4751,4086.9141,1941.6294
284384269,0.5015,4086.9141,2049.4976
284384309,0.5015,4067.3828,2039.7031
284384348,0.5543,4082.0313,2262.5278
284384388,0.5015,4091.7969,2051.9463
284384427,0.5279,4091.7969,2159.9434
284384466,0.4487,4086.9141,1833.7611
284384506,0.5015,4086.9141,2049.4976
284384545,0.5015,4091.7969,2051.9463
284384585,0.4751,4086.9141,1941.6294
284384624,0.5807,4077.1484,2367.4321
284384664,0.5015,4077.1484,2044.6003
284384703,0.4751,4082.0313,1939.3096
284384743,0.5807,4082.0313,2370.2673
284384783,0.5807,4077.1484,2367.4321
284384822,0.5279,4082.0313,2154.7883
284384862,0.5279,4062.5000,2144.4785
284384901,0.5015,4077.1484,2044.6003
284384941,0.4751,4086.9141,1941.6294
284384980,0.5279,4082.0313,2154.7883
284385019,0.5015,4082.0313,2047.0490
284385059,0.5015,4057.6172,2034.8058
284385098,0.5015,4086.9141,2049.4976
284385138,0.5015,4199.2188,2105.8159
284385178,0.5279,4082.0313,2154.7883
284385217,0.5807,4086.9141,2373.1025
284385257,0.5279,4062.5000,2144.4785
284385296,0.5279,4082.0313,2154.7883
284385336,0.4751,4086.9141,1941.6294
284385376,0.5279,4082.0313,2154.7883
284385415,0.4487,4082.0313,1831.5702
284385455,0.4751,4086.9141,1941.6294
284385494,0.6334,4082.0313,2585.7461
284385533,0.5015,4086.9141,2049.4976
284385573,0.5279,4091.7969,2159.9434
284385612,0.4751,4077.1484,1936.9899
284385652,0.4751,4077.1484,1936.9899
284385691,0.4751,4082.0313,1939.3096
284385731,0.5279,4082.0313,2154.7883
284385771,0.5015,4077.1484,2044.6003
284385810,0.4751,4062.5000,1930.0306
284385850,0.6334,4091.7969,2591.9321
284385889,0.5543,4082.0313,2262.5278
284385929,0.5015,4086.9141,2049.4976
284385968,0.4751,4082.0313,1939.3096
284386008,0.5279,4072.2656,2149.6333
284386048,0.6334,4086.9141,2588.8391
284386086,0.4751,4082.0313,1939.3096
284386126,0.4751,4082.0313,1939.3096
284386165,0.5543,4028.3203,2232.7578
284386205,0.5279,4082.0313,2154.7883
284386245,0.5015,4082.0313,2047.0490
284386284,0.5543,4077.1484,2259.8215
284386324,0.5015,4077.1484,2044.6003
284386363,0.5015,4082.0313,2047.0490
284386403,0.5279,4082.0313,2154.7883
284386443,0.5015,4082.0313,2047.0490
284386482,0.5279,4082.0313,2154.7883
284386522,0.5807,4091.7969,2375.9377
284386561,0.5543,4082.0313,2262.5278
284386600,0.5015,4086.9141,2049.4976
284386640,0.5015,4067.3828,2039.7031
284386679,0.5543,4082.0313,2262.5278
284386719,0.5543,4082.0313,2262.5278
284386758,0.5015,4086.9141,2049.4976
284386798,0.5279,4086.9141,2157.3660
284386838,0.5279,4082.0313,2154.7883
284386877,0.5015,4082.0313,2047.0490
284386917,0.5279,4086.9141,2157.3660
284386956,0.5279,4086.9141,2157.3660
284386996,0.5279,4086.9141,2157.3660
284387036,0.6334,4086.9141,2588.8391
284387075,0.5015,4086.9141,2049.4976
284387115,0.5015,4086.9141,2049.4976
284387153,0.5279,4086.9141,2157.3660
284387193,0.5279,4082.0313,2154.7883
284387232,0.4487,4277.3438,1919.2052
284387272,0.5807,4067.3828,2361.7615
284387312,0.5279,4062.5000,2144.4785
284387351,0.6598,4077.1484,2690.2637
284387391,0.5015,4086.9141,2049.4976
