9,4023.4375,1486.7009
293429495,0.3959,4013.6719,1589.0276
293429534,0.5?????&I??b????r????j293429574,0.4487,4023.4375,1805.2798
293429614,0.3959,4033.2031,1596.7600
293429653,0.3695,4038.0859,1492.1138
293429693,0.3959,4028.3203,1594.8269
293429732,0.4223,4033.2031,1703.2108
293429772,0.3431,4033.2031,1383.8588
293429812,0.3431,4038.0859,1385.5342
293429851,0.3431,4033.2031,1383.8588
293429891,0.3167,3979.4922,1260.3965
293429929,0.3695,4033.2031,1490.3094
293429969,0.5015,4028.3203,2020.1141
293430008,0.3959,4033.2031,1596.7600
293430048,0.3431,4033.2031,1383.8588
293430088,0.3431,4028.3203,1382.1833
293430127,0.3695,4033.2031,1490.3094
293430167,0.3695,4033.2031,1490.3094
293430206,0.3167,4028.3203,1275.8616
293430246,0.3431,4033.2031,1383.8588
293430286,0.3431,4033.2031,1383.8588
293430325,0.3167,4028.3203,1275.8616
293430365,0.3167,4028.3203,1275.8616
293430404,0.3695,4208.9844,1555.2625
293430444,0.3167,4033.2031,1277.4081
293430483,0.3695,4038.0859,1492.1138
293430522,0.3431,4028.3203,1382.1833
293430562,0.2903,4033.2031,1170.9574
293430601,0.3695,4033.2031,1490.3094
293430641,0.3695,4038.0859,1492.1138
293430681,0.3167,4033.2031,1277.4081
293430720,0.2903,4033.2031,1170.9574
293430760,0.5015,4033.2031,2022.5627
293430799,0.3695,4023.4375,1486.7009
293430839,0.3167,4028.3203,1275.8616
293430879,0.3695,4013.6719,1483.0925
293430918,0.5015,4033.2031,2022.5627
293430958,0.3695,4062.5000,1501.1350
293430996,0.3695,4028.3203,1488.5052
293431036,0.3959,4028.3203,1594.8269
293431076,0.5015,4033.2031,2022.5627
293431115,0.3167,4028.3203,1275.8616
293431155,0.3431,4023.4375,1380.5081
293431194,0.5015,4033.2031,2022.5627
293431234,0.3695,4018.5547,1484.8967
293431273,0.2903,4013.6719,1165.2870
293431313,0.4751,4038.0859,1918.4319
293431353,0.4751,4033.2031,1916.1121
293431392,0.3695,4023.4375,1486.7009
293431432,0.3695,4033.2031,1490.3094
293431471,0.3695,4028.3203,1488.5052
293431511,0.3431,4028.3203,1382.1833
293431550,0.3431,4028.3203,1382.1833
293431589,0.3695,4033.2031,1490.3094
293431629,0.3431,4033.2031,1383.8588
293431668,0.3695,4047.8516,1495.7222
293431708,0.3167,4033.2031,1277.4081
293431748,0.3695,4033.2031,1490.3094
293431787,0.3959,4028.3203,1594.8269
293431827,0.3959,4028.3203,1594.8269
293431866,0.4487,4023.4375,1805.2798
293431906,0.3959,4003.9063,1585.1614
293431946,0.3431,4033.2031,1383.8588
293431985,0.3695,4033.2031,1490.3094
293432025,0.2903,4033.2031,1170.9574
293432064,0.3431,4033.2031,1383.8588
293432103,0.3167,4033.2031,1277.4081
293432143,0.3695,4013.6719,1483.0925
293432182,0.3695,4062.5000,1501.1350
293432222,0.3167,4008.7891,1269.6755
293432261,0.3431,4033.2031,1383.8588
293432301,0.3959,4038.0859,1598.6932
293432341,0.3167,4013.6719,1271.2220
293432380,0.3695,4033.2031,1490.3094
293432420,0.3695,4013.6719,1483.0925
293432459,0.3431,4018.5547,1378.8326
293432499,0.3695,4038.0859,1492.1138
293432538,0.3959,4028.3203,1594.8269
293432578,0.3695,4028.3203,1488.5052
293432617,0.3431,4028.3203,1382.1833
293432656,0.3959,4028.3203,1594.8269
293432696,0.3431,4091.7969,1403.9633
293432735,0.3431,4023.4375,1380.5081
293432775,0.4487,4028.3203,1807.4706
293432815,0.4751,4033.2031,1916.1121
293432854,0.3959,4028.3203,1594.8269
293432894,0.3431,4033.2031,1383.8588
293432933,0.3167,4033.2031,1277.4081
293432973,0.3167,4018.5547,1272.7686
293433013,0.5015,4033.2031,2022.5627
293433052,0.3431,4028.3203,1382.1833
293433092,0.4223,4033.2031,1703.2108
293433131,0.3431,4028.3203,1382.1833
293433170,0.3695,4033.2031,1490.3094
293433210,0.3431,4028.3203,1382.1833
293433249,0.3695,4028.3203,1488.5052
293433289,0.3695,4013.6719,1483.0925
293433328,0.3431,4023.4375,1380.5081
293433368,0.3959,4013.6719,1589.0276
293433408,0.3695,4023.4375,1486.7009
293433447,0.3695,4028.3203,1488.5052
293433487,0.3959,4028.3203,1594.8269
293433526,0.3431,4028.3203,1382.1833
293433566,0.3695,4033.2031,1490.3094
293433606,0.3695,4008.7891,1481.2882
293433645,0.5015,4028.3203,2020.1141
293433684,0.3431,4038.0859,1385.5342
293433723,0.3167,4033.2031,1277.4081
293433763,0.3431,4033.2031,1383.8588
293433802,0.3695,4028.3203,1488.5052
293433842,0.3431,4038.0859,1385.5342
293433882,0.3431,4028.3203,1382.1833
293433921,0.3167,4023.4375,1274.3151
293433961,0.3695,4023.4375,1486.7009
