9172196,0i???01.5547,1272.7686
289172236,0.3167,4018.5547,1272.7686
289172275,0.3695,4013.6719,1483.0925
289172315,0.3167,4018.5547,1272.7686
289172354,0.3695,4013.6719,1483.0925
289172393,0.3167,4018.5547,1272.7686
289172433,0.3167,4018.5547,1272.7686
289172472,0.3959,4018.5547,1590.9607
289172512,0.3431,4018.5547,1378.8326
289172551,0.3431,4038.0859,1385.5342
289172591,0.3695,4018.5547,1484.8967
289172630,0.4223,4008.7891,1692.9008
289172670,0.3959,4008.7891,1587.0945
289172710,0.3695,4018.5547,1484.8967
289172749,0.3695,4008.7891,1481.2882
289172789,0.3431,4018.5547,1378.8326
289172828,0.3695,4018.5547,1484.8967
289172868,0.3695,4018.5547,1484.8967
289172908,0.3695,4013.6719,1483.0925
289172946,0.3431,4023.4375,1380.5081
289172986,0.3959,4018.5547,1590.9607
289173025,0.3695,4028.3203,1488.5052
289173065,0.4223,4018.5547,1697.0248
289173105,0.3431,4013.6719,1377.1572
289173144,0.3431,4018.5547,1378.8326
289173184,0.3959,3999.0234,1583.2281
289173223,0.3695,4013.6719,1483.0925
289173263,0.3431,4008.7891,1375.4819
289173303,0.3167,3969.7266,1257.3036
289173342,0.3695,4003.9063,1479.4840
289173382,0.3167,4018.5547,1272.7686
289173421,0.3431,4013.6719,1377.1572
289173460,0.3695,4008.7891,1481.2882
289173500,0.4487,4013.6719,1800.8981
289173539,0.3431,4023.4375,1380.5081
289173579,0.3167,4013.6719,1271.2220
289173618,0.5279,4018.5547,2121.2810
289173658,0.3167,4003.9063,1268.1290
289173698,0.3695,4013.6719,1483.0925
289173737,0.3431,4018.5547,1378.8326
289173777,0.3167,4003.9063,1268.1290
289173816,0.3695,4028.3203,1488.5052
289173856,0.4223,4023.4375,1699.0868
289173895,0.4223,4018.5547,1697.0248
289173935,0.3695,4018.5547,1484.8967
289173975,0.3695,4003.9063,1479.4840
289174013,0.3431,4018.5547,1378.8326
289174053,0.3695,4023.4375,1486.7009
289174092,0.3959,4018.5547,1590.9607
289174132,0.3167,3989.2578,1263.4895
289174172,0.3695,4023.4375,1486.7009
289174211,0.3167,3999.0234,1266.5825
289174251,0.3167,4013.6719,1271.2220
289174290,0.4487,4018.5547,1803.0889
289174330,0.3959,3999.0234,1583.2281
289174370,0.3431,4018.5547,1378.8326
289174409,0.3695,4018.5547,1484.8967
289174449,0.3959,4018.5547,1590.9607
289174488,0.3695,4018.5547,1484.8967
289174528,0.3695,4013.6719,1483.0925
289174567,0.3695,4033.2031,1490.3094
289174606,0.3695,4018.5547,1484.8967
289174646,0.3695,4013.6719,1483.0925
289174685,0.3431,4013.6719,1377.1572
289174725,0.3959,4018.5547,1590.9607
289174765,0.4223,4013.6719,1694.9628
289174804,0.3695,4018.5547,1484.8967
289174844,0.3959,4018.5547,1590.9607
289174883,0.3167,4018.5547,1272.7686
289174923,0.3431,4003.9063,1373.8065
289174963,0.3695,4013.6719,1483.0925
289175002,0.4751,4018.5547,1909.1528
289175042,0.4223,4013.6719,1694.9628
289175080,0.3431,4033.2031,1383.8588
289175120,0.3959,4018.5547,1590.9607
289175159,0.3695,4008.7891,1481.2882
289175199,0.3167,3999.0234,1266.5825
289175239,0.3431,4003.9063,1373.8065
289175278,0.5015,4013.6719,2012.7682
289175318,0.3167,4018.5547,1272.7686
289175357,0.3959,4018.5547,1590.9607
289175397,0.3431,4018.5547,1378.8326
289175437,0.3431,4003.9063,1373.8065
289175476,0.3959,4018.5547,1590.9607
289175516,0.3431,4018.5547,1378.8326
